# pom logged on Tue Nov  7 15:17:06 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1699366626.164523000 0 1 1 1 1 1 -0.00753554 -0.00359716 0.997844 -0.00412849 -0.00103886 -0.00290239 0.00330231 -0.0026353 0.0025574 -0.0406719 0.0730716 0.0490227 -0.133161 -0.347936 -0.280036 5.95573e-09 5.95573e-09 5.95362e-09 2.25976e-07 2.25976e-07 2.26002e-07 9.71466e-06 9.71466e-06 9.70571e-06 9.71466e-06 9.71466e-06 9.70571e-06 0.0418103 0.0418103 0.0417998
1699366626.168499000 0 1 1 1 1 1 -0.00750133 -0.00359266 0.997883 -0.00408371 -0.00101223 -0.00313663 0.0100913 -0.000803188 0.00822113 -0.0354471 0.0673969 0.014819 0.553721 -0.0524783 0.305188 5.96099e-09 5.961e-09 5.95889e-09 2.33867e-07 2.33866e-07 2.33893e-07 1.00142e-05 1.00142e-05 1.00053e-05 1.00142e-05 1.00142e-05 1.00053e-05 0.0436096 0.0436096 0.0435993
1699366626.173515000 0 1 1 1 1 1 -0.00755306 -0.00354899 0.99787 -0.0039973 -0.000901769 -0.00327266 0.0033218 0.00662956 0.00724908 -0.0321629 0.0759507 0.015441 -0.168328 0.510117 0.433923 5.62845e-09 5.62845e-09 5.6266e-09 2.08342e-07 2.08342e-07 2.08366e-07 9.30168e-06 9.30168e-06 9.29345e-06 9.30168e-06 9.30168e-06 9.29345e-06 0.0326472 0.0326472 0.0326372
1699366626.178471000 0 1 1 1 1 1 -0.00756295 -0.00358625 0.997846 -0.00401519 -0.000724156 -0.00302035 0.00277435 -0.00019646 0.00284712 -0.0324598 0.0767727 0.0414727 -0.0446014 -0.215329 -0.038254 5.9517e-09 5.95171e-09 5.94963e-09 2.27464e-07 2.27464e-07 2.27489e-07 9.84709e-06 9.84709e-06 9.83833e-06 9.84709e-06 9.84709e-06 9.83833e-06 0.041332 0.041332 0.0413216
1699366626.183513000 0 1 1 1 1 1 -0.00751425 -0.00355848 0.997877 -0.0039061 -0.000603038 -0.00336154 0.0113169 0.00441986 0.00605243 -0.0252924 0.0760031 0.00102815 0.659412 0.288136 0.0968451 5.96645e-09 5.96645e-09 5.96436e-09 2.27241e-07 2.27241e-07 2.27269e-07 9.82581e-06 9.82581e-06 9.81688e-06 9.82581e-06 9.82581e-06 9.81688e-06 0.0416945 0.0416945 0.0416836
1699366626.188493000 0 1 1 1 1 1 -0.00756712 -0.00353459 0.99796 -0.00378329 -0.000397431 -0.00328992 0.00304789 0.00683737 0.0167699 -0.0198204 0.0834933 0.022433 -0.186707 0.366241 0.9983 5.97571e-09 5.97571e-09 5.97363e-09 2.33621e-07 2.33621e-07 2.33648e-07 1.00872e-05 1.00872e-05 1.00782e-05 1.00872e-05 1.00872e-05 1.00782e-05 0.0429631 0.0429631 0.0429522
1699366626.193523000 0 1 1 1 1 1 -0.00756749 -0.00358631 0.997925 -0.0036808 -0.000255992 -0.00298528 0.00466516 -0.00226343 0.00813717 -0.0179186 0.0816946 0.0488394 0.133823 -0.425713 0.108477 5.98796e-09 5.98796e-09 5.98586e-09 2.307e-07 2.307e-07 2.30727e-07 1.00058e-05 1.00058e-05 9.99676e-06 1.00058e-05 1.00058e-05 9.99676e-06 0.0421046 0.0421046 0.0420936
1699366626.198489000 0 1 1 1 1 1 -0.00752138 -0.00355175 0.997939 -0.00349069 -0.000132428 -0.0033724 0.0122607 0.00332689 0.00676378 -0.0103744 0.0785916 0.00111168 0.702468 0.217321 -0.142954 5.97707e-09 5.97707e-09 5.97497e-09 2.27813e-07 2.27813e-07 2.2784e-07 9.90669e-06 9.90669e-06 9.89757e-06 9.90669e-06 9.90669e-06 9.89757e-06 0.0414663 0.0414663 0.0414552
1699366626.203523000 0 1 1 1 1 1 -0.00756763 -0.00353563 0.998005 -0.00333186 9.27881e-05 -0.00327524 0.00456623 0.00454002 0.0140554 -0.00852429 0.0856966 0.0258475 -0.107597 0.20696 0.562773 6.00594e-09 6.00594e-09 6.00384e-09 2.35216e-07 2.35216e-07 2.35242e-07 1.0188e-05 1.0188e-05 1.0179e-05 1.0188e-05 1.0188e-05 1.0179e-05 0.0435439 0.0435439 0.0435332
1699366626.208488000 0 1 1 1 1 1 -0.00756182 -0.00358611 0.997979 -0.0031967 0.000270652 -0.00301215 0.00668924 -0.00409049 0.00716526 -0.00880299 0.0864241 0.0475655 0.228292 -0.509938 -0.0535149 5.99485e-09 5.99485e-09 5.99276e-09 2.3038e-07 2.3038e-07 2.30406e-07 1.00426e-05 1.00426e-05 1.00336e-05 1.00426e-05 1.00426e-05 1.00336e-05 0.0418722 0.0418722 0.0418616
1699366626.213531000 0 1 1 1 1 1 -0.00753332 -0.00353262 0.997967 -0.00295959 0.00038199 -0.00347449 0.0120114 0.00462222 0.00276823 -0.00428321 0.0839376 -0.00519285 0.573367 0.420712 -0.529673 5.668e-09 5.668e-09 5.66614e-09 2.07312e-07 2.07312e-07 2.07338e-07 9.34888e-06 9.34888e-06 9.34038e-06 9.34888e-06 9.34888e-06 9.34038e-06 0.0323077 0.0323077 0.032297
1699366626.218486000 0 1 1 1 1 1 -0.00757188 -0.00351787 0.998051 -0.00283789 0.000691596 -0.00333109 0.00440223 0.0051492 0.0134181 -0.00452625 0.0923793 0.0227673 -0.189066 0.279793 0.576329 5.99139e-09 5.99139e-09 5.98931e-09 2.26745e-07 2.26745e-07 2.2677e-07 9.87418e-06 9.87419e-06 9.86523e-06 9.87418e-06 9.87419e-06 9.86523e-06 0.0413903 0.0413903 0.0413798
1699366626.223523000 0 1 1 1 1 1 -0.0075572 -0.00356146 0.998019 -0.00269634 0.000879353 -0.00307523 0.00784554 -0.00285512 0.00690694 -0.00573792 0.0907011 0.0437237 0.284621 -0.407713 0.0503273 5.99898e-09 5.99898e-09 5.99689e-09 2.26847e-07 2.26847e-07 2.26872e-07 9.8367e-06 9.8367e-06 9.82778e-06 9.8367e-06 9.8367e-06 9.82778e-06 0.0417873 0.0417873 0.0417769
1699366626.228487000 0 1 1 1 1 1 -0.00751991 -0.00351321 0.998001 -0.00249058 0.00103175 -0.00347011 0.0134968 0.0043764 0.00240985 -0.00214674 0.0863336 -0.00271537 0.656797 0.339345 -0.412624 5.97882e-09 5.97882e-09 5.97674e-09 2.25448e-07 2.25447e-07 2.25474e-07 9.76228e-06 9.76228e-06 9.75333e-06 9.76228e-06 9.76228e-06 9.75333e-06 0.0412874 0.0412874 0.0412769
1699366626.233516000 0 1 1 1 1 1 -0.00757614 -0.00349559 0.998054 -0.00229871 0.00128604 -0.00332419 0.00432812 0.00491678 0.00989005 -0.000161908 0.0917593 0.027104 -0.206543 0.200599 0.371064 5.9799e-09 5.9799e-09 5.97781e-09 2.25908e-07 2.25908e-07 2.25934e-07 9.74234e-06 9.74235e-06 9.73344e-06 9.74234e-06 9.74235e-06 9.73344e-06 0.0416905 0.0416905 0.04168
1699366626.238505000 0 1 1 1 1 1 -0.00755681 -0.00353471 0.998035 -0.00211041 0.00147899 -0.00308779 0.00873 -0.00268546 0.00618646 0.000769677 0.0913689 0.0448713 0.354144 -0.435455 0.112825 5.9665e-09 5.9665e-09 5.96442e-09 2.2549e-07 2.2549e-07 2.25515e-07 9.70514e-06 9.70515e-06 9.69629e-06 9.70514e-06 9.70515e-06 9.69629e-06 0.0415796 0.0415796 0.0415694
