# pom logged on Tue Nov  7 14:59:09 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1699365549.054209000 0 1 1 1 1 1 0.00635811 -0.00703941 0.997319 -0.0138995 -0.0113442 -0.00596413 -0.000723492 0.00452764 -0.00142103 0.0582107 -0.069941 -0.00991218 -0.0420017 0.00576075 -0.214341 2.46912e-07 2.46911e-07 2.40322e-07 2.2028e-06 2.20252e-06 2.24815e-06 3.5764e-05 3.5764e-05 3.36504e-05 3.5764e-05 3.5764e-05 3.36504e-05 0.0386222 0.0386222 0.0384286
1699365549.058080000 0 1 1 1 1 1 0.00635308 -0.00701958 0.997346 -0.0135892 -0.0115503 -0.0060342 -0.0011254 0.00483118 0.00194144 0.0671596 -0.0619716 -0.0124279 -0.0634964 0.0309987 0.161822 2.64648e-07 2.64647e-07 2.57126e-07 2.28631e-06 2.28601e-06 2.33167e-06 3.78502e-05 3.78502e-05 3.55894e-05 3.78502e-05 3.78502e-05 3.55894e-05 0.0575799 0.0575799 0.0573837
1699365549.063600000 0 1 1 1 1 1 0.0063608 -0.00704567 0.997347 -0.0132738 -0.0114691 -0.00612071 -0.00138849 0.00474898 0.00467371 0.0641587 -0.0290868 -0.0134371 -0.0661847 0.0418537 0.290027 2.60751e-07 2.60751e-07 2.53472e-07 2.32494e-06 2.32463e-06 2.37114e-06 3.83646e-05 3.83645e-05 3.61333e-05 3.83646e-05 3.83645e-05 3.61333e-05 0.0727626 0.0727626 0.0725593
1699365549.068078000 0 1 1 1 1 1 0.0063557 -0.00702579 0.997296 -0.0131538 -0.0114895 -0.00610656 -0.0014521 0.00470815 -0.00295853 0.0501496 -0.0220544 -0.00594931 -0.0441464 0.0222907 -0.40498 2.82236e-07 2.82236e-07 2.73786e-07 2.32721e-06 2.3269e-06 2.37342e-06 3.88647e-05 3.88646e-05 3.64567e-05 3.88647e-05 3.88646e-05 3.64567e-05 0.0513401 0.0513401 0.0511345
1699365549.073094000 0 1 1 1 1 1 0.00636652 -0.00706311 0.997316 -0.0131069 -0.0117074 -0.00607865 -0.00155503 0.00445577 0.00237975 0.0354319 -0.0318903 -0.000440434 -0.0524672 0.0347984 0.201239 2.73039e-07 2.73038e-07 2.65144e-07 2.30546e-06 2.30515e-06 2.35266e-06 3.79608e-05 3.79607e-05 3.56394e-05 3.79608e-05 3.79607e-05 3.56394e-05 0.0487578 0.0487578 0.0485571
1699365549.078669000 0 1 1 1 1 1 0.00638354 -0.00708941 0.997314 -0.0130635 -0.0112384 -0.00603103 -0.00145738 0.004624 0.00392118 0.022639 0.0216587 0.00328527 -0.0382368 0.0606608 0.204842 2.69663e-07 2.69662e-07 2.62002e-07 2.31562e-06 2.31533e-06 2.36387e-06 3.78188e-05 3.78188e-05 3.55237e-05 3.78188e-05 3.78188e-05 3.55237e-05 0.0579503 0.0579503 0.0577422
1699365549.083099000 0 1 1 1 1 1 0.00637963 -0.00707119 0.997267 -0.0131427 -0.0111066 -0.00599037 -0.001262 0.00455787 -0.00272985 0.00730651 0.0216743 0.00522245 -0.00506392 0.0334451 -0.363233 2.91376e-07 2.91376e-07 2.82511e-07 2.34287e-06 2.34258e-06 2.39113e-06 3.87409e-05 3.87408e-05 3.62671e-05 3.87409e-05 3.87408e-05 3.62671e-05 0.0480416 0.0480416 0.0478329
1699365549.088102000 0 1 1 1 1 1 0.00637208 -0.0070469 0.997321 -0.0131802 -0.0112333 -0.00599092 -0.0014575 0.0048653 0.00381128 0.0013692 0.00386831 0.00324743 -0.0225764 0.0467168 0.297931 3.17757e-07 3.17757e-07 3.07363e-07 2.3928e-06 2.3925e-06 2.44107e-06 4.01966e-05 4.01965e-05 3.75102e-05 4.01966e-05 4.01965e-05 3.75102e-05 0.0480607 0.0480607 0.0478486
1699365549.093237000 0 1 1 1 1 1 0.00639327 -0.0070835 0.997304 -0.0134907 -0.0105418 -0.00593243 -0.00103659 0.00496873 0.00306245 -0.025387 0.0601699 0.00750776 0.000668291 0.0704566 0.0692936 3.05614e-07 3.05613e-07 2.95991e-07 2.35649e-06 2.35624e-06 2.4061e-06 3.88704e-05 3.88703e-05 3.62763e-05 3.88704e-05 3.88703e-05 3.62763e-05 0.0386326 0.0386326 0.0384126
1699365549.098186000 0 1 1 1 1 1 0.00641557 -0.00713091 0.997271 -0.0136161 -0.010386 -0.00590187 -0.000793991 0.00460729 0.000820428 -0.021071 0.0389567 0.00510889 0.00753424 0.0515095 -0.0783346 2.89703e-07 2.89703e-07 2.81053e-07 2.34812e-06 2.34787e-06 2.39909e-06 3.80814e-05 3.80813e-05 3.56248e-05 3.80814e-05 3.80813e-05 3.56248e-05 0.0454781 0.0454781 0.0452667
1699365549.103185000 0 1 1 1 1 1 0.00646295 -0.00718416 0.997298 -0.0137429 -0.0103512 -0.00593889 -0.00044696 0.00458995 0.00742604 -0.015964 0.0222251 0.000169478 -0.004558 0.081829 0.529671 2.66377e-07 2.66377e-07 2.59053e-07 2.2996e-06 2.29936e-06 2.35201e-06 3.6306e-05 3.6306e-05 3.40381e-05 3.6306e-05 3.6306e-05 3.40381e-05 0.0400598 0.0400598 0.0398471
1699365549.108053000 0 1 1 1 1 1 0.00646046 -0.00715945 0.99732 -0.013964 -0.00987596 -0.00601364 -0.000505685 0.00515366 0.00741284 -0.029573 0.0558535 -0.00735453 -0.00858385 0.0937823 0.296215 2.89682e-07 2.89682e-07 2.81059e-07 2.36491e-06 2.36468e-06 2.41735e-06 3.8104e-05 3.8104e-05 3.56246e-05 3.8104e-05 3.8104e-05 3.56246e-05 0.0480296 0.0480296 0.0478056
1699365549.113187000 0 1 1 1 1 1 0.00648254 -0.00718387 0.997281 -0.0140598 -0.00987863 -0.00617017 -0.000182865 0.00481606 0.00146405 -0.0200992 0.0204404 -0.0188553 0.00885785 0.0531599 -0.238598 2.81756e-07 2.81756e-07 2.73591e-07 2.33369e-06 2.33347e-06 2.38703e-06 3.70547e-05 3.70547e-05 3.46401e-05 3.70547e-05 3.70547e-05 3.46401e-05 0.0383942 0.0383942 0.0381803
1699365549.118185000 0 1 1 1 1 1 0.0064803 -0.00715615 0.997338 -0.0140943 -0.0099386 -0.0062299 -0.000324688 0.00547211 0.00662531 -0.012781 0.0091252 -0.0146692 -0.00881188 0.0912019 0.292657 3.06829e-07 3.06829e-07 2.97216e-07 2.3835e-06 2.38327e-06 2.43686e-06 3.85108e-05 3.85108e-05 3.58825e-05 3.85108e-05 3.85108e-05 3.58825e-05 0.0383602 0.0383601 0.0381426
1699365549.123082000 0 1 1 1 1 1 0.00651188 -0.00718138 0.997347 -0.0143868 -0.00954266 -0.00625822 -0.000169418 0.00540812 0.00748571 -0.0306587 0.0365748 -0.0105019 -0.0159565 0.0781189 0.237727 2.93052e-07 2.93051e-07 2.84248e-07 2.37886e-06 2.37865e-06 2.43334e-06 3.79417e-05 3.79416e-05 3.54147e-05 3.79417e-05 3.79416e-05 3.54147e-05 0.0478219 0.0478219 0.0476019
1699365549.128101000 0 1 1 1 1 1 0.00651044 -0.00715433 0.997329 -0.0144717 -0.00962628 -0.00626183 -0.000284282 0.00566488 0.00207261 -0.0221761 0.00902093 -0.00683582 -0.0167412 0.0654492 -0.253706 3.19024e-07 3.19024e-07 3.08677e-07 2.42961e-06 2.42939e-06 2.4841e-06 3.94246e-05 3.94245e-05 3.66782e-05 3.94246e-05 3.94245e-05 3.66782e-05 0.0481226 0.0481225 0.0479027
1699365549.133155000 0 1 1 1 1 1 0.0065412 -0.00717662 0.99736 -0.0144842 -0.00992217 -0.00627338 -0.000293401 0.00569499 0.00600267 -0.0103185 -0.0220116 -0.00351912 -0.0339472 0.0755933 0.175391 3.04966e-07 3.04966e-07 2.95463e-07 2.40927e-06 2.40904e-06 2.46492e-06 3.84955e-05 3.84954e-05 3.5861e-05 3.84955e-05 3.84954e-05 3.5861e-05 0.0488521 0.0488521 0.0486372
1699365549.138051000 0 1 1 1 1 1 0.00658289 -0.00720129 0.997367 -0.0146638 -0.00963208 -0.00622081 -0.000206717 0.00598896 0.00786813 -0.0193687 0.0101034 0.00252627 -0.041628 0.0984518 0.258671 2.89164e-07 2.89164e-07 2.80586e-07 2.41241e-06 2.41219e-06 2.4693e-06 3.80012e-05 3.80011e-05 3.54872e-05 3.80012e-05 3.80011e-05 3.54872e-05 0.0659541 0.0659541 0.0657382
1699365549.143100000 0 1 1 1 1 1 0.00658149 -0.00717411 0.997354 -0.0146574 -0.00986949 -0.00614001 -0.000359747 0.00596477 0.00263412 -0.00623882 -0.0206259 0.0077473 -0.0318131 0.0558759 -0.242334 3.1478e-07 3.1478e-07 3.0467e-07 2.45103e-06 2.4508e-06 2.50794e-06 3.93099e-05 3.93098e-05 3.65742e-05 3.93099e-05 3.93098e-05 3.65742e-05 0.052091 0.052091 0.0518719
