# logged on Tue Nov  7 15:17:06 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699366626.172483000  999.993 0 50.0444  16  nan  -0.0458659 0.11396 0.0766152  -0.0458659 0.11396 0.0766152  -1.69471 0.0719004 13.4384  -1.69471 0.0719004 13.4384  2.241e-05 -8.16e-06 -4.195e-05  2.241e-05 -8.16e-06 -4.195e-05  68.945 68.2769 68.578 67.2078 - - - - 68.0272 69.2137 67.6407 67.0781 nan nan nan nan 0 0 0 0 0 0 0 0
1699366626.177489000  1000 0 50.0444  -  nan  -0.0386426 0.106643 -6.33732e-05  -0.0386426 0.106643 -6.33732e-05  2.23535 -0.317561 13.6882  2.23535 -0.317561 13.6882  - - -  - - -  67.3609 68.5831 68.6697 67.2028 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.182481000  1000.01 0 50.0444  -  nan  -0.0366428 0.0925382 -0.0315979  -0.0366428 0.0925382 -0.0315979  0.332728 1.90328 6.11998  0.332728 1.90328 6.11998  - - -  - - -  67.7913 67.7094 67.764 67.7071 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.187480000  1000 0 50.0424  -  nan  -0.0344529 0.0920555 0.12659  -0.0344529 0.0920555 0.12659  -0.824726 -1.4824 7.95917  -0.824726 -1.4824 7.95917  - - -  - - -  68.5936 68.0869 68.1985 66.7757 - - - - 68.4182 68.0272 68.8137 67.8334 - - - - 0 0 0 0 0 0 0 0
1699366626.192492000  1000 0 50.0424  -  nan  -0.0228486 0.115964 0.0213768  -0.0228486 0.115964 0.0213768  2.01029 -0.754442 12.666  2.01029 -0.754442 12.666  - - -  - - -  66.8305 68.3011 68.2627 67.6997 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.197488000  1000.01 0 50.0424  -  nan  -0.0225812 0.112468 -0.00366056  -0.0225812 0.112468 -0.00366056  -0.728555 1.53878 8.58439  -0.728555 1.53878 8.58439  - - -  - - -  67.8356 67.4659 67.5292 67.9812 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.202524000  1000.01 0 50.0424  -  nan  -0.0306626 0.100895 0.116979  -0.0306626 0.100895 0.116979  -1.23602 -1.1007 10.1594  -1.23602 -1.1007 10.1594  - - -  - - -  68.3981 67.9502 68.1812 66.9578 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.207481000  1000.01 0 50.0446  -  nan  -0.0203323 0.114422 -0.0157258  -0.0203323 0.114422 -0.0157258  2.19307 0.26481 13.243  2.19307 0.26481 13.243  - - -  - - -  67.1431 68.1681 68.2216 68.0255 - - - - 69.4155 67.4582 68.4182 67.6407 - - - - 0 0 0 0 0 0 0 0
1699366626.212485000  1000.01 0 50.0446  -  nan  -0.0180156 0.104272 -0.0274636  -0.0180156 0.104272 -0.0274636  -0.174008 1.7707 6.67306  -0.174008 1.7707 6.67306  - - -  - - -  68.0693 67.3415 67.3933 67.9946 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.217491000  1000.02 0 50.0446  -  nan  -0.0280073 0.097282 0.121303  -0.0280073 0.097282 0.121303  -0.422485 -1.69782 6.99764  -0.422485 -1.69782 6.99764  - - -  - - -  68.8099 68.2336 68.4532 66.9131 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1699366626.222469000  1000.02 0 50.0446  -  nan  -0.0189879 0.12053 0.00716923  -0.0189879 0.12053 0.00716923  2.18202 -0.307415 13.4457  2.18202 -0.307415 13.4457  - - -  - - -  67.2303 68.5693 68.5702 68.0073 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
