# logged on Tue Nov  7 14:59:09 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699365549.148577000  1000.35 0 49.9881  15.996  nan  0.00359888 0.0179612 0.0110014  0.00359888 0.0179612 0.0110014  0.0561265 -0.00313888 10.5767  0.0561265 -0.00313888 10.5767  nan nan nan  nan nan nan  68.3833 67.9208 69.2763 66.6651 - - - - 68.6153 67.2585 67.6407 66.507 nan nan nan nan 139 145 0 70 0 0 0 0
1699365549.153542000  1000.35 0 49.9881  -  nan  -0.0101545 -0.0384332 0.012329  -0.0101545 -0.0384332 0.012329  -0.0330545 -0.089805 8.92149  -0.0330545 -0.089805 8.92149  - - -  - - -  68.6515 68.5167 68.7641 66.2426 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.158544000  1000.36 0 49.9856  -  nan  0.0619617 -0.150878 0.00260934  0.0619617 -0.150878 0.00260934  0.0564807 -0.0950332 10.1842  0.0564807 -0.0950332 10.1842  - - -  - - -  68.4488 68.199 69.4629 66.5221 - - - - - 67.6407 - 66.1376 - - - - 139 145 0 70 0 0 0 0
1699365549.163527000  1000.37 0 49.9861  -  nan  -0.0243188 0.00280522 -0.0027459  -0.0243188 0.00280522 -0.0027459  0.0580939 -0.0480156 10.122  0.0580939 -0.0480156 10.122  - - -  - - -  67.9171 67.5811 70.0099 66.7545 - - - - - - 69.2137 - - - - - 139 145 0 70 0 0 0 0
1699365549.168543000  1000.38 0 49.9865  -  nan  0.019422 -0.0673024 -0.0140055  0.019422 -0.0673024 -0.0140055  0.0145187 -0.0446886 9.31862  0.0145187 -0.0446886 9.31862  - - -  - - -  68.4181 68.0974 69.3693 66.2361 - - - - 68.2221 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.173536000  1000.38 0 49.9865  -  nan  0.0622214 -0.122793 -0.0404196  0.0622214 -0.122793 -0.0404196  0.0572591 -0.140621 9.90112  0.0572591 -0.140621 9.90112  - - -  - - -  68.1468 67.2379 70.4019 66.5936 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.178535000  1000.39 0 49.9861  -  nan  -0.0244793 0.031459 -0.0035208  -0.0244793 0.031459 -0.0035208  0.106415 -0.0945579 10.0698  0.106415 -0.0945579 10.0698  - - -  - - -  67.8771 66.9966 70.7467 66.6287 - - - - - 68.0272 - 66.1376 - - - - 139 145 0 70 0 0 0 0
1699365549.183541000  1000.39 0 49.9875  -  nan  0.0613309 -0.0382387 -0.000436824  0.0613309 -0.0382387 -0.000436824  0.0133228 -0.0454036 9.49121  0.0133228 -0.0454036 9.49121  - - -  - - -  68.5883 67.6102 69.7686 66.2773 - - - - - - 70.8617 - - - - - 139 145 0 70 0 0 0 0
1699365549.188541000  1000.39 0 49.9888  -  nan  0.0757744 -0.0808357 -0.0128495  0.0757744 -0.0808357 -0.0128495  0.108784 -0.139195 9.5573  0.108784 -0.139195 9.5573  - - -  - - -  68.3773 67.0159 70.1836 66.9419 - - - - 68.8137 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.193551000  1000.39 0 49.9888  -  nan  -0.0246935 0.0454772 0.00986223  -0.0246935 0.0454772 0.00986223  0.0556858 -0.0955084 10.2989  0.0556858 -0.0955084 10.2989  - - -  - - -  68.3484 67.2926 70.1335 66.8422 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.198535000  1000.4 0 49.9881  -  nan  0.0611523 0.0178956 -0.015717  0.0611523 0.0178956 -0.015717  0.0616676 -0.0458789 9.60628  0.0616676 -0.0458789 9.60628  - - -  - - -  68.9283 67.7764 69.0441 66.506 - - - - - 68.4182 - 66.3218 - - - - 139 145 0 70 0 0 0 0
1699365549.203572000  1000.41 0 49.9903  -  nan  0.0471847 -0.0244807 -0.00100639  0.0471847 -0.0244807 -0.00100639  0.159135 -0.092417 9.55338  0.159135 -0.092417 9.55338  - - -  - - -  68.9513 67.1488 69.4272 66.9504 - - - - - - 69.6185 - - - - - 139 145 0 70 0 0 0 0
1699365549.211185000  1000.43 0 49.9903  -  nan  -0.0392864 0.114752 0.0215534  -0.0392864 0.114752 0.0215534  0.105604 -0.141096 10.0162  0.105604 -0.141096 10.0162  - - -  - - -  69.1836 67.5418 68.9872 66.9062 - - - - 69.4155 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.216629000  1000.44 0 49.9891  -  nan  0.0904552 -0.0106031 -0.0145372  0.0904552 -0.0106031 -0.0145372  0.109595 -0.0926567 9.6109  0.109595 -0.0926567 9.6109  - - -  - - -  69.7861 67.3858 68.4302 66.9311 - - - - - 67.2585 - 66.3218 - - - - 139 145 0 70 0 0 0 0
1699365549.221554000  1000.45 0 49.9902  -  nan  -0.0391496 0.114567 0.0077963  -0.0391496 0.114567 0.0077963  0.155578 -0.0484909 10.2375  0.155578 -0.0484909 10.2375  - - -  - - -  69.6608 67.1204 68.6828 67.2379 - - - - - - 69.0131 - - - - - 139 145 0 70 0 0 0 0
1699365549.226564000  1000.46 0 49.9902  -  nan  -0.0389947 0.0869009 0.00854448  -0.0389947 0.0869009 0.00854448  0.0580705 -0.0940826 9.95472  0.0580705 -0.0940826 9.95472  - - -  - - -  70.1104 68.1214 67.6801 66.4511 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.231545000  1000.47 0 49.9912  -  nan  0.0904552 -0.0106031 -0.0145372  0.0904552 -0.0106031 -0.0145372  0.109201 -0.0928923 9.66776  0.109201 -0.0928923 9.66776  - - -  - - -  70.0706 67.9344 67.767 66.4359 - - - - 69.0131 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.236558000  1000.47 0 49.99  -  nan  -0.0247117 0.0729576 -0.00464307  -0.0247117 0.0729576 -0.00464307  0.158357 -0.0468295 9.83643  0.158357 -0.0468295 9.83643  - - -  - - -  69.6621 67.2046 68.5204 67.0924 - - - - - 66.8807 - 65.4108 - - - - 139 145 0 70 0 0 0 0
1699365549.241540000  1000.48 0 49.992  -  nan  -0.0388397 0.0592351 0.00929266  -0.0388397 0.0592351 0.00929266  0.0580939 -0.0480156 10.122  0.0580939 -0.0480156 10.122  - - -  - - -  70.0746 68.3028 67.7124 66.1946 - - - - - - 66.507 - - - - - 139 145 0 70 0 0 0 0
1699365549.246537000  1000.49 0 49.992  -  nan  0.0614677 -0.0384239 -0.0141939  0.0614677 -0.0384239 -0.0141939  0.0117165 -0.092417 9.55233  0.0117165 -0.092417 9.55233  - - -  - - -  69.8354 68.0207 67.9925 66.1183 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.251536000  1000.49 0 49.9938  -  nan  -0.0666855 0.0312343 -0.00410722  -0.0666855 0.0312343 -0.00410722  0.108406 -0.0933676 9.78248  0.108406 -0.0933676 9.78248  - - -  - - -  69.4785 67.3951 68.9182 66.4961 - - - - 69.2137 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.256539000  1000.49 0 49.994  -  nan  -0.0525393 0.0174764 -0.00353766  -0.0525393 0.0174764 -0.00353766  0.0077584 -0.0487306 10.2943  0.0077584 -0.0487306 10.2943  - - -  - - -  69.6115 68.3037 68.4879 65.7635 - - - - - 68.0272 - 65.7722 - - - - 139 145 0 70 0 0 0 0
1699365549.261547000  1000.49 0 49.9946  -  nan  0.0616463 -0.0945582 0.00108626  0.0616463 -0.0945582 0.00108626  0.0141013 -0.0909912 9.20816  0.0141013 -0.0909912 9.20816  - - -  - - -  69.0233 67.711 69.0629 66.0169 - - - - - - 67.6407 - - - - - 139 145 0 70 0 0 0 0
1699365549.266533000  1000.5 0 49.9946  -  nan  -0.0664294 -0.0387328 0.0115471  -0.0664294 -0.0387328 0.0115471  0.107611 -0.0938429 9.89721  0.107611 -0.0938429 9.89721  - - -  - - -  68.5746 67.7736 69.7022 66.4671 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.271538000  1000.5 0 49.9951  -  nan  0.00405106 -0.0385436 -0.00123268  0.00405106 -0.0385436 -0.00123268  -0.0413579 -0.0026636 10.4613  -0.0413579 -0.0026636 10.4613  - - -  - - -  68.5309 68.4981 69.2535 66.0205 - - - - 70.028 - - - - - - - 139 145 0 70 0 0 0 0
1699365549.276616000  1000.51 0 49.9946  -  nan  0.0617238 -0.108391 0.00146035  0.0617238 -0.108391 0.00146035  0.0133228 -0.0454036 9.49121  0.0133228 -0.0454036 9.49121  - - -  - - -  68.1799 67.8495 69.6446 66.2414 - - - - - - - - - - - - 139 145 0 70 0 0 0 0
1699365549.281537000  1000.51 0 49.9948  -  nan  -0.0664057 -0.0672013 0.0260791  -0.0664057 -0.0672013 0.0260791  0.0584481 -0.13991 9.72953  0.0584481 -0.13991 9.72953  - - -  - - -  67.9403 68.0459 70.129 66.4741 - - - - - 67.8334 69.4155 66.507 - - - - 139 145 0 70 0 0 0 0
