    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 0.0050000   0.0000000  -0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   0.0000006  -0.0000006   0.0000006   0.0000000   0.0000000   0.0000000   0.0003750  -0.0003750   0.0003750   0.0000000   0.0000000   0.0000000
 0.0100000   0.0000000  -0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   0.0000050  -0.0000050   0.0000050   0.0000000   0.0000000   0.0000000   0.0015000  -0.0015000   0.0015000   0.0000000   0.0000000   0.0000000
 0.0150000   0.0000001  -0.0000001   1.0000000   0.0000000   0.0000000   0.0000000   0.0000169  -0.0000169   0.0000169   0.0000000   0.0000000   0.0000000   0.0033750  -0.0033750   0.0033750   0.0000000   0.0000000   0.0000000
 0.0200000   0.0000002  -0.0000002   1.0000000   0.0000000   0.0000000   0.0000001   0.0000400  -0.0000400   0.0000400   0.0000000   0.0000000   0.0000000   0.0060000  -0.0060000   0.0060000   0.0000000   0.0000000   0.0000000
 0.0250000   0.0000005  -0.0000005   1.0000000   0.0000000   0.0000000   0.0000003   0.0000781  -0.0000781   0.0000781   0.0000000   0.0000000   0.0000000   0.0093750  -0.0093750   0.0093750   0.0000000   0.0000000   0.0000000
 0.0300000   0.0000010  -0.0000010   1.0000000   0.0000000   0.0000000   0.0000005   0.0001350  -0.0001350   0.0001350   0.0000000   0.0000000   0.0000000   0.0135000  -0.0135000   0.0135000   0.0000000   0.0000000   0.0000000
 0.0350000   0.0000019  -0.0000019   1.0000000   0.0000000   0.0000000   0.0000010   0.0002144  -0.0002144   0.0002144   0.0000000   0.0000000   0.0000000   0.0183750  -0.0183750   0.0183750   0.0000000   0.0000000   0.0000000
 0.0400000   0.0000032  -0.0000032   1.0000000   0.0000000   0.0000000   0.0000017   0.0003200  -0.0003200   0.0003200   0.0000000   0.0000000   0.0000000   0.0240000  -0.0240000   0.0240000   0.0000000   0.0000000   0.0000000
 0.0450000   0.0000051  -0.0000051   1.0000100   0.0000000   0.0000000   0.0000027   0.0004556  -0.0004556   0.0004556   0.0000000   0.0000000   0.0000000   0.0303750  -0.0303750   0.0303750   0.0000000   0.0000000   0.0000000
 0.0500000   0.0000078  -0.0000078   1.0000100   0.0000000   0.0000000   0.0000042   0.0006250  -0.0006250   0.0006250   0.0000000   0.0000000   0.0000000   0.0375000  -0.0375000   0.0375000   0.0000000   0.0000000   0.0000000
 0.0550000   0.0000114  -0.0000114   1.0000100   0.0000000   0.0000000   0.0000061   0.0008319  -0.0008319   0.0008319   0.0000000   0.0000000   0.0000000   0.0453750  -0.0453750   0.0453750   0.0000000   0.0000000   0.0000000
 0.0600000   0.0000162  -0.0000162   1.0000200   0.0000000   0.0000000   0.0000086   0.0010800  -0.0010800   0.0010800   0.0000000   0.0000000   0.0000000   0.0540000  -0.0540000   0.0540000   0.0000000   0.0000000   0.0000000
 0.0650000   0.0000223  -0.0000223   1.0000200   0.0000000   0.0000000   0.0000119   0.0013731  -0.0013731   0.0013731   0.0000000   0.0000000   0.0000000   0.0633750  -0.0633750   0.0633750   0.0000000   0.0000000   0.0000000
 0.0700000   0.0000300  -0.0000300   1.0000300   0.0000000   0.0000000   0.0000160   0.0017150  -0.0017150   0.0017150   0.0000000   0.0000000   0.0000000   0.0735000  -0.0735000   0.0735000   0.0000000   0.0000000   0.0000000
 0.0750000   0.0000396  -0.0000396   1.0000400   0.0000000   0.0000000   0.0000211   0.0021094  -0.0021094   0.0021094   0.0000000   0.0000000   0.0000000   0.0843750  -0.0843750   0.0843750   0.0000000   0.0000000   0.0000000
 0.0800000   0.0000512  -0.0000512   1.0000500   0.0000000   0.0000000   0.0000273   0.0025600  -0.0025600   0.0025600   0.0000000   0.0000000   0.0000000   0.0960000  -0.0960000   0.0960000   0.0000000   0.0000000   0.0000000
 0.0850000   0.0000653  -0.0000653   1.0000700   0.0000000   0.0000000   0.0000348   0.0030706  -0.0030706   0.0030706   0.0000000   0.0000000   0.0000000   0.1083750  -0.1083750   0.1083750   0.0000000   0.0000000   0.0000000
 0.0900000   0.0000820  -0.0000820   1.0000800   0.0000000   0.0000000   0.0000437   0.0036447  -0.0036450   0.0036450   0.0000000   0.0000000   0.0000000   0.1212290  -0.1215000   0.1215000   0.0000000   0.0000000   0.0000000
 0.0950000   0.0001018  -0.0001018   1.0001000   0.0000000   0.0000000   0.0000543   0.0042817  -0.0042869   0.0042869   0.0000000   0.0000000   0.0000000   0.1334530  -0.1353750   0.1353750   0.0000000   0.0000000   0.0000000
 0.1000000   0.0001249  -0.0001250   1.0001200   0.0000000   0.0000000   0.0000667   0.0049780  -0.0050000   0.0050000   0.0000000   0.0000000   0.0000000   0.1449270  -0.1500000   0.1500000   0.0000000   0.0000000   0.0000000
 0.1050000   0.0001517  -0.0001519   1.0001500   0.0000000   0.0000000   0.0000810   0.0057298  -0.0057881   0.0057881   0.0000000   0.0000000   0.0000000   0.1556510  -0.1653750   0.1653750   0.0000000   0.0000000   0.0000000
 0.1100000   0.0001823  -0.0001830   1.0001800   0.0000000   0.0000000   0.0000976   0.0065333  -0.0066550   0.0066550   0.0000000   0.0000000   0.0000000   0.1656250  -0.1815000   0.1815000   0.0000000   0.0000000   0.0000000
 0.1150000   0.0002171  -0.0002186   1.0002200   0.0000000   0.0000000   0.0001166   0.0073848  -0.0076044   0.0076044   0.0000000   0.0000000   0.0000000   0.1748490  -0.1983750   0.1983750   0.0000000   0.0000000   0.0000000
 0.1200000   0.0002562  -0.0002592   1.0002600   0.0000000   0.0000000   0.0001382   0.0082805  -0.0086400   0.0086400   0.0000000   0.0000000   0.0000000   0.1833230  -0.2160000   0.2160000   0.0000000   0.0000000   0.0000000
 0.1250000   0.0003000  -0.0003052   1.0003100   0.0000000   0.0000000   0.0001628   0.0092167  -0.0097656   0.0097656   0.0000000   0.0000000   0.0000000   0.1910470  -0.2343750   0.2343750   0.0000000   0.0000000   0.0000000
 0.1300000   0.0003485  -0.0003570   1.0003600   0.0000000   0.0000000   0.0001904   0.0101897  -0.0109850   0.0109838   0.0000000   0.0000000   0.0000000   0.1980210  -0.2535000   0.2527790   0.0000000   0.0000000   0.0000000
