# pom logged on Mon Nov 20 15:45:31 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1700491531.240424000 0 1 1 1 1 1 -0.999191 -0.0189332 1.00445 -0.0163861 -0.00340408 -0.011483 -0.00320533 0.0122745 0.00160762 -0.10799 0.0675961 0.00341209 0.0529449 0.0183568 -0.132064 4.83803e-07 4.83801e-07 4.52174e-07 3.63897e-06 3.63864e-06 4.05976e-06 4.93967e-05 4.93965e-05 4.24644e-05 4.93967e-05 4.93965e-05 4.24644e-05 0.0522133 0.0522133 0.0518851
1700491531.244413000 0 1 1 1 1 1 -0.999203 -0.0189115 1.0045 -0.0153243 -0.00377894 -0.0116449 -0.00389856 0.0147827 0.00341223 0.02857 0.0076325 -0.0107814 -0.0242591 0.236842 0.0425696 4.86694e-07 4.86693e-07 4.54547e-07 3.63075e-06 3.6304e-06 4.04847e-06 4.94941e-05 4.94939e-05 4.2541e-05 4.94941e-05 4.94939e-05 4.2541e-05 0.0508478 0.0508478 0.0505198
1700491531.249474000 0 1 1 1 1 1 -0.999221 -0.0188489 1.00451 -0.0150936 -0.00369842 -0.0116394 -0.00384337 0.0141417 0.00333486 0.0223321 0.0143256 -0.00383094 -0.00500181 0.0819321 0.00604693 5.2391e-07 5.23908e-07 4.86817e-07 3.6826e-06 3.68223e-06 4.10032e-06 5.12465e-05 5.12463e-05 4.38269e-05 5.12465e-05 5.12463e-05 4.38269e-05 0.0518581 0.0518581 0.051521
1700491531.254430000 0 1 1 1 1 1 -0.999223 -0.0188437 1.00455 -0.0164324 -0.0035787 -0.0115516 -0.00328963 0.0142724 0.0032386 -0.0989347 0.0164085 0.00610788 0.0268549 0.114106 -0.0120339 5.29864e-07 5.29863e-07 4.91952e-07 3.67911e-06 3.67873e-06 4.0947e-06 5.14106e-05 5.14105e-05 4.3961e-05 5.14106e-05 5.14105e-05 4.3961e-05 0.0510293 0.0510293 0.0506931
1700491531.259383000 0 1 1 1 1 1 -0.999249 -0.0187555 1.00457 -0.0154912 -0.00368269 -0.0116983 -0.00435475 0.0166126 0.00355498 0.0277638 0.000837878 -0.0079496 -0.0652019 0.238671 0.0135189 5.69386e-07 5.69384e-07 5.26049e-07 3.72733e-06 3.72694e-06 4.14293e-06 5.30908e-05 5.30907e-05 4.51703e-05 5.30908e-05 5.30907e-05 4.51703e-05 0.0502407 0.0502407 0.049899
1700491531.264548000 0 1 1 1 1 1 -0.999223 -0.0188909 1.00464 -0.0166186 -0.00371951 -0.0116039 -0.00340915 0.0137794 0.00387384 -0.0952336 -0.00353978 0.00560914 0.0251189 0.017558 0.0184756 5.09776e-07 5.09774e-07 4.74571e-07 3.604e-06 3.60364e-06 4.0133e-06 4.98424e-05 4.98422e-05 4.27632e-05 4.98424e-05 4.98422e-05 4.27632e-05 0.0399877 0.0399876 0.0396555
1700491531.269548000 0 1 1 1 1 1 -0.999235 -0.0188603 1.00469 -0.0165738 -0.00405765 -0.011685 -0.00396757 0.0158109 0.00525778 -0.0390822 -0.0311572 -0.00419402 -0.0426285 0.217925 0.10254 5.18948e-07 5.18946e-07 4.82577e-07 3.60798e-06 3.6076e-06 4.01554e-06 5.01756e-05 5.01755e-05 4.30225e-05 5.01756e-05 5.01755e-05 4.30225e-05 0.039924 0.039924 0.0395888
1700491531.274491000 0 1 1 1 1 1 -0.999255 -0.0187898 1.00471 -0.0163257 -0.00377878 -0.0117764 -0.0041152 0.0156061 0.00450218 -0.00899671 0.0104596 -0.00908748 -0.03068 0.100086 0.00579217 5.57751e-07 5.5775e-07 5.16189e-07 3.6565e-06 3.65612e-06 4.06406e-06 5.1849e-05 5.18488e-05 4.42372e-05 5.1849e-05 5.18488e-05 4.42372e-05 0.0395706 0.0395706 0.0392305
1700491531.279499000 0 1 1 1 1 1 -0.999233 -0.0189182 1.00479 -0.0172349 -0.0042184 -0.0118261 -0.00320667 0.0142118 0.00533721 -0.089251 -0.0340427 -0.00889591 0.0360521 0.0615244 0.0420538 4.96563e-07 4.96562e-07 4.63272e-07 3.55009e-06 3.54973e-06 3.95158e-06 4.88458e-05 4.88457e-05 4.20921e-05 4.88458e-05 4.88457e-05 4.20921e-05 0.0396021 0.0396021 0.039273
1700491531.284495000 0 1 1 1 1 1 -0.99926 -0.0188301 1.00482 -0.0166799 -0.00433319 -0.0119461 -0.00433765 0.0164765 0.00521904 0.00848123 -0.024413 -0.0152499 -0.0735871 0.221509 -0.000402258 5.34246e-07 5.34244e-07 4.96074e-07 3.6001e-06 3.59973e-06 4.0016e-06 5.05435e-05 5.05434e-05 4.33413e-05 5.05435e-05 5.05434e-05 4.33413e-05 0.0396248 0.0396247 0.0392896
1700491531.290300000 0 1 1 1 1 1 -0.99924 -0.0189087 1.00489 -0.0169043 -0.00421677 -0.0119422 -0.00321567 0.0149324 0.00453254 -0.0245338 -0.00364662 -0.00443621 0.0394165 0.0755436 -0.0654207 4.89873e-07 4.89872e-07 4.57445e-07 3.53219e-06 3.53185e-06 3.92559e-06 4.87797e-05 4.87795e-05 4.2192e-05 4.87797e-05 4.87795e-05 4.2192e-05 0.048974 0.048974 0.0486515
1700491531.294368000 0 1 1 1 1 1 -0.999237 -0.0189003 1.00493 -0.0173572 -0.00470808 -0.0118755 -0.00274905 0.0151883 0.00498334 -0.0573301 -0.0455912 0.00437731 0.0518178 0.108206 -0.0203636 4.92728e-07 4.92727e-07 4.59988e-07 3.53041e-06 3.53006e-06 3.92165e-06 4.88827e-05 4.88825e-05 4.22945e-05 4.88827e-05 4.88825e-05 4.22945e-05 0.0499624 0.0499624 0.0496413
1700491531.299408000 0 1 1 1 1 1 -0.999266 -0.0188115 1.00495 -0.0169943 -0.00431813 -0.0118725 -0.00437846 0.0169503 0.00411247 -0.000314501 0.0111216 0.00356561 -0.0951167 0.19461 -0.0880126 5.30608e-07 5.30607e-07 4.93048e-07 3.582e-06 3.58166e-06 3.97327e-06 5.06074e-05 5.06072e-05 4.35791e-05 5.06074e-05 5.06072e-05 4.35791e-05 0.0506346 0.0506345 0.0503087
1700491531.304414000 0 1 1 1 1 1 -0.999239 -0.0189076 1.00502 -0.0172729 -0.00460296 -0.0117808 -0.00336605 0.0153395 0.00447631 -0.0304905 -0.0207963 0.00986939 0.0131507 0.0780709 -0.0363604 4.85217e-07 4.85216e-07 4.53633e-07 3.50031e-06 3.49999e-06 3.88593e-06 4.83091e-05 4.83089e-05 4.19189e-05 4.83091e-05 4.83089e-05 4.19189e-05 0.0506512 0.0506512 0.0503357
1700491531.309916000 0 1 1 1 1 1 -0.999233 -0.0189782 1.00512 -0.0175531 -0.00533901 -0.0117122 -0.00342468 0.0160503 0.00542473 -0.0411615 -0.0676169 0.0114988 -0.0193048 0.188937 0.0147565 4.40391e-07 4.4039e-07 4.14246e-07 3.42637e-06 3.42606e-06 3.80369e-06 4.63194e-05 4.63192e-05 4.05407e-05 4.63194e-05 4.63192e-05 4.05407e-05 0.0596419 0.0596419 0.0593341
1700491531.314407000 0 1 1 1 1 1 -0.99926 -0.0189037 1.00513 -0.0174507 -0.00452888 -0.0116194 -0.00474596 0.0169029 0.00357035 -0.0170424 0.0276346 0.0156262 -0.107433 0.179875 -0.138049 4.70669e-07 4.70668e-07 4.40951e-07 3.45607e-06 3.45579e-06 3.83345e-06 4.74913e-05 4.74909e-05 4.13518e-05 4.74913e-05 4.74909e-05 4.13518e-05 0.050601 0.0506009 0.0502883
