# logged on Mon Nov 20 15:45:31 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700491531.311121000  1000.45 0 49.9969  15.254  nan  0.00275937 0.14363 0.0213649  0.00275937 0.14363 0.0213649  -0.23016 0.00137424 9.4852  -0.23016 0.00137424 9.4852  nan nan nan  nan nan nan  75.402 74.2111 77.8681 73.3837 - - - - 75.8265 73.7137 78.8395 73.0353 nan nan nan nan 139 145 134 71 0 0 0 0
1700491531.316234000  1000.46 0 49.9994  -  nan  -0.0374651 -0.13776 -0.0129041  -0.0374651 -0.13776 -0.0129041  0.395217 -0.235127 10.1415  0.395217 -0.235127 10.1415  - - -  - - -  76.2238 74.2131 77.0441 73.6371 - - - - 77.0535 73.7137 - - - - - - 139 145 134 71 0 0 0 0
1700491531.321130000  1000.46 0 49.9994  -  nan  -0.0100177 -0.0386185 -0.00142815  -0.0100177 -0.0386185 -0.00142815  -0.225361 0.186576 9.46832  -0.225361 0.186576 9.46832  - - -  - - -  75.0922 74.0545 78.4481 73.2486 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.326130000  1000.47 0 49.9994  -  nan  -0.0108572 0.0870507 0.00893543  -0.0108572 0.0870507 0.00893543  0.0117165 -0.092417 9.55233  0.0117165 -0.092417 9.55233  - - -  - - -  76.0482 74.1218 77.7451 73.3032 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.331129000  1000.47 0 49.9966  -  nan  -0.00887116 -0.19314 -0.0257566  -0.00887116 -0.19314 -0.0257566  0.35128 -0.13991 9.73162  0.35128 -0.13991 9.73162  - - -  - - -  76.0344 73.9828 77.672 73.4514 - - - - - - 77.5555 73.7137 - - - - 139 145 134 71 0 0 0 0
1700491531.336139000  1000.48 0 49.9973  -  nan  -0.0393101 0.14322 0.0070214  -0.0393101 0.14322 0.0070214  -0.325664 0.0932603 9.41828  -0.325664 0.0932603 9.41828  - - -  - - -  75.2714 74.1233 78.5709 73.295 - - - - 76.0688 74.4048 - - - - - - 139 145 134 71 0 0 0 0
1700491531.341137000  1000.48 0 49.9973  -  nan  0.0469286 0.0454864 -0.0166607  0.0469286 0.0454864 -0.0166607  0.299756 -0.141336 10.0754  0.299756 -0.141336 10.0754  - - -  - - -  76.9685 74.3056 77.024 73.2615 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.346134000  1000.47 0 49.9973  -  nan  -0.00941057 -0.122789 -0.012914  -0.00941057 -0.122789 -0.012914  0.158735 -0.0926567 9.61125  0.158735 -0.0926567 9.61125  - - -  - - -  76.2014 73.3999 78.0576 73.5386 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.351138000  1000.46 0 49.9948  -  nan  -0.0823558 0.268665 0.0167986  -0.0823558 0.268665 0.0167986  -0.227777 0.0479124 9.30844  -0.227777 0.0479124 9.30844  - - -  - - -  75.9964 73.8792 78.1898 73.3125 - - - - - - 77.8089 73.4862 - - - - 139 145 134 71 0 0 0 0
1700491531.356137000  1000.46 0 49.9939  -  nan  0.0912863 -0.108805 -0.0403887  0.0912863 -0.108805 -0.0403887  0.496338 -0.0952687 10.2442  0.496338 -0.0952687 10.2442  - - -  - - -  77.5086 74.3228 76.4856 73.2952 - - - - 75.5858 72.812 - - - - - - 139 145 134 71 0 0 0 0
1700491531.361132000  1000.46 0 49.9939  -  nan  -0.0809685 0.0451776 0.00908033  -0.0809685 0.0451776 0.00908033  -0.130685 0.00208923 9.31331  -0.130685 0.00208923 9.31331  - - -  - - -  76.0177 73.3923 78.3725 73.6051 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.366138000  1000.46 0 49.9939  -  nan  -0.0401314 0.241409 0.0318903  -0.0401314 0.241409 0.0318903  -0.13307 0.000663381 9.65749  -0.13307 0.000663381 9.65749  - - -  - - -  77.2908 74.8037 76.7358 72.9304 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1700491531.371126000  1000.46 0 49.9939  -  nan  0.105772 -0.207351 -0.0237641  0.105772 -0.207351 -0.0237641  0.350525 -0.0482553 10.182  0.350525 -0.0482553 10.182  - - -  - - -  77.523 74.3261 76.1837 73.5461 - - - - - - 77.5555 73.9426 - - - - 139 145 134 71 0 0 0 0
1700491531.376132000  1000.46 0 49.9951  -  nan  -0.153609 0.226972 0.0306866  -0.153609 0.226972 0.0306866  -0.280529 -0.0914665 9.32079  -0.280529 -0.0914665 9.32079  - - -  - - -  76.0132 73.9791 77.7866 73.7119 - - - - 77.3036 73.7137 - - - - - - 139 145 134 71 0 0 0 0
