# pom logged on Tue Nov 21 15:13:44 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1700576024.086107000 0 1 1 1 1 1 -1.50044 -0.0146768 0.991148 -0.0118953 -0.00312554 -0.00460689 -0.00127207 0.016105 0.00190268 -0.0227929 0.0152531 -0.0027681 0.0165008 0.183701 -0.0144834 4.2411e-07 4.24107e-07 4.05802e-07 3.49545e-06 3.49543e-06 3.66274e-06 5.12236e-05 5.12229e-05 4.66294e-05 5.12236e-05 5.12229e-05 4.66294e-05 0.0993749 0.0993748 0.099069
1700576024.090089000 0 1 1 1 1 1 -1.50044 -0.0146134 0.991176 -0.0123538 -0.00316801 -0.0045611 -0.00124933 0.0165671 0.00424591 -0.0537648 0.00739393 0.00215193 0.012587 0.162277 0.160309 4.5176e-07 4.51757e-07 4.31094e-07 3.54844e-06 3.54842e-06 3.71576e-06 5.28807e-05 5.288e-05 4.80002e-05 5.28807e-05 5.288e-05 4.80002e-05 0.0985225 0.0985224 0.0982095
1700576024.095083000 0 1 1 1 1 1 -1.50041 -0.0146961 0.9912 -0.0127459 -0.00303438 -0.00453408 -0.00117277 0.0168741 0.00214981 -0.0588882 0.0138707 0.00330249 -0.00368045 0.210422 -0.0425488 4.28802e-07 4.288e-07 4.10056e-07 3.46158e-06 3.46156e-06 3.6284e-06 5.07619e-05 5.07612e-05 4.61194e-05 5.07619e-05 5.07612e-05 4.61194e-05 0.089546 0.0895459 0.0892374
1700576024.100103000 0 1 1 1 1 1 -1.50037 -0.0147868 0.991253 -0.0129551 -0.00319333 -0.00460456 -0.000666821 0.016431 0.0037606 -0.0505175 -0.00508939 -0.00229245 0.0119848 0.18582 0.0867017 4.03943e-07 4.03941e-07 3.8723e-07 3.42811e-06 3.42809e-06 3.59442e-06 4.96954e-05 4.96946e-05 4.53201e-05 4.96954e-05 4.96946e-05 4.53201e-05 0.0956133 0.0956132 0.0953124
1700576024.105083000 0 1 1 1 1 1 -1.50038 -0.0147047 0.991273 -0.0136442 -0.0032563 -0.0046242 -0.00102873 0.0171489 0.00406925 -0.0835677 -0.00668103 -0.003179 -0.0201136 0.172783 0.0607358 4.37257e-07 4.37254e-07 4.1776e-07 3.50279e-06 3.50277e-06 3.66916e-06 5.18244e-05 5.18236e-05 4.70978e-05 5.18244e-05 5.18236e-05 4.70978e-05 0.0992731 0.099273 0.0989631
1700576024.110092000 0 1 1 1 1 1 -1.50035 -0.0147738 0.991308 -0.013639 -0.00338478 -0.00471493 -0.000846778 0.0173639 0.00329629 -0.0469693 -0.0156105 -0.00947331 -0.0139343 0.202071 -0.0234043 4.14984e-07 4.14981e-07 3.97327e-07 3.44901e-06 3.44898e-06 3.61481e-06 5.05042e-05 5.05034e-05 4.60145e-05 5.05042e-05 5.05034e-05 4.60145e-05 0.0955524 0.0955523 0.0952487
1700576024.115070000 0 1 1 1 1 1 -1.50035 -0.0146907 0.991342 -0.0139582 -0.00365316 -0.00461952 -0.000741023 0.0177276 0.00502232 -0.0557148 -0.0286991 0.00155814 -0.00295843 0.157938 0.0969505 4.49155e-07 4.49152e-07 4.28605e-07 3.51375e-06 3.51372e-06 3.67958e-06 5.24565e-05 5.24556e-05 4.76145e-05 5.24565e-05 5.24556e-05 4.76145e-05 0.0960745 0.0960744 0.0957637
1700576024.120088000 0 1 1 1 1 1 -1.50033 -0.0147682 0.991369 -0.0142931 -0.00363627 -0.00468022 -0.00118707 0.0176649 0.00326483 -0.0540228 -0.0165378 -0.00394043 -0.044716 0.1835 -0.0687623 4.22347e-07 4.22344e-07 4.04051e-07 3.47236e-06 3.47233e-06 3.63762e-06 5.12089e-05 5.1208e-05 4.66478e-05 5.12089e-05 5.1208e-05 4.66478e-05 0.0992503 0.0992502 0.0989459
1700576024.125085000 0 1 1 1 1 1 -1.50031 -0.0148394 0.991408 -0.0142403 -0.00400711 -0.00472139 -0.000862145 0.0171915 0.00333965 -0.0288207 -0.03973 -0.00519426 -0.0197861 0.160212 -0.0329521 4.00716e-07 4.00713e-07 3.84185e-07 3.43139e-06 3.43135e-06 3.59608e-06 5.00851e-05 5.00842e-05 4.57614e-05 5.00851e-05 5.00842e-05 4.57614e-05 0.0999236 0.0999235 0.0996277
1700576024.130086000 0 1 1 1 1 1 -1.50031 -0.0147558 0.991425 -0.0146809 -0.00423951 -0.00465906 -0.00123436 0.0175132 0.00319407 -0.0513022 -0.0404507 0.00171503 -0.0423476 0.127459 -0.0429633 4.33997e-07 4.33994e-07 4.14705e-07 3.49598e-06 3.49593e-06 3.66071e-06 5.2035e-05 5.20341e-05 4.73673e-05 5.2035e-05 5.20341e-05 4.73673e-05 0.100258 0.100258 0.0999549
1700576024.135083000 0 1 1 1 1 1 -1.5003 -0.0148256 0.991441 -0.0144846 -0.00439062 -0.0046776 -0.00137757 0.0175004 0.00155313 -0.0139711 -0.0371712 -0.000949146 -0.0455247 0.158756 -0.146844 4.11318e-07 4.11315e-07 3.93902e-07 3.40292e-06 3.40287e-06 3.56707e-06 4.97959e-05 4.9795e-05 4.53731e-05 4.97959e-05 4.9795e-05 4.53731e-05 0.0893817 0.0893817 0.0890857
1700576024.140039000 0 1 1 1 1 1 -1.5003 -0.014743 0.991472 -0.0146013 -0.00478556 -0.00472201 -0.00104522 0.017622 0.00349504 -0.0211002 -0.0524121 -0.00402948 -0.00707139 0.111882 0.0362097 4.45112e-07 4.45109e-07 4.2486e-07 3.47739e-06 3.47733e-06 3.64157e-06 5.19046e-05 5.19037e-05 4.71396e-05 5.19046e-05 5.19037e-05 4.71396e-05 0.0939532 0.0939531 0.0936513
1700576024.145083000 0 1 1 1 1 1 -1.50029 -0.0148253 0.991478 -0.0148212 -0.0047604 -0.00472881 -0.00158829 0.0171119 0.00123068 -0.0269904 -0.0292699 -0.00295628 -0.051253 0.123699 -0.144022 4.18808e-07 4.18805e-07 4.00757e-07 3.39863e-06 3.39857e-06 3.56212e-06 4.98829e-05 4.9882e-05 4.53918e-05 4.98829e-05 4.9882e-05 4.53918e-05 0.0892577 0.0892577 0.0889598
1700576024.150084000 0 1 1 1 1 1 -1.50028 -0.0149104 0.991489 -0.0143747 -0.0050996 -0.00483866 -0.00128139 0.0165224 0.00025143 0.017599 -0.0465079 -0.0104361 -0.0196331 0.117716 -0.14377 3.96248e-07 3.96245e-07 3.80027e-07 3.33524e-06 3.33516e-06 3.49806e-06 4.81877e-05 4.81869e-05 4.39456e-05 4.81877e-05 4.81869e-05 4.39456e-05 0.0876237 0.0876236 0.0873365
1700576024.155083000 0 1 1 1 1 1 -1.50029 -0.0148329 0.991494 -0.0146566 -0.0054096 -0.00485165 -0.00126778 0.0164171 -9.05439e-06 -0.0122397 -0.0499015 -0.00735252 -0.015556 0.0712104 -0.125976 4.29119e-07 4.29116e-07 4.10191e-07 3.38335e-06 3.38326e-06 3.54621e-06 4.97103e-05 4.97094e-05 4.51328e-05 4.97103e-05 4.97094e-05 4.51328e-05 0.0872047 0.0872046 0.0869115
