# logged on Tue Nov 21 15:13:44 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700576024.213493000  1000.9 0 100.005  14.964  nan  0.0330385 -0.0107227 -0.00157595  0.0330385 -0.0107227 -0.00157595  0.205112 -0.0482553 10.181  0.205112 -0.0482553 10.181  nan nan nan  nan nan nan  79.0489 77.826 79.7641 78.6417 - - - - 78.5793 77.5555 81.2612 78.3208 nan nan nan nan 139 146 134 70 0 0 0 0
1700576024.218488000  1000.9 0 100.005  -  nan  -0.109029 0.0311949 0.00906347  -0.109029 0.0311949 0.00906347  -0.0350068 0.0462469 9.71187  -0.0350068 0.0462469 9.71187  - - -  - - -  78.8694 77.7558 79.8995 78.3945 - - - - - 77.3036 - - - - - - 139 146 134 70 0 0 0 0
1700576024.223479000  1000.9 0 100.006  -  nan  0.0189461 0.0176709 -0.0163034  0.0189461 0.0176709 -0.0163034  0.111617 0.0457716 9.82764  0.111617 0.0457716 9.82764  - - -  - - -  79.1373 78.5915 79.6855 77.6508 - - - - 79.6305 - 80.1667 77.5555 - - - - 139 146 134 70 0 0 0 0
1700576024.228486000  1000.9 0 100.007  -  nan  -0.080457 0.00232037 -0.0172849  -0.080457 0.00232037 -0.0172849  0.205513 -0.0480156 10.1231  0.205513 -0.0480156 10.1231  - - -  - - -  79.2475 78.1187 79.7546 77.9492 - - - - - 78.064 - - - - - - 139 146 134 70 0 0 0 0
1700576024.233511000  1000.9 0 100.005  -  nan  -0.0669772 0.0590853 0.00890172  -0.0669772 0.0590853 0.00890172  0.0189573 0.232404 9.69525  0.0189573 0.232404 9.69525  - - -  - - -  79.1522 78.546 79.8129 77.3663 - - - - 79.1014 - 79.3651 78.5793 - - - - 139 146 134 70 0 0 0 0
1700576024.238498000  1000.91 0 100.006  -  nan  -0.0383876 0.00273033 -0.00294137  -0.0383876 0.00273033 -0.00294137  0.157979 -0.00100217 10.0616  0.157979 -0.00100217 10.0616  - - -  - - -  79.3478 78.4914 79.5387 77.6368 - - - - - - - 78.064 - - - - 139 146 134 70 0 0 0 0
1700576024.243493000  1000.91 0 100.004  -  nan  -0.152162 0.017132 0.00883718  -0.152162 0.017132 0.00883718  0.0121504 -5.16086e-05 9.83112  0.0121504 -5.16086e-05 9.83112  - - -  - - -  78.9892 78.5479 79.6714 77.4303 - - - - 79.1014 78.064 80.4376 - - - - - 139 146 134 70 0 0 0 0
1700576024.248496000  1000.91 0 100.005  -  nan  -0.0103512 0.0451815 -0.0174565  -0.0103512 0.0451815 -0.0174565  0.0185234 0.140038 9.41646  0.0185234 0.140038 9.41646  - - -  - - -  79.0341 79.2361 79.5152 76.7931 - - - - - 78.3208 - - - - - - 139 146 134 70 0 0 0 0
1700576024.253493000  1000.91 0 100.003  -  nan  -0.108791 -0.0112917 0.0102125  -0.108791 -0.0112917 0.0102125  0.155578 -0.0484909 10.2375  0.155578 -0.0484909 10.2375  - - -  - - -  79.3652 78.6452 79.5413 77.3007 - - - - 79.8977 - 79.6305 77.5555 - - - - 139 146 134 70 0 0 0 0
1700576024.258490000  1000.9 0 100.003  -  nan  -0.0950191 0.0176222 0.0233902  -0.0950191 0.0176222 0.0233902  -0.032206 0.139088 9.64556  -0.032206 0.139088 9.64556  - - -  - - -  79.0195 78.9538 79.5547 77.0209 - - - - - 78.8395 - - - - - - 139 146 134 70 0 0 0 0
1700576024.263505000  1000.9 0 100.003  -  nan  -0.0241639 -0.0248605 -0.00199772  -0.0241639 -0.0248605 -0.00199772  0.111625 0.000663381 9.65923  0.111625 0.000663381 9.65923  - - -  - - -  78.9632 79.4711 79.4823 76.837 - - - - 79.8977 - 78.064 77.0535 - - - - 139 146 134 70 0 0 0 0
