# logged on Tue Nov 21 16:16:34 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1700579794.196444000  1000.83 0 50.0004  14.931  nan  -0.0670547 0.0729182 0.00852763  -0.0670547 0.0729182 0.00852763  -0.0338193 0.0920701 9.70769  -0.0338193 0.0920701 9.70769  nan nan nan  nan nan nan  78.9617 78.9236 81.5526 78.0241 - - - - 77.8089 79.8977 82.3859 78.5793 nan nan nan nan 138 146 133 71 0 0 0 0
1700579794.201498000  1000.83 0 49.9989  -  nan  0.0607831 0.0595795 -0.00308217  0.0607831 0.0595795 -0.00308217  0.0628785 0.0460113 9.76943  0.0628785 0.0460113 9.76943  - - -  - - -  79.2907 78.8059 81.1434 78.3217 - - - - 78.8395 80.7103 - 79.1014 - - - - 138 146 133 71 0 0 0 0
1700579794.206543000  1000.83 0 49.9989  -  nan  -0.080891 0.0313447 0.00945442  -0.080891 0.0313447 0.00945442  0.106399 -0.140621 9.90147  0.106399 -0.140621 9.90147  - - -  - - -  79.0664 78.8441 81.2277 78.5306 - - - - - - 82.3859 - - - - - 138 146 133 71 0 0 0 0
1700579794.211464000  1000.83 0 49.9989  -  nan  0.0326275 0.0869101 -0.0179784  0.0326275 0.0869101 -0.0179784  0.0656559 0.0927851 9.5358  0.0656559 0.0927851 9.5358  - - -  - - -  79.139 79.2601 81.0339 78.1045 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.216478000  1000.82 0 49.9989  -  nan  0.0330385 -0.0107227 -0.00157595  0.0330385 -0.0107227 -0.00157595  0.155121 -0.186923 9.79136  0.155121 -0.186923 9.79136  - - -  - - -  79.6183 78.2341 80.991 78.8204 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.221553000  1000.82 0 49.9985  -  nan  -0.0248485 0.0731429 0.00911405  -0.0248485 0.0731429 0.00911405  -0.0849331 0.000663381 9.65783  -0.0849331 0.000663381 9.65783  - - -  - - -  79.3937 78.4267 81.1572 78.6599 - - - - 78.064 80.4376 80.9848 77.3036 - - - - 138 146 133 71 0 0 0 0
1700579794.226465000  1000.82 0 49.9985  14.802  nan  0.118355 0.0320334 -0.0152953  0.118355 0.0320334 -0.0152953  0.0616909 0.000188099 9.77361  0.0616909 0.000188099 9.77361  - - -  - - -  79.6394 78.6427 80.799 78.6927 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.231507000  1000.81 0 49.9985  -  nan  -0.0103331 0.017701 -0.00295123  -0.0103331 0.017701 -0.00295123  0.107588 -0.13991 9.72988  0.107588 -0.13991 9.72988  - - -  - - -  79.513 77.7998 81.1856 79.2501 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1700579794.236509000  1000.81 0 49.9987  -  nan  0.0747744 0.0734872 -0.00326079  0.0747744 0.0734872 -0.00326079  -0.0817631 0.0927851 9.53475  -0.0817631 0.0927851 9.53475  - - -  - - -  79.4807 78.352 81.0872 78.834 - - - - 79.3651 - - - - - - - 138 146 133 71 0 0 0 0
1700579794.241468000  1000.8 0 49.9968  -  nan  0.0906101 -0.0382688 -0.013789  0.0906101 -0.0382688 -0.013789  0.106816 -0.0943182 10.0119  0.106816 -0.0943182 10.0119  - - -  - - -  79.4329 77.8824 81.0814 79.3544 - - - - - 79.6305 - - - - - - 138 146 133 71 0 0 0 0
1700579794.246458000  1000.79 0 49.9963  -  nan  -0.0386073 0.0177365 0.0104149  -0.0386073 0.0177365 0.0104149  -0.13669 -0.0936073 9.8386  -0.13669 -0.0936073 9.8386  - - -  - - -  78.7904 78.1323 81.5614 79.0606 - - - - - - 81.2612 78.8395 - - - - 138 146 133 71 0 0 0 0
