# pom logged on Wed Nov 29 16:02:23 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1701270143.644142000 0 1 1 1 1 1 -1.50339 -0.00433765 0.989951 -0.0117218 -0.00396246 -0.00520815 0.00512992 -0.00106635 3.74063e-05 -0.0157719 -0.0312845 -0.00208366 -0.0233213 0.0124115 -0.0255093 3.61467e-07 3.61467e-07 3.46693e-07 2.74337e-06 2.74332e-06 2.85289e-06 4.16957e-05 4.16957e-05 3.81574e-05 4.16957e-05 4.16957e-05 3.81574e-05 0.0608964 0.0608964 0.0606528
1701270143.648645000 0 1 1 1 1 1 -1.50339 -0.00431033 0.989852 -0.0118093 -0.00425617 -0.00518454 0.00501194 -0.00118957 -0.00127888 -0.0239613 -0.048457 0.000616545 -0.0198398 -0.014939 -0.0672511 3.26858e-07 3.26858e-07 3.14722e-07 2.70263e-06 2.70258e-06 2.81297e-06 4.00741e-05 4.00741e-05 3.68671e-05 4.00741e-05 4.00741e-05 3.68671e-05 0.0720215 0.0720215 0.0717851
1701270143.653117000 0 1 1 1 1 1 -1.50337 -0.00431343 0.989849 -0.0118165 -0.00441385 -0.00512706 0.00437003 -0.000988082 -0.00108099 -0.0127799 -0.0434749 0.00499248 -0.0634244 0.00472315 -0.014326 3.51029e-07 3.51029e-07 3.37087e-07 2.75201e-06 2.75195e-06 2.86237e-06 4.15764e-05 4.15764e-05 3.81362e-05 4.15764e-05 4.15764e-05 3.81362e-05 0.067082 0.067082 0.0668413
1701270143.658141000 0 1 1 1 1 1 -1.50332 -0.00434189 0.989836 -0.0115721 -0.00498549 -0.00504856 0.00461155 -0.00156623 -0.00135642 0.0166489 -0.0679347 0.00748275 -0.0317745 -0.0328051 -0.0281841 3.39255e-07 3.39255e-07 3.26202e-07 2.72125e-06 2.72118e-06 2.83197e-06 4.07023e-05 4.07023e-05 3.73691e-05 4.07023e-05 4.07023e-05 3.73691e-05 0.0622212 0.0622212 0.061981
1701270143.663140000 0 1 1 1 1 1 -1.50329 -0.00435017 0.989828 -0.0116502 -0.0053923 -0.00491398 0.00451422 -0.00171386 -0.00169159 0.00266552 -0.0702923 0.0159352 -0.0284369 -0.0288378 -0.0500392 3.67337e-07 3.67337e-07 3.52137e-07 2.7682e-06 2.76812e-06 2.87894e-06 4.21498e-05 4.21498e-05 3.85466e-05 4.21498e-05 4.21498e-05 3.85466e-05 0.0609036 0.0609036 0.0606578
1701270143.668140000 0 1 1 1 1 1 -1.50331 -0.00434211 0.989774 -0.0114587 -0.00534503 -0.00486779 0.00372075 -0.00178584 -0.00203573 0.00953507 -0.0450291 0.0128513 -0.0604994 -0.0301656 -0.0301653 3.47117e-07 3.47117e-07 3.33476e-07 2.73229e-06 2.73221e-06 2.84349e-06 4.09832e-05 4.09832e-05 3.7568e-05 4.09832e-05 4.09832e-05 3.7568e-05 0.0606362 0.0606362 0.0603945
1701270143.673116000 0 1 1 1 1 1 -1.50329 -0.00435369 0.989766 -0.0110913 -0.00592567 -0.00492267 0.00399141 -0.00218303 -0.00190875 0.0354282 -0.0758533 0.00294954 -0.0185427 -0.0464096 -0.00606721 3.75658e-07 3.75658e-07 3.59806e-07 2.78089e-06 2.78079e-06 2.89211e-06 4.24689e-05 4.2469e-05 3.87813e-05 4.24689e-05 4.2469e-05 3.87813e-05 0.0600475 0.0600475 0.0598006
1701270143.678122000 0 1 1 1 1 1 -1.50328 -0.00438483 0.989743 -0.0110101 -0.00589141 -0.00489776 0.00365779 -0.00226858 -0.0023843 0.0240499 -0.0443043 0.00361661 -0.0341947 -0.0243817 -0.0277695 3.59751e-07 3.59751e-07 3.4515e-07 2.75439e-06 2.75429e-06 2.86608e-06 4.15763e-05 4.15763e-05 3.80351e-05 4.15763e-05 4.15763e-05 3.80351e-05 0.0600231 0.0600231 0.059779
1701270143.683100000 0 1 1 1 1 1 -1.50329 -0.00442906 0.989714 -0.0108229 -0.00581627 -0.00483988 0.00332622 -0.00298775 -0.00307667 0.0286097 -0.0255345 0.00686564 -0.036999 -0.0514958 -0.0673026 3.44573e-07 3.44573e-07 3.31156e-07 2.77656e-06 2.77646e-06 2.88887e-06 4.15792e-05 4.15792e-05 3.81831e-05 4.15792e-05 4.15792e-05 3.81831e-05 0.084528 0.084528 0.0842874
1701270143.688137000 0 1 1 1 1 1 -1.50327 -0.00444517 0.989699 -0.0102647 -0.00638827 -0.00483632 0.00356247 -0.00324725 -0.00329557 0.0627796 -0.0611665 0.00504402 -0.00661369 -0.0459698 -0.0598554 3.73245e-07 3.73245e-07 3.57613e-07 2.80053e-06 2.80041e-06 2.91287e-06 4.27069e-05 4.27069e-05 3.90365e-05 4.27069e-05 4.27069e-05 3.90365e-05 0.0644693 0.0644693 0.0642227
