# logged on Wed Nov 29 16:02:23 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701270143.700425000  1000.69 0 50.0019  15.254  nan  0.0768435 -0.0123876 -0.00962378  0.0768435 -0.0123876 -0.00962378  0.0583941 -0.0483613 9.8515  0.0583941 -0.0483613 9.8515  nan nan nan  nan nan nan  78.6635 77.5011 82.3993 79.714 - - - - 79.3651 79.6305 82.3859 79.1014 nan nan nan nan 139 0 133 70 0 0 0 0
1701270143.705440000  1000.69 0 50.0027  -  nan  -0.0248406 0.0752647 0.00750713  -0.0248406 0.0752647 0.00750713  0.101601 -0.147177 9.80318  0.101601 -0.147177 9.80318  - - -  - - -  79.1142 77.6346 81.8734 79.5443 - - - - 79.3651 - - - - - - - 139 0 133 70 0 0 0 0
1701270143.710436000  1000.69 0 50.0031  -  nan  0.0620582 -0.0401434 0.00394358  0.0620582 -0.0401434 0.00394358  0.104739 -0.047746 9.79425  0.104739 -0.047746 9.79425  - - -  - - -  79.4696 78.1061 81.3111 79.2048 - - - - - 78.064 82.96 - - - - - 139 0 133 70 0 0 0 0
1701270143.715451000  1000.69 0 50.0031  -  nan  0.00399887 0.0751336 0.00948632  0.00399887 0.0751336 0.00948632  0.054892 -0.102342 10.2551  0.054892 -0.102342 10.2551  - - -  - - -  79.0328 77.5265 81.7128 79.6373 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.720450000  1000.69 0 50.0028  -  nan  -0.0393611 0.0611483 0.00701251  -0.0393611 0.0611483 0.00701251  0.147204 -0.194452 9.57964  0.147204 -0.194452 9.57964  - - -  - - -  79.5391 77.8802 80.9707 79.2588 - - - - - - - 79.3651 - - - - 139 0 133 70 0 0 0 0
1701270143.725435000  1000.69 0 50.0025  -  nan  0.0624237 -0.012322 -0.0106134  0.0624237 -0.012322 -0.0106134  0.014849 0.0478201 9.95658  0.014849 0.0478201 9.95658  - - -  - - -  79.8405 78.2235 80.7999 79.0866 - - - - 79.1014 - - - - - - - 139 0 133 70 0 0 0 0
1701270143.732434000  1000.69 0 50.001  -  nan  -0.0973047 0.0477709 0.0171161  -0.0973047 0.0477709 0.0171161  0.101048 -0.148397 9.91736  0.101048 -0.148397 9.91736  - - -  - - -  79.5222 77.7142 81.0478 79.4343 - - - - - 77.3036 82.672 - - - - - 139 0 133 70 0 0 0 0
1701270143.737434000  1000.7 0 50.001  -  nan  0.0190006 -0.0115831 -1.51679e-05  0.0190006 -0.0115831 -1.51679e-05  0.01725 0.099371 9.78036  0.01725 0.099371 9.78036  - - -  - - -  79.531 77.6915 80.9903 79.4154 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.742427000  1000.7 0 50.0009  -  nan  -0.0251429 0.0327191 0.00899206  -0.0251429 0.0327191 0.00899206  0.0564611 -0.0526265 10.2506  0.0564611 -0.0526265 10.2506  - - -  - - -  79.5379 77.6733 80.944 79.3998 - - - - 79.3651 - - 79.1014 - - - - 139 0 133 70 0 0 0 0
1701270143.747431000  1000.71 0 50.0009  -  nan  -0.14184 -0.0103105 0.0025249  -0.14184 -0.0103105 0.0025249  0.0584839 -0.0944164 9.51345  0.0584839 -0.0944164 9.51345  - - -  - - -  79.6882 78.7542 80.3511 78.0107 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.752420000  1000.71 0 50.0016  -  nan  -0.010768 0.0027345 -0.00256002  -0.010768 0.0027345 -0.00256002  -0.0772835 0.0478201 9.95591  -0.0772835 0.0478201 9.95591  - - -  - - -  79.29 79.4596 81.143 77.6384 - - - - - 77.3036 80.9848 - - - - - 139 0 133 70 0 0 0 0
1701270143.757444000  1000.71 0 50.0016  -  nan  -0.0972863 0.00312771 -0.0084976  -0.0972863 0.00312771 -0.0084976  0.102064 -0.0999016 10.0271  0.102064 -0.0999016 10.0271  - - -  - - -  79.2636 78.941 81.0933 77.9148 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.762430000  1000.71 0 50.0015  -  nan  -0.111908 -0.0251705 -0.00849724  -0.111908 -0.0251705 -0.00849724  -0.0288163 0.099371 9.78003  -0.0288163 0.099371 9.78003  - - -  - - -  79.1541 79.6159 81.254 77.1119 - - - - 79.8977 - - 79.6305 - - - - 139 0 133 70 0 0 0 0
1701270143.767862000  1000.71 0 50.0015  -  nan  -0.0541656 -0.0401568 -0.0176109  -0.0541656 -0.0401568 -0.0176109  0.0564611 -0.0526265 10.2506  0.0564611 -0.0526265 10.2506  - - -  - - -  78.9799 79.5887 81.4138 77.0919 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.772416000  1000.71 0 50.0022  -  nan  -0.127667 -0.0686588 -0.00803723  -0.127667 -0.0686588 -0.00803723  0.105382 -0.0925809 9.34203  0.105382 -0.0925809 9.34203  - - -  - - -  78.6498 79.3836 81.5811 77.0708 - - - - - 78.8395 81.2612 - - - - - 139 0 133 70 0 0 0 0
1701270143.777421000  1000.71 0 50.0022  -  nan  -0.0684469 0.00299664 -0.00651841  -0.0684469 0.00299664 -0.00651841  -0.124378 -0.0471412 9.73598  -0.124378 -0.0471412 9.73598  - - -  - - -  78.6035 79.9909 81.9147 76.7651 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.782419000  1000.71 0 50.0019  -  nan  -0.0549038 -0.0968126 0.0115384  -0.0549038 -0.0968126 0.0115384  0.0992001 -0.198728 9.9794  0.0992001 -0.198728 9.9794  - - -  - - -  78.6687 79.8613 81.753 77.1325 - - - - 79.1014 - - 78.5793 - - - - 139 0 133 70 0 0 0 0
1701270143.787413000  1000.7 0 50.0019  -  nan  -0.0833329 -0.0389411 0.00754393  -0.0833329 -0.0389411 0.00754393  0.0134338 -0.0459211 9.62282  0.0134338 -0.0459211 9.62282  - - -  - - -  78.1351 79.7758 82.108 77.3405 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.792411000  1000.7 0 50.0007  -  nan  -0.0541911 0.00347343 0.00803818  -0.0541911 0.00347343 0.00803818  0.00946849 -0.147177 9.80251  0.00946849 -0.147177 9.80251  - - -  - - -  78.5098 80.0774 81.8902 77.2051 - - - - - 79.8977 81.8197 - - - - - 139 0 133 70 0 0 0 0
1701270143.797424000  1000.7 0 50.0007  -  nan  0.00310296 -0.0981594 -0.0116372  0.00310296 -0.0981594 -0.0116372  0.0571937 -0.143516 9.46033  0.0571937 -0.143516 9.46033  - - -  - - -  78.8192 79.7536 81.7467 77.5365 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.802422000  1000.7 0 50.0025  -  nan  -0.010824 0.0184717 0.0104766  -0.010824 0.0184717 0.0104766  -0.0344757 -0.0962412 9.68353  -0.0344757 -0.0962412 9.68353  - - -  - - -  78.7706 79.5322 82.1588 77.9527 - - - - 78.064 - - 76.8049 - - - - 139 0 133 70 0 0 0 0
1701270143.807419000  1000.7 0 50.0025  -  nan  0.0188998 -0.025765 0.000479811  0.0188998 -0.025765 0.000479811  0.0529495 -0.245387 9.69761  0.0529495 -0.245387 9.69761  - - -  - - -  79.4543 79.5692 81.4601 78.1637 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1701270143.812416000  1000.7 0 50.003  -  nan  0.0619126 -0.0842443 -0.00810313  0.0619126 -0.0842443 -0.00810313  0.0555348 -0.147177 9.80285  0.0555348 -0.147177 9.80285  - - -  - - -  79.3977 79.3066 81.7062 78.4772 - - - - - 79.3651 81.8197 - - - - - 139 0 133 70 0 0 0 0
1701270143.817430000  1000.7 0 50.003  -  nan  0.0037973 0.0467699 0.0104763  0.0037973 0.0467699 0.0104763  -0.0405679 -0.248443 9.98286  -0.0405679 -0.248443 9.98286  - - -  - - -  79.1896 78.8577 82.039 79.035 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
