# logged on Wed Nov 29 16:43:53 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701272633.282076000  1000.55 0 100.005  15.189  nan  -0.0112791 -0.0691878 -4.97753e-05  -0.0112791 -0.0691878 -4.97753e-05  0.102338 -0.0992969 9.97047  0.102338 -0.0992969 9.97047  nan nan nan  nan nan nan  83.1715 81.3307 81.8524 80.8859 - - - - 82.96 79.3651 82.1018 83.2501 nan nan nan nan 139 0 134 71 0 0 0 0
1701272633.287070000  1000.55 0 100.004  -  nan  -0.0976895 -0.0535997 -0.00651768  -0.0976895 -0.0535997 -0.00651768  -0.0766087 0.00399984 9.5036  -0.0766087 0.00399984 9.5036  - - -  - - -  82.6724 81.2822 82.4871 80.9164 - - - - - 81.2612 - 81.8197 - - - - 139 0 134 71 0 0 0 0
1701272633.292069000  1000.56 0 100.005  -  nan  -0.0542288 -0.0254326 -0.00453885  -0.0542288 -0.0254326 -0.00453885  -0.0334596 -0.047746 9.79324  -0.0334596 -0.047746 9.79324  - - -  - - -  82.6747 81.8396 82.4327 80.3988 - - - - 82.672 - 82.3859 - - - - - 139 0 134 71 0 0 0 0
1701272633.297081000  1000.56 0 100.004  -  nan  -0.0694692 -0.140848 -0.00149791  -0.0694692 -0.140848 -0.00149791  0.0558088 -0.146572 9.74626  0.0558088 -0.146572 9.74626  - - -  - - -  82.447 81.7754 82.712 80.5242 - - - - - 82.96 - 80.9848 - - - - 139 0 134 71 0 0 0 0
1701272633.302075000  1000.57 0 100.005  -  nan  -0.0833329 -0.0389411 0.00754393  -0.0833329 -0.0389411 0.00754393  -0.170013 -0.000880666 9.95962  -0.170013 -0.000880666 9.95962  - - -  - - -  82.0315 81.9108 83.1607 80.4873 - - - - 82.672 - 82.1018 - - - - - 139 0 134 71 0 0 0 0
1701272633.307069000  1000.59 0 100.006  -  nan  -0.0115815 -0.111733 0.00143516  -0.0115815 -0.111733 0.00143516  0.146008 -0.150837 10.146  0.146008 -0.150837 10.146  - - -  - - -  82.0963 82.0363 83.0404 80.4973 - - - - - - - 81.5395 - - - - 139 0 134 71 0 0 0 0
1701272633.312080000  1000.6 0 100.003  -  nan  -0.0692859 -0.067841 0.0231258  -0.0692859 -0.067841 0.0231258  -0.0802679 -0.0956365 9.62661  -0.0802679 -0.0956365 9.62661  - - -  - - -  81.4909 81.9438 83.5143 80.6391 - - - - 83.8364 82.672 82.1018 - - - - - 139 0 134 71 0 0 0 0
1701272633.317067000  1000.6 0 100.005  -  nan  -0.0113351 -0.0534506 0.0129869  -0.0113351 -0.0534506 0.0129869  0.0124176 -0.0944164 9.51311  0.0124176 -0.0944164 9.51311  - - -  - - -  81.8085 82.2672 83.0067 80.5071 - - - - - - - 80.7103 - - - - 139 0 134 71 0 0 0 0
1701272633.322060000  1000.61 0 100.004  -  nan  -0.0261652 -0.111126 0.0140126  -0.0261652 -0.111126 0.0140126  0.0569148 -0.144132 9.51791  0.0569148 -0.144132 9.51791  - - -  - - -  81.747 81.9407 83.1683 80.9195 - - - - 80.9848 82.3859 82.96 - - - - - 139 0 134 71 0 0 0 0
1701272633.327066000  1000.62 0 100.003  -  nan  -0.0541911 0.00347343 0.00803818  -0.0541911 0.00347343 0.00803818  -0.0809107 -0.0508016 10.0788  -0.0809107 -0.0508016 10.0788  - - -  - - -  81.6362 82.1867 83.3051 80.8476 - - - - - 82.1018 - 80.7103 - - - - 139 0 134 71 0 0 0 0
1701272633.332061000  1000.63 0 100.004  -  nan  0.0185527 -0.0982296 -0.0105769  0.0185527 -0.0982296 -0.0105769  0.145266 -0.198728 9.97974  0.145266 -0.198728 9.97974  - - -  - - -  82.1604 82.1381 83.0055 80.706 - - - - 82.3859 - 84.1326 - - - - - 139 0 134 71 0 0 0 0
1701272633.337065000  1000.64 0 100.006  -  nan  -0.0252254 -0.026106 -0.0161267  -0.0252254 -0.026106 -0.0161267  0.00946849 -0.147177 9.80251  0.00946849 -0.147177 9.80251  - - -  - - -  82.052 81.8099 83.4059 80.9177 - - - - - - - 79.8977 - - - - 139 0 134 71 0 0 0 0
1701272633.342088000  1000.64 0 100.005  -  nan  0.0479408 0.00246768 0.00146904  0.0479408 0.00246768 0.00146904  0.14822 -0.145957 9.68935  0.14822 -0.145957 9.68935  - - -  - - -  82.483 81.7683 82.9537 80.8953 - - - - 81.2612 81.8197 82.3859 - - - - - 139 0 134 71 0 0 0 0
