# logged on Wed Nov 29 16:48:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701272931.157676000  1000.01 0 50.0092  15.028  nan  -0.0256989 -0.0691223 -0.00103937  -0.0256989 -0.0691223 -0.00103937  0.0167868 0.0520959 9.55649  0.0167868 0.0520959 9.55649  nan nan nan  nan nan nan  80.3335 81.0568 83.5126 77.9073 - - - - 81.8197 80.7103 82.1018 77.5555 nan nan nan nan 138 146 134 70 0 0 0 0
1701272931.162701000  1000.01 0 50.0093  -  nan  -0.054519 0.00455808 0.0351722  -0.054519 0.00455808 0.0351722  0.00937866 -0.101122 10.1406  0.00937866 -0.101122 10.1406  - - -  - - -  80.3038 81.2076 83.6019 78.064 - - - - - - 84.4309 - - - - - 138 146 134 70 0 0 0 0
1701272931.167674000  1000.03 0 50.0103  -  nan  -0.0257997 -0.0833041 -0.000544392  -0.0257997 -0.0833041 -0.000544392  0.148494 -0.145352 9.63276  0.148494 -0.145352 9.63276  - - -  - - -  80.6 81.4303 82.8665 78.0572 - - - - 79.6305 81.2612 - 77.5555 - - - - 138 146 134 70 0 0 0 0
1701272931.172686000  1000.03 0 50.0103  -  nan  0.00386047 0.0320457 -0.00259574  0.00386047 0.0320457 -0.00259574  0.0163557 0.00583534 9.33252  0.0163557 0.00583534 9.33252  - - -  - - -  80.369 81.143 83.307 78.2397 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.177684000  1000.03 0 50.0103  -  nan  -0.01066 0.0179294 -0.00309036  -0.01066 0.0179294 -0.00309036  0.148494 -0.145352 9.63276  0.148494 -0.145352 9.63276  - - -  - - -  81.2369 81.1236 82.7576 78.4018 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.182685000  1000.02 0 50.0092  -  nan  0.0475377 -0.0542598 0.00344896  0.0475377 -0.0542598 0.00344896  0.105013 -0.0471412 9.73766  0.105013 -0.0471412 9.73766  - - -  - - -  81.3543 81.0017 82.7125 78.4966 - - - - - - 83.2501 - - - - - 138 146 134 70 0 0 0 0
1701272931.187680000  1000.02 0 50.0102  -  nan  -0.0249037 0.0899888 0.0205791  -0.0249037 0.0899888 0.0205791  0.0534127 -0.198112 9.92148  0.0534127 -0.198112 9.92148  - - -  - - -  81.0257 80.7662 82.96 78.8604 - - - - 81.2612 - - 78.3208 - - - - 138 146 134 70 0 0 0 0
1701272931.192689000  1000.02 0 50.0092  -  nan  0.0768435 -0.0123876 -0.00962378  0.0768435 -0.0123876 -0.00962378  0.149789 -0.0962412 9.68488  0.149789 -0.0962412 9.68488  - - -  - - -  81.6247 80.9346 82.2387 78.7437 - - - - - 81.2612 - - - - - - 138 146 134 70 0 0 0 0
1701272931.197674000  1000.01 0 50.0092  -  nan  0.0482128 0.0171202 -0.0126283  0.0482128 0.0171202 -0.0126283  0.101322 -0.147792 9.86077  0.101322 -0.147792 9.86077  - - -  - - -  81.3827 80.2879 82.5409 79.3533 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.202687000  1000.01 0 50.0072  -  nan  0.00442757 0.0882308 -0.0181426  0.00442757 0.0882308 -0.0181426  0.100032 -0.196892 9.80765  0.100032 -0.196892 9.80765  - - -  - - -  81.6283 80.065 82.471 79.2067 - - - - - - 80.7103 - - - - - 138 146 134 70 0 0 0 0
1701272931.207679000  1000.01 0 50.0088  -  nan  0.165597 -0.0133712 -0.0180809  0.165597 -0.0133712 -0.0180809  0.105013 -0.0471412 9.73766  0.105013 -0.0471412 9.73766  - - -  - - -  82.1436 80.0014 82.1246 79.1651 - - - - 81.8197 80.9848 - 79.6305 - - - - 138 146 134 70 0 0 0 0
1701272931.212710000  1000.01 0 50.0088  -  nan  0.0191838 0.0614238 0.0246086  0.0191838 0.0614238 0.0246086  0.0528597 -0.199332 10.0357  0.0528597 -0.199332 10.0357  - - -  - - -  81.8548 79.2386 82.4695 80.0476 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.217666000  1000.01 0 50.0088  -  nan  0.0769891 0.0317133 0.00242292  0.0769891 0.0317133 0.00242292  0.0565509 -0.0986815 9.91255  0.0565509 -0.0986815 9.91255  - - -  - - -  82.1522 79.9153 81.646 79.5364 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.222693000  1000.01 0 50.0079  -  nan  0.135728 -0.0132355 -0.0201308  0.135728 -0.0132355 -0.0201308  0.102154 -0.145957 9.68901  0.102154 -0.145957 9.68901  - - -  - - -  81.9748 79.3486 81.9456 79.9196 - - - - - - 82.3859 - - - - - 138 146 134 70 0 0 0 0
1701272931.227680000  1000.01 0 50.01  -  nan  0.0196125 0.074521 -0.00302039  0.0196125 0.074521 -0.00302039  0.0539657 -0.196892 9.80731  0.0539657 -0.196892 9.80731  - - -  - - -  81.7915 78.8126 82.2765 80.4701 - - - - 82.672 79.8977 - 79.3651 - - - - 138 146 134 70 0 0 0 0
1701272931.232698000  1000.02 0 50.01  -  nan  0.106612 -0.0267052 -0.00707892  0.106612 -0.0267052 -0.00707892  0.0564611 -0.0526265 10.2506  0.0564611 -0.0526265 10.2506  - - -  - - -  82.1704 79.3051 81.8836 80.0534 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.237698000  1000.03 0 50.01  -  nan  0.0475753 -0.0253537 0.016026  0.0475753 -0.0253537 0.016026  0.0553457 -0.193847 9.52238  0.0553457 -0.193847 9.52238  - - -  - - -  81.5529 78.832 82.2549 80.3389 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.242690000  1000.03 0 50.008  -  nan  0.0334652 0.0182704 0.0135161  0.0334652 0.0182704 0.0135161  -0.0302636 0.00461521 9.44635  -0.0302636 0.00461521 9.44635  - - -  - - -  81.4862 79.1613 82.2962 80.366 - - - - - - 82.3859 - - - - - 138 146 134 70 0 0 0 0
1701272931.247692000  1000.02 0 50.0074  -  nan  0.0762132 -0.0538485 0.0189951  0.0762132 -0.0538485 0.0189951  0.0567352 -0.0520217 10.194  0.0567352 -0.0520217 10.194  - - -  - - -  81.7109 79.3815 82.07 80.4089 - - - - 82.672 79.1014 - 79.8977 - - - - 138 146 134 70 0 0 0 0
1701272931.252701000  1000.02 0 50.0074  -  nan  -0.0113351 -0.0534506 0.0129869  -0.0113351 -0.0534506 0.0129869  0.0126067 -0.047746 9.79358  0.0126067 -0.047746 9.79358  - - -  - - -  81.1621 79.3314 82.5103 80.4023 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.257685000  1000.03 0 50.0074  -  nan  0.0479408 0.00246768 0.00146904  0.0479408 0.00246768 0.00146904  0.0162338 0.0508758 9.67066  0.0162338 0.0508758 9.67066  - - -  - - -  81.3014 79.7806 82.5854 80.0138 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.262711000  1000.03 0 50.0046  -  nan  0.0030846 -0.0535161 0.0139765  0.0030846 -0.0535161 0.0139765  0.055719 -0.100517 10.0843  0.055719 -0.100517 10.0843  - - -  - - -  81.8148 79.5524 82.3334 80.2869 - - - - - - 81.8197 - - - - - 138 146 134 70 0 0 0 0
1701272931.267671000  1000.04 0 50.0038  -  nan  -0.0400738 -0.0391377 0.0105127  -0.0400738 -0.0391377 0.0105127  -0.0303854 0.0496556 9.78449  -0.0303854 0.0496556 9.78449  - - -  - - -  81.5362 79.8591 82.4028 79.9493 - - - - 82.1018 79.6305 - 80.4376 - - - - 138 146 134 70 0 0 0 0
1701272931.272698000  1000.05 0 50.0038  -  nan  -0.054128 -0.0112508 -0.00503383  -0.054128 -0.0112508 -0.00503383  0.0117748 -0.0495815 9.96533  0.0117748 -0.0495815 9.96533  - - -  - - -  81.8109 80.3182 82.2122 79.7434 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1701272931.277693000  1000.05 0 50.0038  -  nan  -0.0399546 -0.069599 -0.015596  -0.0399546 -0.069599 -0.015596  0.0591041 -0.00148542 10.0179  0.0591041 -0.00148542 10.0179  - - -  - - -  81.9337 80.6022 82.2324 79.318 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
