# logged on Wed Nov 29 16:59:27 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701273567.075000000  1000.28 0 50.0015  15.544  nan  0.0926403 0.0600068 0.00249325  0.0926403 0.0600068 0.00249325  0.0526706 -0.246003 9.75519  0.0526706 -0.246003 9.75519  nan nan nan  nan nan nan  79.8096 79.5 81.5834 81.2482 - - - - 79.1014 81.5395 82.3859 80.4376 nan nan nan nan 139 146 135 70 0 0 0 0
1701273567.079989000  1000.29 0 50.0033  -  nan  0.0924688 -0.0130389 -0.0230996  0.0924688 -0.0130389 -0.0230996  0.102617 -0.0986815 9.91289  0.102617 -0.0986815 9.91289  - - -  - - -  80.2416 79.1769 81.3375 81.452 - - - - - - 82.672 - - - - - 139 146 135 70 0 0 0 0
1701273567.084988000  1000.29 0 50.0033  -  nan  0.107426 0.0877627 -0.0110741  0.107426 0.0877627 -0.0110741  0.0110376 -0.0974614 9.79804  0.0110376 -0.0974614 9.79804  - - -  - - -  80.0585 78.758 81.6712 81.4833 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.090018000  1000.29 0 49.9993  -  nan  0.0624685 0.017597 0.00192831  0.0624685 0.017597 0.00192831  0.189489 -0.249048 10.0411  0.189489 -0.249048 10.0411  - - -  - - -  80.5244 78.6259 81.2012 81.6295 - - - - 80.7103 81.2612 - 82.96 - - - - 139 146 135 70 0 0 0 0
1701273567.094992000  1000.29 0 49.9993  -  nan  0.10665 0.00220086 0.00549811  0.10665 0.00220086 0.00549811  0.0127589 -0.00210079 10.0751  0.0127589 -0.00210079 10.0751  - - -  - - -  80.2741 78.6177 81.2896 81.6858 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.100008000  1000.29 0 50.0004  -  nan  0.0483888 0.0891142 0.0120308  0.0483888 0.0891142 0.0120308  0.0558088 -0.146572 9.74626  0.0558088 -0.146572 9.74626  - - -  - - -  80.119 78.4174 81.2188 81.9484 - - - - - - 82.3859 - - - - - 139 146 135 70 0 0 0 0
1701273567.104991000  1000.29 0 50.0004  -  nan  0.0624237 -0.012322 -0.0106134  0.0624237 -0.012322 -0.0106134  0.151358 -0.0465258 9.68042  0.151358 -0.0465258 9.68042  - - -  - - -  80.6026 78.6842 80.7793 81.7531 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.109982000  1000.29 0 49.9994  -  nan  0.0340322 0.0744555 -0.0020308  0.0340322 0.0744555 -0.0020308  0.0149708 0.00277971 9.61844  0.0149708 0.00277971 9.61844  - - -  - - -  80.2093 78.5488 81.2756 81.6684 - - - - 79.3651 79.8977 - - - - - - 139 146 135 70 0 0 0 0
1701273567.114993000  1000.29 0 49.9945  -  nan  -0.0249414 0.0610828 0.00800211  -0.0249414 0.0610828 0.00800211  0.102617 -0.0986815 9.91289  0.102617 -0.0986815 9.91289  - - -  - - -  80.6465 78.8509 80.8274 81.4627 - - - - - - - 80.9848 - - - - 139 146 135 70 0 0 0 0
1701273567.119997000  1000.29 0 49.995  -  nan  0.0333195 -0.0258305 0.00146941  0.0333195 -0.0258305 0.00146941  0.0592563 0.0441598 10.2994  0.0592563 0.0441598 10.2994  - - -  - - -  80.7119 79.2219 80.6601 81.1212 - - - - - - 81.5395 - - - - - 139 146 135 70 0 0 0 0
1701273567.124986000  1000.29 0 49.995  -  nan  -0.05368 0.0753957 0.00552794  -0.05368 0.0753957 0.00552794  0.0597789 -0.0453057 9.56557  0.0597789 -0.0453057 9.56557  - - -  - - -  80.2581 79.0318 80.9813 81.1108 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.130011000  1000.3 0 49.997  -  nan  -0.0250238 0.00225771 -0.0171166  -0.0250238 0.00225771 -0.0171166  0.0614682 0.0490403 9.84275  0.0614682 0.0490403 9.84275  - - -  - - -  80.6725 79.6936 80.5747 80.5981 - - - - 80.4376 79.1014 - - - - - - 139 146 135 70 0 0 0 0
1701273567.134979000  1000.29 0 49.9933  -  nan  -0.010768 0.0027345 -0.00256002  -0.010768 0.0027345 -0.00256002  0.0165079 0.0514805 9.61407  0.0165079 0.0514805 9.61407  - - -  - - -  80.3727 79.5923 80.9578 80.4076 - - - - - - - 80.7103 - - - - 139 146 135 70 0 0 0 0
1701273567.140002000  1000.3 0 49.9949  -  nan  -0.127111 0.0331825 0.00199421  -0.127111 0.0331825 0.00199421  0.057567 -0.0501862 10.0223  0.057567 -0.0501862 10.0223  - - -  - - -  80.3841 79.8437 81.1435 80.1457 - - - - - - 80.7103 - - - - - 139 146 135 70 0 0 0 0
1701273567.144984000  1000.29 0 49.9949  -  nan  -0.0110704 -0.0398111 -0.00107509  -0.0110704 -0.0398111 -0.00107509  0.0163283 0.143591 10.2902  0.0163283 0.143591 10.2902  - - -  - - -  80.4537 80.539 81.0019 79.4652 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.150012000  1000.29 0 49.9968  -  nan  -0.111971 -0.0104463 0.00457478  -0.111971 -0.0104463 0.00457478  0.0139867 -0.044701 9.50864  0.0139867 -0.044701 9.50864  - - -  - - -  79.9023 80.202 81.3587 79.6993 - - - - 80.4376 80.9848 - - - - - - 139 146 135 70 0 0 0 0
1701273567.154999000  1000.29 0 49.9941  -  nan  -0.0830682 -0.0253015 -0.00651804  -0.0830682 -0.0253015 -0.00651804  -0.0282633 0.100591 9.66585  -0.0282633 0.100591 9.66585  - - -  - - -  79.9676 80.8819 81.3654 79.2198 - - - - - - - 81.5395 - - - - 139 146 135 70 0 0 0 0
1701273567.160008000  1000.29 0 49.9947  -  nan  -0.0253261 -0.0402879 -0.0156317  -0.0253261 -0.0402879 -0.0156317  0.0156809 0.0496556 9.78483  0.0156809 0.0496556 9.78483  - - -  - - -  79.7476 80.8972 81.6853 79.0154 - - - - - - 81.5395 - - - - - 139 146 135 70 0 0 0 0
1701273567.164998000  1000.29 0 49.9947  -  nan  -0.141941 -0.0244924 0.00301988  -0.141941 -0.0244924 0.00301988  0.0107587 -0.0980767 9.85563  0.0107587 -0.0980767 9.85563  - - -  - - -  79.5979 80.6353 81.9523 79.1571 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.170015000  1000.3 0 49.9967  -  nan  -0.0257548 -0.0533851 0.0119973  -0.0257548 -0.0533851 0.0119973  -0.0334292 0.0429396 10.4129  -0.0334292 0.0429396 10.4129  - - -  - - -  79.5446 81.3479 81.91 78.6342 - - - - 80.4376 81.8197 - - - - - - 139 146 135 70 0 0 0 0
1701273567.174985000  1000.29 0 49.995  -  nan  -0.0835977 -0.0525806 0.0216059  -0.0835977 -0.0525806 0.0216059  0.0560877 -0.145957 9.68867  0.0560877 -0.145957 9.68867  - - -  - - -  79.0623 80.9245 81.9793 79.016 - - - - - - - 79.1014 - - - - 139 146 135 70 0 0 0 0
1701273567.179986000  1000.29 0 49.9965  -  nan  -0.069178 -0.0526461 0.0225955  -0.069178 -0.0526461 0.0225955  0.0146968 0.00217496 9.67503  0.0146968 0.00217496 9.67503  - - -  - - -  78.8797 81.2976 81.9693 78.9474 - - - - - - 81.5395 - - - - - 139 146 135 70 0 0 0 0
1701273567.184985000  1000.29 0 49.9965  -  nan  0.00361408 -0.0262371 -0.0141475  0.00361408 -0.0262371 -0.0141475  -0.0326325 -0.0459211 9.62248  -0.0326325 -0.0459211 9.62248  - - -  - - -  78.7984 81.39 82.0243 78.8608 - - - - - - - - - - - - 139 146 135 70 0 0 0 0
1701273567.189995000  1000.29 0 50.0001  -  nan  -0.0686861 -0.0542731 -0.0181055  -0.0686861 -0.0542731 -0.0181055  0.101601 -0.147177 9.80318  0.101601 -0.147177 9.80318  - - -  - - -  78.9572 80.9113 82.2481 79.1502 - - - - 80.7103 81.2612 - - - - - - 139 146 135 70 0 0 0 0
1701273567.195005000  1000.29 0 49.9994  -  nan  0.0191646 -0.0121254 -0.0135822  0.0191646 -0.0121254 -0.0135822  0.0130378 -0.00148542 10.0175  0.0130378 -0.00148542 10.0175  - - -  - - -  78.8705 81.063 82.6198 78.8886 - - - - - - 81.5395 78.8395 - - - - 139 146 135 70 0 0 0 0
