# logged on Wed Nov 29 17:20:55 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701274855.309164000  1001.18 0 100.001  15.318  nan  -0.0390332 0.0600637 -0.0201215  -0.0390332 0.0600637 -0.0201215  0.0628531 0.0520959 9.55682  0.0628531 0.0520959 9.55682  nan nan nan  nan nan nan  83.5521 82.7744 82.3232 79.0076 - - - - 82.96 81.5395 82.1018 81.5395 nan nan nan nan 138 146 134 71 0 0 0 0
1701274855.314150000  1001.17 0 100.004  -  nan  -0.0828218 0.0329812 0.00503368  -0.0828218 0.0329812 0.00503368  0.10317 -0.0974614 9.79872  0.10317 -0.0974614 9.79872  - - -  - - -  83.6599 82.7649 82.5159 78.8386 - - - - - 80.4376 - - - - - - 138 146 134 71 0 0 0 0
1701274855.319177000  1001.17 0 100.004  -  nan  -0.068566 0.033458 0.0195903  -0.068566 0.033458 0.0195903  0.0138649 0.000339461 9.84679  0.0138649 0.000339461 9.84679  - - -  - - -  83.4634 83.0492 82.5109 78.528 - - - - 83.8364 - 82.3859 79.1014 - - - - 138 146 134 71 0 0 0 0
1701274855.324139000  1001.17 0 100.004  -  nan  -0.0542919 -0.0107084 0.00853316  -0.0542919 -0.0107084 0.00853316  0.10317 -0.0974614 9.79872  0.10317 -0.0974614 9.79872  - - -  - - -  83.24 83.3145 82.4936 78.5653 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.329177000  1001.17 0 100.002  -  nan  -0.0687116 -0.0106429 0.00754357  -0.0687116 -0.0106429 0.00754357  0.0561822 -0.0532418 10.3082  0.0561822 -0.0532418 10.3082  - - -  - - -  83.0338 83.3463 82.6197 78.6813 - - - - 82.96 83.5422 82.3859 - - - - - 138 146 134 71 0 0 0 0
1701274855.334141000  1001.17 0 100.005  -  nan  -0.0540831 0.0186683 0.00750785  -0.0540831 0.0186683 0.00750785  -0.0305424 0.00399984 9.50393  -0.0305424 0.00399984 9.50393  - - -  - - -  82.7492 83.4515 82.7801 78.3443 - - - - - 84.4309 - 78.064 - - - - 138 146 134 71 0 0 0 0
1701274855.339158000  1001.17 0 100.003  -  nan  -0.0401186 -0.0690567 -0.00202897  -0.0401186 -0.0690567 -0.00202897  0.100495 -0.149617 10.0315  0.100495 -0.149617 10.0315  - - -  - - -  82.704 83.5228 82.7469 78.219 - - - - 83.8364 - 82.1018 - - - - - 138 146 134 71 0 0 0 0
1701274855.344151000  1001.17 0 100.003  -  nan  -0.0542919 -0.0107084 0.00853316  -0.0542919 -0.0107084 0.00853316  -0.0781458 -0.044701 9.50797  -0.0781458 -0.044701 9.50797  - - -  - - -  82.3797 83.5328 83.0295 78.0983 - - - - - - - 78.064 - - - - 138 146 134 71 0 0 0 0
1701274855.349155000  1001.17 0 100.003  -  nan  -0.0400738 -0.0391377 0.0105127  -0.0400738 -0.0391377 0.0105127  0.0566407 -0.144737 9.5745  0.0566407 -0.144737 9.5745  - - -  - - -  82.2856 83.7298 83.4778 78.4277 - - - - 83.8364 83.2501 82.96 77.5555 - - - - 138 146 134 71 0 0 0 0
1701274855.354172000  1001.17 0 100.003  -  nan  -0.0257997 -0.0833041 -0.000544392  -0.0257997 -0.0833041 -0.000544392  -0.0350287 -0.0974614 9.79771  -0.0350287 -0.0974614 9.79771  - - -  - - -  81.8618 83.5372 83.7974 78.6607 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.359142000  1001.17 0 100.004  -  nan  -0.0253517 0.00334236 0.0100174  -0.0253517 0.00334236 0.0100174  -0.0773139 -0.0428655 9.33622  -0.0773139 -0.0428655 9.33622  - - -  - - -  81.2848 83.4745 84.2569 78.666 - - - - 82.1018 83.8364 84.7314 78.064 - - - - 138 146 134 71 0 0 0 0
1701274855.364153000  1001.17 0 100.004  -  nan  -0.0116823 -0.125915 0.00193014  -0.0116823 -0.125915 0.00193014  0.141485 -0.253324 10.4409  0.141485 -0.253324 10.4409  - - -  - - -  81.7978 83.5591 84.0161 78.7697 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.369141000  1001.17 0 100.003  -  nan  0.0186351 -0.0394045 0.0145418  0.0186351 -0.0394045 0.0145418  -0.079436 -0.093801 9.45485  -0.079436 -0.093801 9.45485  - - -  - - -  81.055 83.1831 84.5482 78.8484 - - - - 82.3859 81.2612 84.4309 - - - - - 138 146 134 71 0 0 0 0
1701274855.374142000  1001.17 0 100.007  -  nan  0.0620958 -0.0112374 0.0165206  0.0620958 -0.0112374 0.0165206  0.101965 -0.192627 9.40854  0.101965 -0.192627 9.40854  - - -  - - -  81.3482 83.1312 84.4112 79.2848 - - - - - 83.5422 - 79.1014 - - - - 138 146 134 71 0 0 0 0
1701274855.379174000  1001.17 0 100.005  -  nan  0.0329092 -0.0835709 0.00348468  0.0329092 -0.0835709 0.00348468  0.0539657 -0.196892 9.80731  0.0539657 -0.196892 9.80731  - - -  - - -  81.4502 82.7889 84.2169 79.7734 - - - - 80.7103 - 84.7314 79.1014 - - - - 138 146 134 71 0 0 0 0
1701274855.384183000  1001.17 0 100.007  -  nan  0.0625693 0.0317789 0.00143333  0.0625693 0.0317789 0.00143333  -0.0330957 -0.0931962 9.3986  -0.0330957 -0.0931962 9.3986  - - -  - - -  81.2939 82.6709 84.4003 79.7631 - - - - - 82.672 - - - - - - 138 146 134 71 0 0 0 0
1701274855.389161000  1001.17 0 100.002  -  nan  0.0765411 -0.0549332 -0.00813884  0.0765411 -0.0549332 -0.00813884  0.231109 -0.303039 10.446  0.231109 -0.303039 10.446  - - -  - - -  81.8441 82.5357 84.1439 80.057 - - - - 80.9848 - 84.7314 - - - - - 138 146 134 71 0 0 0 0
1701274855.394140000  1001.17 0 100.003  -  nan  0.0333572 0.00307554 0.0140464  0.0333572 0.00307554 0.0140464  0.0102955 -0.145352 9.63175  0.0102955 -0.145352 9.63175  - - -  - - -  81.6401 82.114 84.3537 80.2894 - - - - - - - 79.3651 - - - - 138 146 134 71 0 0 0 0
1701274855.399162000  1001.17 0 100.005  -  nan  0.0926027 0.0311008 -0.0100838  0.0926027 0.0311008 -0.0100838  0.101965 -0.192627 9.40854  0.101965 -0.192627 9.40854  - - -  - - -  82.1688 82.2817 84.0516 80.2777 - - - - - 82.96 85.6458 80.7103 - - - - 138 146 134 71 0 0 0 0
1701274855.404143000  1001.17 0 99.9994  -  nan  0.0479032 -0.0264384 -0.011108  0.0479032 -0.0264384 -0.011108  0.190595 -0.246608 9.81279  0.190595 -0.246608 9.81279  - - -  - - -  82.093 81.9034 84.1042 80.5685 - - - - 82.3859 - - - - - - - 138 146 134 71 0 0 0 0
1701274855.409174000  1001.17 0 99.9973  -  nan  0.0488175 0.102211 -0.0155982  0.0488175 0.102211 -0.0155982  0.0603319 -0.0440856 9.4514  0.0603319 -0.0440856 9.4514  - - -  - - -  82.1532 82.0469 84.2285 80.3687 - - - - 81.5395 83.8364 84.7314 79.1014 - - - - 138 146 134 71 0 0 0 0
1701274855.414153000  1001.17 0 99.9973  -  nan  0.0335843 -0.012191 -0.0125926  0.0335843 -0.012191 -0.0125926  0.277256 -0.254533 10.5551  0.277256 -0.254533 10.5551  - - -  - - -  83.0084 82.2601 83.7351 80.2852 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.419165000  1001.17 0 99.9994  -  nan  0.0338683 0.0749978 0.0115362  0.0338683 0.0749978 0.0115362  0.0582098 -0.0950211 9.57004  0.0582098 -0.0950211 9.57004  - - -  - - -  82.4218 82.0557 83.9907 80.0979 - - - - 80.4376 81.2612 84.1326 80.7103 - - - - 138 146 134 71 0 0 0 0
1701274855.424168000  1001.17 0 99.9994  -  nan  0.063174 0.11687 -0.00153654  0.063174 0.11687 -0.00153654  0.191886 -0.197508 9.8659  0.191886 -0.197508 9.8659  - - -  - - -  82.9325 82.4294 83.5715 80.1936 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.429177000  1001.17 0 100.001  -  nan  0.0339946 0.0455495 -0.0146078  0.0339946 0.0455495 -0.0146078  0.194197 -0.0999016 10.0277  0.194197 -0.0999016 10.0277  - - -  - - -  83.0331 82.2167 83.3675 80.2008 - - - - 82.3859 82.1018 85.034 80.1667 - - - - 138 146 134 71 0 0 0 0
1701274855.434155000  1001.17 0 100.001  -  nan  0.0344354 0.131183 -0.00401071  0.0344354 0.131183 -0.00401071  0.0592259 -0.0465258 9.67974  0.0592259 -0.0465258 9.67974  - - -  - - -  83.0279 82.577 83.4478 79.8242 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701274855.439164000  1001.17 0 100  -  nan  0.0337299 0.0319099 -0.000545863  0.0337299 0.0319099 -0.000545863  0.278825 -0.204818 10.5506  0.278825 -0.204818 10.5506  - - -  - - -  83.4866 82.7642 83.2028 79.808 - - - - 81.8197 81.5395 83.5422 80.4376 - - - - 138 146 134 71 0 0 0 0
1701274855.444151000  1001.17 0 100  -  nan  0.00430123 0.117679 0.00800138  0.00430123 0.117679 0.00800138  0.0149708 0.00277971 9.61844  0.0149708 0.00277971 9.61844  - - -  - - -  82.9625 82.8317 83.4678 79.555 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
