# pom logged on Wed Nov 29 17:35:52 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1701275752.050882000 0 1 1 1 1 1 -1.49573 -0.00762682 0.972912 -0.0102593 -0.00594204 -0.0040902 -0.00937788 0.012286 0.00525201 -0.0475497 -0.0458332 -0.0203103 -0.0893396 0.122591 0.00172637 6.5619e-07 6.56189e-07 6.18157e-07 4.399e-06 4.39885e-06 4.67695e-06 6.68203e-05 6.68202e-05 5.95469e-05 6.68203e-05 6.68202e-05 5.95469e-05 0.0976955 0.0976955 0.0973014
1701275752.054868000 0 1 1 1 1 1 -1.49572 -0.00765724 0.972904 -0.0102885 -0.00591891 -0.00411145 -0.0095507 0.0128982 0.00394347 -0.0371415 -0.0320544 -0.0164998 -0.0984598 0.174718 -0.0878866 6.31787e-07 6.31786e-07 5.96661e-07 4.43355e-06 4.4334e-06 4.71307e-06 6.67463e-05 6.67461e-05 5.97909e-05 6.67463e-05 6.67461e-05 5.97909e-05 0.111174 0.111174 0.110786
1701275752.060150000 0 1 1 1 1 1 -1.49569 -0.0077015 0.97291 -0.0104848 -0.00598257 -0.00412284 -0.00871212 0.0124869 0.00487954 -0.039457 -0.0264193 -0.0102603 -0.0398387 0.131295 0.0268255 6.09469e-07 6.09468e-07 5.77058e-07 4.45243e-06 4.45228e-06 4.73412e-06 6.6346e-05 6.63458e-05 5.97066e-05 6.6346e-05 6.63458e-05 5.97066e-05 0.121386 0.121386 0.121005
1701275752.064880000 0 1 1 1 1 1 -1.49573 -0.00764153 0.972927 -0.0109248 -0.00584859 -0.00399697 -0.00904972 0.0130743 0.00427631 -0.056039 -0.00571469 0.00273878 -0.0532531 0.132323 -0.0304484 6.54669e-07 6.54668e-07 6.17763e-07 4.51184e-06 4.51169e-06 4.79361e-06 6.84519e-05 6.84517e-05 6.13538e-05 6.84519e-05 6.84517e-05 6.13538e-05 0.114257 0.114256 0.113865
1701275752.069880000 0 1 1 1 1 1 -1.4957 -0.00767293 0.972896 -0.0105824 -0.00557109 -0.00397236 -0.0083344 0.0134123 0.0016537 -0.0101582 0.0162957 0.0030698 -0.0166536 0.152229 -0.175341 6.29588e-07 6.29587e-07 5.9566e-07 4.39366e-06 4.39353e-06 4.67739e-06 6.52985e-05 6.52982e-05 5.8531e-05 6.52985e-05 6.52982e-05 5.8531e-05 0.0925042 0.0925041 0.0921198
1701275752.076289000 0 1 1 1 1 1 -1.49575 -0.00759585 0.972932 -0.0110691 -0.00556883 -0.0039143 -0.00783634 0.0132175 0.00323633 -0.0383151 0.0103163 0.00520132 0.0176983 0.0849259 -0.0269013 6.93148e-07 6.93147e-07 6.52828e-07 4.6379e-06 4.63777e-06 4.92167e-06 7.07306e-05 7.07303e-05 6.33387e-05 7.07306e-05 7.07303e-05 6.33387e-05 0.145633 0.145633 0.145243
1701275752.080860000 0 1 1 1 1 1 -1.49568 -0.00766293 0.972867 -0.0109216 -0.0052148 -0.0039387 -0.00731121 0.0134049 -0.00026787 -0.00314318 0.0343675 0.00195264 0.00670675 0.128793 -0.23327 6.5044e-07 6.50439e-07 6.14957e-07 4.52036e-06 4.52025e-06 4.80599e-06 6.77085e-05 6.77082e-05 6.08072e-05 6.77085e-05 6.77082e-05 6.08072e-05 0.114102 0.114102 0.113716
1701275752.085876000 0 1 1 1 1 1 -1.49564 -0.00771193 0.972891 -0.0109716 -0.00514242 -0.00394423 -0.00604862 0.0120492 0.00319901 -0.00718049 0.0243232 0.000828162 0.0558615 0.0389558 0.0933465 6.30702e-07 6.30701e-07 5.97521e-07 4.37106e-06 4.37095e-06 4.65816e-06 6.39412e-05 6.39409e-05 5.72848e-05 6.39412e-05 6.39409e-05 5.72848e-05 0.0860212 0.0860212 0.0856363
1701275752.090868000 0 1 1 1 1 1 -1.49568 -0.00764883 0.972894 -0.011351 -0.00468575 -0.00390131 -0.00664409 0.012542 0.00218274 -0.0298628 0.0507103 0.00344201 -0.00479649 0.0637963 -0.0143515 6.79252e-07 6.7925e-07 6.41254e-07 4.40065e-06 4.40056e-06 4.68781e-06 6.51705e-05 6.51701e-05 5.80201e-05 6.51705e-05 6.51701e-05 5.80201e-05 0.0810126 0.0810126 0.0806149
1701275752.095870000 0 1 1 1 1 1 -1.49561 -0.00769487 0.972874 -0.0109346 -0.00431972 -0.00387771 -0.00576111 0.0122053 0.0017016 0.0130946 0.0549569 0.00400184 0.0145035 0.0623751 -0.0155672 6.49737e-07 6.49736e-07 6.15074e-07 4.3373e-06 4.33723e-06 4.62617e-06 6.28526e-05 6.28523e-05 5.60395e-05 6.28526e-05 6.28523e-05 5.60395e-05 0.0797246 0.0797246 0.0793343
1701275752.101251000 0 1 1 1 1 1 -1.49554 -0.00773685 0.972865 -0.0111944 -0.00408752 -0.00382556 -0.00470872 0.0112302 0.00170066 -0.0139012 0.0486102 0.00558106 0.0304375 0.0227802 -0.0164851 6.27967e-07 6.27966e-07 5.95761e-07 4.35623e-06 4.35617e-06 4.64685e-06 6.23142e-05 6.23139e-05 5.57523e-05 6.23142e-05 6.23139e-05 5.57523e-05 0.100991 0.100991 0.100605
1701275752.105870000 0 1 1 1 1 1 -1.49557 -0.00767605 0.972863 -0.010928 -0.00346807 -0.00377293 -0.0054475 0.012302 0.000514126 0.0147413 0.0786402 0.00712205 -0.0300643 0.0914344 -0.089759 6.72038e-07 6.72036e-07 6.35503e-07 4.35384e-06 4.3538e-06 4.64451e-06 6.30121e-05 6.30117e-05 5.6009e-05 6.30121e-05 6.30117e-05 5.6009e-05 0.0826793 0.0826793 0.0822887
1701275752.111418000 0 1 1 1 1 1 -1.49549 -0.00771606 0.972859 -0.0105132 -0.00339529 -0.00374145 -0.00410604 0.010968 0.00293905 0.0354814 0.0465452 0.00567356 0.0222585 0.0109076 0.125219 6.47598e-07 6.47596e-07 6.13772e-07 4.33897e-06 4.33893e-06 4.63145e-06 6.17176e-05 6.17173e-05 5.49807e-05 6.17176e-05 6.17173e-05 5.49807e-05 0.0975157 0.0975157 0.097129
1701275752.116862000 0 1 1 1 1 1 -1.49551 -0.00765266 0.972861 -0.0105721 -0.00309779 -0.00373216 -0.00475324 0.0114622 0.0017775 0.0204868 0.0537009 0.00366473 -0.0326958 0.0472669 -0.0114521 7.009e-07 7.00899e-07 6.61722e-07 4.35143e-06 4.3514e-06 4.64397e-06 6.28315e-05 6.28311e-05 5.55504e-05 6.28315e-05 6.28311e-05 5.55504e-05 0.0801041 0.0801041 0.079706
1701275752.121826000 0 1 1 1 1 1 -1.49543 -0.0077095 0.972854 -0.0100507 -0.00294916 -0.00376619 -0.00393562 0.0106251 0.00223802 0.0528336 0.0383466 -0.00168375 -0.00742661 0.0132564 0.0593826 6.7099e-07 6.70988e-07 6.35052e-07 4.32941e-06 4.32937e-06 4.6237e-06 6.14874e-05 6.1487e-05 5.45146e-05 6.14874e-05 6.1487e-05 5.45146e-05 0.0860611 0.0860611 0.0856705
1701275752.127274000 0 1 1 1 1 1 -1.49535 -0.00776259 0.972844 -0.0101025 -0.00307696 -0.00377308 -0.00358033 0.00965275 0.00248031 0.024774 0.0106014 -0.00153478 -0.0318165 -0.00419673 0.0466262 6.48126e-07 6.48125e-07 6.1462e-07 4.30187e-06 4.30184e-06 4.59808e-06 6.00875e-05 6.00872e-05 5.33393e-05 6.00875e-05 6.00872e-05 5.33393e-05 0.0935772 0.0935772 0.0931864
1701275752.131821000 0 1 1 1 1 1 -1.49537 -0.00771068 0.972844 -0.00973988 -0.00280447 -0.00374578 -0.00455654 0.0104999 0.00146827 0.0453826 0.0274863 0.00106867 -0.0861954 0.0531219 -0.0322695 6.91788e-07 6.91787e-07 6.53879e-07 4.3124e-06 4.31238e-06 4.60864e-06 6.10035e-05 6.10033e-05 5.38116e-05 6.10035e-05 6.10033e-05 5.38116e-05 0.0788917 0.0788917 0.0784983
1701275752.136846000 0 1 1 1 1 1 -1.49527 -0.00777888 0.972838 -0.00957597 -0.0031791 -0.00370122 -0.0034824 0.0092027 0.00396554 0.0342698 -0.0168485 0.00347223 -0.0332803 -0.00406025 0.171098 6.58153e-07 6.58151e-07 6.23746e-07 4.29719e-06 4.29716e-06 4.5955e-06 5.97163e-05 5.97161e-05 5.28522e-05 5.97163e-05 5.97161e-05 5.28522e-05 0.088789 0.088789 0.0884001
1701275752.141866000 0 1 1 1 1 1 -1.4953 -0.0077246 0.97284 -0.00959256 -0.00329731 -0.003668 -0.00473156 0.0101342 0.00250945 0.0210171 -0.0172475 0.00436579 -0.113315 0.0672512 0.00360665 7.06821e-07 7.06819e-07 6.67414e-07 4.32859e-06 4.32856e-06 4.62694e-06 6.11517e-05 6.11514e-05 5.37824e-05 6.11517e-05 6.11514e-05 5.37824e-05 0.0817855 0.0817855 0.0813876
1701275752.146869000 0 1 1 1 1 1 -1.49522 -0.00780169 0.972842 -0.00934701 -0.00347412 -0.00355473 -0.00418231 0.00926591 0.00424618 0.0293063 -0.0308389 0.011179 -0.0771451 0.032255 0.150617 6.7236e-07 6.72359e-07 6.36494e-07 4.27001e-06 4.26998e-06 4.57027e-06 5.9026e-05 5.90258e-05 5.19808e-05 5.9026e-05 5.90258e-05 5.19808e-05 0.0799525 0.0799525 0.0795617
1701275752.151813000 0 1 1 1 1 1 -1.49514 -0.00786965 0.972834 -0.00942982 -0.00388206 -0.00346993 -0.00409854 0.00885058 0.00403406 0.00917926 -0.0517473 0.0127102 -0.0968806 0.0515887 0.0667186 6.41066e-07 6.41065e-07 6.08311e-07 4.31535e-06 4.3153e-06 4.61738e-06 5.91189e-05 5.91187e-05 5.23589e-05 5.91189e-05 5.91187e-05 5.23589e-05 0.102063 0.102063 0.101673
1701275752.156942000 0 1 1 1 1 1 -1.49518 -0.00781509 0.972837 -0.00915292 -0.00394366 -0.00337781 -0.00561651 0.0100691 0.00242283 0.0287968 -0.0371508 0.0150338 -0.165404 0.112573 -0.0532648 6.88987e-07 6.88986e-07 6.51286e-07 4.26362e-06 4.26357e-06 4.56569e-06 5.89871e-05 5.89869e-05 5.1732e-05 5.89871e-05 5.89869e-05 5.1732e-05 0.0610912 0.0610912 0.0607014
1701275752.162022000 0 1 1 1 1 1 -1.49511 -0.00787335 0.972851 -0.00929924 -0.00474094 -0.00327853 -0.00505302 0.00916644 0.00572889 -0.00189383 -0.0899 0.0155063 -0.108412 0.0603935 0.198401 6.60986e-07 6.60985e-07 6.26066e-07 4.21115e-06 4.21108e-06 4.51508e-06 5.71725e-05 5.71724e-05 5.01617e-05 5.71725e-05 5.71724e-05 5.01617e-05 0.0593308 0.0593309 0.0589401
1701275752.166865000 0 1 1 1 1 1 -1.49515 -0.00782077 0.972873 -0.00938284 -0.00502609 -0.00317316 -0.00631564 0.0103084 0.00582076 -0.00732761 -0.0758468 0.0173878 -0.162027 0.122602 0.135026 7.0727e-07 7.07269e-07 6.67441e-07 4.29654e-06 4.29646e-06 4.6005e-06 5.95751e-05 5.9575e-05 5.20702e-05 5.95751e-05 5.9575e-05 5.20702e-05 0.0789696 0.0789697 0.0785709
1701275752.171816000 0 1 1 1 1 1 -1.49511 -0.00787425 0.972864 -0.00928582 -0.00530597 -0.00311459 -0.00640546 0.0101888 0.00537943 -0.000743129 -0.0728785 0.0146758 -0.141024 0.115991 0.0830185 6.80622e-07 6.80621e-07 6.43462e-07 4.29952e-06 4.29942e-06 4.60545e-06 5.89044e-05 5.89043e-05 5.16328e-05 5.89044e-05 5.89043e-05 5.16328e-05 0.0907327 0.0907327 0.0903402
1701275752.176864000 0 1 1 1 1 1 -1.49514 -0.00782346 0.972892 -0.00968748 -0.00616869 -0.00306333 -0.007095 0.0105719 0.00562236 -0.0319396 -0.110288 0.0126582 -0.144015 0.107211 0.0557719 7.29908e-07 7.29907e-07 6.87362e-07 4.32593e-06 4.32579e-06 4.63189e-06 6.03108e-05 6.03106e-05 5.25162e-05 6.03108e-05 6.03106e-05 5.25162e-05 0.081717 0.0817171 0.0813165
1701275752.181864000 0 1 1 1 1 1 -1.49512 -0.00786948 0.972892 -0.00982359 -0.00630128 -0.00307689 -0.00784405 0.0112852 0.0041536 -0.0308962 -0.0813261 0.00575763 -0.169498 0.160451 -0.059066 7.06681e-07 7.0668e-07 6.6648e-07 4.28408e-06 4.28394e-06 4.59228e-06 5.8845e-05 5.88449e-05 5.12532e-05 5.8845e-05 5.88449e-05 5.12532e-05 0.0792732 0.0792733 0.0788806
1701275752.186860000 0 1 1 1 1 1 -1.49509 -0.00792936 0.972908 -0.0101372 -0.00691897 -0.00312122 -0.00710334 0.0106092 0.00525162 -0.0451826 -0.102853 -0.00157688 -0.0902325 0.104177 0.0393356 6.81579e-07 6.81578e-07 6.43917e-07 4.24412e-06 4.24394e-06 4.55501e-06 5.73646e-05 5.73645e-05 4.9999e-05 5.73646e-05 5.73645e-05 4.9999e-05 0.078358 0.0783581 0.0779708
1701275752.191872000 0 1 1 1 1 1 -1.49513 -0.00786731 0.972921 -0.0104674 -0.00712548 -0.00319703 -0.00808983 0.0119626 0.00404732 -0.0521966 -0.0762602 -0.00676587 -0.129776 0.163648 -0.0560672 7.3007e-07 7.30068e-07 6.86991e-07 4.29414e-06 4.29394e-06 4.60506e-06 5.91176e-05 5.91175e-05 5.12391e-05 5.91176e-05 5.91175e-05 5.12391e-05 0.078507 0.078507 0.0781163
