# logged on Wed Nov 29 17:35:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701275752.128472000  1000.15 0 50.0254  15.48  nan  0.0482504 0.0460262 -5.12459e-05  0.0482504 0.0460262 -5.12459e-05  -0.121025 0.0508758 9.66965  -0.121025 0.0508758 9.66965  nan nan nan  nan nan nan  82.1666 80.4002 81.0822 80.0909 - - - - 82.672 81.8197 80.7103 80.1667 nan nan nan nan 139 0 0 70 0 0 0 0
1701275752.133472000  1000.15 0 50.0254  -  nan  0.0183255 -0.0829631 0.0160621  0.0183255 -0.0829631 0.0160621  0.097267 -0.202993 10.3785  0.097267 -0.202993 10.3785  - - -  - - -  82.314 80.2635 80.9563 80.3711 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.138480000  1000.15 0 50.0278  -  nan  0.00338696 -0.0109706 0.0124915  0.00338696 -0.0109706 0.0124915  -0.167091 0.0508758 9.66932  -0.167091 0.0508758 9.66932  - - -  - - -  81.7197 80.1402 81.2957 80.3473 - - - - 83.2501 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.143464000  1000.16 0 50.0261  -  nan  0.0475753 -0.0253537 0.016026  0.0475753 -0.0253537 0.016026  0.00965275 -0.100517 10.084  0.00965275 -0.100517 10.084  - - -  - - -  81.5929 80.5102 81.5127 80.126 - - - - - - - 80.4376 - - - - 139 0 0 70 0 0 0 0
1701275752.148488000  1000.16 0 50.0258  -  nan  -0.026266 -0.125307 0.0145075  -0.026266 -0.125307 0.0145075  -0.0361346 -0.0999016 10.0261  -0.0361346 -0.0999016 10.0261  - - -  - - -  81.1152 80.3019 81.5951 80.308 - - - - - 79.1014 82.1018 - - - - - 139 0 0 70 0 0 0 0
1701275752.153477000  1000.16 0 50.0258  -  nan  0.0332564 -0.0111063 0.0145414  0.0332564 -0.0111063 0.0145414  -0.210208 0.103636 9.37958  -0.210208 0.103636 9.37958  - - -  - - -  81.0115 80.5006 81.7496 80.2347 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.158494000  1000.16 0 50.0272  -  nan  0.00267426 -0.111257 0.0159917  0.00267426 -0.111257 0.0159917  0.0522169 -0.154498 10.4879  0.0522169 -0.154498 10.4879  - - -  - - -  81.0342 80.4665 81.781 80.4785 - - - - 82.672 - - - - - - - 139 0 0 70 0 0 0 0
1701275752.163471000  1000.15 0 50.0245  -  nan  -0.0260268 -0.0680376 0.0260946  -0.0260268 -0.0680376 0.0260946  -0.166907 0.0975355 9.95078  -0.166907 0.0975355 9.95078  - - -  - - -  80.1635 80.6431 82.3249 80.0652 - - - - - - - 79.6305 - - - - 139 0 0 70 0 0 0 0
1701275752.168494000  1000.15 0 50.0265  -  nan  0.0185903 -0.0693235 0.0020001  0.0185903 -0.0693235 0.0020001  -0.0777147 0.00155959 9.73194  -0.0777147 0.00155959 9.73194  - - -  - - -  80.1053 80.8987 82.2972 79.8676 - - - - - 79.3651 81.5395 - - - - - 139 0 0 70 0 0 0 0
1701275752.173486000  1000.15 0 50.0265  -  nan  -0.0550494 -0.140913 -0.000508314  -0.0550494 -0.140913 -0.000508314  -0.0795258 -0.047746 9.7929  -0.0795258 -0.047746 9.7929  - - -  - - -  80.1372 80.7761 82.3337 79.9995 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701275752.178492000  1000.15 0 50.0268  -  nan  -0.0255909 -0.0539274 -0.0015697  -0.0255909 -0.0539274 -0.0015697  -0.163679 0.150911 9.6038  -0.163679 0.150911 9.6038  - - -  - - -  79.4314 81.2671 83.0101 79.4524 - - - - 79.6305 - - - - - - - 139 0 0 70 0 0 0 0
