    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 0.0050000  -1.5000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   0.0000006   0.0000006   0.0000006   0.0000000   0.0000000   0.0000000   0.0003750   0.0003750   0.0003750   0.0000000   0.0000000   0.0000000
 0.0100000  -1.5000000   0.0000000   1.0000000   0.0000000   0.0000000   0.0000000   0.0000050   0.0000050   0.0000050   0.0000000   0.0000000   0.0000000   0.0014996   0.0014996   0.0014996   0.0000000   0.0000000   0.0000000
 0.0150000  -1.5000000   0.0000001   1.0000000   0.0000000   0.0000000   0.0000000   0.0000155   0.0000155   0.0000155   0.0000000   0.0000000   0.0000000   0.0025892   0.0025892   0.0025892   0.0000000   0.0000000   0.0000000
 0.0200000  -1.5000000   0.0000002   1.0000000   0.0000000   0.0000000   0.0000001   0.0000296   0.0000296   0.0000296   0.0000000   0.0000000   0.0000000   0.0029289   0.0029289   0.0029289   0.0000000   0.0000000   0.0000000
 0.0250000  -1.5000000   0.0000004   1.0000000   0.0000000   0.0000000   0.0000002   0.0000436   0.0000436   0.0000436   0.0000000   0.0000000   0.0000000   0.0025185   0.0025185   0.0025185   0.0000000   0.0000000   0.0000000
 0.0300000  -1.5000000   0.0000006   1.0000000   0.0000000   0.0000000   0.0000004   0.0000536   0.0000536   0.0000536   0.0000000   0.0000000   0.0000000   0.0013619   0.0013619   0.0013619   0.0000000   0.0000000   0.0000000
 0.0350000  -1.5000000   0.0000009   1.0000000   0.0000000   0.0000000   0.0000006   0.0000574   0.0000574   0.0000574   0.0000000   0.0000000   0.0000000   0.0003076   0.0003076   0.0003076   0.0000000   0.0000000   0.0000000
 0.0400000  -1.5000000   0.0000012   1.0000000   0.0000000   0.0000000   0.0000008   0.0000579   0.0000579   0.0000579   0.0000000   0.0000000   0.0000000   0.0000033  -0.0000033   0.0000033   0.0000000   0.0000000   0.0000000
 0.0450000  -1.5000000   0.0000015   1.0000000   0.0000000   0.0000000   0.0000010   0.0000587   0.0000571   0.0000587   0.0000000   0.0000000   0.0000000   0.0004491  -0.0004491   0.0004491   0.0000000   0.0000000   0.0000000
 0.0500000  -1.5000000   0.0000017   1.0000000   0.0000000   0.0000000   0.0000012   0.0000636   0.0000522   0.0000636   0.0000000   0.0000000   0.0000000   0.0016448  -0.0016448   0.0016448   0.0000000   0.0000000   0.0000000
 0.0550000  -1.5000000   0.0000020   1.0000000   0.0000000   0.0000000   0.0000014   0.0000764   0.0000394   0.0000764   0.0000000   0.0000000   0.0000000   0.0035905  -0.0035905   0.0035905   0.0000000   0.0000000   0.0000000
 0.0600000  -1.5000000   0.0000021   1.0000000   0.0000000   0.0000000   0.0000016   0.0001008   0.0000150   0.0001008   0.0000000   0.0000000   0.0000000   0.0062863  -0.0062863   0.0062863   0.0000000   0.0000000   0.0000000
 0.0650000  -1.5000000   0.0000021   1.0000000   0.0000000   0.0000000   0.0000017   0.0001405  -0.0000247   0.0001405   0.0000000   0.0000000   0.0000000   0.0097320  -0.0097320   0.0097320   0.0000000   0.0000000   0.0000000
 0.0700000  -1.5000000   0.0000018   1.0000000   0.0000000   0.0000000   0.0000018   0.0001994  -0.0000836   0.0001994   0.0000000   0.0000000   0.0000000   0.0139277  -0.0139277   0.0139277   0.0000000   0.0000000   0.0000000
 0.0750000  -1.4999900   0.0000012   1.0000100   0.0000000   0.0000000   0.0000017   0.0002811  -0.0001653   0.0002811   0.0000000   0.0000000   0.0000000   0.0188734  -0.0188734   0.0188734   0.0000000   0.0000000   0.0000000
 0.0800000  -1.4999900   0.0000001   1.0000100   0.0000000   0.0000000   0.0000014   0.0003894  -0.0002735   0.0003894   0.0000000   0.0000000   0.0000000   0.0245692  -0.0245692   0.0245692   0.0000000   0.0000000   0.0000000
 0.0850000  -1.4999900  -0.0000016   1.0000100   0.0000000   0.0000000   0.0000009   0.0005280  -0.0004122   0.0005280   0.0000000   0.0000000   0.0000000   0.0310149  -0.0310149   0.0310149   0.0000000   0.0000000   0.0000000
 0.0900000  -1.4999900  -0.0000040   1.0000100   0.0000000   0.0000000  -0.0000000   0.0007008  -0.0005849   0.0007008   0.0000000   0.0000000   0.0000000   0.0382106  -0.0382106   0.0382106   0.0000000   0.0000000   0.0000000
 0.0950000  -1.4999800  -0.0000075   1.0000200   0.0000000   0.0000000  -0.0000013   0.0009114  -0.0007956   0.0009114   0.0000000   0.0000000   0.0000000   0.0461564  -0.0461564   0.0461564   0.0000000   0.0000000   0.0000000
 0.1000000  -1.4999800  -0.0000121   1.0000200   0.0000000   0.0000000  -0.0000031   0.0011636  -0.0010478   0.0011636   0.0000000   0.0000000   0.0000000   0.0548521  -0.0548521   0.0548521   0.0000000   0.0000000   0.0000000
 0.1050000  -1.4999700  -0.0000180   1.0000300   0.0000000   0.0000000  -0.0000055   0.0014611  -0.0013453   0.0014611   0.0000000   0.0000000   0.0000000   0.0642978  -0.0642978   0.0642978   0.0000000   0.0000000   0.0000000
 0.1100000  -1.4999600  -0.0000256   1.0000400   0.0000000   0.0000000  -0.0000087   0.0018078  -0.0016920   0.0018078   0.0000000   0.0000000   0.0000000   0.0744935  -0.0744935   0.0744935   0.0000000   0.0000000   0.0000000
 0.1150000  -1.4999500  -0.0000350   1.0000500   0.0000000   0.0000000  -0.0000127   0.0022073  -0.0020915   0.0022073   0.0000000   0.0000000   0.0000000   0.0854393  -0.0854393   0.0854393   0.0000000   0.0000000   0.0000000
 0.1200000  -1.4999400  -0.0000466   1.0000600   0.0000000   0.0000000  -0.0000178   0.0026634  -0.0025476   0.0026634   0.0000000   0.0000000   0.0000000   0.0971350  -0.0971350   0.0971350   0.0000000   0.0000000   0.0000000
 0.1250000  -1.4999300  -0.0000606   1.0000700   0.0000000   0.0000000  -0.0000240   0.0031799  -0.0030641   0.0031799   0.0000000   0.0000000   0.0000000   0.1095810  -0.1095810   0.1095810   0.0000000   0.0000000   0.0000000
 0.1300000  -1.4999100  -0.0000774   1.0000900   0.0000000   0.0000000  -0.0000315   0.0037605  -0.0036447   0.0037605   0.0000000   0.0000000   0.0000000   0.1227760  -0.1227760   0.1227760   0.0000000   0.0000000   0.0000000
 0.1350000  -1.4998900  -0.0000972   1.0001100   0.0000000   0.0000000  -0.0000405   0.0044089  -0.0042931   0.0044089   0.0000000   0.0000000   0.0000000   0.1367220  -0.1367220   0.1367220   0.0000000   0.0000000   0.0000000
 0.1400000  -1.4998700  -0.0001204   1.0001300   0.0000000   0.0000000  -0.0000511   0.0051290  -0.0050132   0.0051290   0.0000000   0.0000000   0.0000000   0.1514180  -0.1514180   0.1514180   0.0000000   0.0000000   0.0000000
 0.1450000  -1.4998400  -0.0001474   1.0001600   0.0000000   0.0000000  -0.0000635   0.0059244  -0.0058085   0.0059244   0.0000000   0.0000000   0.0000000   0.1668640  -0.1668640   0.1668640   0.0000000   0.0000000   0.0000000
 0.1500000  -1.4998100  -0.0001786   1.0001900   0.0000000   0.0000000  -0.0000780   0.0067989  -0.0066831   0.0067989   0.0000000   0.0000000   0.0000000   0.1830590  -0.1830590   0.1830590   0.0000000   0.0000000   0.0000000
 0.1550000  -1.4997700  -0.0002144   1.0002300   0.0000000   0.0000000  -0.0000948   0.0077562  -0.0076404   0.0077562   0.0000000   0.0000000   0.0000000   0.2000050  -0.2000050   0.2000050   0.0000000   0.0000000   0.0000000
 0.1600000  -1.4997300  -0.0002552   1.0002700   0.0000000   0.0000000  -0.0001140   0.0088001  -0.0086844   0.0088001   0.0000000   0.0000000   0.0000000   0.2177010  -0.2177010   0.2177010   0.0000000   0.0000000   0.0000000
 0.1650000  -1.4996800  -0.0003014   1.0003200   0.0000000   0.0000000  -0.0001358   0.0099345  -0.0098186   0.0099345   0.0000000   0.0000000   0.0000000   0.2361470  -0.2361470   0.2361470   0.0000000   0.0000000   0.0000000
 0.1700000  -1.4996300  -0.0003535   1.0003700   0.0000000   0.0000000  -0.0001606   0.0111629  -0.0110471   0.0111629   0.0000000   0.0000000   0.0000000   0.2553420  -0.2553420   0.2553420   0.0000000   0.0000000   0.0000000
 0.1750000  -1.4995700  -0.0004120   1.0004300   0.0000000   0.0000000  -0.0001886   0.0124891  -0.0123733   0.0124891   0.0000000   0.0000000   0.0000000   0.2752880  -0.2752880   0.2752880   0.0000000   0.0000000   0.0000000
 0.1800000  -1.4995000  -0.0004774   1.0005000   0.0000000   0.0000000  -0.0002199   0.0139170  -0.0138012   0.0139170   0.0000000   0.0000000   0.0000000   0.2959840  -0.2959840   0.2959840   0.0000000   0.0000000   0.0000000
 0.1850000  -1.4994300  -0.0005502   1.0005700   0.0000000   0.0000000  -0.0002549   0.0154502  -0.0153344   0.0154502   0.0000000   0.0000000   0.0000000   0.3174290  -0.3174290   0.3174290   0.0000000   0.0000000   0.0000000
 0.1900000  -1.4993500  -0.0006310   1.0006500   0.0000000   0.0000000  -0.0002938   0.0170925  -0.0169767   0.0170925   0.0000000   0.0000000   0.0000000   0.3396250  -0.3396250   0.3396250   0.0000000   0.0000000   0.0000000
 0.1950000  -1.4992600  -0.0007202   1.0007400   0.0000000   0.0000000  -0.0003368   0.0188477  -0.0187319   0.0188477   0.0000000   0.0000000   0.0000000   0.3625710  -0.3625710   0.3625710   0.0000000   0.0000000   0.0000000
 0.2000000  -1.4991600  -0.0008185   1.0008400   0.0000000   0.0000000  -0.0003840   0.0207195  -0.0206037   0.0207195   0.0000000   0.0000000   0.0000000   0.3862670  -0.3862670   0.3862670   0.0000000   0.0000000   0.0000000
 0.2050000  -1.4990500  -0.0009264   1.0009500   0.0000000   0.0000000  -0.0004357   0.0227116  -0.0225958   0.0227116   0.0000000   0.0000000   0.0000000   0.4107120  -0.4107120   0.4107120   0.0000000   0.0000000   0.0000000
 0.2100000  -1.4989300  -0.0010446   1.0010700   0.0000000   0.0000000  -0.0004921   0.0248279  -0.0247121   0.0248279   0.0000000   0.0000000   0.0000000   0.4359080  -0.4359080   0.4359080   0.0000000   0.0000000   0.0000000
 0.2150000  -1.4988000  -0.0011738   1.0012000   0.0000000   0.0000000  -0.0005532   0.0270720  -0.0269562   0.0270720   0.0000000   0.0000000   0.0000000   0.4618540  -0.4618540   0.4618540   0.0000000   0.0000000   0.0000000
 0.2200000  -1.4986600  -0.0013144   1.0013400   0.0000000   0.0000000  -0.0006194   0.0294477  -0.0293319   0.0294477   0.0000000   0.0000000   0.0000000   0.4885500  -0.4885500   0.4885500   0.0000000   0.0000000   0.0000000
 0.2250000  -1.4985100  -0.0014673   1.0014900   0.0000000   0.0000000  -0.0006908   0.0319587  -0.0318429   0.0319587   0.0000000   0.0000000   0.0000000   0.5159950  -0.5159950   0.5159950   0.0000000   0.0000000   0.0000000
 0.2300000  -1.4983400  -0.0016331   1.0016600   0.0000000   0.0000000  -0.0007674   0.0346089  -0.0344931   0.0346089   0.0000000   0.0000000   0.0000000   0.5441910  -0.5441910   0.5441910   0.0000000   0.0000000   0.0000000
 0.2350000  -1.4981600  -0.0018125   1.0018400   0.0000000   0.0000000  -0.0008494   0.0374019  -0.0372861   0.0374019   0.0000000   0.0000000   0.0000000   0.5731370  -0.5731370   0.5731370   0.0000000   0.0000000   0.0000000
 0.2400000  -1.4979700  -0.0020062   1.0020300   0.0000000   0.0000000  -0.0009370   0.0403415  -0.0402257   0.0403415   0.0000000   0.0000000   0.0000000   0.6028330  -0.6028330   0.6028330   0.0000000   0.0000000   0.0000000
 0.2450000  -1.4977600  -0.0022150   1.0022400   0.0000000   0.0000000  -0.0010303   0.0434315  -0.0433156   0.0434315   0.0000000   0.0000000   0.0000000   0.6332780  -0.6332780   0.6332780   0.0000000   0.0000000   0.0000000
 0.2500000  -1.4975300  -0.0024396   1.0024700   0.0000000   0.0000000  -0.0011293   0.0466755  -0.0465597   0.0466755   0.0000000   0.0000000   0.0000000   0.6644740  -0.6644740   0.6644740   0.0000000   0.0000000   0.0000000
 0.2550000  -1.4972900  -0.0026808   1.0027100   0.0000000   0.0000000  -0.0012342   0.0500774  -0.0499616   0.0500774   0.0000000   0.0000000   0.0000000   0.6964200  -0.6964200   0.6964200   0.0000000   0.0000000   0.0000000
 0.2600000  -1.4970300  -0.0029395   1.0029700   0.0000000   0.0000000  -0.0013450   0.0536410  -0.0535252   0.0536410   0.0000000   0.0000000   0.0000000   0.7291150  -0.7291150   0.7291150   0.0000000   0.0000000   0.0000000
 0.2650000  -1.4967600  -0.0032164   1.0032400   0.0000000   0.0000000  -0.0014619   0.0573698  -0.0572540   0.0573698   0.0000000   0.0000000   0.0000000   0.7624570  -0.7624570   0.7624570   0.0000000   0.0000000   0.0000000
 0.2700000  -1.4964600  -0.0035123   1.0035400   0.0000000   0.0000000  -0.0015848   0.0612646  -0.0611488   0.0612646   0.0000000   0.0000000   0.0000000   0.7953430  -0.7953430   0.7953430   0.0000000   0.0000000   0.0000000
 0.2750000  -1.4961400  -0.0038281   1.0038600   0.0000000   0.0000000  -0.0017139   0.0653220  -0.0652062   0.0653220   0.0000000   0.0000000   0.0000000   0.8274790  -0.8274790   0.8274790   0.0000000   0.0000000   0.0000000
 0.2800000  -1.4958100  -0.0041646   1.0041900   0.0000000   0.0000000  -0.0018491   0.0695381  -0.0694223   0.0695381   0.0000000   0.0000000   0.0000000   0.8588660  -0.8588660   0.8588660   0.0000000   0.0000000   0.0000000
 0.2850000  -1.4954500  -0.0045226   1.0045500   0.0000000   0.0000000  -0.0019905   0.0739094  -0.0737936   0.0739094   0.0000000   0.0000000   0.0000000   0.8895020  -0.8895020   0.8895020   0.0000000   0.0000000   0.0000000
 0.2900000  -1.4950700  -0.0049028   1.0049300   0.0000000   0.0000000  -0.0021382   0.0784319  -0.0783161   0.0784319   0.0000000   0.0000000   0.0000000   0.9193880  -0.9193880   0.9193880   0.0000000   0.0000000   0.0000000
 0.2950000  -1.4946600  -0.0053060   1.0053400   0.0000000   0.0000000  -0.0022921   0.0831020  -0.0829862   0.0831020   0.0000000   0.0000000   0.0000000   0.9485250  -0.9485250   0.9485250   0.0000000   0.0000000   0.0000000
 0.3000000  -1.4942300  -0.0057329   1.0057700   0.0000000   0.0000000  -0.0024523   0.0879159  -0.0878001   0.0879159   0.0000000   0.0000000   0.0000000   0.9769110  -0.9769110   0.9769110   0.0000000   0.0000000   0.0000000
 0.3050000  -1.4937800  -0.0061842   1.0062200   0.0000000   0.0000000  -0.0026187   0.0928699  -0.0927541   0.0928699   0.0000000   0.0000000   0.0000000   1.0045500  -1.0045500   1.0045500   0.0000000   0.0000000   0.0000000
 0.3100000  -1.4933100  -0.0066607   1.0066900   0.0000000   0.0000000  -0.0027914   0.0979601  -0.0978443   0.0979601   0.0000000   0.0000000   0.0000000   1.0314300  -1.0314300   1.0314300   0.0000000   0.0000000   0.0000000
 0.3150000  -1.4928000  -0.0071629   1.0072000   0.0000000   0.0000000  -0.0029703   0.1031830  -0.1030670   0.1031830   0.0000000   0.0000000   0.0000000   1.0575700  -1.0575700   1.0575700   0.0000000   0.0000000   0.0000000
 0.3200000  -1.4922700  -0.0076916   1.0077300   0.0000000   0.0000000  -0.0031555   0.1085350  -0.1084190   0.1085350   0.0000000   0.0000000   0.0000000   1.0829600  -1.0829600   1.0829600   0.0000000   0.0000000   0.0000000
 0.3250000  -1.4917200  -0.0082473   1.0082800   0.0000000   0.0000000  -0.0033469   0.1140110  -0.1138950   0.1140110   0.0000000   0.0000000   0.0000000   1.1075900  -1.1075900   1.1075900   0.0000000   0.0000000   0.0000000
 0.3300000  -1.4911300  -0.0088307   1.0088700   0.0000000   0.0000000  -0.0035446   0.1196090  -0.1194930   0.1196090   0.0000000   0.0000000   0.0000000   1.1314800  -1.1314800   1.1314800   0.0000000   0.0000000   0.0000000
 0.3350000  -1.4905200  -0.0094424   1.0094800   0.0000000   0.0000000  -0.0037485   0.1253250  -0.1252090   0.1253250   0.0000000   0.0000000   0.0000000   1.1546200  -1.1546200   1.1546200   0.0000000   0.0000000   0.0000000
 0.3400000  -1.4898800  -0.0100830   1.0101200   0.0000000   0.0000000  -0.0039586   0.1311540  -0.1310380   0.1311540   0.0000000   0.0000000   0.0000000   1.1770000  -1.1770000   1.1770000   0.0000000   0.0000000   0.0000000
 0.3450000  -1.4892100  -0.0107530   1.0107900   0.0000000   0.0000000  -0.0041750   0.1370940  -0.1369780   0.1370940   0.0000000   0.0000000   0.0000000   1.1986400  -1.1986400   1.1986400   0.0000000   0.0000000   0.0000000
 0.3500000  -1.4885100  -0.0114530   1.0114900   0.0000000   0.0000000  -0.0043977   0.1431390  -0.1430230   0.1431390   0.0000000   0.0000000   0.0000000   1.2195200  -1.2195200   1.2195200   0.0000000   0.0000000   0.0000000
 0.3550000  -1.4877800  -0.0121834   1.0122200   0.0000000   0.0000000  -0.0046266   0.1492880  -0.1491720   0.1492880   0.0000000   0.0000000   0.0000000   1.2396600  -1.2396600   1.2396600   0.0000000   0.0000000   0.0000000
 0.3600000  -1.4870200  -0.0129448   1.0129800   0.0000000   0.0000000  -0.0048618   0.1555350  -0.1554190   0.1555350   0.0000000   0.0000000   0.0000000   1.2590500  -1.2590500   1.2590500   0.0000000   0.0000000   0.0000000
 0.3650000  -1.4862200  -0.0137377   1.0137800   0.0000000   0.0000000  -0.0051032   0.1618770  -0.1617610   0.1618770   0.0000000   0.0000000   0.0000000   1.2776800  -1.2776800   1.2776800   0.0000000   0.0000000   0.0000000
 0.3700000  -1.4854000  -0.0145626   1.0146000   0.0000000   0.0000000  -0.0053509   0.1683100  -0.1681940   0.1683100   0.0000000   0.0000000   0.0000000   1.2955700  -1.2955700   1.2955700   0.0000000   0.0000000   0.0000000
 0.3750000  -1.4845400  -0.0154198   1.0154600   0.0000000   0.0000000  -0.0056048   0.1748310  -0.1747150   0.1748310   0.0000000   0.0000000   0.0000000   1.3127100  -1.3127100   1.3127100   0.0000000   0.0000000   0.0000000
 0.3800000  -1.4836500  -0.0163099   1.0163500   0.0000000   0.0000000  -0.0058650   0.1814360  -0.1813200   0.1814360   0.0000000   0.0000000   0.0000000   1.3290900  -1.3290900   1.3290900   0.0000000   0.0000000   0.0000000
 0.3850000  -1.4827200  -0.0172332   1.0172800   0.0000000   0.0000000  -0.0061314   0.1881210  -0.1880050   0.1881210   0.0000000   0.0000000   0.0000000   1.3447300  -1.3447300   1.3447300   0.0000000   0.0000000   0.0000000
 0.3900000  -1.4817700  -0.0181901   1.0182300   0.0000000   0.0000000  -0.0064040   0.1948820  -0.1947660   0.1948820   0.0000000   0.0000000   0.0000000   1.3596100  -1.3596100   1.3596100   0.0000000   0.0000000   0.0000000
 0.3950000  -1.4807800  -0.0191810   1.0192200   0.0000000   0.0000000  -0.0066830   0.2017160  -0.2016000   0.2017160   0.0000000   0.0000000   0.0000000   1.3737500  -1.3737500   1.3737500   0.0000000   0.0000000   0.0000000
 0.4000000  -1.4797500  -0.0202062   1.0202500   0.0000000   0.0000000  -0.0069681   0.2086180  -0.2085030   0.2086180   0.0000000   0.0000000   0.0000000   1.3871400  -1.3871400   1.3871400   0.0000000   0.0000000   0.0000000
 0.4050000  -1.4786900  -0.0212661   1.0213100   0.0000000   0.0000000  -0.0072595   0.2155860  -0.2154700   0.2155860   0.0000000   0.0000000   0.0000000   1.3997700  -1.3997700   1.3997700   0.0000000   0.0000000   0.0000000
