# pom logged on Wed Nov  8 13:33:03 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1699446783.184600000 0 1 1 1 1 1 -0.991474 -0.00367914 0.99773 -0.010243 -0.00663408 -0.00531777 -0.00329529 0.0167026 0.00696004 -0.0159997 -0.0632994 0.00707175 -0.0664642 0.143761 0.286298 3.09195e-07 3.09193e-07 2.97322e-07 2.53649e-06 2.53639e-06 2.63442e-06 3.92315e-05 3.92312e-05 3.61032e-05 3.92315e-05 3.92312e-05 3.61032e-05 0.0488233 0.0488233 0.0485899
1699446783.188437000 0 1 1 1 1 1 -0.991469 -0.00369122 0.997666 -0.0104245 -0.00664281 -0.00530144 -0.0033903 0.0166939 0.00172314 -0.0230225 -0.0379358 0.00571406 -0.0623398 0.141666 -0.178324 2.96856e-07 2.96855e-07 2.85897e-07 2.57817e-06 2.57807e-06 2.67578e-06 3.97994e-05 3.97991e-05 3.6798e-05 3.97994e-05 3.97991e-05 3.6798e-05 0.0779543 0.0779543 0.0777252
1699446783.193947000 0 1 1 1 1 1 -0.991458 -0.00374022 0.997588 -0.0109783 -0.00705865 -0.00536728 -0.00308247 0.0157453 -0.00322875 -0.0528713 -0.0507287 -0.00123237 -0.0257048 0.0912023 -0.362102 2.72074e-07 2.72073e-07 2.62867e-07 2.52518e-06 2.52506e-06 2.62213e-06 3.82975e-05 3.82973e-05 3.55722e-05 3.82975e-05 3.82973e-05 3.55722e-05 0.0801393 0.0801393 0.0799311
1699446783.198491000 0 1 1 1 1 1 -0.991473 -0.00366412 0.99768 -0.0108556 -0.00758038 -0.00556579 -0.00330451 0.0165799 0.00750356 -0.0234453 -0.072181 -0.0167958 -0.0367143 0.122265 0.499688 2.93738e-07 2.93737e-07 2.83047e-07 2.54226e-06 2.54212e-06 2.6393e-06 3.90966e-05 3.90963e-05 3.6153e-05 3.90966e-05 3.90963e-05 3.6153e-05 0.0666057 0.0666057 0.0663834
1699446783.203489000 0 1 1 1 1 1 -0.99148 -0.00369297 0.997575 -0.0109178 -0.0070673 -0.00551879 -0.00356939 0.0165456 -0.0031166 -0.0161092 0.00217577 -0.00444419 -0.0449533 0.131093 -0.453773 2.7936e-07 2.79359e-07 2.69673e-07 2.50637e-06 2.50625e-06 2.60275e-06 3.81289e-05 3.81286e-05 3.53279e-05 3.81289e-05 3.81286e-05 3.53279e-05 0.0659234 0.0659234 0.0657019
1699446783.208509000 0 1 1 1 1 1 -0.991491 -0.0036169 0.997539 -0.0111923 -0.00722626 -0.00535253 -0.0029565 0.0162685 -0.00661896 -0.030784 -0.0159983 0.0105431 0.0173862 0.0669077 -0.479254 3.04016e-07 3.04015e-07 2.92632e-07 2.55712e-06 2.557e-06 2.65352e-06 3.96003e-05 3.96e-05 3.65831e-05 3.96003e-05 3.96e-05 3.65831e-05 0.0662898 0.0662898 0.0660783
1699446783.213521000 0 1 1 1 1 1 -0.991511 -0.00361035 0.997576 -0.0109953 -0.00741211 -0.0054047 -0.00334619 0.0166734 0.00251193 0.00169669 -0.0205592 0.0024961 -0.0216548 0.11349 0.328448 2.97219e-07 2.97218e-07 2.86351e-07 2.54122e-06 2.54109e-06 2.63739e-06 3.91294e-05 3.91291e-05 3.61833e-05 3.91294e-05 3.91291e-05 3.61833e-05 0.066453 0.066453 0.066235
1699446783.218946000 0 1 1 1 1 1 -0.99153 -0.00361513 0.997469 -0.0109901 -0.00664915 -0.00541964 -0.00340338 0.0165332 -0.00717657 0.00592543 0.0490703 0.000462011 -0.0127742 0.102588 -0.486854 2.91411e-07 2.9141e-07 2.81002e-07 2.54849e-06 2.54839e-06 2.64462e-06 3.90692e-05 3.90689e-05 3.61901e-05 3.90692e-05 3.90689e-05 3.61901e-05 0.0773038 0.0773037 0.0770848
1699446783.223506000 0 1 1 1 1 1 -0.991538 -0.00354495 0.997443 -0.0109405 -0.00682626 -0.00549491 -0.0025488 0.016346 -0.00760517 0.0093664 0.0125398 -0.00605315 0.0537678 0.060539 -0.297866 3.14545e-07 3.14543e-07 3.02523e-07 2.57272e-06 2.57261e-06 2.66885e-06 4.00013e-05 4.0001e-05 3.69209e-05 4.00013e-05 4.0001e-05 3.69209e-05 0.0661765 0.0661765 0.0659638
1699446783.228500000 0 1 1 1 1 1 -0.99154 -0.00354822 0.997443 -0.0106772 -0.0065801 -0.00546031 -0.00274607 0.0164794 -0.0014107 0.0305032 0.0335347 0.00101919 0.00844185 0.0940537 0.222021 3.07222e-07 3.07221e-07 2.95801e-07 2.55762e-06 2.55753e-06 2.65405e-06 3.9437e-05 3.94368e-05 3.64358e-05 3.9437e-05 3.94368e-05 3.64358e-05 0.0659613 0.0659613 0.0657404
