# logged on Wed Nov  8 13:33:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699446783.250545000  1000.57 0 50.0099  15.996  nan  0.0906101 -0.0382688 -0.013789  0.0906101 -0.0382688 -0.013789  0.200767 -0.0048003 10.9788  0.200767 -0.0048003 10.9788  nan nan nan  nan nan nan  72.1497 70.0081 67.4145 67.0966 - - - - 70.4424 70.4424 68.4182 65.9544 nan nan nan nan 138 146 134 71 0 0 0 0
1699446783.255553000  1000.56 0 50.0069  -  nan  0.0179698 0.143525 0.00781726  0.0179698 0.143525 0.00781726  -0.0346142 0.0915948 9.82242  -0.0346142 0.0915948 9.82242  - - -  - - -  71.2338 69.2716 68.1199 67.0574 - - - - - - - 66.507 - - - - 138 146 134 71 0 0 0 0
1699446783.260544000  1000.57 0 50.0072  -  nan  0.0324907 0.0870954 -0.0042213  0.0324907 0.0870954 -0.0042213  0.0145187 -0.0446886 9.31862  0.0145187 -0.0446886 9.31862  - - -  - - -  71.8701 69.7866 67.3341 66.6685 - - - - - - 66.8807 - - - - - 138 146 134 71 0 0 0 0
1699446783.265590000  1000.56 0 50.0076  -  nan  0.0619115 -0.0674615 -0.0419159  0.0619115 -0.0674615 -0.0419159  0.150037 -0.00575086 11.2079  0.150037 -0.00575086 11.2079  - - -  - - -  72.0242 69.7001 67.5963 66.7785 - - - - 70.4424 70.2346 - - - - - - 138 146 134 71 0 0 0 0
1699446783.270567000  1000.57 0 50.0059  -  nan  -0.0249441 0.114456 -0.00576534  -0.0249441 0.114456 -0.00576534  -0.0314345 0.0934959 9.36351  -0.0314345 0.0934959 9.36351  - - -  - - -  71.0675 68.9661 68.5216 66.3954 - - - - - - - 66.8807 - - - - 138 146 134 71 0 0 0 0
1699446783.275557000  1000.56 0 50.0059  -  nan  0.032961 0.00311015 -0.00195004  0.032961 0.00311015 -0.00195004  -0.034227 -0.044453 9.26141  -0.034227 -0.044453 9.26141  - - -  - - -  71.7187 69.7031 67.929 66.0973 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699446783.280548000  1000.57 0 50.0053  -  nan  0.0196543 -0.108801 -0.0128832  0.0196543 -0.108801 -0.0128832  0.10288 0.0405476 11.0886  0.10288 0.0405476 11.0886  - - -  - - -  71.0459 69.5716 68.4038 66.5337 - - - - - - 66.8807 - - - - - 138 146 134 71 0 0 0 0
1699446783.285585000  1000.56 0 50.008  -  nan  -0.0671321 0.0867511 0.00815354  -0.0671321 0.0867511 0.00815354  -0.0805659 0.0483877 9.19475  -0.0805659 0.0483877 9.19475  - - -  - - -  70.0194 69.7349 68.7528 65.7982 - - - - 72.1501 70.4424 - - - - - - 138 146 134 71 0 0 0 0
1699446783.290560000  1000.57 0 50.0072  -  nan  0.0333539 -0.0670423 -5.28709e-05  0.0333539 -0.0670423 -5.28709e-05  0.0604786 -0.0465898 9.77787  0.0604786 -0.0465898 9.77787  - - -  - - -  70.9504 70.4678 68.1461 65.6338 - - - - - - - 65.2316 - - - - 138 146 134 71 0 0 0 0
1699446783.295551000  1000.56 0 50.0072  -  nan  0.00444392 -0.108696 0.000664489  0.00444392 -0.108696 0.000664489  0.00658457 0.0417338 10.8016  0.00658457 0.0417338 10.8016  - - -  - - -  70.0521 69.7932 69.0396 66.3185 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699446783.300550000  1000.57 0 50.0075  -  nan  -0.138599 0.0590761 0.0354246  -0.138599 0.0590761 0.0354246  -0.0294424 0.0495739 8.90879  -0.0294424 0.0495739 8.90879  - - -  - - -  69.654 70.293 68.8968 65.7589 - - - - - - 68.4182 - - - - - 138 146 134 71 0 0 0 0
