# logged on Mon Nov 13 16:42:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890178.905825000  1000.01 0 49.994  15.318  nan  0.104209 0.0457914 -0.0158648  0.104209 0.0457914 -0.0158648  0.0228769 0.051475 8.45024  0.0228769 0.051475 8.45024  nan nan nan  nan nan nan  70.6194 69.0594 68.3682 66.9464 - - - - 69.8227 70.028 69.6185 66.8807 nan nan nan nan 138 0 134 71 0 0 0 0
1699890178.910875000  1000 0 49.994  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  0.104825 -0.0955084 10.2992  0.104825 -0.0955084 10.2992  - - -  - - -  71.2508 68.9881 68.6168 67.5821 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890178.915828000  999.999 0 49.9933  -  nan  0.00387244 0.0175907 -0.0165129  0.00387244 0.0175907 -0.0165129  -0.0916864 -0.00337445 10.6325  -0.0916864 -0.00337445 10.6325  - - -  - - -  70.9311 69.2081 68.4207 67.0132 - - - - - - 69.0131 66.6933 - - - - 138 0 134 71 0 0 0 0
1699890178.920842000  999.992 0 49.9939  -  nan  0.0749112 0.073302 -0.0170179  0.0749112 0.073302 -0.0170179  0.0216811 0.05076 8.62282  0.0216811 0.05076 8.62282  - - -  - - -  70.9878 69.2358 68.2951 66.9315 - - - - - 68.2221 - - - - - - 138 0 134 71 0 0 0 0
1699890178.925831000  999.991 0 49.9955  -  nan  -0.0103094 -0.0107675 0.0115808  -0.0103094 -0.0107675 0.0115808  0.102448 -0.0969302 10.6424  0.102448 -0.0969302 10.6424  - - -  - - -  71.692 69.1184 68.3499 67.684 - - - - 71.0732 - - - - - - - 138 0 134 71 0 0 0 0
1699890178.930885000  999.992 0 49.9955  -  nan  0.00352141 0.0317941 0.0106273  0.00352141 0.0317941 0.0106273  -0.0857377 0.0904087 10.1084  -0.0857377 0.0904087 10.1084  - - -  - - -  70.9253 69.5897 68.2345 66.6192 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890178.935889000  999.991 0 49.9946  -  nan  0.0187137 0.0591695 -0.0174257  0.0187137 0.0591695 -0.0174257  -0.0758046 0.0963476 8.67481  -0.0758046 0.0963476 8.67481  - - -  - - -  70.8827 69.7407 67.9868 66.7609 - - - - - - 67.8334 66.8807 - - - - 138 0 134 71 0 0 0 0
1699890178.940832000  999.992 0 49.9941  -  nan  -0.0663701 -0.0250852 -0.00258414  -0.0663701 -0.0250852 -0.00258414  0.14962 -0.0520534 11.0974  0.14962 -0.0520534 11.0974  - - -  - - -  70.9989 69.9834 68.171 66.9645 - - - - - 69.0131 - - - - - - 138 0 134 71 0 0 0 0
1699890178.945835000  999.993 0 49.9947  -  nan  -0.0386073 0.0177365 0.0104149  -0.0386073 0.0177365 0.0104149  -0.0845487 0.0911195 9.93679  -0.0845487 0.0911195 9.93679  - - -  - - -  70.6934 70.129 68.1255 66.0318 - - - - 71.7154 - - - - - - - 138 0 134 71 0 0 0 0
1699890178.950870000  999.994 0 49.9947  -  nan  -0.0244793 0.031459 -0.0035208  -0.0244793 0.031459 -0.0035208  -0.0773848 0.0051765 8.56844  -0.0773848 0.0051765 8.56844  - - -  - - -  70.9086 70.2745 67.9715 66.0651 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1699890178.955832000  999.995 0 49.9958  -  nan  -0.0941329 -0.0679069 -0.0155832  -0.0941329 -0.0679069 -0.0155832  0.0992844 -0.0527684 11.2697  0.0992844 -0.0527684 11.2697  - - -  - - -  70.9583 70.4141 68.2111 66.3435 - - - - - - 68.6153 65.7722 - - - - 138 0 134 71 0 0 0 0
1699890178.960846000  999.994 0 49.9962  -  nan  -0.0386073 0.0177365 0.0104149  -0.0386073 0.0177365 0.0104149  -0.0809517 0.139323 9.58835  -0.0809517 0.139323 9.58835  - - -  - - -  70.2346 70.599 68.4292 65.4935 - - - - - 69.4155 - - - - - - 138 0 134 71 0 0 0 0
