# pom logged on Mon Nov 13 16:49:16 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1699890556.649303000 0 1 1 1 1 1 -0.984948 -0.00821475 0.995595 -0.0135488 -0.00887075 -0.00528221 -0.0115575 0.0141657 0.000875219 -0.0519418 -0.027895 0.000981563 -0.0726114 0.196896 0.453933 2.07415e-07 2.07415e-07 2.02237e-07 2.01334e-06 2.01319e-06 2.0548e-06 3.32243e-05 3.3224e-05 3.14415e-05 3.32243e-05 3.3224e-05 3.14415e-05 0.0487704 0.0487703 0.0485934
1699890556.653295000 0 1 1 1 1 1 -0.984997 -0.00815549 0.995581 -0.0141423 -0.00854744 -0.00517 -0.0120796 0.015089 9.81484e-05 -0.0865198 0.0118259 0.00990064 -0.0910647 0.207174 0.237296 2.23451e-07 2.23451e-07 2.17485e-07 2.08613e-06 2.08599e-06 2.12763e-06 3.50202e-05 3.50199e-05 3.3097e-05 3.50202e-05 3.50199e-05 3.3097e-05 0.0619977 0.0619976 0.0618122
1699890556.658303000 0 1 1 1 1 1 -0.984979 -0.00821327 0.99552 -0.0147088 -0.00857647 -0.00523162 -0.011863 0.0148432 -0.00593287 -0.0939572 -0.000181134 -0.00100382 -0.0878284 0.191659 -0.313622 2.15843e-07 2.15842e-07 2.1029e-07 2.05222e-06 2.05208e-06 2.09386e-06 3.41417e-05 3.41414e-05 3.22933e-05 3.41417e-05 3.41414e-05 3.22933e-05 0.0518547 0.0518547 0.0516754
1699890556.663307000 0 1 1 1 1 1 -0.985037 -0.00813412 0.995559 -0.0149764 -0.00915866 -0.00540115 -0.0120044 0.0161012 0.00123649 -0.0796248 -0.046959 -0.0149404 -0.0666213 0.215987 0.384888 2.36762e-07 2.36761e-07 2.30157e-07 2.09869e-06 2.09853e-06 2.14036e-06 3.54898e-05 3.54894e-05 3.34696e-05 3.54898e-05 3.54894e-05 3.34696e-05 0.0497837 0.0497837 0.0495998
1699890556.668591000 0 1 1 1 1 1 -0.984994 -0.00818979 0.995523 -0.0159694 -0.00876527 -0.00534887 -0.0118846 0.0159882 -0.000542486 -0.127231 0.00697556 -0.00428311 -0.0949144 0.201152 0.0273021 2.23349e-07 2.23348e-07 2.17464e-07 2.04992e-06 2.04977e-06 2.09183e-06 3.40836e-05 3.40833e-05 3.21727e-05 3.40836e-05 3.40833e-05 3.21727e-05 0.0404025 0.0404024 0.0402131
1699890556.673327000 0 1 1 1 1 1 -0.985052 -0.00811325 0.9955 -0.0162642 -0.00917986 -0.00538822 -0.0123717 0.0167818 -0.00286345 -0.0982928 -0.0338447 -0.00601091 -0.0978919 0.189787 -0.156003 2.43712e-07 2.43711e-07 2.36792e-07 2.14672e-06 2.14655e-06 2.18863e-06 3.64498e-05 3.64494e-05 3.43725e-05 3.64498e-05 3.64494e-05 3.43725e-05 0.0626799 0.0626798 0.0624906
1699890556.678315000 0 1 1 1 1 1 -0.985017 -0.00816339 0.995536 -0.016258 -0.00975882 -0.00534985 -0.0118648 0.0168122 0.00299504 -0.0564605 -0.0651754 0.00183312 -0.078935 0.200343 0.384744 2.32153e-07 2.32152e-07 2.25865e-07 2.10423e-06 2.10404e-06 2.14633e-06 3.53225e-05 3.53221e-05 3.33443e-05 3.53225e-05 3.53221e-05 3.33443e-05 0.0521577 0.0521576 0.0519693
1699890556.683324000 0 1 1 1 1 1 -0.985005 -0.00820747 0.995523 -0.0170502 -0.00946177 -0.00513401 -0.0118964 0.0164844 0.000564881 -0.0967707 -0.0110219 0.0187416 -0.096863 0.174827 0.0290178 2.20848e-07 2.20847e-07 2.15159e-07 2.07392e-06 2.07374e-06 2.11627e-06 3.43555e-05 3.43551e-05 3.24711e-05 3.43555e-05 3.43551e-05 3.24711e-05 0.0499561 0.049956 0.049767
1699890556.688335000 0 1 1 1 1 1 -0.985067 -0.00812337 0.995485 -0.0169369 -0.0100273 -0.00516297 -0.0124812 0.0172879 -0.00400609 -0.0405564 -0.0576382 0.00711817 -0.102915 0.171045 -0.321208 2.42088e-07 2.42087e-07 2.35327e-07 2.12314e-06 2.12294e-06 2.16549e-06 3.57535e-05 3.57531e-05 3.36972e-05 3.57535e-05 3.57531e-05 3.36972e-05 0.0495911 0.049591 0.0494036
1699890556.693302000 0 1 1 1 1 1 -0.985064 -0.00814335 0.995516 -0.0168627 -0.0102959 -0.00524867 -0.0120691 0.0172297 0.000123017 -0.0200002 -0.0532899 -0.00576262 -0.0728718 0.163899 0.121381 2.38979e-07 2.38978e-07 2.32415e-07 2.11586e-06 2.11564e-06 2.1585e-06 3.54066e-05 3.54062e-05 3.33837e-05 3.54066e-05 3.54062e-05 3.33837e-05 0.0488477 0.0488477 0.0486629
1699890556.698300000 0 1 1 1 1 1 -0.985059 -0.0081832 0.995501 -0.0172325 -0.00993357 -0.00520699 -0.0121065 0.0168032 -0.00130192 -0.0420034 -4.11635e-05 0.000107667 -0.089052 0.146463 -0.0391017 2.30663e-07 2.30662e-07 2.24578e-07 2.0987e-06 2.0985e-06 2.14193e-06 3.46638e-05 3.46634e-05 3.27177e-05 3.46638e-05 3.46634e-05 3.27177e-05 0.0488104 0.0488104 0.0486255
1699890556.703303000 0 1 1 1 1 1 -0.985123 -0.00809776 0.995483 -0.0166557 -0.0104485 -0.0052816 -0.0127849 0.0175017 -0.00286848 0.030509 -0.046791 -0.00582698 -0.107271 0.147092 -0.145961 2.52551e-07 2.52549e-07 2.45339e-07 2.14898e-06 2.14875e-06 2.19222e-06 3.60936e-05 3.60931e-05 3.39689e-05 3.60936e-05 3.60931e-05 3.39689e-05 0.0488934 0.0488933 0.0487051
1699890556.708301000 0 1 1 1 1 1 -0.985085 -0.00817575 0.99545 -0.0162961 -0.0103507 -0.0052789 -0.0119571 0.0168665 -0.00177831 0.0409421 -0.0216151 -0.00275553 -0.0687623 0.140559 0.0140896 2.36828e-07 2.36827e-07 2.30497e-07 2.11724e-06 2.11702e-06 2.16118e-06 3.48683e-05 3.48679e-05 3.28822e-05 3.48683e-05 3.48679e-05 3.28822e-05 0.0487769 0.0487769 0.0485921
1699890556.713295000 0 1 1 1 1 1 -0.985145 -0.00809149 0.995435 -0.0164659 -0.00995451 -0.0051748 -0.0122325 0.0173696 -0.00251934 0.0109569 0.0195174 0.00631836 -0.0632406 0.125525 -0.0473701 2.59099e-07 2.59098e-07 2.51609e-07 2.20016e-06 2.19995e-06 2.24412e-06 3.69585e-05 3.69581e-05 3.47896e-05 3.69585e-05 3.69581e-05 3.47896e-05 0.0620448 0.0620447 0.0618551
1699890556.718290000 0 1 1 1 1 1 -0.985103 -0.00820547 0.995376 -0.0154478 -0.0101798 -0.00529477 -0.0120167 0.0165715 -0.00506626 0.0879892 -0.0161052 -0.00824097 -0.0885765 0.14792 -0.209483 2.32921e-07 2.32919e-07 2.2683e-07 2.12918e-06 2.12896e-06 2.17364e-06 3.48685e-05 3.48681e-05 3.29173e-05 3.48685e-05 3.48681e-05 3.29173e-05 0.0518094 0.0518094 0.0516259
1699890556.723304000 0 1 1 1 1 1 -0.985049 -0.00828683 0.995356 -0.0151351 -0.00995447 -0.0053585 -0.0110832 0.01585 -0.00547102 0.0690831 0.0135943 -0.00920503 -0.051804 0.133197 -0.165345 2.16616e-07 2.16615e-07 2.11334e-07 2.08665e-06 2.08644e-06 2.13122e-06 3.36018e-05 3.36014e-05 3.17846e-05 3.36018e-05 3.36014e-05 3.17846e-05 0.0495417 0.0495417 0.0493632
1699890556.728253000 0 1 1 1 1 1 -0.985104 -0.00820958 0.995345 -0.0152513 -0.00962321 -0.00536747 -0.0112819 0.0161897 -0.00419295 0.0324333 0.0343844 -0.00662775 -0.0480035 0.109841 -0.0082978 2.36938e-07 2.36937e-07 2.30654e-07 2.21148e-06 2.21128e-06 2.25607e-06 3.64922e-05 3.64918e-05 3.45056e-05 3.64922e-05 3.64918e-05 3.45056e-05 0.0809922 0.0809922 0.0808105
1699890556.733310000 0 1 1 1 1 1 -0.985069 -0.00829373 0.995312 -0.0140544 -0.00970006 -0.00543217 -0.0111708 0.01601 -0.00513891 0.118506 0.00532832 -0.00851881 -0.0811681 0.165003 -0.0901051 2.17785e-07 2.17784e-07 2.12439e-07 2.12651e-06 2.12632e-06 2.17105e-06 3.45609e-05 3.45605e-05 3.27238e-05 3.45609e-05 3.45605e-05 3.27238e-05 0.0553795 0.0553795 0.0551967
1699890556.738775000 0 1 1 1 1 1 -0.985044 -0.00835224 0.995287 -0.0140032 -0.0092633 -0.00540605 -0.0105347 0.0153897 -0.00666556 0.0632504 0.0397358 -0.00111161 -0.0521619 0.13678 -0.178635 2.10962e-07 2.10961e-07 2.05938e-07 2.11243e-06 2.11225e-06 2.1569e-06 3.41444e-05 3.41441e-05 3.23603e-05 3.41444e-05 3.41441e-05 3.23603e-05 0.0580556 0.0580556 0.0578755
1699890556.743251000 0 1 1 1 1 1 -0.985092 -0.00828234 0.99529 -0.0145233 -0.00905946 -0.00536803 -0.010859 0.0159784 -0.00339563 -0.00258928 0.0388248 0.00136632 -0.0619759 0.136881 0.147583 2.28831e-07 2.2883e-07 2.22937e-07 2.13908e-06 2.1389e-06 2.18357e-06 3.50185e-05 3.50181e-05 3.30814e-05 3.50185e-05 3.50181e-05 3.30814e-05 0.0483456 0.0483456 0.0481598
1699890556.748369000 0 1 1 1 1 1 -0.985029 -0.00839882 0.99528 -0.0139139 -0.0089932 -0.00549918 -0.0103011 0.0157064 -0.00154869 0.0450867 0.0164852 -0.0122487 -0.0689515 0.191548 0.211159 2.01981e-07 2.0198e-07 1.97346e-07 2.04712e-06 2.04696e-06 2.09124e-06 3.26838e-05 3.26835e-05 3.09556e-05 3.26838e-05 3.26835e-05 3.09556e-05 0.0385421 0.0385421 0.0383557
1699890556.753294000 0 1 1 1 1 1 -0.985079 -0.00832351 0.995241 -0.0142791 -0.00870253 -0.00542964 -0.010367 0.0161308 -0.00442113 -0.0108667 0.0361816 -4.32984e-05 -0.0472718 0.14887 -0.101023 2.21076e-07 2.21075e-07 2.15528e-07 2.11536e-06 2.1152e-06 2.1595e-06 3.4496e-05 3.44957e-05 3.26003e-05 3.4496e-05 3.44957e-05 3.26003e-05 0.0487663 0.0487663 0.0485764
1699890556.758293000 0 1 1 1 1 1 -0.985066 -0.00836778 0.995294 -0.0148621 -0.00874915 -0.00537791 -0.0105606 0.0160778 0.00156861 -0.0542818 0.0136342 0.00387382 -0.0888378 0.169827 0.397908 2.15912e-07 2.15911e-07 2.10596e-07 2.09943e-06 2.09926e-06 2.14335e-06 3.41326e-05 3.41322e-05 3.22718e-05 3.41326e-05 3.41322e-05 3.22718e-05 0.0486664 0.0486664 0.0484774
1699890556.763813000 0 1 1 1 1 1 -0.98503 -0.00843068 0.995351 -0.0145422 -0.00902917 -0.00543222 -0.0102489 0.0162969 0.00476437 0.00186431 -0.0162942 -0.00345751 -0.0835968 0.208587 0.436296 2.04715e-07 2.04715e-07 1.9992e-07 2.08213e-06 2.08196e-06 2.12596e-06 3.35863e-05 3.3586e-05 3.18083e-05 3.35863e-05 3.3586e-05 3.18083e-05 0.0577362 0.0577362 0.0575447
1699890556.768287000 0 1 1 1 1 1 -0.985074 -0.00836054 0.995328 -0.0150274 -0.00882059 -0.00537282 -0.0103847 0.0166679 0.00102716 -0.0421816 0.00921021 0.00289626 -0.0669649 0.165441 0.00796155 2.2228e-07 2.22279e-07 2.16634e-07 2.14489e-06 2.14472e-06 2.18874e-06 3.5212e-05 3.52116e-05 3.32765e-05 3.5212e-05 3.52116e-05 3.32765e-05 0.0619774 0.0619773 0.0617817
1699890556.773812000 0 1 1 1 1 1 -0.985087 -0.00835951 0.99538 -0.0156286 -0.00898338 -0.00535722 -0.0107505 0.0170299 0.00488369 -0.0709569 -0.0138546 -0.000462356 -0.0998231 0.184959 0.299372 2.27218e-07 2.27216e-07 2.21329e-07 2.15708e-06 2.1569e-06 2.20103e-06 3.55928e-05 3.55924e-05 3.36136e-05 3.55928e-05 3.55924e-05 3.36136e-05 0.0607945 0.0607945 0.0605994
1699890556.778291000 0 1 1 1 1 1 -0.985136 -0.00827744 0.995421 -0.0152411 -0.009399 -0.00547127 -0.0112271 0.0183047 0.00802163 -0.0115418 -0.0421911 -0.0106732 -0.10003 0.216121 0.417782 2.46536e-07 2.46534e-07 2.39649e-07 2.18158e-06 2.18138e-06 2.22557e-06 3.64651e-05 3.64646e-05 3.43128e-05 3.64651e-05 3.64646e-05 3.43128e-05 0.0495076 0.0495076 0.0493024
1699890556.783288000 0 1 1 1 1 1 -0.985076 -0.0083514 0.995407 -0.0158939 -0.00921024 -0.00536973 -0.0104318 0.0173417 0.00107393 -0.0641108 -0.00673038 0.00081486 -0.0690735 0.157257 -0.285056 2.30562e-07 2.30561e-07 2.24526e-07 2.14266e-06 2.14248e-06 2.18711e-06 3.51959e-05 3.51955e-05 3.3184e-05 3.51959e-05 3.51955e-05 3.3184e-05 0.048837 0.048837 0.0486407
1699890556.788805000 0 1 1 1 1 1 -0.985042 -0.00841487 0.995457 -0.0161668 -0.00968361 -0.00533337 -0.0105828 0.0170147 0.0033754 -0.048082 -0.0477511 0.00289087 -0.113186 0.168618 0.0104127 2.1756e-07 2.17559e-07 2.12187e-07 2.12412e-06 2.12392e-06 2.16891e-06 3.44258e-05 3.44254e-05 3.2534e-05 3.44258e-05 3.44254e-05 3.2534e-05 0.0576216 0.0576215 0.057436
1699890556.793388000 0 1 1 1 1 1 -0.985092 -0.00833067 0.995482 -0.0157887 -0.0100263 -0.0053341 -0.011114 0.0182673 0.00412462 -0.000965286 -0.0538872 0.00307217 -0.109061 0.199007 -0.0129881 2.36468e-07 2.36467e-07 2.30141e-07 2.1367e-06 2.13648e-06 2.18152e-06 3.50222e-05 3.50217e-05 3.2962e-05 3.50222e-05 3.50217e-05 3.2962e-05 0.0386653 0.0386653 0.0384698
1699890556.798306000 0 1 1 1 1 1 -0.985057 -0.00840574 0.995472 -0.0163815 -0.00999177 -0.00520273 -0.0105902 0.0173919 -0.00141594 -0.0541095 -0.0258667 0.0124995 -0.0799819 0.153215 -0.449549 2.20743e-07 2.20742e-07 2.15215e-07 2.11652e-06 2.11631e-06 2.1616e-06 3.42244e-05 3.4224e-05 3.23047e-05 3.42244e-05 3.4224e-05 3.23047e-05 0.0488848 0.0488848 0.0487003
1699890556.803305000 0 1 1 1 1 1 -0.985113 -0.00831427 0.995478 -0.0162803 -0.0104653 -0.00522044 -0.0112248 0.0184904 -0.00141581 -0.0154374 -0.0575439 0.00478605 -0.101291 0.183994 -0.263587 2.41716e-07 2.41715e-07 2.35124e-07 2.16682e-06 2.16658e-06 2.21191e-06 3.56471e-05 3.56467e-05 3.35559e-05 3.56471e-05 3.56467e-05 3.35559e-05 0.0489534 0.0489534 0.0487703
1699890556.808255000 0 1 1 1 1 1 -0.985172 -0.00821844 0.995492 -0.0158624 -0.0107518 -0.00527726 -0.0119468 0.0196184 -5.80058e-05 0.0236878 -0.0558916 -0.00136334 -0.117505 0.197697 -0.0871312 2.64267e-07 2.64266e-07 2.56472e-07 2.24788e-06 2.24761e-06 2.29298e-06 3.7701e-05 3.77006e-05 3.54235e-05 3.7701e-05 3.77006e-05 3.54235e-05 0.0615622 0.0615622 0.0613731
1699890556.813305000 0 1 1 1 1 1 -0.985144 -0.0082915 0.995483 -0.0163174 -0.0106001 -0.00515416 -0.0111602 0.0184694 -0.00407337 -0.0282978 -0.022347 0.0057328 -0.0586775 0.124359 -0.369892 2.46355e-07 2.46354e-07 2.39519e-07 2.2181e-06 2.21785e-06 2.26338e-06 3.68276e-05 3.68272e-05 3.47023e-05 3.68276e-05 3.68272e-05 3.47023e-05 0.0576834 0.0576834 0.0574992
1699890556.818305000 0 1 1 1 1 1 -0.985142 -0.00831322 0.995496 -0.015819 -0.0109926 -0.00509581 -0.0113147 0.0187162 -0.00182023 0.0305869 -0.0443679 0.0076383 -0.0852461 0.172709 -0.0482866 2.41158e-07 2.41156e-07 2.34601e-07 2.19335e-06 2.19308e-06 2.23884e-06 3.61553e-05 3.61548e-05 3.40777e-05 3.61553e-05 3.61548e-05 3.40777e-05 0.0510358 0.0510357 0.0508517
1699890556.823307000 0 1 1 1 1 1 -0.985115 -0.00837799 0.995506 -0.0153819 -0.010861 -0.00495583 -0.0112436 0.0182412 -0.000609789 0.0544284 -0.0119077 0.0165902 -0.100871 0.162703 0.00687 2.25652e-07 2.25651e-07 2.19901e-07 2.1517e-06 2.15144e-06 2.19758e-06 3.4885e-05 3.48846e-05 3.29367e-05 3.4885e-05 3.48846e-05 3.29367e-05 0.0495167 0.0495166 0.0493291
1699890556.828303000 0 1 1 1 1 1 -0.985168 -0.00829139 0.995465 -0.0155833 -0.0106755 -0.00484935 -0.0113004 0.0182889 -0.00467998 0.0130691 0.00645022 0.0170682 -0.0646369 0.102301 -0.269326 2.46995e-07 2.46994e-07 2.4015e-07 2.20041e-06 2.20015e-06 2.24629e-06 3.62725e-05 3.6272e-05 3.41463e-05 3.62725e-05 3.6272e-05 3.41463e-05 0.04905 0.04905 0.0488607
1699890556.833305000 0 1 1 1 1 1 -0.985118 -0.00838273 0.995437 -0.0149441 -0.0107003 -0.00489065 -0.0105701 0.0179884 -0.00223157 0.0582385 -0.00467821 0.00377771 -0.052258 0.16445 0.0582211 2.22252e-07 2.22251e-07 2.16666e-07 2.13838e-06 2.13813e-06 2.18436e-06 3.44898e-05 3.44894e-05 3.2572e-05 3.44898e-05 3.44894e-05 3.2572e-05 0.048944 0.048944 0.0487606
1699890556.838826000 0 1 1 1 1 1 -0.985079 -0.00843622 0.995401 -0.0145134 -0.00998595 -0.00494871 -0.0105016 0.0174586 -0.00202874 0.0564633 0.0555061 -0.00355989 -0.089976 0.149048 0.0187942 2.06659e-07 2.06658e-07 2.01806e-07 2.10913e-06 2.10891e-06 2.15494e-06 3.36402e-05 3.36398e-05 3.1846e-05 3.36402e-05 3.36398e-05 3.1846e-05 0.058003 0.0580029 0.0578187
