# logged on Mon Nov 13 16:50:43 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699890643.607482000  999.924 0 100.009  15.931  nan  -0.0386073 0.0177365 0.0104149  -0.0386073 0.0177365 0.0104149  0.0660431 -0.0432628 8.97479  0.0660431 -0.0432628 8.97479  nan nan nan  nan nan nan  70.5704 68.9406 69.919 66.8061 - - - - 71.5001 70.028 70.8617 66.6933 nan nan nan nan 138 146 134 70 0 0 0 0
1699890643.612498000  999.923 0 100.007  -  nan  -0.0525156 -0.0109922 0.0109944  -0.0525156 -0.0109922 0.0109944  -0.0429642 -0.049677 10.5224  -0.0429642 -0.049677 10.5224  - - -  - - -  71.2049 70.1963 69.301 66.2805 - - - - - 68.8137 - - - - - - 139 146 134 71 0 0 0 0
1699890643.617478000  999.92 0 100.008  -  nan  0.0757605 -0.0523804 -0.0283641  0.0757605 -0.0523804 -0.0283641  0.0605088 0.135761 10.4493  0.0605088 0.135761 10.4493  - - -  - - -  70.8913 70.2686 69.1249 65.9497 - - - - 70.6514 69.8227 70.6514 66.1376 - - - - 139 146 134 71 0 0 0 0
1699890643.622490000  999.912 0 100.008  -  nan  -0.0812784 0.100509 0.00758397  -0.0812784 0.100509 0.00758397  0.0700341 0.0051765 8.56949  0.0700341 0.0051765 8.56949  - - -  - - -  70.9256 69.5315 69.2218 66.3266 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.627496000  999.902 0 100.006  -  nan  -0.080891 0.0313447 0.00945442  -0.080891 0.0313447 0.00945442  0.00656948 -0.0494414 10.4659  0.00656948 -0.0494414 10.4659  - - -  - - -  71.9533 70.7163 68.4153 65.9922 - - - - 70.4424 69.4155 70.028 66.1376 - - - - 139 146 134 71 0 0 0 0
1699890643.632559000  999.893 0 100.006  -  nan  0.104446 0.00330469 -0.0147158  0.104446 0.00330469 -0.0147158  -0.0389828 0.0889828 10.4529  -0.0389828 0.0889828 10.4529  - - -  - - -  71.5311 70.3462 68.6245 65.7763 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.637482000  999.888 0 100.006  -  nan  -0.0812784 0.100509 0.00758397  -0.0812784 0.100509 0.00758397  0.169486 -0.0401755 8.23028  0.169486 -0.0401755 8.23028  - - -  - - -  71.3196 69.5433 68.6348 66.3636 - - - - 71.7154 69.6185 68.8137 66.507 - - - - 139 146 134 71 0 0 0 0
1699890643.642481000  999.885 0 100.006  -  nan  -0.0103869 0.00306539 0.0112067  -0.0103869 0.00306539 0.0112067  0.00698549 0.0419735 10.7437  0.00698549 0.0419735 10.7437  - - -  - - -  71.8753 70.6263 68.2845 65.9243 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.647494000  999.882 0 100.005  -  nan  0.0611523 0.0178956 -0.015717  0.0611523 0.0178956 -0.015717  -0.0405726 0.0880322 10.6824  -0.0405726 0.0880322 10.6824  - - -  - - -  71.3422 70.3749 68.4357 65.8276 - - - - 71.0732 70.2346 70.6514 66.1376 - - - - 139 146 134 71 0 0 0 0
1699890643.652483000  999.882 0 100.005  -  nan  -0.0669179 0.0727329 -0.00522949  -0.0669179 0.0727329 -0.00522949  0.0708057 -0.0404152 8.28744  0.0708057 -0.0404152 8.28744  - - -  - - -  71.5775 69.599 68.2453 66.1895 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1699890643.657509000  999.88 0 100.006  -  nan  -0.0100177 -0.0386185 -0.00142815  -0.0100177 -0.0386185 -0.00142815  0.0545202 -0.0501523 10.6378  0.0545202 -0.0501523 10.6378  - - -  - - -  72.1677 70.572 68.465 65.8849 - - - - 72.3694 71.0732 66.6933 65.7722 - - - - 139 146 134 71 0 0 0 0
