# logged on Tue Nov 14 13:17:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699964228.773932000  1000.11 0 50.0055  15.963  nan  0.0188923 0.00303525 -0.00214551  0.0188923 0.00303525 -0.00214551  0.108045 -0.00147746 10.176  0.108045 -0.00147746 10.176  nan nan nan  nan nan nan  71.0571 70.6525 69.0753 66.9123 - - - - 70.2346 71.5001 68.0272 64.8761 nan nan nan nan 138 145 134 71 0 0 0 0
1699964228.778955000  1000.1 0 50.0049  -  nan  0.0034258 0.0731074 -0.00425212  0.0034258 0.0731074 -0.00425212  -0.0377842 -0.000526891 9.94549  -0.0377842 -0.000526891 9.94549  - - -  - - -  71.1341 70.6082 68.6627 66.4809 - - - - - - - 65.7722 - - - - 138 145 134 71 0 0 0 0
1699964228.783950000  1000.1 0 50.0049  -  nan  0.104054 0.0734571 -0.016613  0.104054 0.0734571 -0.016613  0.0212871 0.0505244 8.67969  0.0212871 0.0505244 8.67969  - - -  - - -  71.6556 70.5349 68.2963 66.5837 - - - - - - - - - - - - 138 145 134 71 0 0 0 0
1699964228.788933000  1000.1 0 50.0049  -  nan  0.0330148 0.0177458 -0.016108  0.0330148 0.0177458 -0.016108  0.155177 -0.0487306 10.2953  0.155177 -0.0487306 10.2953  - - -  - - -  71.9356 69.9474 68.6718 67.3545 - - - - - - - - - - - - 138 145 134 71 0 0 0 0
1699964228.793939000  1000.1 0 50.0051  -  nan  0.00305662 0.114791 0.00838272  0.00305662 0.114791 0.00838272  -0.0354008 0.0460113 9.76873  -0.0354008 0.0460113 9.76873  - - -  - - -  71.8586 70.0537 68.1947 66.9152 - - - - 71.9321 70.028 68.6153 - - - - - 138 145 134 71 0 0 0 0
1699964228.798941000  1000.1 0 50.0036  -  nan  0.118063 0.0598844 -0.00228632  0.118063 0.0598844 -0.00228632  0.0189023 0.0490986 9.02386  0.0189023 0.0490986 9.02386  - - -  - - -  72.3435 70.2044 67.6256 67.2776 - - - - - - - 67.4491 - - - - 138 145 134 71 0 0 0 0
1699964228.803944000  1000.1 0 50.0036  -  nan  0.0328243 0.00329542 0.0118071  0.0328243 0.00329542 0.0118071  0.0557091 -0.0494414 10.4662  0.0557091 -0.0494414 10.4662  - - -  - - -  72.0834 69.7819 68.1843 67.8716 - - - - - - - - - - - - 138 145 134 71 0 0 0 0
1699964228.808932000  1000.1 0 50.0036  -  nan  -0.0108572 0.0870507 0.00893543  -0.0108572 0.0870507 0.00893543  0.0141328 0.0462469 9.71222  0.0141328 0.0462469 9.71222  - - -  - - -  71.8141 70.0578 67.8799 67.2989 - - - - - - - - - - - - 138 145 134 71 0 0 0 0
1699964228.814051000  1000.1 0 50.0035  -  nan  0.0901579 0.018236 -0.00155499  0.0901579 0.018236 -0.00155499  -0.033417 0.0471974 9.48242  -0.033417 0.0471974 9.48242  - - -  - - -  72.0184 70.1671 67.9483 67.3728 - - - - 73.2601 70.028 68.6153 67.0691 - - - - 138 145 134 71 0 0 0 0
1699964228.818942000  1000.1 0 50.0035  -  nan  -0.0102319 -0.0246003 0.0119549  -0.0102319 -0.0246003 0.0119549  0.0581103 -0.00195274 10.2904  0.0581103 -0.00195274 10.2904  - - -  - - -  71.7076 69.8617 68.4138 67.6002 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
1699964228.823934000  1000.1 0 50.0035  -  nan  -0.0529085 0.0591602 0.00909719  -0.0529085 0.0591602 0.00909719  -0.0817466 0.138848 9.70308  -0.0817466 0.138848 9.70308  - - -  - - -  71.503 70.3738 68.2461 66.9109 - - - - - - - - - - - - 139 145 134 71 0 0 0 0
