# logged on Tue Nov 14 10:40:17 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699954817.319811000  1000.99 0 50.0007  15.48  nan  -0.0668998 0.0452525 0.00927581  -0.0668998 0.0452525 0.00927581  0.00855332 -0.0482553 10.1796  0.00855332 -0.0482553 10.1796  nan nan nan  nan nan nan  73.436 71.9047 68.2115 65.702 - - - - 73.4862 73.0353 68.8137 65.4108 nan nan nan nan 138 146 134 71 0 0 0 0
1699954817.324818000  1001 0 50.0006  -  nan  0.146433 0.0185356 -0.0007731  0.146433 0.0185356 -0.0007731  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  73.4426 72.4951 67.8549 65.1021 - - - - - - - 64.8761 - - - - 138 146 134 71 0 0 0 0
1699954817.329806000  1001.01 0 50.0006  -  nan  0.0750843 0.0181558 -0.00176443  0.0750843 0.0181558 -0.00176443  0.0652248 -0.089805 8.92219  0.0652248 -0.089805 8.92219  - - -  - - -  73.563 71.1842 68.0185 66.4859 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.334852000  1001.01 0 49.9996  -  nan  -0.0384706 0.0175513 -0.00334218  -0.0384706 0.0175513 -0.00334218  0.00458564 -0.0506276 10.7522  0.00458564 -0.0506276 10.7522  - - -  - - -  73.6843 71.7377 68.0809 66.3228 - - - - 73.9426 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.340449000  1001.01 0 49.9987  -  nan  0.104227 0.0183109 -0.00135952  0.104227 0.0183109 -0.00135952  -0.0341968 0.137897 9.93288  -0.0341968 0.137897 9.93288  - - -  - - -  73.644 72.0982 67.8352 65.671 - - - - - 71.0732 68.2221 - - - - - 138 146 134 71 0 0 0 0
1699954817.344816000  1001.02 0 49.9998  -  nan  0.0326638 0.0319492 0.0110322  0.0326638 0.0319492 0.0110322  0.0176914 -0.0427916 8.86071  0.0176914 -0.0427916 8.86071  - - -  - - -  73.5631 71.7238 67.8679 66.0007 - - - - - - - 66.507 - - - - 138 146 134 71 0 0 0 0
1699954817.349815000  1001.03 0 49.9998  -  nan  -0.0381552 -0.0387683 -0.0018191  -0.0381552 -0.0387683 -0.0018191  0.00338981 -0.0513426 10.9248  0.00338981 -0.0513426 10.9248  - - -  - - -  73.5631 71.7238 67.8679 66.0007 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.354820000  1001.04 0 49.9998  -  nan  0.0904552 -0.0106031 -0.0145372  0.0904552 -0.0106031 -0.0145372  -0.0349917 0.137422 10.0476  -0.0349917 0.137422 10.0476  - - -  - - -  73.2529 72.0759 68.065 65.5958 - - - - 73.4862 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.359826000  1001.04 0 50.0008  -  nan  -0.0104105 0.0315339 -0.00332532  -0.0104105 0.0315339 -0.00332532  0.0188873 -0.0420766 8.68813  0.0188873 -0.0420766 8.68813  - - -  - - -  73.3997 71.492 68.043 66.1883 - - - - - - 68.6153 - - - - - 138 146 134 71 0 0 0 0
1699954817.364830000  1001.04 0 49.9989  -  nan  -0.023926 -0.0673472 -0.000848728  -0.023926 -0.0673472 -0.000848728  0.00341318 -0.00527558 11.0921  0.00341318 -0.00527558 11.0921  - - -  - - -  73.6361 71.9022 68.1726 65.8915 - - - - - 72.1501 - 66.507 - - - - 138 146 134 71 0 0 0 0
1699954817.369817000  1001.04 0 49.9989  -  nan  0.032961 0.00311015 -0.00195004  0.032961 0.00311015 -0.00195004  -0.0853203 0.136711 10.2188  -0.0853203 0.136711 10.2188  - - -  - - -  72.7497 71.8512 68.4441 65.1638 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.374812000  1001.04 0 49.998  -  nan  -0.0244793 0.031459 -0.0035208  -0.0244793 0.031459 -0.0035208  -0.0274503 0.00565178 8.45406  -0.0274503 0.00565178 8.45406  - - -  - - -  72.8011 71.6906 68.2866 65.1782 - - - - 72.3694 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.379820000  1001.04 0 49.9982  -  nan  -0.0378398 -0.0950878 -0.000296022  -0.0378398 -0.0950878 -0.000296022  0.00419982 0.0403079 11.1458  0.00419982 0.0403079 11.1458  - - -  - - -  73.2168 72.1514 68.2513 65.2253 - - - - - - 67.8334 - - - - - 138 146 134 71 0 0 0 0
1699954817.384812000  1001.04 0 49.9968  -  nan  0.00397359 -0.0247107 -0.00160677  0.00397359 -0.0247107 -0.00160677  -0.13149 0.0918345 9.76386  -0.13149 0.0918345 9.76386  - - -  - - -  72.4612 71.9756 68.5871 64.8605 - - - - - 72.3694 - 65.2316 - - - - 138 146 134 71 0 0 0 0
1699954817.389823000  1001.04 0 49.9968  -  nan  -0.0383101 -0.0111025 -0.00256728  -0.0383101 -0.0111025 -0.00256728  -0.0322198 0.00280009 9.14242  -0.0322198 0.00280009 9.14242  - - -  - - -  72.7555 72.2976 68.2827 65.0034 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.394835000  1001.04 0 49.9971  -  nan  -0.0240446 -0.0946424 0.0274137  -0.0240446 -0.0946424 0.0274137  0.0541427 -0.00432502 10.863  0.0541427 -0.00432502 10.863  - - -  - - -  72.854 72.554 68.5579 65.058 - - - - 72.812 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.399819000  1001.04 0 49.9964  -  nan  -0.0245924 0.00317576 0.0247683  -0.0245924 0.00317576 0.0247683  -0.130293 0.0474371 9.42386  -0.130293 0.0474371 9.42386  - - -  - - -  71.9632 72.5784 68.7498 64.8267 - - - - - - 67.2585 - - - - - 138 146 134 71 0 0 0 0
1699954817.404834000  1001.04 0 49.9953  -  nan  0.00389612 -0.0108779 -0.00198086  0.00389612 -0.0108779 -0.00198086  0.0200995 0.00470121 8.68386  0.0200995 0.00470121 8.68386  - - -  - - -  72.3425 72.715 68.4468 65.0084 - - - - - 73.0353 - 65.591 - - - - 138 146 134 71 0 0 0 0
1699954817.409812000  1001.04 0 49.9953  -  nan  -0.0377805 -0.0814402 -0.0144272  -0.0377805 -0.0814402 -0.0144272  0.0549293 0.0412585 10.9167  0.0549293 0.0412585 10.9167  - - -  - - -  72.4348 72.4845 68.8321 65.3632 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.414821000  1001.05 0 49.9968  -  nan  -0.0386848 0.0315694 0.0100408  -0.0386848 0.0315694 0.0100408  -0.131087 0.0469619 9.53859  -0.131087 0.0469619 9.53859  - - -  - - -  72.0349 72.5285 68.9689 64.6314 - - - - 71.5001 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.419818000  1001.05 0 49.9964  -  nan  0.0330978 0.00292487 -0.0157072  0.0330978 0.00292487 -0.0157072  0.0193046 0.00422593 8.79859  0.0193046 0.00422593 8.79859  - - -  - - -  72.7321 72.6757 68.424 64.8927 - - - - - 72.59 68.6153 - - - - - 138 146 134 71 0 0 0 0
1699954817.424819000  1001.06 0 49.9958  -  nan  0.0043483 -0.0673827 -0.0142149  0.0043483 -0.0673827 -0.0142149  0.103259 -0.050392 10.696  0.103259 -0.050392 10.696  - - -  - - -  72.8899 72.4634 68.8226 65.3 - - - - - - - 65.0533 - - - - 138 146 134 71 0 0 0 0
1699954817.429813000  1001.06 0 49.9958  -  nan  0.00328902 0.0732927 0.00950499  0.00328902 0.0732927 0.00950499  -0.0353994 0.000898956 9.60132  -0.0353994 0.000898956 9.60132  - - -  - - -  72.6399 72.3745 68.889 64.8934 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699954817.434821000  1001.06 0 49.9962  -  nan  0.0904552 -0.0106031 -0.0145372  0.0904552 -0.0106031 -0.0145372  0.0177148 0.00327537 9.02804  0.0177148 0.00327537 9.02804  - - -  - - -  73.3101 72.3504 68.4589 65.3026 - - - - 73.4862 - - - - - - - 138 146 134 71 0 0 0 0
1699954817.439819000  1001.06 0 49.9978  -  nan  0.0333302 -0.0385737 -0.0145849  0.0333302 -0.0385737 -0.0145849  0.155578 -0.0484909 10.2375  0.155578 -0.0484909 10.2375  - - -  - - -  73.1979 71.844 68.9377 65.9521 - - - - - 72.59 69.2137 - - - - - 138 146 134 71 0 0 0 0
1699954817.444822000  1001.06 0 49.998  -  nan  0.0183445 0.100853 -0.00479086  0.0183445 0.100853 -0.00479086  0.012149 0.0450607 9.99853  0.012149 0.0450607 9.99853  - - -  - - -  73.3383 72.052 68.706 65.6301 - - - - - - - 65.2316 - - - - 138 146 134 71 0 0 0 0
1699954817.449814000  1001.06 0 49.998  -  nan  0.146561 0.0458175 -0.0300182  0.146561 0.0458175 -0.0300182  0.0648706 0.00208923 9.31471  0.0648706 0.00208923 9.31471  - - -  - - -  73.8854 72.1421 68.1321 65.6495 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
