# logged on Tue Nov 14 13:32:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965125.890538000  1000.85 0 49.9992  15.705  nan  0.0328006 0.0317639 -0.00272494  0.0328006 0.0317639 -0.00272494  0.0521505 0.0395971 11.3177  0.0521505 0.0395971 11.3177  nan nan nan  nan nan nan  72.8194 72.4624 67.7895 68.1713 - - - - 72.59 74.4048 67.6407 67.8334 nan nan nan nan 139 146 0 70 0 0 0 0
1699965125.895459000  1000.87 0 49.9983  -  nan  0.0747744 0.0734872 -0.00326079  0.0747744 0.0734872 -0.00326079  -0.0777858 0.00493679 8.6263  -0.0777858 0.00493679 8.6263  - - -  - - -  72.7303 72.0948 67.2953 67.9988 - - - - 73.9426 - - - - - - - 139 146 0 70 0 0 0 0
1699965125.900477000  1000.88 0 49.9983  -  nan  0.032961 0.00311015 -0.00195004  0.032961 0.00311015 -0.00195004  0.0597002 -0.00100217 10.0609  0.0597002 -0.00100217 10.0609  - - -  - - -  73.2127 72.0366 67.322 68.4056 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.905491000  1000.88 0 50.0008  -  nan  -0.0106248 0.0455521 0.0100577  -0.0106248 0.0455521 0.0100577  0.0545353 0.0410229 10.9735  0.0545353 0.0410229 10.9735  - - -  - - -  73.0051 71.9833 67.3449 68.3396 - - - - - 71.7154 67.2585 68.6153 - - - - 139 146 0 70 0 0 0 0
1699965125.910558000  1000.89 0 50.0008  -  nan  0.0465776 0.0596898 0.0104795  0.0465776 0.0596898 0.0104795  -0.079377 0.0490986 9.02316  -0.079377 0.0490986 9.02316  - - -  - - -  72.8915 72.3758 66.8788 67.5664 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.915598000  1000.9 0 50.0007  -  nan  0.00368188 0.00314028 0.0114022  0.00368188 0.00314028 0.0114022  0.109635 -0.000526891 9.94654  0.109635 -0.000526891 9.94654  - - -  - - -  73.0521 72.2718 67.0192 68.0652 - - - - 71.9321 - - - - - - - 139 146 0 70 0 0 0 0
1699965125.920529000  1000.91 0 50.0007  -  nan  -0.0389765 0.0594204 0.0230498  -0.0389765 0.0594204 0.0230498  -0.0425551 0.0417338 10.8013  -0.0425551 0.0417338 10.8013  - - -  - - -  72.6947 72.3689 67.013 67.8903 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.925478000  1000.92 0 49.9998  -  nan  0.032878 0.0179311 -0.00235085  0.032878 0.0179311 -0.00235085  -0.0302387 0.0942109 9.19093  -0.0302387 0.0942109 9.19093  - - -  - - -  72.6428 72.7312 66.5569 67.2879 - - - - - 71.9321 66.1376 68.0272 - - - - 139 146 0 70 0 0 0 0
1699965125.930540000  1000.92 0 49.9998  -  nan  -0.0243781 -0.0108424 0.0113853  -0.0243781 -0.0108424 0.0113853  0.0604951 -0.000526891 9.94619  0.0604951 -0.000526891 9.94619  - - -  - - -  72.6828 72.3466 67.1299 67.7867 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1699965125.935531000  1000.91 0 49.9988  -  nan  -0.0949598 0.0312698 0.00925895  -0.0949598 0.0312698 0.00925895  -0.0877201 0.0441102 10.2273  -0.0877201 0.0441102 10.2273  - - -  - - -  72.4241 72.5259 67.2057 67.6613 - - - - 73.4862 - - - - - - - 139 146 0 70 0 0 0 0
1699965125.940544000  1000.91 0 49.9988  -  nan  0.00411037 -0.024896 -0.0153639  0.00411037 -0.024896 -0.0153639  -0.0773711 0.141464 9.07159  -0.0773711 0.141464 9.07159  - - -  - - -  72.4572 73.1579 66.8773 66.8999 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
