# logged on Tue Nov 14 13:36:35 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699965395.736472000  999.58 0 49.9978  15.544  nan  -0.0947455 0.0172517 -0.00412408  -0.0947455 0.0172517 -0.00412408  -0.0421542 0.0419735 10.7434  -0.0421542 0.0419735 10.7434  nan nan nan  nan nan nan  73.0295 73.1923 68.359 65.3671 - - - - 73.4862 73.7137 67.4491 65.4108 nan nan nan nan 138 145 0 71 0 0 0 0
1699965395.741504000  999.578 0 49.9974  -  nan  -0.0100951 -0.0247856 -0.00180224  -0.0100951 -0.0247856 -0.00180224  -0.077772 0.141224 9.12945  -0.077772 0.141224 9.12945  - - -  - - -  73.0781 73.3286 67.7131 64.8147 - - - - 73.2601 - 65.591 - - - - - 138 145 0 71 0 0 0 0
1699965395.746549000  999.582 0 49.9986  -  nan  -0.0665844 -0.0110671 0.0107989  -0.0665844 -0.0110671 0.0107989  0.106439 -0.0484909 10.2371  0.106439 -0.0484909 10.2371  - - -  - - -  73.0701 73.0935 68.0452 65.284 - - - - - 73.0353 - - - - - - 138 145 0 71 0 0 0 0
1699965395.751481000  999.588 0 49.9958  -  nan  -0.0808317 0.0449923 -0.00467678  -0.0808317 0.0449923 -0.00467678  0.00857532 0.042924 10.5143  0.00857532 0.042924 10.5143  - - -  - - -  73.0504 73.2433 67.9321 65.2878 - - - - - - - 64.6998 - - - - 138 145 0 71 0 0 0 0
1699965395.756556000  999.599 0 49.9958  -  nan  0.0471666 0.00299977 -0.0155117  0.0471666 0.00299977 -0.0155117  0.0216811 0.05076 8.62282  0.0216811 0.05076 8.62282  - - -  - - -  73.314 73.1448 67.4415 65.1206 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.761496000  999.599 0 49.9976  -  nan  -0.0240271 -0.0250458 -0.0157548  -0.0240271 -0.0250458 -0.0157548  0.15993 -0.0919418 9.43866  0.15993 -0.0919418 9.43866  - - -  - - -  73.5759 72.7856 67.9581 65.8675 - - - - 72.812 - 68.6153 - - - - - 138 145 0 71 0 0 0 0
1699965395.766556000  999.598 0 49.9978  -  nan  0.0324314 0.0734478 0.0099099  0.0324314 0.0734478 0.0099099  -0.0365966 0.0452963 9.94132  -0.0365966 0.0452963 9.94132  - - -  - - -  73.5181 72.9939 67.9996 65.5738 - - - - - 73.4862 - - - - - - 138 145 0 71 0 0 0 0
1699965395.771524000  999.598 0 49.994  -  nan  0.0468693 0.0318388 -0.00252947  0.0468693 0.0318388 -0.00252947  0.0189023 0.0490986 9.02386  0.0189023 0.0490986 9.02386  - - -  - - -  73.8277 72.9806 67.2374 65.6326 - - - - - - - 65.0533 - - - - 138 145 0 71 0 0 0 0
1699965395.776488000  999.598 0 49.994  -  nan  0.00389612 -0.0108779 -0.00198086  0.00389612 -0.0108779 -0.00198086  0.157168 -0.0475403 10.008  0.157168 -0.0475403 10.008  - - -  - - -  73.8243 72.681 67.7303 66.3776 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1699965395.781483000  999.599 0 49.9961  -  nan  0.00321155 0.0871256 0.0091309  0.00321155 0.0871256 0.0091309  -0.0389731 -0.00123775 10.1171  -0.0389731 -0.00123775 10.1171  - - -  - - -  73.5761 72.8903 67.8813 65.9847 - - - - 73.2601 - 66.6933 - - - - - 138 145 0 71 0 0 0 0
1699965395.786479000  999.597 0 49.9955  -  nan  0.0751436 0.0318034 -0.0158956  0.0751436 0.0318034 -0.0158956  -0.0294424 0.0495739 8.90879  -0.0294424 0.0495739 8.90879  - - -  - - -  73.8844 72.8232 67.3216 66.0066 - - - - - 72.1501 - - - - - - 138 145 0 71 0 0 0 0
