# logged on Tue Nov 14 13:51:32 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966292.816076000  1000.7 0 49.9967  16.189  nan  0.0473215 -0.024666 -0.0147635  0.0473215 -0.024666 -0.0147635  0.107234 -0.0480156 10.1224  0.107234 -0.0480156 10.1224  nan nan nan  nan nan nan  74.2763 71.6929 67.4106 67.461 - - - - 74.4048 71.7154 66.8807 65.7722 nan nan nan nan 138 146 134 70 0 0 0 0
1699966292.821077000  1000.71 0 49.9967  -  nan  0.0187318 0.0316891 -0.00292041  0.0187318 0.0316891 -0.00292041  0.0549376 -0.00384973 10.7483  0.0549376 -0.00384973 10.7483  - - -  - - -  73.7716 71.7131 67.7799 67.2001 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.826075000  1000.71 0 49.9965  -  nan  0.0607057 0.0734123 -0.00345626  0.0607057 0.0734123 -0.00345626  -0.124736 0.0958723 8.78919  -0.124736 0.0958723 8.78919  - - -  - - -  73.8329 71.7433 67.3018 67.0483 - - - - - - 68.2221 66.1376 - - - - 138 146 134 70 0 0 0 0
1699966292.831077000  1000.71 0 49.9959  -  nan  0.0192852 -0.0671171 -0.000248344  0.0192852 -0.0671171 -0.000248344  0.0581103 -0.00195274 10.2904  0.0581103 -0.00195274 10.2904  - - -  - - -  74.2815 71.9478 67.0653 67.2433 - - - - 73.2601 - - - - - - - 138 146 134 70 0 0 0 0
1699966292.837076000  1000.71 0 49.9953  -  nan  -0.0246161 0.0316443 0.0102363  -0.0246161 0.0316443 0.0102363  0.00976288 0.0887472 10.5101  0.00976288 0.0887472 10.5101  - - -  - - -  73.2894 72.0132 67.6964 67.0374 - - - - - 72.59 - - - - - - 138 146 134 70 0 0 0 0
1699966292.842076000  1000.71 0 49.9953  -  nan  0.0470298 0.00318504 -0.00175457  0.0470298 0.00318504 -0.00175457  -0.0322211 0.0479124 9.30983  -0.0322211 0.0479124 9.30983  - - -  - - -  73.4383 72.2631 67.1494 66.7166 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.847101000  1000.72 0 49.9973  -  nan  -0.0238485 -0.08118 -0.000474638  -0.0238485 -0.08118 -0.000474638  0.0541427 -0.00432502 10.863  0.0541427 -0.00432502 10.863  - - -  - - -  73.6054 72.0321 67.7736 67.2965 - - - - - - 66.6933 66.8807 - - - - 138 146 134 70 0 0 0 0
1699966292.852077000  1000.73 0 49.9975  -  nan  -0.0385243 0.0029156 0.0108157  -0.0385243 0.0029156 0.0108157  -0.0809517 0.139323 9.58835  -0.0809517 0.139323 9.58835  - - -  - - -  73.0593 72.0667 67.9698 66.7459 - - - - 74.4048 - - - - - - - 138 146 134 70 0 0 0 0
1699966292.857089000  1000.74 0 49.9978  -  nan  0.00389612 -0.0108779 -0.00198086  0.00389612 -0.0108779 -0.00198086  -0.0290484 0.0498094 8.85192  -0.0290484 0.0498094 8.85192  - - -  - - -  73.2998 72.7771 67.5729 66.4183 - - - - - 71.5001 - - - - - - 138 146 134 70 0 0 0 0
1699966292.862062000  1000.74 0 49.9978  -  nan  -0.0378398 -0.0950878 -0.000296022  -0.0378398 -0.0950878 -0.000296022  0.051357 -0.00599057 11.265  0.051357 -0.00599057 11.265  - - -  - - -  73.2364 72.6074 68.2856 66.4984 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.867070000  1000.75 0 50.0021  -  nan  -0.066525 0.00258054 -0.00333232  -0.066525 0.00258054 -0.00333232  -0.0801568 0.139798 9.47363  -0.0801568 0.139798 9.47363  - - -  - - -  72.6176 72.59 68.4282 65.9964 - - - - 73.0353 - 66.6933 66.1376 - - - - 138 146 134 70 0 0 0 0
1699966292.872070000  1000.76 0 50.0021  -  nan  -0.00995837 -0.0249709 -0.0155594  -0.00995837 -0.0249709 -0.0155594  -0.0302359 0.00398622 8.8561  -0.0302359 0.00398622 8.8561  - - -  - - -  73.3459 72.9023 67.9168 65.822 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.877070000  1000.76 0 50.0009  -  nan  -0.037703 -0.0952731 -0.0140531  -0.037703 -0.0952731 -0.0140531  0.0533477 -0.0048003 10.9777  0.0533477 -0.0048003 10.9777  - - -  - - -  73.0989 72.6659 68.5657 66.1071 - - - - - 71.5001 - - - - - - 138 146 134 70 0 0 0 0
1699966292.882063000  1000.77 0 50.0009  -  nan  -0.052831 0.0453274 0.00947128  -0.052831 0.0453274 0.00947128  -0.0306162 0.140038 9.41611  -0.0306162 0.140038 9.41611  - - -  - - -  72.6797 72.8118 68.5261 65.5467 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.887092000  1000.77 0 50.0016  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  -0.0302359 0.00398622 8.8561  -0.0302359 0.00398622 8.8561  - - -  - - -  73.2755 73.1142 67.9117 65.7061 - - - - 73.0353 - 68.2221 65.2316 - - - - 138 146 134 70 0 0 0 0
1699966292.892068000  1000.78 0 50.0016  -  nan  -0.0237892 -0.0675325 -0.0146058  -0.0237892 -0.0675325 -0.0146058  0.104471 -0.00361416 10.6918  0.104471 -0.00361416 10.6918  - - -  - - -  73.3502 72.8187 68.0642 66.3282 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1699966292.897083000  1000.78 0 49.9995  -  nan  -0.0388397 0.0592351 0.00929266  -0.0388397 0.0592351 0.00929266  -0.0310336 0.0937356 9.30565  -0.0310336 0.0937356 9.30565  - - -  - - -  72.8716 72.681 68.2802 65.8613 - - - - - 74.4048 - - - - - - 138 146 134 70 0 0 0 0
1699966292.902081000  1000.78 0 49.9995  -  nan  0.0468693 0.0318388 -0.00252947  0.0468693 0.0318388 -0.00252947  0.0149127 -0.044453 9.26176  0.0149127 -0.044453 9.26176  - - -  - - -  73.7125 72.9615 67.537 66.2106 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
