# logged on Tue Nov 14 13:53:05 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699966385.308735000  1000.73 0 49.997  16.028  nan  -0.0383101 -0.0111025 -0.00256728  -0.0383101 -0.0111025 -0.00256728  -0.0358031 0.0908839 9.99401  -0.0358031 0.0908839 9.99401  nan nan nan  nan nan nan  73.5775 72.478 68.6186 65.8424 - - - - 73.9426 72.812 67.8334 66.507 nan nan nan nan 138 146 133 70 0 0 0 0
1699966385.313720000  1000.72 0 49.9963  -  nan  0.0331934 -0.0383885 -0.000827771  0.0331934 -0.0383885 -0.000827771  -0.0857363 0.0452963 9.94097  -0.0857363 0.0452963 9.94097  - - -  - - -  73.9164 72.5152 68.347 65.6465 - - - - - - 68.4182 - - - - - 138 146 133 70 0 0 0 0
1699966385.318796000  1000.71 0 49.999  -  nan  -0.023926 -0.0673472 -0.000848728  -0.023926 -0.0673472 -0.000848728  0.0628634 -0.0451639 9.43369  0.0628634 -0.0451639 9.43369  - - -  - - -  73.7125 72.0901 68.6441 65.9877 - - - - - 72.59 - 64.5245 - - - - 138 146 133 70 0 0 0 0
1699966385.323724000  1000.71 0 49.999  -  nan  -0.0243188 0.00280522 -0.0027459  -0.0243188 0.00280522 -0.0027459  0.0145255 0.0915948 9.82277  0.0145255 0.0915948 9.82277  - - -  - - -  73.6125 72.3348 68.8527 65.783 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.328804000  1000.71 0 50.0011  -  nan  0.032878 0.0179311 -0.00235085  0.032878 0.0179311 -0.00235085  -0.0350082 0.0913592 9.87928  -0.0350082 0.0913592 9.87928  - - -  - - -  74.0024 72.3607 68.4368 65.7717 - - - - 73.7137 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.333712000  1000.7 0 49.999  -  nan  -0.0240864 -0.0386934 -0.00162363  -0.0240864 -0.0386934 -0.00162363  0.110012 -0.0463542 9.72136  0.110012 -0.0463542 9.72136  - - -  - - -  74.1679 72.1982 68.295 66.0054 - - - - - - 68.0272 - - - - - 138 146 133 70 0 0 0 0
1699966385.338864000  1000.69 0 49.9993  -  nan  0.0187555 0.00322052 0.0116116  0.0187555 0.00322052 0.0116116  0.0149264 0.0918345 9.7649  0.0149264 0.0918345 9.7649  - - -  - - -  73.9847 72.2366 68.516 66.003 - - - - - 72.812 - 65.591 - - - - 138 146 133 70 0 0 0 0
1699966385.343717000  1000.69 0 49.9993  -  nan  0.0326457 0.0594297 -0.00347312  0.0326457 0.0594297 -0.00347312  -0.0373833 -0.000287183 9.88763  -0.0373833 -0.000287183 9.88763  - - -  - - -  74.3296 72.1538 68.1039 66.121 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.348815000  1000.69 0 50.0004  -  nan  0.0192615 -0.0386486 -0.0147804  0.0192615 -0.0386486 -0.0147804  0.108028 -0.0475403 10.0077  0.108028 -0.0475403 10.0077  - - -  - - -  74.627 71.9593 67.8502 66.3821 - - - - 73.7137 - - - - - - - 138 146 133 70 0 0 0 0
1699966385.353720000  1000.69 0 50.0004  -  nan  0.032878 0.0179311 -0.00235085  0.032878 0.0179311 -0.00235085  0.0145488 0.137662 9.99009  0.0145488 0.137662 9.99009  - - -  - - -  74.4086 71.7938 68.1502 66.3554 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1699966385.358784000  1000.69 0 49.996  -  nan  0.0324314 0.0734478 0.0099099  0.0324314 0.0734478 0.0099099  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  74.4675 71.7554 67.858 66.4218 - - - - - 71.5001 68.4182 66.507 - - - - 138 146 133 70 0 0 0 0
