# logged on Tue Nov 14 14:06:25 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699967185.116835000  1000.8 0 50.0028  15.802  nan  0.0191066 -0.0109829 -0.0155285  0.0191066 -0.0109829 -0.0155285  0.0620849 0.000423674 9.71674  0.0620849 0.000423674 9.71674  nan nan nan  nan nan nan  76.3174 74.6535 66.5103 65.5565 - - - - 74.638 75.5858 67.6407 65.4108 nan nan nan nan 139 145 133 71 0 0 0 0
1699967185.121831000  1000.81 0 50.0032  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  0.058503 0.0433952 10.4009  0.058503 0.0433952 10.4009  - - -  - - -  76.1155 74.5873 66.7902 65.5447 - - - - 75.8265 75.5858 - - - - - - 139 145 133 71 0 0 0 0
1699967185.126849000  1000.82 0 50.0029  -  nan  0.0608424 0.0732271 -0.0172134  0.0608424 0.0732271 -0.0172134  -0.0805508 0.139563 9.53049  -0.0805508 0.139563 9.53049  - - -  - - -  76.3587 74.5546 66.504 65.2635 - - - - - - 66.3218 - - - - - 139 145 133 71 0 0 0 0
1699967185.131843000  1000.84 0 50.0026  -  nan  0.0191066 -0.0109829 -0.0155285  0.0191066 -0.0109829 -0.0155285  0.0145351 0.00137424 9.48694  0.0145351 0.00137424 9.48694  - - -  - - -  76.518 74.4463 66.5945 65.3999 - - - - - - - 65.9544 - - - - 139 145 133 71 0 0 0 0
1699967185.136851000  1000.84 0 50.0026  -  nan  -0.0239496 -0.0388787 -0.0153807  -0.0239496 -0.0388787 -0.0153807  0.0596988 0.0441102 10.2283  0.0596988 0.0441102 10.2283  - - -  - - -  76.1663 74.4259 67.1177 65.3435 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.141840000  1000.84 0 50.005  -  nan  0.0327231 0.0455968 -0.00309903  0.0327231 0.0455968 -0.00309903  -0.0837538 0.0915948 9.82207  -0.0837538 0.0915948 9.82207  - - -  - - -  76.0704 74.5042 67.184 65.2107 - - - - 76.558 74.173 - - - - - - 139 145 133 71 0 0 0 0
1699967185.146856000  1000.85 0 50.0055  -  nan  0.00411037 -0.024896 -0.0153639  0.00411037 -0.024896 -0.0153639  0.0157227 0.0471974 9.48277  0.0157227 0.0471974 9.48277  - - -  - - -  76.3342 74.7381 66.8641 65.5605 - - - - - - - 66.1376 - - - - 139 145 133 71 0 0 0 0
1699967185.151845000  1000.85 0 50.004  -  nan  -0.0520634 -0.067497 -0.00123967  -0.0520634 -0.067497 -0.00123967  0.00579794 -0.00384973 10.7479  0.00579794 -0.00384973 10.7479  - - -  - - -  75.5795 74.9681 67.5276 64.9816 - - - - - - 66.1376 - - - - - 139 145 133 71 0 0 0 0
1699967185.156901000  1000.85 0 50.004  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  -0.127499 0.140274 9.35856  -0.127499 0.140274 9.35856  - - -  - - -  75.4898 75.0393 67.2714 64.7084 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.161994000  1000.85 0 50.006  -  nan  -0.0100177 -0.0386185 -0.00142815  -0.0100177 -0.0386185 -0.00142815  0.0149278 0.0467222 9.59749  0.0149278 0.0467222 9.59749  - - -  - - -  75.6819 75.0984 67.197 64.9391 - - - - 77.3036 73.9426 - - - - - - 139 145 133 71 0 0 0 0
1699967185.166846000  1000.85 0 50.006  -  nan  -0.0802421 -0.108775 0.0270059  -0.0802421 -0.108775 0.0270059  0.0525528 -0.00527558 11.0925  0.0525528 -0.00527558 11.0925  - - -  - - -  75.0314 75.4079 67.6004 64.771 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.171844000  1000.84 0 50.0029  -  nan  0.00359888 0.0179612 0.0110014  0.00359888 0.0179612 0.0110014  -0.173041 0.188477 9.00977  -0.173041 0.188477 9.00977  - - -  - - -  74.8435 75.4837 67.2722 64.5444 - - - - - - 67.0691 65.4108 - - - - 139 145 133 71 0 0 0 0
1699967185.176841000  1000.84 0 50.0029  -  nan  -0.0379409 -0.0527864 -0.0152021  -0.0379409 -0.0527864 -0.0152021  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  75.4043 75.4589 67.2073 64.8803 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.181835000  1000.84 0 50.005  -  nan  -0.0939779 -0.0955727 -0.014835  -0.0939779 -0.0955727 -0.014835  0.00579794 -0.00384973 10.7479  0.00579794 -0.00384973 10.7479  - - -  - - -  75.2503 75.4383 67.5166 64.7194 - - - - 76.0688 74.8727 - - - - - - 139 145 133 71 0 0 0 0
1699967185.186846000  1000.84 0 50.0055  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  -0.122689 0.235255 9.00585  -0.122689 0.235255 9.00585  - - -  - - -  75.0325 75.8064 67.7987 63.8245 - - - - - - - 65.4108 - - - - 139 145 133 71 0 0 0 0
1699967185.191864000  1000.84 0 50.004  -  nan  -0.0238722 -0.0527115 -0.0150067  -0.0238722 -0.0527115 -0.0150067  0.014936 0.00161395 9.42908  0.014936 0.00161395 9.42908  - - -  - - -  75.631 75.5063 67.6332 64.3469 - - - - - - 68.2221 - - - - - 139 145 133 71 0 0 0 0
1699967185.196865000  1000.84 0 50.004  -  nan  -0.0518492 -0.0815151 -0.0146227  -0.0518492 -0.0815151 -0.0146227  0.0589053 -0.00147746 10.1756  0.0589053 -0.00147746 10.1756  - - -  - - -  75.2026 75.3408 68.0759 64.2899 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.201865000  1000.84 0 50.006  -  nan  0.0187137 0.0591695 -0.0174257  0.0187137 0.0591695 -0.0174257  -0.0294438 0.0946862 9.0762  -0.0294438 0.0946862 9.0762  - - -  - - -  75.0475 75.577 68.108 64.0354 - - - - 74.638 75.5858 - - - - - - 139 145 133 71 0 0 0 0
1699967185.206867000  1000.84 0 50.006  -  nan  0.0191066 -0.0109829 -0.0155285  0.0191066 -0.0109829 -0.0155285  -0.0361944 0.000423674 9.71604  -0.0361944 0.000423674 9.71604  - - -  - - -  75.8967 75.3724 67.6285 64.496 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.211862000  1000.84 0 50.0049  -  nan  -0.0098809 -0.0388038 -0.0151853  -0.0098809 -0.0388038 -0.0151853  0.0581103 -0.00195274 10.2904  0.0581103 -0.00195274 10.2904  - - -  - - -  75.7105 75.04 67.9406 64.5271 - - - - - - 68.4182 65.0533 - - - - 139 145 133 71 0 0 0 0
1699967185.216863000  1000.84 0 50.0049  -  nan  0.018422 0.0870205 -0.00441677  0.018422 0.0870205 -0.00441677  -0.0290498 0.0949218 9.01934  -0.0290498 0.0949218 9.01934  - - -  - - -  75.7017 75.1752 67.6361 64.5116 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.221862000  1000.84 0 50.0048  -  nan  0.0468693 0.0318388 -0.00252947  0.0468693 0.0318388 -0.00252947  -0.0373916 0.044821 10.056  -0.0373916 0.044821 10.056  - - -  - - -  76.2156 75.3303 67.1135 64.8786 - - - - 75.1089 76.0688 - - - - - - 139 145 133 71 0 0 0 0
1699967185.226871000  1000.84 0 50.0048  -  nan  0.0331934 -0.0383885 -0.000827771  0.0331934 -0.0383885 -0.000827771  0.105243 -0.0492059 10.4097  0.105243 -0.0492059 10.4097  - - -  - - -  76.0095 74.7773 67.3418 65.1517 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.231864000  1000.84 0 50.002  -  nan  0.0182852 0.0872058 0.00934034  0.0182852 0.0872058 0.00934034  -0.0322294 0.0930206 9.47824  -0.0322294 0.0930206 9.47824  - - -  - - -  75.8731 74.8841 67.2907 65.0255 - - - - - - 68.0272 64.6998 - - - - 139 145 133 71 0 0 0 0
1699967185.236842000  1000.84 0 50.002  -  nan  0.0748519 0.0596544 -0.0028867  0.0748519 0.0596544 -0.0028867  -0.0330161 0.0474371 9.42455  -0.0330161 0.0474371 9.42455  - - -  - - -  76.3747 75.1507 66.5381 65.2708 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.241862000  1000.84 0 50.0026  -  nan  0.00405106 -0.0385436 -0.00123268  0.00405106 -0.0385436 -0.00123268  0.153594 -0.049677 10.5238  0.153594 -0.049677 10.5238  - - -  - - -  76.3582 74.8462 66.7973 65.5815 - - - - 77.0535 74.8727 - - - - - - 139 145 133 71 0 0 0 0
1699967185.246868000  1000.84 0 50.0024  -  nan  0.00336648 0.0594598 0.00987908  0.00336648 0.0594598 0.00987908  0.0145255 0.0915948 9.82277  0.0145255 0.0915948 9.82277  - - -  - - -  75.8338 75.2815 67.1855 64.7267 - - - - - - 66.8807 - - - - - 139 145 133 71 0 0 0 0
1699967185.251863000  1000.84 0 50.0021  -  nan  0.0607057 0.0734123 -0.00345626  0.0607057 0.0734123 -0.00345626  -0.0785834 0.0946862 9.07585  -0.0785834 0.0946862 9.07585  - - -  - - -  76.3434 75.2557 66.6681 64.897 - - - - - - - 65.0533 - - - - 139 145 133 71 0 0 0 0
1699967185.256862000  1000.84 0 50.0021  -  nan  0.00418784 -0.0387289 -0.0149898  0.00418784 -0.0387289 -0.0149898  0.106038 -0.0487306 10.295  0.106038 -0.0487306 10.295  - - -  - - -  76.639 74.8145 66.7149 65.3815 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.261857000  1000.84 0 50.0046  -  nan  0.0188686 0.0315038 -0.0166775  0.0188686 0.0315038 -0.0166775  -0.0334183 0.0923098 9.64983  -0.0334183 0.0923098 9.64983  - - -  - - -  76.0962 75.0343 67.2578 64.7255 - - - - 76.558 74.4048 - - - - - - 139 145 133 71 0 0 0 0
1699967185.266844000  1000.84 0 50.0046  -  nan  0.0607057 0.0734123 -0.00345626  0.0607057 0.0734123 -0.00345626  -0.0785834 0.0946862 9.07585  -0.0785834 0.0946862 9.07585  - - -  - - -  76.5851 75.1999 66.9102 64.8227 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.271863000  1000.84 0 50.0037  -  nan  0.00442577 -0.0812155 -0.0138408  0.00442577 -0.0812155 -0.0138408  0.10403 -0.0959837 10.414  0.10403 -0.0959837 10.414  - - -  - - -  76.4461 75.2372 67.1682 64.9792 - - - - - - 67.0691 65.0533 - - - - 139 145 133 71 0 0 0 0
1699967185.276853000  1000.84 0 50.0037  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  -0.0821406 0.138612 9.75994  -0.0821406 0.138612 9.75994  - - -  - - -  75.6552 75.281 67.6645 64.4231 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.281854000  1000.84 0 50.004  -  nan  0.0467919 0.0456717 -0.00290356  0.0467919 0.0456717 -0.00290356  -0.0801719 0.0486233 9.13789  -0.0801719 0.0486233 9.13789  - - -  - - -  75.938 75.4666 67.2597 64.5189 - - - - 76.3126 75.1089 - - - - - - 139 145 133 71 0 0 0 0
1699967185.286862000  1000.84 0 50.004  -  nan  -0.0238485 -0.08118 -0.000474638  -0.0238485 -0.08118 -0.000474638  0.100457 -0.0981204 10.9297  0.100457 -0.0981204 10.9297  - - -  - - -  76.1201 75.5061 67.2553 64.6415 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
1699967185.291863000  1000.84 0 50.0032  -  nan  0.0186725 0.0180415 0.0112108  0.0186725 0.0180415 0.0112108  -0.0801568 0.139798 9.47363  -0.0801568 0.139798 9.47363  - - -  - - -  75.4138 75.6825 67.5535 64.056 - - - - - - 67.8334 64.3501 - - - - 139 145 133 71 0 0 0 0
1699967185.296860000  1000.84 0 50.0032  -  nan  0.0326638 0.0319492 0.0110322  0.0326638 0.0319492 0.0110322  -0.0805659 0.0483877 9.19475  -0.0805659 0.0483877 9.19475  - - -  - - -  75.8965 75.7337 67.1144 64.4413 - - - - - - - - - - - - 139 145 133 71 0 0 0 0
