# logged on Tue Nov 14 14:08:20 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699967300.286054000  999.903 0 50.005  15.609  nan  -0.0946444 -0.0250497 0.010782  -0.0946444 -0.0250497 0.010782  0.0109532 0.0443457 10.1711  0.0109532 0.0443457 10.1711  nan nan nan  nan nan nan  75.4249 74.6985 66.6011 65.2605 - - - - 76.3126 74.173 66.8807 66.6933 nan nan nan nan 139 146 134 70 0 0 0 0
1699967300.291063000  999.904 0 50.0065  -  nan  0.032961 0.00311015 -0.00195004  0.032961 0.00311015 -0.00195004  -0.032607 0.138848 9.70343  -0.032607 0.138848 9.70343  - - -  - - -  75.3462 74.9248 66.6236 64.9311 - - - - - - 66.6933 - - - - - 139 146 134 70 0 0 0 0
1699967300.296107000  999.902 0 50.0053  -  nan  -0.0522239 -0.0388432 -0.00201458  -0.0522239 -0.0388432 -0.00201458  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  75.4235 74.5604 66.753 65.2795 - - - - 76.558 - - 65.4108 - - - - 139 146 134 70 0 0 0 0
1699967300.301108000  999.899 0 50.0057  -  nan  -0.0944301 -0.0390679 -0.002601  -0.0944301 -0.0390679 -0.002601  0.0569214 -0.0026636 10.462  0.0569214 -0.0026636 10.462  - - -  - - -  75.3004 74.8751 67.0883 64.8567 - - - - - 73.9426 - - - - - - 139 146 134 70 0 0 0 0
1699967300.306096000  999.898 0 50.0057  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  -0.0785436 0.186816 9.4115  -0.0785436 0.186816 9.4115  - - -  - - -  75.1333 75.0045 67.0257 64.4083 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.311127000  999.896 0 50.0082  -  nan  -0.0523014 -0.0250103 -0.00238866  -0.0523014 -0.0250103 -0.00238866  0.0145351 0.00137424 9.48694  0.0145351 0.00137424 9.48694  - - -  - - -  75.5071 74.7311 66.8249 64.903 - - - - - - 66.3218 - - - - - 139 146 134 70 0 0 0 0
1699967300.316111000  999.896 0 50.008  -  nan  -0.0661322 -0.0675719 -0.00143515  -0.0661322 -0.0675719 -0.00143515  0.0573154 -0.00242802 10.4051  0.0573154 -0.00242802 10.4051  - - -  - - -  75.4084 74.8673 66.9603 64.935 - - - - 74.8727 75.1089 - 64.3501 - - - - 139 146 134 70 0 0 0 0
1699967300.321107000  999.892 0 50.008  -  nan  0.0326457 0.0594297 -0.00347312  0.0326457 0.0594297 -0.00347312  -0.0789609 0.140513 9.30104  -0.0789609 0.140513 9.30104  - - -  - - -  75.0313 74.8862 67.1335 64.6114 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.326096000  999.889 0 50.008  -  nan  0.00375934 -0.0106926 0.0117763  0.00375934 -0.0106926 0.0117763  0.0125279 -0.0458789 9.60593  0.0125279 -0.0458789 9.60593  - - -  - - -  75.6637 74.5727 66.608 65.3288 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1699967300.331109000  999.888 0 50.0092  -  nan  -0.00994022 -0.0524514 -0.00105406  -0.00994022 -0.0524514 -0.00105406  0.0557325 -0.00337445 10.6335  0.0557325 -0.00337445 10.6335  - - -  - - -  75.5126 74.6544 66.7851 65.4331 - - - - - - 67.0691 - - - - - 139 146 134 70 0 0 0 0
1699967300.336112000  999.886 0 50.0077  -  nan  0.046482 0.101003 -0.00439992  0.046482 0.101003 -0.00439992  -0.0761822 0.142175 8.9  -0.0761822 0.142175 8.9  - - -  - - -  75.0359 74.4571 66.9773 65.0839 - - - - 75.3466 75.1089 - 64.3501 - - - - 139 146 134 70 0 0 0 0
