# pom logged on Tue Nov 14 14:15:11 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1699967711.675101000 0 1 1 1 1 1 -0.969114 0.00781234 0.973365 -0.00980421 -0.00653254 -0.00794533 -0.00574731 0.0204164 -0.00812035 0.00312572 -0.00986698 0.00660765 -0.104715 0.14294 -0.128535 4.34851e-07 4.34848e-07 4.14203e-07 3.02966e-06 3.0296e-06 3.2012e-06 4.29314e-05 4.29306e-05 3.84403e-05 4.29314e-05 4.29306e-05 3.84403e-05 0.0458908 0.0458907 0.045618
1699967711.678283000 0 1 1 1 1 1 -0.969129 0.00787768 0.973367 -0.00977064 -0.00710848 -0.00794397 -0.00561223 0.0208297 -0.00500431 0.0042174 -0.0653206 0.00454324 -0.061897 0.140107 0.191778 4.555e-07 4.55496e-07 4.32902e-07 3.04597e-06 3.04589e-06 3.21753e-06 4.35936e-05 4.35928e-05 3.8891e-05 4.35936e-05 4.35928e-05 3.8891e-05 0.037975 0.0379749 0.0376974
1699967711.683234000 0 1 1 1 1 1 -0.969101 0.00782538 0.973382 -0.010133 -0.00721765 -0.00791139 -0.00561131 0.0204374 -0.00468465 -0.0363423 -0.041661 0.00555871 -0.0716016 0.135505 0.0716073 4.41253e-07 4.41249e-07 4.1998e-07 3.02878e-06 3.02869e-06 3.20183e-06 4.29043e-05 4.29035e-05 3.83228e-05 4.29043e-05 4.29035e-05 3.83228e-05 0.0376405 0.0376405 0.0373574
1699967711.688253000 0 1 1 1 1 1 -0.969133 0.00793212 0.97332 -0.0101849 -0.00698186 -0.00795429 -0.00640543 0.0214168 -0.00904744 -0.0198234 -0.00166344 -0.00240121 -0.107096 0.160845 -0.309801 4.74697e-07 4.74693e-07 4.50212e-07 3.07939e-06 3.07931e-06 3.25244e-06 4.45025e-05 4.45016e-05 3.95865e-05 4.45025e-05 4.45016e-05 3.95865e-05 0.0378415 0.0378415 0.0375606
1699967711.693287000 0 1 1 1 1 1 -0.969074 0.00784888 0.97334 -0.010169 -0.00743205 -0.00812316 -0.00603152 0.0207276 -0.005326 -0.0124029 -0.0462648 -0.0156889 -0.0760991 0.134677 0.13471 4.50496e-07 4.50492e-07 4.28321e-07 3.05046e-06 3.05036e-06 3.2253e-06 4.33788e-05 4.3378e-05 3.86949e-05 4.33788e-05 4.3378e-05 3.86949e-05 0.0380099 0.0380099 0.0377344
1699967711.698213000 0 1 1 1 1 1 -0.969033 0.00777763 0.97336 -0.0105915 -0.00753234 -0.00819114 -0.00568207 0.0202293 -0.00402606 -0.050898 -0.0325303 -0.0142646 -0.0546826 0.13739 0.140471 4.29501e-07 4.29498e-07 4.09272e-07 3.02238e-06 3.02227e-06 3.19889e-06 4.23415e-05 4.23407e-05 3.78498e-05 4.23415e-05 4.23407e-05 3.78498e-05 0.0375634 0.0375634 0.0372832
1699967711.703232000 0 1 1 1 1 1 -0.969066 0.00788429 0.973302 -0.0104984 -0.00712042 -0.00823576 -0.0063862 0.0213224 -0.00812384 -0.0138016 0.0225482 -0.0119193 -0.0905207 0.169146 -0.257657 4.62068e-07 4.62063e-07 4.38734e-07 3.07302e-06 3.07294e-06 3.24954e-06 4.39405e-05 4.39397e-05 3.91142e-05 4.39405e-05 4.39397e-05 3.91142e-05 0.0377301 0.0377301 0.0374486
1699967711.708249000 0 1 1 1 1 1 -0.969004 0.00774718 0.973299 -0.0103212 -0.00722937 -0.00824616 -0.00584175 0.019877 -0.00647946 -0.00432194 -0.0147525 -0.0079454 -0.0603915 0.110711 -0.00464625 4.10509e-07 4.10506e-07 3.91877e-07 2.99936e-06 2.99927e-06 3.17732e-06 4.1519e-05 4.15182e-05 3.71909e-05 4.1519e-05 4.15182e-05 3.71909e-05 0.0377455 0.0377454 0.0374755
1699967711.713288000 0 1 1 1 1 1 -0.969032 0.00784928 0.973286 -0.0106275 -0.00754218 -0.00821135 -0.00590046 0.0205298 -0.00430375 -0.0322925 -0.0342711 -0.0014991 -0.0434054 0.123447 0.143819 4.41896e-07 4.41892e-07 4.2032e-07 3.05052e-06 3.05042e-06 3.22852e-06 4.31331e-05 4.31323e-05 3.84673e-05 4.31331e-05 4.31323e-05 3.84673e-05 0.0380646 0.0380646 0.0377827
1699967711.718197000 0 1 1 1 1 1 -0.968958 0.00770404 0.973235 -0.0105198 -0.00711973 -0.00818801 -0.00568639 0.0201154 -0.006743 -0.0123282 0.0130289 0.00365082 -0.0683715 0.17433 -0.102777 3.79688e-07 3.79685e-07 3.63414e-07 2.96732e-06 2.96723e-06 3.14408e-06 4.07079e-05 4.07072e-05 3.66178e-05 4.07079e-05 4.07072e-05 3.66178e-05 0.0473406 0.0473405 0.0470706
1699967711.723711000 0 1 1 1 1 1 -0.968902 0.0076173 0.973202 -0.0103317 -0.00692804 -0.00820831 -0.00527608 0.0187921 -0.00831479 0.00302112 0.0134512 0.0022723 -0.0546945 0.0968557 -0.183591 3.4169e-07 3.41688e-07 3.28258e-07 2.907e-06 2.90693e-06 3.08071e-06 3.93147e-05 3.93141e-05 3.55656e-05 3.93147e-05 3.93141e-05 3.55656e-05 0.0558064 0.0558064 0.0555486
1699967711.728238000 0 1 1 1 1 1 -0.968925 0.00770558 0.973198 -0.010383 -0.00725389 -0.00821657 -0.00534047 0.0195222 -0.00504398 -0.00337647 -0.0190852 0.000509749 -0.0409854 0.123159 0.126228 3.65664e-07 3.65661e-07 3.50152e-07 2.93968e-06 2.93959e-06 3.11343e-06 4.04531e-05 4.04524e-05 3.64326e-05 4.04531e-05 4.04524e-05 3.64326e-05 0.0479245 0.0479244 0.0476599
1699967711.733200000 0 1 1 1 1 1 -0.968898 0.00769237 0.973186 -0.0104074 -0.00684794 -0.00826645 -0.00534357 0.0200307 -0.00685903 -0.00260053 0.0295254 -0.00254326 -0.0550564 0.171064 -0.0739828 3.62549e-07 3.62547e-07 3.4712e-07 2.93069e-06 2.93062e-06 3.10322e-06 4.04551e-05 4.04545e-05 3.64357e-05 4.04551e-05 4.04545e-05 3.64357e-05 0.0473386 0.0473385 0.0470741
1699967711.738198000 0 1 1 1 1 1 -0.968925 0.00778986 0.973146 -0.0104084 -0.00646702 -0.00831283 -0.00556753 0.0203318 -0.00782206 0.000558081 0.0465909 -0.00576735 -0.0472908 0.127717 -0.112502 3.90907e-07 3.90904e-07 3.72915e-07 2.98083e-06 2.98077e-06 3.15337e-06 4.20144e-05 4.20136e-05 3.76872e-05 4.20144e-05 4.20136e-05 3.76872e-05 0.0473846 0.0473846 0.0471177
1699967711.743203000 0 1 1 1 1 1 -0.968869 0.00771069 0.973152 -0.0101476 -0.00663925 -0.00834291 -0.00465367 0.0194416 -0.0069756 0.0138292 0.00116752 -0.00668057 -0.00463834 0.104211 -0.0152603 3.60434e-07 3.60431e-07 3.44882e-07 2.92185e-06 2.92178e-06 3.09244e-06 4.06363e-05 4.06356e-05 3.65985e-05 4.06363e-05 4.06356e-05 3.65985e-05 0.0473991 0.0473991 0.0471385
1699967711.748238000 0 1 1 1 1 1 -0.968897 0.00781567 0.973112 -0.0103108 -0.00609817 -0.00824312 -0.00528277 0.0206532 -0.00774731 -0.00655773 0.0513122 0.00530278 -0.0542867 0.159405 -0.0839673 3.89105e-07 3.89102e-07 3.70949e-07 2.9732e-06 2.97315e-06 3.14381e-06 4.223e-05 4.22292e-05 3.78775e-05 4.223e-05 4.22292e-05 3.78775e-05 0.0479256 0.0479256 0.0476583
1699967711.753213000 0 1 1 1 1 1 -0.968842 0.00772884 0.973113 -0.0101526 -0.00574681 -0.0082122 -0.00488332 0.0198666 -0.00794732 0.00222196 0.0484278 0.00400071 -0.0421465 0.136653 -0.0806371 3.58436e-07 3.58433e-07 3.42754e-07 2.91124e-06 2.91121e-06 3.07958e-06 4.08208e-05 4.08201e-05 3.67659e-05 4.08208e-05 4.08201e-05 3.67659e-05 0.0474992 0.0474992 0.0472394
