# logged on Tue Nov 14 14:15:11 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699967711.775721000  1000.14 0 50.0085  15.802  nan  -0.0530634 0.086826 0.00834901  -0.0530634 0.086826 0.00834901  -0.129105 0.0932603 9.41968  -0.129105 0.0932603 9.41968  nan nan nan  nan nan nan  76.471 74.3611 67.1671 65.1142 - - - - 76.8049 74.4048 67.0691 65.0533 nan nan nan nan 138 146 134 71 0 0 0 0
1699967711.780727000  1000.15 0 50.0086  -  nan  0.0473397 -0.0521464 -0.000258208  0.0473397 -0.0521464 -0.000258208  -0.0330243 0.0925454 9.59296  -0.0330243 0.0925454 9.59296  - - -  - - -  77.1131 74.9211 66.3671 64.8084 - - - - - - - 65.0533 - - - - 138 146 134 71 0 0 0 0
1699967711.785724000  1000.14 0 50.0067  -  nan  -0.0801235 -0.0814796 -0.00125653  -0.0801235 -0.0814796 -0.00125653  0.0581103 -0.00195274 10.2904  0.0581103 -0.00195274 10.2904  - - -  - - -  76.6331 74.2776 67.0382 65.4955 - - - - - 74.4048 - - - - - - 138 146 134 71 0 0 0 0
1699967711.790733000  1000.15 0 50.0081  -  nan  -0.066608 0.0174015 -0.00373313  -0.066608 0.0174015 -0.00373313  -0.0833529 0.0918345 9.7642  -0.0833529 0.0918345 9.7642  - - -  - - -  76.185 74.7856 67.4235 64.6098 - - - - - - 67.0691 - - - - - 138 146 134 71 0 0 0 0
1699967711.795735000  1000.14 0 50.0053  -  nan  0.0473397 -0.0521464 -0.000258208  0.0473397 -0.0521464 -0.000258208  -0.0853354 0.045536 9.88311  -0.0853354 0.045536 9.88311  - - -  - - -  76.6104 75.0208 66.9096 64.3903 - - - - 76.8049 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.800759000  1000.15 0 50.0067  -  nan  -0.0375481 -0.122939 -0.013305  -0.0375481 -0.122939 -0.013305  0.0584879 -0.04778 10.0652  0.0584879 -0.04778 10.0652  - - -  - - -  76.2036 74.1997 67.5697 65.1151 - - - - - - - 65.0533 - - - - 138 146 134 71 0 0 0 0
1699967711.805729000  1000.14 0 50.0061  -  nan  -0.0809503 0.0176971 0.0235856  -0.0809503 0.0176971 0.0235856  -0.0809517 0.139323 9.58835  -0.0809517 0.139323 9.58835  - - -  - - -  75.9612 75.1787 67.5857 64.1904 - - - - - 76.3126 - - - - - - 138 146 134 71 0 0 0 0
1699967711.810727000  1000.15 0 50.0085  -  nan  0.0189879 -0.0382781 0.0127339  0.0189879 -0.0382781 0.0127339  -0.082164 0.0925454 9.59261  -0.082164 0.0925454 9.59261  - - -  - - -  76.4373 75.411 66.7992 64.2691 - - - - - - 67.6407 - - - - - 138 146 134 71 0 0 0 0
1699967711.815737000  1000.14 0 50.0066  -  nan  -0.0376848 -0.122754 0.000452158  -0.0376848 -0.122754 0.000452158  0.0568816 -0.0947934 10.1263  0.0568816 -0.0947934 10.1263  - - -  - - -  76.1563 74.9343 67.2514 64.8492 - - - - 77.8089 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.820737000  1000.15 0 50.007  -  nan  -0.0525156 -0.0109922 0.0109944  -0.0525156 -0.0109922 0.0109944  -0.031812 0.139323 9.5887  -0.031812 0.139323 9.5887  - - -  - - -  75.5914 74.9053 67.8279 64.69 - - - - - - - 65.4108 - - - - 138 146 134 71 0 0 0 0
1699967711.825764000  1000.14 0 50.0053  -  nan  -0.0101726 -0.0109528 -0.00217633  -0.0101726 -0.0109528 -0.00217633  -0.0825566 0.0471974 9.48207  -0.0825566 0.0471974 9.48207  - - -  - - -  76.0056 75.1181 67.2911 64.6123 - - - - - 74.638 - - - - - - 138 146 134 71 0 0 0 0
1699967711.830736000  1000.15 0 50.0067  -  nan  -0.00948804 -0.108956 -0.0132881  -0.00948804 -0.108956 -0.0132881  0.0584879 -0.04778 10.0652  0.0584879 -0.04778 10.0652  - - -  - - -  76.1708 74.8972 67.3055 64.7798 - - - - - - 67.8334 - - - - - 138 146 134 71 0 0 0 0
1699967711.835724000  1000.14 0 50.0041  -  nan  -0.0243781 -0.0108424 0.0113853  -0.0243781 -0.0108424 0.0113853  0.0161153 0.0925454 9.59331  0.0161153 0.0925454 9.59331  - - -  - - -  75.6904 74.6856 67.9655 64.8015 - - - - 76.558 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.840733000  1000.15 0 50.0057  -  nan  -0.0104699 0.0178863 0.0108059  -0.0104699 0.0178863 0.0108059  -0.0845405 0.0460113 9.76838  -0.0845405 0.0460113 9.76838  - - -  - - -  76.0308 75.0143 67.4202 64.7261 - - - - - - - 64.8761 - - - - 138 146 134 71 0 0 0 0
1699967711.845724000  1000.14 0 50.0051  -  nan  0.0195769 -0.0949682 -0.0132573  0.0195769 -0.0949682 -0.0132573  0.111208 -0.0456392 9.54877  0.111208 -0.0456392 9.54877  - - -  - - -  76.2941 74.7236 67.1347 65.0306 - - - - - 76.8049 - - - - - - 138 146 134 71 0 0 0 0
1699967711.850730000  1000.15 0 50.0056  -  nan  -0.0105473 0.0317192 0.0104318  -0.0105473 0.0317192 0.0104318  0.012543 0.0452963 9.94167  0.012543 0.0452963 9.94167  - - -  - - -  75.9711 74.4426 67.8315 65.1981 - - - - - - 68.6153 - - - - - 138 146 134 71 0 0 0 0
1699967711.855740000  1000.15 0 50.004  -  nan  0.0468693 0.0318388 -0.00252947  0.0468693 0.0318388 -0.00252947  -0.0829589 0.0920701 9.70734  -0.0829589 0.0920701 9.70734  - - -  - - -  76.4419 74.6106 67.2129 64.9957 - - - - 74.638 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.860721000  1000.15 0 50.0046  -  nan  0.0614914 -0.0668925 0.000338076  0.0614914 -0.0668925 0.000338076  0.112003 -0.0451639 9.43404  0.112003 -0.0451639 9.43404  - - -  - - -  76.6609 74.2455 66.9579 65.4273 - - - - - - - 65.7722 - - - - 138 146 134 71 0 0 0 0
1699967711.865716000  1000.15 0 50.0052  -  nan  -0.0386848 0.0315694 0.0100408  -0.0386848 0.0315694 0.0100408  0.00857669 -0.00218831 10.3469  0.00857669 -0.00218831 10.3469  - - -  - - -  76.4156 74.1229 67.4929 65.6368 - - - - - 74.4048 - - - - - - 138 146 134 71 0 0 0 0
1699967711.870717000  1000.15 0 50.0066  -  nan  0.0467144 0.0595046 -0.00327765  0.0467144 0.0595046 -0.00327765  -0.0801732 0.0937356 9.3053  -0.0801732 0.0937356 9.3053  - - -  - - -  76.6738 74.5638 66.8178 65.1884 - - - - - - 67.4491 - - - - - 138 146 134 71 0 0 0 0
1699967711.875730000  1000.15 0 50.006  -  nan  0.0191247 -0.0384634 -0.00102324  0.0191247 -0.0384634 -0.00102324  0.110012 -0.0463542 9.72136  0.110012 -0.0463542 9.72136  - - -  - - -  76.8611 74.1381 66.9851 65.7269 - - - - 75.5858 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.880727000  1000.15 0 50.0074  -  nan  -0.0528903 0.0316798 0.0236025  -0.0528903 0.0316798 0.0236025  0.00976425 0.0436349 10.3427  0.00976425 0.0436349 10.3427  - - -  - - -  76.6706 74.3721 67.1026 65.5551 - - - - - - - 64.6998 - - - - 138 146 134 71 0 0 0 0
1699967711.885739000  1000.15 0 50.0066  -  nan  0.0609199 0.0593942 -0.0168393  0.0609199 0.0593942 -0.0168393  -0.12831 0.0937356 9.30496  -0.12831 0.0937356 9.30496  - - -  - - -  76.7955 74.7178 66.5227 65.1844 - - - - - 73.7137 - - - - - - 138 146 134 71 0 0 0 0
1699967711.890724000  1000.16 0 50.009  -  nan  0.0332528 -0.0247409 -0.014959  0.0332528 -0.0247409 -0.014959  0.160348 -0.0456392 9.54912  0.160348 -0.0456392 9.54912  - - -  - - -  77.1404 74.1998 66.6844 65.6528 - - - - - - 65.9544 - - - - - 138 146 134 71 0 0 0 0
1699967711.895735000  1000.18 0 50.0091  -  nan  -0.0809685 0.0451776 0.00908033  -0.0809685 0.0451776 0.00908033  -0.036598 0.0904087 10.1087  -0.036598 0.0904087 10.1087  - - -  - - -  76.8242 74.1402 67.2349 65.4975 - - - - 76.3126 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.900740000  1000.19 0 50.0112  -  nan  0.0327231 0.0455968 -0.00309903  0.0327231 0.0455968 -0.00309903  -0.032607 0.138848 9.70343  -0.032607 0.138848 9.70343  - - -  - - -  76.9347 74.94 66.583 64.7072 - - - - - - - 65.0533 - - - - 138 146 134 71 0 0 0 0
1699967711.905747000  1000.19 0 50.0139  -  nan  -0.0239496 -0.0388787 -0.0153807  -0.0239496 -0.0388787 -0.0153807  0.0596837 -0.047065 9.8926  0.0596837 -0.047065 9.8926  - - -  - - -  77.125 74.5263 66.6834 65.0434 - - - - - 75.1089 66.3218 - - - - - 138 146 134 71 0 0 0 0
1699967711.910739000  1000.18 0 50.0139  -  nan  -0.0665844 -0.0110671 0.0107989  -0.0665844 -0.0110671 0.0107989  0.0125416 0.0904087 10.1091  0.0125416 0.0904087 10.1091  - - -  - - -  76.7057 74.6713 67.2545 64.6724 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699967711.915718000  1000.18 0 50.0126  -  nan  -0.0246161 0.0316443 0.0102363  -0.0246161 0.0316443 0.0102363  -0.0342133 0.0918345 9.76455  -0.0342133 0.0918345 9.76455  - - -  - - -  76.555 75.2531 67.0877 64.1077 - - - - 76.558 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.920739000  1000.19 0 50.0133  -  nan  -0.0382326 -0.0249354 -0.00219319  -0.0382326 -0.0249354 -0.00219319  0.0601011 -0.000762466 10.0031  0.0601011 -0.000762466 10.0031  - - -  - - -  76.6868 75.1692 66.7572 64.3419 - - - - - - - 65.7722 - - - - 138 146 134 71 0 0 0 0
1699967711.925739000  1000.19 0 50.0138  -  nan  -0.0663701 -0.0250852 -0.00258414  -0.0663701 -0.0250852 -0.00258414  0.0141328 0.0462469 9.71222  0.0141328 0.0462469 9.71222  - - -  - - -  76.3639 75.3263 67.1527 64.0187 - - - - - 75.1089 67.6407 - - - - - 138 146 134 71 0 0 0 0
1699967711.930734000  1000.18 0 50.0138  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  -0.0821242 0.184675 9.92826  -0.0821242 0.184675 9.92826  - - -  - - -  76.3001 75.5806 67.145 63.8774 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699967711.935727000  1000.18 0 50.0114  -  nan  -0.0381552 -0.0387683 -0.0018191  -0.0381552 -0.0387683 -0.0018191  0.0129453 0.000423674 9.71639  0.0129453 0.000423674 9.71639  - - -  - - -  76.3897 75.2703 66.997 64.1489 - - - - 76.0688 - - - - - - - 138 146 134 71 0 0 0 0
1699967711.940735000  1000.17 0 50.0113  -  nan  -0.0524381 -0.024825 0.0113684  -0.0524381 -0.024825 0.0113684  0.0125513 0.000188099 9.77326  0.0125513 0.000188099 9.77326  - - -  - - -  76.1497 75.5378 67.2363 63.919 - - - - - - - 65.2316 - - - - 138 146 134 71 0 0 0 0
1699967711.945732000  1000.16 0 50.0111  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  -0.0342133 0.0918345 9.76455  -0.0342133 0.0918345 9.76455  - - -  - - -  76.1527 75.7644 67.2499 63.6855 - - - - - 74.173 - - - - - - 138 146 134 71 0 0 0 0
