# logged on Tue Nov 14 14:33:39 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699968819.267763000  1000.32 0 49.9895  16.189  nan  0.0187912 0.0453366 -0.0170516  0.0187912 0.0453366 -0.0170516  -0.0306396 0.0939712 9.24879  -0.0306396 0.0939712 9.24879  nan nan nan  nan nan nan  76.6855 74.8362 67.3564 64.1966 - - - - 76.3126 74.4048 66.3218 64.5245 nan nan nan nan 139 146 0 71 0 0 0 0
1699968819.272772000  1000.33 0 49.9905  -  nan  -0.0379947 -0.0674221 -0.0010442  -0.0379947 -0.0674221 -0.0010442  0.104054 -0.0499167 10.5813  0.104054 -0.0499167 10.5813  - - -  - - -  76.963 74.6978 67.2951 64.4417 - - - - - - - 64.1766 - - - - 139 146 0 71 0 0 0 0
1699968819.277786000  1000.33 0 49.9895  -  nan  -0.0386073 0.0177365 0.0104149  -0.0386073 0.0177365 0.0104149  -0.0797792 0.0939712 9.24844  -0.0797792 0.0939712 9.24844  - - -  - - -  76.0055 75.0151 67.7345 63.6855 - - - - - - 68.0272 - - - - - 139 146 0 71 0 0 0 0
1699968819.282796000  1000.35 0 49.9905  -  nan  0.0187318 0.0316891 -0.00292041  0.0187318 0.0316891 -0.00292041  -0.0817617 0.0476727 9.36734  -0.0817617 0.0476727 9.36734  - - -  - - -  76.5771 75.0575 67.2645 64.2318 - - - - 76.3126 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.287798000  1000.36 0 49.9915  -  nan  -0.023926 -0.0673472 -0.000848728  -0.023926 -0.0673472 -0.000848728  0.104455 -0.049677 10.5234  0.104455 -0.049677 10.5234  - - -  - - -  76.6176 74.9564 67.4261 64.2516 - - - - - 74.4048 - - - - - - 139 146 0 71 0 0 0 0
1699968819.292802000  1000.36 0 49.9933  -  nan  -0.0102501 0.00288011 -0.00255042  -0.0102501 0.00288011 -0.00255042  -0.0757648 0.188477 9.01046  -0.0757648 0.188477 9.01046  - - -  - - -  75.9622 74.9477 67.8005 63.7201 - - - - - - - 64.5245 - - - - 139 146 0 71 0 0 0 0
1699968819.297795000  1000.36 0 49.993  -  nan  0.0187912 0.0453366 -0.0170516  0.0187912 0.0453366 -0.0170516  -0.0330147 0.0023248 9.25714  -0.0330147 0.0023248 9.25714  - - -  - - -  76.5099 74.8761 67.5897 64.1653 - - - - - - 67.2585 - - - - - 139 146 0 71 0 0 0 0
1699968819.302803000  1000.37 0 49.9947  -  nan  -0.00972044 -0.0674576 -0.0144104  -0.00972044 -0.0674576 -0.0144104  0.100874 -0.0518179 11.0402  0.100874 -0.0518179 11.0402  - - -  - - -  76.9105 74.7767 67.4659 64.4474 - - - - 76.558 - - - - - - - 139 146 0 71 0 0 0 0
1699968819.307810000  1000.37 0 49.9942  -  nan  0.00373566 0.0177759 -0.00275576  0.00373566 0.0177759 -0.00275576  -0.0290264 0.140989 9.18666  -0.0290264 0.140989 9.18666  - - -  - - -  76.083 74.5074 68.003 63.9026 - - - - - 76.558 - - - - - - 139 146 0 71 0 0 0 0
1699968819.312781000  1000.37 0 49.9948  -  nan  0.00344395 0.0456269 0.0102532  0.00344395 0.0456269 0.0102532  -0.0318189 0.00303979 9.08455  -0.0318189 0.00303979 9.08455  - - -  - - -  76.5623 74.6189 67.6534 64.0931 - - - - - - - 63.8325 - - - - 139 146 0 71 0 0 0 0
1699968819.317785000  1000.37 0 49.9933  -  nan  0.0042653 -0.0525617 -0.0146157  0.0042653 -0.0525617 -0.0146157  0.100874 -0.0518179 11.0402  0.100874 -0.0518179 11.0402  - - -  - - -  76.982 74.697 67.2886 64.4765 - - - - - - 67.4491 - - - - - 139 146 0 71 0 0 0 0
