# logged on Tue Nov 14 15:16:08 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699971368.453945000  1000.28 0 50.0026  15.802  nan  0.0474408 -0.0944478 0.0146479  0.0474408 -0.0944478 0.0146479  0.0101665 -0.00123775 10.1174  0.0101665 -0.00123775 10.1174  nan nan nan  nan nan nan  78.8621 77.3865 65.0889 63.293 - - - - 80.4376 78.5793 64.6998 63.4921 nan nan nan nan 138 146 134 71 0 0 0 0
1699971368.458946000  1000.28 0 50.0026  -  nan  0.0749475 0.018341 0.0119927  0.0749475 0.018341 0.0119927  -0.0318285 0.0932603 9.42038  -0.0318285 0.0932603 9.42038  - - -  - - -  78.2398 77.1441 65.4813 63.6978 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.463948000  1000.28 0 50.0026  -  nan  0.0904733 -0.0380835 -3.19144e-05  0.0904733 -0.0380835 -3.19144e-05  0.011733 -0.0463542 9.72066  0.011733 -0.0463542 9.72066  - - -  - - -  78.609 76.7592 65.2512 64.305 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.468950000  1000.28 0 50.0041  -  nan  0.0475001 -0.0808002 0.000516693  0.0475001 -0.0808002 0.000516693  0.161158 0.0460113 9.77013  0.161158 0.0460113 9.77013  - - -  - - -  78.405 76.5744 65.7413 64.4806 - - - - - 77.0535 - 62.9882 - - - - 138 146 134 71 0 0 0 0
1699971368.474037000  1000.29 0 50.0051  -  nan  0.0183264 0.128334 -0.0192962  0.0183264 0.128334 -0.0192962  -0.0282315 0.141464 9.07194  -0.0282315 0.141464 9.07194  - - -  - - -  78.2873 76.4729 65.9293 64.5586 - - - - 78.3208 - 65.591 - - - - - 138 146 134 71 0 0 0 0
1699971368.478944000  1000.29 0 50.0051  -  nan  -0.0386436 0.0726975 -0.0185957  -0.0386436 0.0726975 -0.0185957  0.0608726 -0.0463542 9.72101  0.0608726 -0.0463542 9.72101  - - -  - - -  80.1027 77.0575 64.7751 63.8823 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.483964000  1000.29 0 50.0051  -  nan  -0.0662417 0.00219676 -0.0318292  -0.0662417 0.00219676 -0.0318292  0.0648774 0.138373 9.81885  0.0648774 0.138373 9.81885  - - -  - - -  80.1401 77.3369 64.9539 63.0308 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.488962000  1000.29 0 50.0061  -  nan  -0.0812427 0.142625 -0.0210792  -0.0812427 0.142625 -0.0210792  0.0157213 0.0923098 9.65018  0.0157213 0.0923098 9.65018  - - -  - - -  80.0005 77.5157 65.3194 62.3835 - - - - - 77.0535 - 64.1766 - - - - 138 146 134 71 0 0 0 0
1699971368.494063000  1000.29 0 50.0048  -  nan  0.00381866 0.00295501 -0.00235495  0.00381866 0.00295501 -0.00235495  0.00659285 -0.00337445 10.6332  0.00659285 -0.00337445 10.6332  - - -  - - -  80.7711 77.9356 64.5162 61.856 - - - - 80.4376 - 66.1376 - - - - - 138 146 134 71 0 0 0 0
1699971368.498979000  1000.29 0 50.0048  -  nan  0.0194401 -0.0947829 0.000499835  0.0194401 -0.0947829 0.000499835  -0.039768 -0.00171303 10.2318  -0.039768 -0.00171303 10.2318  - - -  - - -  79.8897 77.4457 64.8046 62.4637 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.503953000  1000.28 0 50.0048  -  nan  0.0037775 -0.0381731 0.0262815  0.0037775 -0.0381731 0.0262815  -0.0342119 0.0467222 9.59714  -0.0342119 0.0467222 9.59714  - - -  - - -  78.6425 77.1416 65.7207 62.9878 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.508941000  1000.28 0 50.0059  -  nan  0.0752036 -0.0516261 0.027647  0.0752036 -0.0516261 0.027647  -0.040563 -0.00218831 10.3465  -0.040563 -0.00218831 10.3465  - - -  - - -  78.3473 77.3995 65.7383 63.2881 - - - - - 77.8089 - 61.3648 - - - - 138 146 134 71 0 0 0 0
1699971368.513941000  1000.28 0 50.0028  -  nan  0.0475957 -0.122114 0.0153961  0.0475957 -0.122114 0.0153961  0.0141411 0.00113866 9.54381  0.0141411 0.00113866 9.54381  - - -  - - -  77.8756 76.7525 65.8081 64.0832 - - - - 81.5395 - 65.0533 - - - - - 138 146 134 71 0 0 0 0
1699971368.518961000  1000.29 0 50.0028  -  nan  -0.0384469 -0.0109173 0.0111898  -0.0384469 -0.0109173 0.0111898  0.0200899 0.0949218 9.01969  0.0200899 0.0949218 9.01969  - - -  - - -  77.5483 77.0175 66.5172 63.9583 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.524032000  1000.3 0 50.0028  -  nan  -0.038703 0.0590499 -0.00446445  -0.038703 0.0590499 -0.00446445  -0.0361957 0.045536 9.88346  -0.0361957 0.045536 9.88346  - - -  - - -  78.246 77.6455 66.1555 63.4949 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.528963000  1000.3 0 50.0039  -  nan  -0.08054 0.0171413 -0.0176857  -0.08054 0.0171413 -0.0176857  0.115198 0.0479124 9.31088  0.115198 0.0479124 9.31088  - - -  - - -  78.9149 77.8327 65.5778 63.0146 - - - - - 77.3036 - 62.4922 - - - - 138 146 134 71 0 0 0 0
1699971368.533941000  1000.3 0 50.0031  -  nan  -0.08054 0.0171413 -0.0176857  -0.08054 0.0171413 -0.0176857  0.163142 0.0471974 9.48382  0.163142 0.0471974 9.48382  - - -  - - -  79.2896 78.044 65.9267 62.2767 - - - - 78.5793 - 65.2316 - - - - - 138 146 134 71 0 0 0 0
1699971368.538960000  1000.31 0 50.0031  -  nan  -0.0248848 0.128104 -0.0198965  -0.0248848 0.128104 -0.0198965  -0.0865161 0.135996 10.3914  -0.0865161 0.135996 10.3914  - - -  - - -  79.7978 78.2066 65.641 62.0298 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1699971368.543960000  1000.31 0 50.0031  -  nan  -0.0100177 -0.0386185 -0.00142815  -0.0100177 -0.0386185 -0.00142815  0.00493981 -0.142522 10.3597  0.00493981 -0.142522 10.3597  - - -  - - -  80.2579 77.8501 64.7911 62.0338 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
