# logged on Tue Nov 14 16:05:25 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699974325.937347000  1000.32 0 50.0017  15.834  nan  0.103953 0.0186814 0.0261547  0.103953 0.0186814 0.0261547  -0.0841382 0.00113866 9.54311  -0.0841382 0.00113866 9.54311  nan nan nan  nan nan nan  78.6361 77.7979 63.8777 63.748 - - - - 79.8977 77.8089 65.591 63.4921 nan nan nan nan 138 146 0 71 0 0 0 0
1699974325.942361000  1000.32 0 50.0025  -  nan  0.118575 -0.0800499 0.0290223  0.118575 -0.0800499 0.0290223  -0.0386354 -0.139195 9.55625  -0.0386354 -0.139195 9.55625  - - -  - - -  78.1155 77.0765 64.4136 65.2488 - - - - - 77.5555 - - - - - - 138 146 0 71 0 0 0 0
1699974325.947418000  1000.32 0 50.0038  -  nan  0.0755783 -0.094298 0.0150388  0.0755783 -0.094298 0.0150388  0.10207 -0.0511029 10.8676  0.10207 -0.0511029 10.8676  - - -  - - -  77.3529 76.803 65.1413 65.943 - - - - 78.8395 - - 63.3232 - - - - 138 146 0 71 0 0 0 0
1699974325.952365000  1000.31 0 50.0034  -  nan  0.104524 -0.0105282 -0.0143417  0.104524 -0.0105282 -0.0143417  -0.0326234 0.0927851 9.5351  -0.0326234 0.0927851 9.5351  - - -  - - -  76.8666 76.7703 65.3832 65.6848 - - - - - - 63.8325 - - - - - 138 146 0 71 0 0 0 0
1699974325.957360000  1000.31 0 50.0034  -  nan  0.0473906 -0.0110316 -0.0298774  0.0473906 -0.0110316 -0.0298774  0.0668544 0.00327537 9.02839  0.0668544 0.00327537 9.02839  - - -  - - -  77.4553 76.4438 65.3735 65.6863 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974325.962369000  1000.31 0 50.0031  -  nan  -0.0522741 0.044573 -0.0465398  -0.0522741 0.044573 -0.0465398  0.161953 0.0464866 9.65541  0.161953 0.0464866 9.65541  - - -  - - -  78.2733 76.826 65.5822 64.597 - - - - - 76.8049 - - - - - - 138 146 0 71 0 0 0 0
1699974325.967370000  1000.3 0 50.0024  -  nan  -0.0812427 0.142625 -0.0210792  -0.0812427 0.142625 -0.0210792  0.0145255 0.0915948 9.82277  0.0145255 0.0915948 9.82277  - - -  - - -  79.0017 77.6504 64.7655 63.416 - - - - 77.3036 - - 65.7722 - - - - 138 146 0 71 0 0 0 0
1699974325.972350000  1000.29 0 50.0032  -  nan  -0.0668586 0.0863805 -0.0193607  -0.0668586 0.0863805 -0.0193607  0.0644683 0.0469619 9.53998  0.0644683 0.0469619 9.53998  - - -  - - -  79.4709 78.0619 64.1118 62.9639 - - - - - - 65.7722 - - - - - 138 146 0 71 0 0 0 0
1699974325.977339000  1000.29 0 50.0032  -  nan  -0.0949779 0.0587503 -0.00524635  -0.0949779 0.0587503 -0.00524635  0.155996 -0.00218831 10.3479  0.155996 -0.00218831 10.3479  - - -  - - -  79.641 78.3469 63.9104 62.8556 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974325.982399000  1000.28 0 50.0019  -  nan  -0.038703 0.0590499 -0.00446445  -0.038703 0.0590499 -0.00446445  -0.0405643 0.042924 10.5139  -0.0405643 0.042924 10.5139  - - -  - - -  79.323 78.5463 63.7533 62.5434 - - - - - 77.5555 - - - - - - 138 146 0 71 0 0 0 0
1699974325.987364000  1000.27 0 50.0033  -  nan  0.0472622 -0.0383136 -0.000632298  0.0472622 -0.0383136 -0.000632298  -0.0861289 -5.16086e-05 9.83042  -0.0861289 -5.16086e-05 9.83042  - - -  - - -  79.0857 78.2196 63.5387 62.735 - - - - 80.4376 - - 62.9882 - - - - 138 146 0 71 0 0 0 0
1699974325.992343000  1000.27 0 50.003  -  nan  0.0477325 -0.122299 0.00163896  0.0477325 -0.122299 0.00163896  0.0564807 -0.0950332 10.1842  0.0564807 -0.0950332 10.1842  - - -  - - -  78.0362 77.4729 64.6568 63.8272 - - - - - - 64.6998 - - - - - 138 146 0 71 0 0 0 0
1699974325.997381000  1000.27 0 50.003  -  nan  0.0754234 -0.0666323 0.0142907  0.0754234 -0.0666323 0.0142907  0.0113541 0.0445855 10.1133  0.0113541 0.0445855 10.1133  - - -  - - -  77.179 77.2234 65.2843 64.2277 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.002354000  1000.28 0 50.0027  -  nan  0.10462 -0.0518415 0.000537649  0.10462 -0.0518415 0.000537649  -0.0777871 0.0500491 8.79371  -0.0777871 0.0500491 8.79371  - - -  - - -  77.0085 76.9001 65.1768 64.8545 - - - - - 77.8089 - - - - - - 138 146 0 71 0 0 0 0
1699974326.007340000  1000.29 0 50.0021  -  nan  0.019339 -0.0524815 -0.0144063  0.019339 -0.0524815 -0.0144063  0.160742 -0.0454036 9.49226  0.160742 -0.0454036 9.49226  - - -  - - -  77.2746 76.6941 65.5301 65.3961 - - - - 77.0535 - - 62.822 - - - - 138 146 0 71 0 0 0 0
1699974326.012350000  1000.29 0 50.0029  -  nan  -0.0665487 0.0310491 -0.0178643  -0.0665487 0.0310491 -0.0178643  0.113207 0.0467222 9.59819  0.113207 0.0467222 9.59819  - - -  - - -  77.6136 77.0128 65.6128 64.706 - - - - - - 65.591 - - - - - 138 146 0 71 0 0 0 0
1699974326.017337000  1000.29 0 50.0029  -  nan  -0.0248848 0.128104 -0.0198965  -0.0248848 0.128104 -0.0198965  0.0204908 0.0951615 8.96183  0.0204908 0.0951615 8.96183  - - -  - - -  78.2645 77.5437 65.1102 63.9417 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.022387000  1000.3 0 50.0016  -  nan  -0.0946946 0.0583665 -0.0337432  -0.0946946 0.0583665 -0.0337432  0.104849 -0.0494414 10.4666  0.104849 -0.0494414 10.4666  - - -  - - -  79.491 77.8009 64.2028 63.8466 - - - - - 78.3208 - - - - - - 138 146 0 71 0 0 0 0
1699974326.027380000  1000.31 0 49.9993  -  nan  -0.0947721 0.0721994 -0.0341173  -0.0947721 0.0721994 -0.0341173  0.0101582 0.0438705 10.2858  0.0101582 0.0438705 10.2858  - - -  - - -  79.5563 78.2033 64.1494 62.5947 - - - - 78.064 - - 64.3501 - - - - 138 146 0 71 0 0 0 0
1699974326.032365000  1000.31 0 49.9993  -  nan  0.0326275 0.0869101 -0.0179784  0.0326275 0.0869101 -0.0179784  0.0149127 -0.044453 9.26176  0.0149127 -0.044453 9.26176  - - -  - - -  79.709 78.155 63.8533 62.1676 - - - - - - 64.6998 - - - - - 138 146 0 71 0 0 0 0
1699974326.037346000  1000.31 0 49.9993  -  nan  0.0471254 -0.0381283 0.0131248  0.0471254 -0.0381283 0.0131248  0.00337335 -0.0974054 10.7565  0.00337335 -0.0974054 10.7565  - - -  - - -  79.6306 77.5595 63.948 63.4579 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.042407000  1000.31 0 49.9994  -  nan  0.0473815 -0.108095 0.0287791  0.0473815 -0.108095 0.0287791  0.00299581 -0.0515781 10.9816  0.00299581 -0.0515781 10.9816  - - -  - - -  78.0472 77.1716 64.6153 64.0677 - - - - - 76.8049 - - - - - - 138 146 0 71 0 0 0 0
1699974326.047354000  1000.31 0 50.0005  -  nan  0.13262 -0.0515064 0.0146857  0.13262 -0.0515064 0.0146857  -0.0306533 -0.0423163 8.74564  -0.0306533 -0.0423163 8.74564  - - -  - - -  77.3267 76.9482 64.8008 64.7985 - - - - 79.3651 - - - - - - - 138 146 0 71 0 0 0 0
1699974326.052382000  1000.31 0 49.9987  -  nan  0.133054 -0.0805308 -0.0120536  0.133054 -0.0805308 -0.0120536  -0.0357935 0.000663381 9.65818  -0.0357935 0.000663381 9.65818  - - -  - - -  77.3684 76.5545 65.2168 65.7947 - - - - - - 63.6618 62.4922 - - - - 138 146 0 71 0 0 0 0
1699974326.057358000  1000.31 0 49.9987  -  nan  0.0334314 -0.0808751 0.000321219  0.0334314 -0.0808751 0.000321219  0.107651 -0.00171303 10.2329  0.107651 -0.00171303 10.2329  - - -  - - -  77.4383 76.0705 65.7807 65.9588 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.062360000  1000.32 0 49.9978  -  nan  -0.0102821 0.0588159 -0.0325704  -0.0102821 0.0588159 -0.0325704  0.0200899 0.0949218 9.01969  0.0200899 0.0949218 9.01969  - - -  - - -  77.5105 76.5668 65.6868 65.239 - - - - - 76.558 - - - - - - 138 146 0 71 0 0 0 0
1699974326.067356000  1000.32 0 49.998  -  nan  -0.0385746 0.0863318 -0.0337095  -0.0385746 0.0863318 -0.0337095  0.117182 0.0490986 9.02456  0.117182 0.0490986 9.02456  - - -  - - -  78.9011 77.3664 64.9554 64.3347 - - - - 77.5555 - - 65.2316 - - - - 138 146 0 71 0 0 0 0
1699974326.072354000  1000.32 0 49.9982  -  nan  -0.123837 0.0582114 -0.0341481  -0.123837 0.0582114 -0.0341481  0.154012 -0.00337445 10.6342  0.154012 -0.00337445 10.6342  - - -  - - -  79.7013 77.8421 64.7359 63.6261 - - - - - - 65.591 - - - - - 138 146 0 71 0 0 0 0
1699974326.077377000  1000.32 0 49.9982  -  nan  -0.0952285 0.127729 -0.0208739  -0.0952285 0.127729 -0.0208739  0.0161153 0.0925454 9.59331  0.0161153 0.0925454 9.59331  - - -  - - -  79.6877 78.4074 64.2785 62.3543 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
1699974326.082406000  1000.32 0 49.9964  -  nan  0.0187912 0.0453366 -0.0170516  0.0187912 0.0453366 -0.0170516  -0.0346045 0.00137424 9.48659  -0.0346045 0.00137424 9.48659  - - -  - - -  80.0428 78.4708 63.8619 62.4594 - - - - - 77.5555 - - - - - - 138 146 0 71 0 0 0 0
1699974326.087440000  1000.32 0 49.995  -  nan  0.00421152 -0.0671974 -0.00045778  0.00421152 -0.0671974 -0.00045778  0.0960882 -0.100732 11.5602  0.0960882 -0.100732 11.5602  - - -  - - -  79.4576 77.9529 64.4102 63.383 - - - - 80.9848 - - 63.1552 - - - - 138 146 0 71 0 0 0 0
1699974326.092631000  1000.31 0 49.9965  -  nan  0.104054 -0.02362 0.0410608  0.104054 -0.02362 0.0410608  -0.126719 0.0495739 8.9081  -0.126719 0.0495739 8.9081  - - -  - - -  78.2578 77.8208 64.6871 63.6379 - - - - - - 64.3501 - - - - - 138 146 0 71 0 0 0 0
1699974326.097379000  1000.31 0 49.9965  -  nan  0.146653 -0.0935477 0.0435444  0.146653 -0.0935477 0.0435444  -0.0845789 -0.0912309 9.26532  -0.0845789 -0.0912309 9.26532  - - -  - - -  78.037 77.6738 64.711 64.5984 - - - - - - - - - - - - 138 146 0 71 0 0 0 0
