# logged on Tue Nov 14 16:07:23 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.00491  1          -0.00553328  2             -0.00977
#  3           0.00534957  4             0.988062  5            0.0132337
#  6            0.0139624  7           -0.0267207  8             0.982651
# }
# gbias {
#  0           -0.0522065  1            0.0740019  2            0.0396312
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0              1.00285  1            0.0247407  2          -0.00691233
#  3                    0  4              0.95465  5          -0.00413289
#  6           0.00714267  7           -0.0870143  8             0.997613
# }
# abias {
#  0             0.323011  1            0.0906225  2             0.143794
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1699974443.019964000  999.883 0 50.0084  15.705  nan  -0.138737 0.156338 -0.00849208  -0.138737 0.156338 -0.00849208  0.0592979 0.0438705 10.2862  0.0592979 0.0438705 10.2862  nan nan nan  nan nan nan  78.8123 78.7863 64.7065 63.044 - - - - 76.8049 76.3126 66.507 63.8325 nan nan nan nan 139 145 0 71 0 0 0 0
1699974443.024991000  999.888 0 50.0084  -  nan  -0.0387211 0.0865303 -0.0189697  -0.0387211 0.0865303 -0.0189697  -0.0358031 0.0908839 9.99401  -0.0358031 0.0908839 9.99401  - - -  - - -  79.4662 78.9274 63.7413 62.4757 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.030015000  999.889 0 50.0096  -  nan  -0.0661322 -0.0675719 -0.00143515  -0.0661322 -0.0675719 -0.00143515  0.057299 -0.0484909 10.2368  0.057299 -0.0484909 10.2368  - - -  - - -  79.1591 78.392 64.1308 62.9351 - - - - - 75.1089 64.5245 - - - - - 139 145 0 71 0 0 0 0
1699974443.034985000  999.891 0 50.0097  -  nan  -0.0664057 -0.0672013 0.0260791  -0.0664057 -0.0672013 0.0260791  -0.0964793 -0.0522931 11.1535  -0.0964793 -0.0522931 11.1535  - - -  - - -  77.9446 78.4502 65.033 62.8046 - - - - 77.8089 - - 63.1552 - - - - 139 145 0 71 0 0 0 0
1699974443.042023000  999.894 0 50.0097  -  nan  0.133465 -0.178164 0.00434885  0.133465 -0.178164 0.00434885  -0.0346608 -0.136818 8.98262  -0.0346608 -0.136818 8.98262  - - -  - - -  76.9562 77.4828 65.3228 63.6676 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.046981000  999.905 0 50.0087  -  nan  0.0340566 -0.192526 0.00334066  0.0340566 -0.192526 0.00334066  0.0580939 -0.0480156 10.122  0.0580939 -0.0480156 10.122  - - -  - - -  75.7291 76.7043 67.2827 65.0643 - - - - - 76.558 64.0041 - - - - - 139 145 0 71 0 0 0 0
1699974443.051984000  999.914 0 50.0079  -  nan  0.0329199 -0.0380179 0.0266865  0.0329199 -0.0380179 0.0266865  0.0640674 0.0467222 9.59784  0.0640674 0.0467222 9.59784  - - -  - - -  75.5261 77.0696 67.1792 64.8722 - - - - - - - 62.1659 - - - - 139 145 0 71 0 0 0 0
1699974443.056979000  999.918 0 50.0071  -  nan  0.0185357 0.0182267 0.0249679  0.0185357 0.0182267 0.0249679  0.0181157 0.00351508 8.97018  0.0181157 0.00351508 8.97018  - - -  - - -  76.288 77.2631 66.1126 65.0517 - - - - 75.8265 - - - - - - - 139 145 0 71 0 0 0 0
1699974443.062024000  999.921 0 50.0071  -  nan  -0.0812009 0.0866762 0.00795806  -0.0812009 0.0866762 0.00795806  0.168707 0.00541207 8.51332  0.168707 0.00541207 8.51332  - - -  - - -  77.1018 77.7105 65.5748 64.9774 - - - - - - - - - - - - 139 145 0 71 0 0 0 0
1699974443.066982000  999.926 0 50.0084  -  nan  -0.124668 0.156413 -0.0082966  -0.124668 0.156413 -0.0082966  0.159962 0.0452963 9.94272  0.159962 0.0452963 9.94272  - - -  - - -  78.1967 78.5373 64.7575 64.2076 - - - - - - 66.507 - - - - - 139 145 0 71 0 0 0 0
1699974443.071977000  999.929 0 50.0049  -  nan  -0.0530362 0.156409 -0.0358022  -0.0530362 0.156409 -0.0358022  0.0109614 -0.000762466 10.0027  0.0109614 -0.000762466 10.0027  - - -  - - -  79.0438 78.7869 63.9529 63.4487 - - - - - 78.8395 - 63.6618 - - - - 139 145 0 71 0 0 0 0
