# logged on Tue Jan  2 11:15:03 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190503.231850000  1000.24 0 50.0003  15.738  nan  -0.0111967 -0.0103627 0.0250689  -0.0111967 -0.0103627 0.0250689  -0.31491 -0.107222 10.7091  -0.31491 -0.107222 10.7091  nan nan nan  nan nan nan  77.0271 67.811 69.7197 63.516 - - - - 76.0688 67.6407 69.2137 63.3232 nan nan nan nan 138 146 134 70 0 0 0 0
1704190503.236849000  1000.25 0 50.0003  -  nan  0.0628265 -0.0281696 -0.0517884  0.0628265 -0.0281696 -0.0517884  0.108551 0.0975355 9.95279  0.108551 0.0975355 9.95279  - - -  - - -  76.3693 67.3813 70.2333 63.4807 - - - - 75.3466 - - 63.8325 - - - - 138 146 134 70 0 0 0 0
1704190503.241848000  1000.25 0 50.0003  -  nan  -0.0684908 0.0912701 0.0447443  -0.0684908 0.0912701 0.0447443  -0.0257773 0.106076 9.15258  -0.0257773 0.106076 9.15258  - - -  - - -  76.5458 66.4307 70.7086 63.5311 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.246843000  1000.26 0 50.0022  -  nan  0.0188998 -0.025765 0.000479811  0.0188998 -0.025765 0.000479811  -0.174688 -0.149012 9.97292  -0.174688 -0.149012 9.97292  - - -  - - -  76.7262 67.628 69.9203 63.4828 - - - - - - 69.6185 - - - - - 138 146 134 70 0 0 0 0
1704190503.251847000  1000.26 0 50.001  -  nan  0.0194034 -0.0274307 -0.0411902  0.0194034 -0.0274307 -0.0411902  -0.115854 0.247297 9.88014  -0.115854 0.247297 9.88014  - - -  - - -  76.7262 67.628 69.9203 63.4828 - - - - - 67.4491 - - - - - - 138 146 134 70 0 0 0 0
1704190503.256837000  1000.25 0 50.0007  -  nan  -0.06873 0.0340003 0.0331573  -0.06873 0.0340003 0.0331573  -0.0364135 -0.100517 10.0836  -0.0364135 -0.100517 10.0836  - - -  - - -  76.367 67.0336 70.7778 63.4021 - - - - 76.0688 - - 63.8325 - - - - 138 146 134 70 0 0 0 0
1704190503.261849000  1000.25 0 50.0007  -  nan  0.0623978 -0.0412668 -0.0241595  0.0623978 -0.0412668 -0.0241595  0.0140766 -0.090756 9.17059  0.0140766 -0.090756 9.17059  - - -  - - -  76.2605 67.589 70.1886 63.3262 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1704190503.266848000  1000.24 0 50.0017  -  nan  -0.0400993 0.00449255 0.0361618  -0.0400993 0.00449255 0.0361618  -0.388962 0.392373 10.1507  -0.388962 0.392373 10.1507  - - -  - - -  76.3373 66.766 70.9419 63.8111 - - - - - - 70.8617 - - - - - 138 146 134 70 0 0 0 0
1704190503.271867000  1000.23 0 50.0015  -  nan  -0.0544935 -0.0390721 0.00952312  -0.0544935 -0.0390721 0.00952312  0.0479727 -0.256369 10.7252  0.0479727 -0.256369 10.7252  - - -  - - -  75.9552 67.643 70.6393 63.2406 - - - - - 67.4491 - - - - - - 138 146 134 70 0 0 0 0
1704190503.276854000  1000.22 0 50.003  -  nan  0.0481797 -0.0128376 -0.026139  0.0481797 -0.0128376 -0.026139  0.207683 0.0667268 8.18876  0.207683 0.0667268 8.18876  - - -  - - -  75.793 67.0529 70.847 63.4288 - - - - 77.0535 - - 63.3232 - - - - 138 146 134 70 0 0 0 0
1704190503.281847000  1000.21 0 50.003  -  nan  -0.0985348 -0.00725787 0.0869663  -0.0985348 -0.00725787 0.0869663  -0.397692 0.189041 10.6818  -0.397692 0.189041 10.6818  - - -  - - -  76.3488 67.3718 70.9803 63.77 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
