# logged on Tue Jan  2 11:20:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704190825.011027000  1000.78 0 49.9962  15.415  nan  -0.0540455 0.0475743 0.0200849  -0.0540455 0.0475743 0.0200849  0.327265 -0.0155116 11.3324  0.327265 -0.0155116 11.3324  nan nan nan  nan nan nan  77.4407 65.6276 73.0706 68.582 - - - - 78.5793 66.3218 72.3694 66.1376 nan nan nan nan 139 146 134 70 0 0 0 0
1704190825.015875000  1000.78 0 49.9951  -  nan  0.00391015 0.133488 0.0482074  0.00391015 0.133488 0.0482074  0.0554581 -0.377668 8.22767  0.0554581 -0.377668 8.22767  - - -  - - -  77.2938 66.0737 72.4992 67.6951 - - - - - 67.6407 - 66.507 - - - - 139 146 134 70 0 0 0 0
1704190825.020863000  1000.78 0 49.9951  -  nan  0.121308 -0.0131699 -0.0211204  0.121308 -0.0131699 -0.0211204  -0.624418 0.102416 9.49073  -0.624418 0.102416 9.49073  - - -  - - -  78.301 66.3138 71.1884 68.7941 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.025878000  1000.78 0 49.9956  -  nan  -0.0108056 -0.0261715 -0.0151371  -0.0108056 -0.0261715 -0.0151371  0.280798 0.0289135 11.7278  0.280798 0.0289135 11.7278  - - -  - - -  78.4654 66.2413 71.4594 69.1349 - - - - 77.3036 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.030871000  1000.79 0 49.994  -  nan  -0.0394498 0.119503 0.0457336  -0.0394498 0.119503 0.0457336  0.147469 -0.332628 8.56648  0.147469 -0.332628 8.56648  - - -  - - -  78.4897 66.7426 70.451 68.4086 - - - - - - 71.286 - - - - - 139 146 134 70 0 0 0 0
1704190825.035879000  1000.78 0 49.9951  -  nan  0.0763323 -0.0843099 -0.00711353  0.0763323 -0.0843099 -0.00711353  -0.577888 0.149691 9.71494  -0.577888 0.149691 9.71494  - - -  - - -  79.1391 66.584 71.0294 69.4644 - - - - - 66.8807 - 67.4491 - - - - 139 146 134 70 0 0 0 0
1704190825.040880000  1000.78 0 49.9951  -  nan  0.00334179 -0.113465 -0.0392453  0.00334179 -0.113465 -0.0392453  0.283288 0.0344093 11.2135  0.283288 0.0344093 11.2135  - - -  - - -  77.7057 65.1102 73.1731 69.1775 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704190825.045870000  1000.77 0 49.9946  -  nan  -0.0829481 0.0624296 0.0311777  -0.0829481 0.0624296 0.0311777  -0.0776023 -0.182261 8.43723  -0.0776023 -0.182261 8.43723  - - -  - - -  77.831 65.3381 72.7585 68.3326 - - - - 78.8395 - - - - - - - 139 146 134 70 0 0 0 0
1704190825.050883000  1000.77 0 49.9942  -  nan  0.0329648 -0.171883 -0.0487471  0.0329648 -0.171883 -0.0487471  -0.668362 0.153352 9.37175  -0.668362 0.153352 9.37175  - - -  - - -  78.3113 66.0644 72.2526 68.5821 - - - - - - 71.0732 - - - - - 139 146 134 70 0 0 0 0
1704190825.055864000  1000.78 0 49.9934  -  nan  -0.0982638 -0.110798 0.00906458  -0.0982638 -0.110798 0.00906458  0.330371 0.0829046 11.3235  0.330371 0.0829046 11.3235  - - -  - - -  76.8682 65.0304 74.5694 68.3552 - - - - - 67.2585 - 67.4491 - - - - 139 146 134 70 0 0 0 0
1704190825.060875000  1000.8 0 49.9934  -  nan  -0.157445 -0.0353548 0.0839272  -0.157445 -0.0353548 0.0839272  -0.167226 -0.132546 8.4321  -0.167226 -0.132546 8.4321  - - -  - - -  76.7657 66.8095 73.3127 67.6576 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
