# logged on Tue Jan  2 11:27:32 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704191252.340013000  1000.57 0 100.02  15.705  nan  0.0484252 -0.0727473 -0.0783917  0.0484252 -0.0727473 -0.0783917  0.195158 0.0853449 11.0942  0.195158 0.0853449 11.0942  nan nan nan  nan nan nan  77.691 67.5392 74.1692 67.8484 - - - - 76.558 66.8807 74.8727 67.4491 nan nan nan nan 139 145 134 71 0 0 0 0
1704191252.345024000  1000.58 0 100.023  -  nan  -0.141645 0.135233 0.0653747  -0.141645 0.135233 0.0653747  0.023517 0.159452 8.80593  0.023517 0.159452 8.80593  - - -  - - -  77.9807 67.4212 74.1922 67.1321 - - - - - 67.4491 - 66.3218 - - - - 139 145 134 71 0 0 0 0
1704191252.350039000  1000.58 0 100.02  -  nan  -0.0111152 -0.0697301 -0.0136168  -0.0111152 -0.0697301 -0.0136168  -0.409817 -0.252103 10.3227  -0.409817 -0.252103 10.3227  - - -  - - -  78.3975 69.3354 72.7395 67.2888 - - - - 78.5793 - 74.173 - - - - - 139 145 134 71 0 0 0 0
1704191252.355007000  1000.59 0 100.023  -  nan  0.04847 -0.0428283 -0.0658501  0.04847 -0.0428283 -0.0658501  0.246462 0.191481 10.4581  0.246462 0.191481 10.4581  - - -  - - -  77.4179 67.5242 74.5376 67.5823 - - - - - 66.6933 - 68.2221 - - - - 139 145 134 71 0 0 0 0
1704191252.360028000  1000.59 0 100.02  -  nan  -0.0970776 0.0325044 -0.00952291  -0.0970776 0.0325044 -0.00952291  0.301546 0.352213 9.36094  0.301546 0.352213 9.36094  - - -  - - -  77.5645 67.2138 74.5671 67.4978 - - - - - - 74.173 - - - - - 139 145 134 71 0 0 0 0
1704191252.365022000  1000.6 0 100.022  -  nan  0.0333752 -0.114143 -0.0507624  0.0333752 -0.114143 -0.0507624  -0.319806 -0.303039 10.442  -0.319806 -0.303039 10.442  - - -  - - -  77.9307 68.7906 73.4751 67.0388 - - - - 77.8089 69.4155 - 67.2585 - - - - 139 145 134 71 0 0 0 0
1704191252.370021000  1000.61 0 100.02  -  nan  0.062517 -0.0717282 -0.0502682  0.062517 -0.0717282 -0.0502682  0.209513 0.393593 10.0409  0.209513 0.393593 10.0409  - - -  - - -  76.9367 66.5065 75.414 67.5712 - - - - 77.8089 - 74.4048 - - - - - 139 145 134 71 0 0 0 0
1704191252.374998000  1000.62 0 100.022  -  nan  -0.156997 0.123867 0.133684  -0.156997 0.123867 0.133684  -0.124841 -0.0944164 9.51211  -0.124841 -0.0944164 9.51211  - - -  - - -  77.744 68.3543 73.5662 66.6667 - - - - - 67.0691 - 67.6407 - - - - 139 145 134 71 0 0 0 0
1704191252.380007000  1000.62 0 100.02  -  nan  0.0918193 -0.128049 -0.0326714  0.0918193 -0.128049 -0.0326714  -0.315657 -0.293883 9.58521  -0.315657 -0.293883 9.58521  - - -  - - -  76.8634 68.9851 72.3499 67.1052 - - - - 78.064 - 74.638 - - - - - 139 145 134 71 0 0 0 0
1704191252.385002000  1000.62 0 100.021  -  nan  -0.0540272 0.00293111 -0.00552881  -0.0540272 0.00293111 -0.00552881  0.0717772 0.440868 10.2638  0.0717772 0.440868 10.2638  - - -  - - -  76.7979 66.6774 74.1446 67.632 - - - - - 69.2137 - 67.4491 - - - - 139 145 134 71 0 0 0 0
1704191252.389995000  1000.62 0 100.021  -  nan  -0.112745 0.0947594 0.124147  -0.112745 0.0947594 0.124147  0.00383947 -0.252103 10.3257  0.00383947 -0.252103 10.3257  - - -  - - -  76.9664 68.3609 72.7617 66.6354 - - - - 78.3208 - 75.1089 - - - - - 139 145 134 71 0 0 0 0
1704191252.395017000  1000.62 0 100.023  -  nan  0.106768 -0.100836 -0.0598057  0.106768 -0.100836 -0.0598057  -0.355636 -0.141692 9.28654  -0.355636 -0.141692 9.28654  - - -  - - -  76.733 68.4685 72.5679 67.5131 - - - - - 67.6407 - 68.0272 - - - - 139 145 134 71 0 0 0 0
1704191252.399999000  1000.62 0 100.025  -  nan  -0.0251505 -0.0408689 -0.0301677  -0.0251505 -0.0408689 -0.0301677  0.155179 0.237536 10.7955  0.155179 0.237536 10.7955  - - -  - - -  76.8408 66.6123 74.081 67.6033 - - - - 76.558 - 72.812 - - - - - 139 145 134 71 0 0 0 0
