# logged on Tue Jan  2 11:52:21 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704192741.028668000  1001.33 0 50.0051  15.641  nan  -0.0392858 0.11896 0.0321666  -0.0392858 0.11896 0.0321666  -0.0727605 0.150307 9.66105  -0.0727605 0.150307 9.66105  nan nan nan  nan nan nan  81.6512 66.5251 71.5834 64.4686 - - - - 80.1667 67.6407 71.286 64.0041 nan nan nan nan 138 145 0 71 0 0 0 0
1704192741.033633000  1001.33 0 50.0016  -  nan  0.0770898 0.0458952 0.00192795  0.0770898 0.0458952 0.00192795  -0.177916 -0.202388 10.3199  -0.177916 -0.202388 10.3199  - - -  - - -  81.7031 67.3077 70.6653 64.4653 - - - - - 67.4491 - - - - - - 138 145 0 71 0 0 0 0
1704192741.038615000  1001.33 0 50.0024  -  nan  0.0779589 0.0720509 -0.0542991  0.0779589 0.0720509 -0.0542991  -0.065104 0.352213 9.35826  -0.065104 0.352213 9.35826  - - -  - - -  81.5041 66.0262 71.6377 64.7642 - - - - - - - 64.5245 - - - - 138 145 0 71 0 0 0 0
1704192741.043610000  1001.32 0 50.0029  -  nan  -0.0688187 0.0923547 0.0718783  -0.0688187 0.0923547 0.0718783  -0.0822907 -0.0538466 10.3638  -0.0822907 -0.0538466 10.3638  - - -  - - -  82.1002 66.3033 71.5388 64.5578 - - - - 82.3859 - 71.0732 - - - - - 138 145 0 71 0 0 0 0
1704192741.048675000  1001.33 0 50.0029  -  nan  0.107261 0.01573 -0.0367023  0.107261 0.01573 -0.0367023  -0.0337385 -0.0483613 9.85082  -0.0337385 -0.0483613 9.85082  - - -  - - -  81.5835 67.7223 70.5105 64.3276 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.053621000  1001.33 0 50.0006  -  nan  -0.0101185 0.117745 0.00701179  -0.0101185 0.117745 0.00701179  -0.293663 0.354049 9.18483  -0.293663 0.354049 9.18483  - - -  - - -  81.8359 66.4865 71.5078 64.2778 - - - - - 66.3218 - - - - - - 138 145 0 71 0 0 0 0
1704192741.058624000  1001.33 0 50.0025  -  nan  -0.0691587 0.0209031 0.0607862  -0.0691587 0.0209031 0.0607862  0.0540601 -0.104177 10.4268  0.0540601 -0.104177 10.4268  - - -  - - -  81.8603 68.1183 70.6144 64.1187 - - - - - - - 64.6998 - - - - 138 145 0 71 0 0 0 0
1704192741.063641000  1001.32 0 50.003  -  nan  0.0489179 0.0438182 -0.0552883  0.0489179 0.0438182 -0.0552883  -0.0264201 0.150911 9.6048  -0.0264201 0.150911 9.6048  - - -  - - -  81.3063 68.2644 70.6769 64.0309 - - - - 82.1018 - 71.5001 - - - - - 138 145 0 71 0 0 0 0
1704192741.068744000  1001.33 0 50.0017  -  nan  -0.0543358 0.077565 0.0597959  -0.0543358 0.077565 0.0597959  -0.440351 0.150307 9.65836  -0.440351 0.150307 9.65836  - - -  - - -  81.7411 67.4073 70.5349 63.2472 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1704192741.073636000  1001.33 0 50.0017  -  nan  0.0190379 -0.0552521 -0.0266333  0.0190379 -0.0552521 -0.0266333  0.10726 0.0484355 9.89967  0.10726 0.0484355 9.89967  - - -  - - -  81.3996 67.8592 70.4335 63.2963 - - - - - 67.6407 - - - - - - 138 145 0 71 0 0 0 0
1704192741.078624000  1001.33 0 50.0026  -  nan  -0.0244119 0.0883619 -0.0201218  -0.0244119 0.0883619 -0.0201218  -0.166075 0.099371 9.77902  -0.166075 0.099371 9.77902  - - -  - - -  81.5637 66.9946 71.223 63.2264 - - - - - - - 64.6998 - - - - 138 145 0 71 0 0 0 0
1704192741.083631000  1001.32 0 50.003  -  nan  -0.0112975 -0.0245446 0.0255639  -0.0112975 -0.0245446 0.0255639  -0.308765 -0.00210079 10.0728  -0.308765 -0.00210079 10.0728  - - -  - - -  81.772 67.6405 70.5539 62.9404 - - - - 80.9848 - 70.4424 - - - - - 138 145 0 71 0 0 0 0
1704192741.088744000  1001.33 0 50.0027  -  nan  0.0195297 -0.0568791 -0.0673343  0.0195297 -0.0568791 -0.0673343  0.0691295 0.250957 9.53896  0.0691295 0.250957 9.53896  - - -  - - -  80.8311 67.1134 71.5708 63.4588 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
