# pom logged on Tue Jan  2 13:17:51 2024
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1704197871.429462000 0 1 1 1 1 1 -2.47218 -0.302318 0.974398 -0.00734151 0.00402658 -0.0332156 -0.0086242 0.0184641 0.00434023 -0.074538 -0.0022889 0.0532773 -0.0624769 0.181267 0.015064 1.76549e-06 1.76548e-06 1.53271e-06 5.45862e-06 5.45838e-06 6.76511e-06 7.98389e-05 7.98375e-05 5.97345e-05 7.98389e-05 7.98375e-05 5.97345e-05 0.0528449 0.0528448 0.0523429
1704197871.433320000 0 1 1 1 1 1 -2.47208 -0.302543 0.974403 -0.00693052 0.00355783 -0.0332175 -0.008917 0.0159529 0.00476514 -0.024726 -0.0446967 0.034559 -0.113317 0.0405397 0.0447447 1.67196e-06 1.67195e-06 1.46208e-06 5.44388e-06 5.44365e-06 6.76807e-06 7.78964e-05 7.78951e-05 5.88363e-05 7.78964e-05 7.78951e-05 5.88363e-05 0.070743 0.0707429 0.0702429
1704197871.438448000 0 1 1 1 1 1 -2.47214 -0.302449 0.974395 -0.00644057 0.00286755 -0.0337842 -0.0103509 0.0174118 0.00136036 0.0147451 -0.0776749 -0.0221877 -0.166881 0.145309 -0.217684 1.76412e-06 1.76411e-06 1.53346e-06 5.46275e-06 5.46254e-06 6.78695e-06 7.94876e-05 7.94864e-05 5.94842e-05 7.94876e-05 7.94864e-05 5.94842e-05 0.0524599 0.0524599 0.0519586
1704197871.443394000 0 1 1 1 1 1 -2.47211 -0.302477 0.974444 -0.00698173 0.0027151 -0.0333843 -0.00915838 0.018354 0.00354344 -0.0384837 -0.0549248 0.0233295 -0.0290023 0.199367 0.025576 1.79671e-06 1.7967e-06 1.5593e-06 5.48075e-06 5.48055e-06 6.81156e-06 8.01032e-05 8.01019e-05 5.98084e-05 8.01032e-05 8.01019e-05 5.98084e-05 0.0514154 0.0514153 0.0509133
1704197871.448378000 0 1 1 1 1 1 -2.47216 -0.302392 0.974456 -0.00688534 0.00245166 -0.033301 -0.00980901 0.0182033 0.00298022 -0.0145245 -0.0543042 0.0194338 -0.074832 0.11232 -0.0385619 1.89216e-06 1.89215e-06 1.63259e-06 5.56708e-06 5.56688e-06 6.89792e-06 8.30344e-05 8.3033e-05 6.17716e-05 8.30344e-05 8.3033e-05 6.17716e-05 0.0719358 0.0719357 0.0714245
1704197871.453385000 0 1 1 1 1 1 -2.47211 -0.302574 0.974439 -0.00666662 0.00206608 -0.0333693 -0.0124419 0.0166688 0.00146963 -0.00362687 -0.0669229 0.00730956 -0.270084 0.0558146 -0.10533 1.82265e-06 1.82264e-06 1.58129e-06 5.53692e-06 5.53674e-06 6.88639e-06 8.10999e-05 8.10987e-05 6.0644e-05 8.10999e-05 8.10987e-05 6.0644e-05 0.0719614 0.0719615 0.0714591
1704197871.458388000 0 1 1 1 1 1 -2.47208 -0.302607 0.974506 -0.00631484 0.00132699 -0.0336274 -0.00996112 0.0178996 0.00507267 0.02127 -0.0944388 -0.0151112 -0.00204739 0.17311 0.150275 1.85139e-06 1.85138e-06 1.60426e-06 5.55429e-06 5.55413e-06 6.91178e-06 8.16466e-05 8.16455e-05 6.09233e-05 8.16466e-05 8.16455e-05 6.09233e-05 0.0717861 0.0717862 0.0712721
1704197871.463395000 0 1 1 1 1 1 -2.47213 -0.302513 0.974497 -0.00688271 0.00197351 -0.0332509 -0.010141 0.0189583 0.00189745 -0.0341483 0.000705056 0.0252315 -0.0384672 0.174693 -0.127192 1.94917e-06 1.94915e-06 1.67911e-06 5.60475e-06 5.60458e-06 6.96222e-06 8.38898e-05 8.38884e-05 6.21841e-05 8.38898e-05 8.38884e-05 6.21841e-05 0.071988 0.0719879 0.0714692
1704197871.468394000 0 1 1 1 1 1 -2.47207 -0.302755 0.9745 -0.00646101 0.00137243 -0.0331455 -0.0137794 0.0154567 0.00437045 0.00709854 -0.0583844 0.019017 -0.314827 -0.0257209 0.125251 1.85042e-06 1.85041e-06 1.60606e-06 5.56122e-06 5.56108e-06 6.94185e-06 8.12395e-05 8.12383e-05 6.06418e-05 8.12395e-05 8.12383e-05 6.06418e-05 0.0717944 0.0717944 0.0712835
1704197871.473375000 0 1 1 1 1 1 -2.47211 -0.302652 0.974518 -0.00552109 0.000503152 -0.0339396 -0.0106923 0.018243 0.00419337 0.0701917 -0.0966537 -0.0492402 0.0361572 0.194355 0.0425659 1.94705e-06 1.94703e-06 1.68007e-06 5.61003e-06 5.60988e-06 6.99065e-06 8.34648e-05 8.34638e-05 6.18714e-05 8.34648e-05 8.34638e-05 6.18714e-05 0.0712789 0.071279 0.0707536
