# logged on Tue Jan  2 13:17:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704197871.473976000  1001.25 0 49.9989  15.512  nan  -0.155919 0.179399 0.0764318  -0.155919 0.179399 0.0764318  0.351271 0.451849 9.23826  0.351271 0.451849 9.23826  nan nan nan  nan nan nan  78.741 65.7863 72.8041 64.1777 - - - - 80.1667 68.8137 71.286 63.4921 nan nan nan nan 139 0 134 71 0 0 0 0
1704197871.478981000  1001.25 0 49.9989  -  nan  -0.0834776 0.0351505 0.0593017  -0.0834776 0.0351505 0.0593017  -0.737306 -0.449335 10.2805  -0.737306 -0.449335 10.2805  - - -  - - -  80.0184 69.2757 69.4095 63.0128 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.484000000  1001.25 0 49.9983  -  nan  0.239284 -0.221874 -0.170769  0.239284 -0.221874 -0.170769  0.114643 0.249737 9.65347  0.114643 0.249737 9.65347  - - -  - - -  79.0785 68.7621 69.7234 64.1077 - - - - - - 70.8617 63.6618 - - - - 139 0 134 71 0 0 0 0
1704197871.489005000  1001.25 0 49.9985  -  nan  -0.273266 0.238797 0.0944615  -0.273266 0.238797 0.0944615  0.203268 0.195746 10.0587  0.203268 0.195746 10.0587  - - -  - - -  79.5416 65.5451 72.5828 63.8905 - - - - - 68.6153 - - - - - - 139 0 134 71 0 0 0 0
1704197871.494124000  1001.25 0 49.9997  -  nan  -0.0261715 0.00605399 0.0778523  -0.0261715 0.00605399 0.0778523  -0.591946 -0.295718 9.75495  -0.591946 -0.295718 9.75495  - - -  - - -  80.2258 69.2894 69.2582 62.5236 - - - - 78.5793 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.498984000  1001.24 0 49.9997  -  nan  0.180199 -0.131197 -0.0954672  0.180199 -0.131197 -0.0954672  -0.0679633 0.253398 9.30961  -0.0679633 0.253398 9.30961  - - -  - - -  79.2142 67.8876 70.6892 63.9917 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.503983000  1001.25 0 49.999  -  nan  -0.214527 0.193848 0.0719078  -0.214527 0.193848 0.0719078  0.383167 0.190261 10.5733  0.383167 0.190261 10.5733  - - -  - - -  79.611 66.2651 72.3294 63.7385 - - - - - - 70.6514 64.1766 - - - - 139 0 134 71 0 0 0 0
1704197871.508977000  1001.24 0 50.0001  -  nan  -0.0103953 0.0315689 -0.0171523  -0.0103953 0.0315689 -0.0171523  -0.48794 0.00705546 9.21465  -0.48794 0.00705546 9.21465  - - -  - - -  80.3306 69.4348 69.0562 62.3975 - - - - - 66.8807 - - - - - - 139 0 134 71 0 0 0 0
1704197871.513993000  1001.25 0 50.0021  -  nan  -0.0249865 -0.0414113 -0.0437347  -0.0249865 -0.0414113 -0.0437347  -0.214263 0.0484355 9.89732  -0.214263 0.0484355 9.89732  - - -  - - -  80.018 68.6642 70.1618 63.1561 - - - - 79.8977 - - - - - - - 139 0 134 71 0 0 0 0
1704197871.518982000  1001.24 0 50.0021  -  nan  -0.0681629 0.0901854 0.0176104  -0.0681629 0.0901854 0.0176104  0.427943 0.141161 10.5205  0.427943 0.141161 10.5205  - - -  - - -  79.7328 67.5153 70.2752 62.3942 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1704197871.523979000  1001.25 0 50.0029  -  nan  -0.0684908 0.0912701 0.0447443  -0.0684908 0.0912701 0.0447443  -0.574017 0.158232 8.91574  -0.574017 0.158232 8.91574  - - -  - - -  80.0581 68.247 69.1832 62.113 - - - - - - 71.286 62.4922 - - - - 139 0 134 71 0 0 0 0
