# logged on Tue Jan  2 13:28:09 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704198489.072849000  1001.07 0 49.9928  16.028  nan  0.0194218 -0.0720739 -0.0668039  0.0194218 -0.0720739 -0.0668039  -0.169582 0.0453799 10.1836  -0.169582 0.0453799 10.1836  nan nan nan  nan nan nan  79.7476 68.53 71.6016 61.7031 - - - - 80.1667 66.1376 71.7154 61.0501 nan nan nan nan 138 0 0 70 0 0 0 0
1704198489.077870000  1001.07 0 49.9901  -  nan  -0.112034 0.0042779 0.0176468  -0.112034 0.0042779 0.0176468  -0.168098 0.141161 10.5162  -0.168098 0.141161 10.5162  - - -  - - -  80.0521 66.7118 72.4152 61.8657 - - - - 79.6305 66.3218 71.9321 - - - - - 138 0 0 70 0 0 0 0
1704198489.082822000  1001.07 0 49.9901  -  nan  -0.0400738 -0.0391377 0.0105127  -0.0400738 -0.0391377 0.0105127  0.0193947 0.0125407 8.70507  0.0193947 0.0125407 8.70507  - - -  - - -  80.0822 67.2645 71.3859 61.6491 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.087890000  1001.06 0 49.9901  -  nan  -0.0397714 0.0034079 0.00902778  -0.0397714 0.0034079 0.00902778  -0.163863 0.104252 9.32234  -0.163863 0.104252 9.32234  - - -  - - -  80.1175 67.1246 71.8899 62.3657 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.092847000  1001.05 0 49.9901  -  nan  -0.0547582 -0.0527117 0.0235851  -0.0547582 -0.0527117 0.0235851  -0.35925 -0.0118512 10.9848  -0.35925 -0.0118512 10.9848  - - -  - - -  80.2282 67.2477 71.6572 62.45 - - - - - - - 63.1552 - - - - 138 0 0 70 0 0 0 0
1704198489.097897000  1001.04 0 49.9855  -  nan  0.0767727 -0.0712514 -0.0357116  0.0767727 -0.0712514 -0.0357116  0.250876 0.0624617 8.5882  0.250876 0.0624617 8.5882  - - -  - - -  79.38 67.0716 72.0184 62.1994 - - - - 79.3651 67.4491 71.5001 - - - - - 138 0 0 70 0 0 0 0
1704198489.102822000  1001.03 0 49.9855  -  nan  -0.097595 0.0777616 0.0568271  -0.097595 0.0777616 0.0568271  -0.252768 0.157627 8.97468  -0.252768 0.157627 8.97468  - - -  - - -  80.2515 66.4795 72.451 62.9965 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.107823000  1001.02 0 49.9855  -  nan  0.00273743 -0.125981 0.00291973  0.00273743 -0.125981 0.00291973  -0.41193 -0.164259 11.3979  -0.41193 -0.164259 11.3979  - - -  - - -  80.3198 67.7592 71.4486 63.0651 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.112844000  1001.03 0 49.9855  -  nan  0.0629529 -0.057618 -0.0779325  0.0629529 -0.057618 -0.0779325  0.255304 0.210992 8.63238  0.255304 0.210992 8.63238  - - -  - - -  79.2587 66.9508 72.1923 62.9334 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
1704198489.117810000  1001.03 0 49.979  -  nan  -0.112179 0.0783695 0.0694045  -0.112179 0.0783695 0.0694045  -0.210393 0.0569764 9.09812  -0.210393 0.0569764 9.09812  - - -  - - -  79.7814 65.5072 72.3985 62.034 - - - - 79.8977 66.1376 71.9321 61.6827 - - - - 138 0 0 70 0 0 0 0
1704198489.122834000  1001.03 0 49.979  -  nan  0.0620058 -0.14365 -0.0477579  0.0620058 -0.14365 -0.0477579  -0.268224 -0.0142915 11.2138  -0.268224 -0.0142915 11.2138  - - -  - - -  79.7522 66.989 71.2457 61.9178 - - - - - - - - - - - - 138 0 0 70 0 0 0 0
