# logged on Tue Jan  2 13:31:51 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704198711.543726000  999.993 0 100.013  15.77  nan  -0.0255608 -0.0986094 -0.0281525  -0.0255608 -0.0986094 -0.0281525  -0.119446 0.239372 10.6218  -0.119446 0.239372 10.6218  nan nan nan  nan nan nan  78.381 67.8495 73.7358 63.2336 - - - - 79.8977 68.2221 74.173 65.0533 nan nan nan nan 139 145 0 70 0 0 0 0
1704198711.548789000  1000.01 0 100.015  -  nan  -0.142634 -0.0512291 0.0447108  -0.142634 -0.0512291 0.0447108  0.0628179 -0.0386003 8.93812  0.0628179 -0.0386003 8.93812  - - -  - - -  78.4285 68.3933 73.5046 62.6774 - - - - 79.1014 - - 63.6618 - - - - 139 145 0 70 0 0 0 0
1704198711.553726000  1000.01 0 100.015  -  nan  0.0186534 -0.0840477 -0.0110719  0.0186534 -0.0840477 -0.0110719  -0.262146 -0.000880666 9.95894  -0.262146 -0.000880666 9.95894  - - -  - - -  78.4219 69.3161 73.0698 62.7699 - - - - - 65.9544 73.4862 - - - - - 139 145 0 70 0 0 0 0
1704198711.558738000  1000.01 0 100.016  -  nan  -0.0980806 -0.0377909 0.0336883  -0.0980806 -0.0377909 0.0336883  -0.346276 0.293352 10.2165  -0.346276 0.293352 10.2165  - - -  - - -  78.2786 68.5448 73.5628 62.9825 - - - - 78.3208 - - 62.9882 - - - - 139 145 0 70 0 0 0 0
1704198711.563742000  1000 0 100.016  -  nan  -0.0843359 -0.109236 0.0507552  -0.0843359 -0.109236 0.0507552  0.102981 -0.144132 9.51825  0.102981 -0.144132 9.51825  - - -  - - -  77.8706 69.6199 73.0594 62.551 - - - - - 67.8334 73.7137 - - - - - 139 145 0 70 0 0 0 0
1704198711.568765000  1000 0 100.017  -  nan  -0.0107308 -0.0409345 -0.0291781  -0.0107308 -0.0409345 -0.0291781  -0.0729496 0.103636 9.38058  -0.0729496 0.103636 9.38058  - - -  - - -  77.7242 69.8416 73.1775 62.3924 - - - - - 69.0131 - 61.6827 - - - - 139 145 0 70 0 0 0 0
1704198711.573753000  1000.02 0 100.018  -  nan  -0.128177 -0.0223886 0.0582775  -0.128177 -0.0223886 0.0582775  -0.583323 0.0914455 10.5176  -0.583323 0.0914455 10.5176  - - -  - - -  78.0873 70.3128 72.7702 61.8761 - - - - 77.5555 - 73.2601 - - - - - 139 145 0 70 0 0 0 0
1704198711.578735000  1000.02 0 100.017  -  nan  0.0332296 -0.158244 -0.0628091  0.0332296 -0.158244 -0.0628091  0.282691 -0.196287 9.75239  0.282691 -0.196287 9.75239  - - -  - - -  77.369 69.1964 73.3941 62.0999 - - - - - 70.6514 - 61.6827 - - - - 139 145 0 70 0 0 0 0
1704198711.583761000  1000.02 0 100.016  -  nan  -0.0682005 0.0612794 0.00503332  -0.0682005 0.0612794 0.00503332  0.166234 0.261928 8.51308  0.166234 0.261928 8.51308  - - -  - - -  78.7409 68.0845 73.8966 62.463 - - - - 78.5793 - 73.0353 - - - - - 139 145 0 70 0 0 0 0
1704198711.588750000  1000.02 0 100.015  -  nan  -0.0695059 -0.0515615 0.0497295  -0.0695059 -0.0515615 0.0497295  -0.733085 -0.209698 10.9999  -0.733085 -0.209698 10.9999  - - -  - - -  78.6195 69.0284 72.5357 61.7618 - - - - - 69.4155 - 62.1659 - - - - 139 145 0 70 0 0 0 0
1704198711.593728000  1000.03 0 100.015  -  nan  0.165898 -0.161593 -0.122565  0.165898 -0.161593 -0.122565  0.425413 -0.093801 9.45855  0.425413 -0.093801 9.45855  - - -  - - -  77.4839 67.9259 73.5304 61.9675 - - - - 77.8089 - 73.2601 - - - - - 139 145 0 70 0 0 0 0
