# logged on Mon Jan  8 11:01:25 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708085.873341000  1000.11 0 50.0054  15.705  nan  -0.0530501 0.0442816 -0.0622861  -0.0530501 0.0442816 -0.0622861  -0.260783 0.139941 10.6297  -0.260783 0.139941 10.6297  nan nan nan  nan nan nan  76.9633 69.34 69.5545 62.7614 - - - - 77.0535 70.4424 70.028 62.9882 nan nan nan nan 138 0 133 70 0 0 0 0
1704708085.878355000  1000.11 0 50.0069  -  nan  -0.0390783 -0.0424304 -0.0718583  -0.0390783 -0.0424304 -0.0718583  0.00799382 -0.104177 10.4265  0.00799382 -0.104177 10.4265  - - -  - - -  77.8505 68.1499 69.9038 61.6914 - - - - - 67.2585 - - - - - - 138 0 133 70 0 0 0 0
1704708085.883362000  1000.12 0 50.0042  -  nan  -0.0540831 0.0186683 0.00750785  -0.0540831 0.0186683 0.00750785  0.392653 0.164937 8.29534  0.392653 0.164937 8.29534  - - -  - - -  77.5427 67.5675 70.4249 61.804 - - - - - - 70.028 - - - - - 138 0 133 70 0 0 0 0
1704708085.888355000  1000.12 0 50.0061  -  nan  -0.0976958 0.0635798 0.0573221  -0.0976958 0.0635798 0.0573221  -0.44579 0.0920503 10.462  -0.44579 0.0920503 10.462  - - -  - - -  78.0541 68.4152 69.8294 62.4886 - - - - 76.558 - - 62.3286 - - - - 138 0 133 70 0 0 0 0
1704708085.893354000  1000.12 0 50.0061  -  nan  0.00320374 -0.0839775 -0.0121322  0.00320374 -0.0839775 -0.0121322  0.0085468 -0.102957 10.3123  0.0085468 -0.102957 10.3123  - - -  - - -  77.2491 69.0206 69.0194 62.3636 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708085.898372000  1000.13 0 50.0065  15.738  nan  -0.0242107 0.0441506 -0.060307  -0.0242107 0.0441506 -0.060307  0.39072 0.160672 8.69444  0.39072 0.160672 8.69444  - - -  - - -  76.8329 67.599 70.1427 62.7664 - - - - - 68.4182 - - - - - - 138 0 133 70 0 0 0 0
1704708085.903377000  1000.14 0 50.0028  -  nan  -0.0985649 0.0374241 0.113549  -0.0985649 0.0374241 0.113549  -0.40074 0.043555 10.3527  -0.40074 0.043555 10.3527  - - -  - - -  77.9689 67.9465 69.5793 62.7146 - - - - - - 70.4424 - - - - - 138 0 133 70 0 0 0 0
1704708085.908344000  1000.14 0 50.0031  -  nan  0.0620134 -0.0700625 -0.00859811  0.0620134 -0.0700625 -0.00859811  -0.0369665 -0.101737 10.1978  -0.0369665 -0.101737 10.1978  - - -  - - -  76.6844 69.4865 68.607 63.1401 - - - - 76.3126 - - 61.3648 - - - - 138 0 133 70 0 0 0 0
1704708085.913342000  1000.15 0 50.0031  -  nan  0.0043824 -0.0142633 -0.0698795  0.0043824 -0.0142633 -0.0698795  0.159504 0.154572 9.26363  0.159504 0.154572 9.26363  - - -  - - -  76.6629 67.5594 69.8948 63.3959 - - - - - - - - - - - - 138 0 133 70 0 0 0 0
1704708085.918351000  1000.14 0 50.0028  -  nan  -0.0840143 0.00685845 0.087461  -0.0840143 0.00685845 0.087461  -0.0760557 0.00521997 9.38942  -0.0760557 0.00521997 9.38942  - - -  - - -  77.5871 67.0826 70.2248 63.0754 - - - - - 67.2585 - - - - - - 138 0 133 70 0 0 0 0
1704708085.923345000  1000.14 0 50.0005  -  nan  0.0622598 -0.0117797 0.00295362  0.0622598 -0.0117797 0.00295362  -0.263805 -0.00454105 10.3015  -0.263805 -0.00454105 10.3015  - - -  - - -  76.7672 68.8126 69.3598 63.5172 - - - - - - 70.028 - - - - - 138 0 133 70 0 0 0 0
