# logged on Mon Jan  8 11:15:00 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704708900.462810000  1000.23 0 49.997  15.996  nan  -0.082885 0.0477054 0.0181057  -0.082885 0.0477054 0.0181057  -0.018584 0.260708 8.6259  -0.018584 0.260708 8.6259  nan nan nan  nan nan nan  76.5061 66.2635 70.2555 62.0897 - - - - 77.8089 66.6933 67.8334 62.9882 nan nan nan nan 138 0 0 71 0 0 0 0
1704708900.467814000  1000.24 0 49.9946  -  nan  -0.0845931 -0.0492879 0.103977  -0.0845931 -0.0492879 0.103977  -0.403936 -0.00880619 10.6996  -0.403936 -0.00880619 10.6996  - - -  - - -  76.7655 67.9117 69.1145 62.2088 - - - - 75.8265 - - 62.3286 - - - - 138 0 0 71 0 0 0 0
1704708900.472807000  1000.24 0 49.9946  -  nan  0.0341811 -0.0732628 -0.0939174  0.0341811 -0.0732628 -0.0939174  0.065065 0.0569764 9.10013  0.065065 0.0569764 9.10013  - - -  - - -  75.4446 68.2419 69.0644 62.507 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.477852000  1000.24 0 49.9946  -  nan  -0.0832505 0.019884 0.0326626  -0.0832505 0.019884 0.0326626  -0.0698113 0.203067 9.37165  -0.0698113 0.203067 9.37165  - - -  - - -  76.3552 66.6557 70.544 62.0957 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.482813000  1000.24 0 49.9946  -  nan  -0.0986356 -0.0214397 0.0874613  -0.0986356 -0.0214397 0.0874613  -0.216079 -0.000880666 9.95928  -0.216079 -0.000880666 9.95928  - - -  - - -  76.4103 67.6107 69.733 62.2941 - - - - - 67.8334 68.8137 - - - - - 138 0 0 71 0 0 0 0
1704708900.487809000  1000.24 0 49.9928  -  nan  -0.0102389 -0.0425614 -0.0698791  -0.0102389 -0.0425614 -0.0698791  -0.0761776 0.0502604 9.72757  -0.0761776 0.0502604 9.72757  - - -  - - -  75.5816 68.7832 69.1033 62.5787 - - - - 75.8265 - - 62.4922 - - - - 138 0 0 71 0 0 0 0
1704708900.492819000  1000.24 0 49.9928  -  nan  -0.0400362 -0.0102316 0.0230898  -0.0400362 -0.0102316 0.0230898  0.014849 0.0478201 9.95658  0.014849 0.0478201 9.95658  - - -  - - -  76.6606 67.0761 70.2021 61.8845 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.497841000  1000.24 0 49.9928  -  nan  -0.0834776 0.0351505 0.0593017  -0.0834776 0.0351505 0.0593017  0.0690303 0.158232 8.92044  0.0690303 0.158232 8.92044  - - -  - - -  76.3604 67.7395 69.5784 62.1597 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1704708900.502818000  1000.24 0 49.9933  -  nan  -0.0249158 0.0174526 -0.0176469  -0.0249158 0.0174526 -0.0176469  -0.39945 0.092655 10.4058  -0.39945 0.092655 10.4058  - - -  - - -  76.6048 68.5519 68.7804 62.5668 - - - - - 67.6407 69.8227 - - - - - 138 0 0 71 0 0 0 0
1704708900.507823000  1000.25 0 49.9937  -  nan  0.00354336 -0.0851009 -0.0402353  0.00354336 -0.0851009 -0.0402353  0.149852 -0.00454105 10.3045  0.149852 -0.00454105 10.3045  - - -  - - -  76.4894 67.9275 69.2974 62.038 - - - - 74.8727 - - 62.9882 - - - - 138 0 0 71 0 0 0 0
1704708900.512817000  1000.25 0 49.9937  -  nan  -0.0681629 0.0901854 0.0176104  -0.0681629 0.0901854 0.0176104  0.215245 0.175919 7.26646  0.215245 0.175919 7.26646  - - -  - - -  76.7112 67.2385 69.8323 62.085 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
