# logged on Mon Jan  8 13:34:22 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704717262.200747000  1000.98 0 50.0171  15.834  nan  -0.096592 0.148057 0.0136159  -0.096592 0.148057 0.0136159  0.26056 0.222589 7.54725  0.26056 0.222589 7.54725  nan nan nan  nan nan nan  76.9322 66.0339 70.7896 62.7362 - - - - 76.3126 67.0691 71.0732 62.6566 nan nan nan nan 138 0 134 70 0 0 0 0
1704717262.205706000  1000.98 0 50.0184  -  nan  -0.097897 0.107791 0.0975072  -0.097897 0.107791 0.0975072  -0.629295 0.18416 11.1368  -0.629295 0.18416 11.1368  - - -  - - -  77.8348 68.2411 69.4811 62.7656 - - - - - - 69.6185 - - - - - 138 0 134 70 0 0 0 0
1704717262.212661000  1000.99 0 50.0196  -  nan  0.0339047 -0.0868636 -0.0788864  0.0339047 -0.0868636 -0.0788864  0.00338575 -0.160598 11.0584  0.00338575 -0.160598 11.0584  - - -  - - -  76.2439 67.7789 69.7201 62.3169 - - - - 75.8265 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.216751000  1000.99 0 50.0176  -  nan  -0.140844 0.177164 0.0231535  -0.140844 0.177164 0.0231535  -0.196833 0.364414 8.21553  -0.196833 0.364414 8.21553  - - -  - - -  77.2938 67.3661 69.785 62.2193 - - - - - - - 62.9882 - - - - 138 0 134 70 0 0 0 0
1704717262.221773000  1000.99 0 50.0179  -  nan  -0.112955 -0.00719234 0.0859767  -0.112955 -0.00719234 0.0859767  -0.502592 -0.0252726 12.2397  -0.502592 -0.0252726 12.2397  - - -  - - -  77.8188 70.3332 68.6665 62.089 - - - - - 67.4491 - - - - - - 138 0 134 70 0 0 0 0
1704717262.226831000  1001 0 50.0181  -  nan  0.0350833 -0.0171494 -0.136634  0.0350833 -0.0171494 -0.136634  0.334017 -0.0459211 9.62516  0.334017 -0.0459211 9.62516  - - -  - - -  75.5288 68.9802 69.2726 61.8619 - - - - - - 68.4182 - - - - - 138 0 134 70 0 0 0 0
1704717262.231697000  1001 0 50.0174  -  nan  -0.0816503 0.101682 -0.0526783  -0.0816503 0.101682 -0.0526783  0.0771453 0.268644 7.88396  0.0771453 0.268644 7.88396  - - -  - - -  76.9781 66.7579 71.1647 61.3142 - - - - 75.5858 - - 62.1659 - - - - 138 0 134 70 0 0 0 0
1704717262.236695000  1001 0 50.0174  -  nan  -0.112921 0.0227654 0.0994875  -0.112921 0.0227654 0.0994875  -0.403779 0.0368496 10.9801  -0.403779 0.0368496 10.9801  - - -  - - -  77.0153 68.6323 70.087 61.4935 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704717262.241692000  1001 0 50.0187  -  nan  0.0633485 -0.0744785 -0.119072  0.0633485 -0.0744785 -0.119072  -0.129076 -0.057507 10.7059  -0.129076 -0.057507 10.7059  - - -  - - -  75.6705 68.0178 69.8687 62.059 - - - - - 68.0272 - - - - - - 138 0 134 70 0 0 0 0
1704717262.246713000  1001 0 50.0178  -  nan  -0.00989172 0.0299032 -0.0588224  -0.00989172 0.0299032 -0.0588224  0.20713 0.0655067 8.30294  0.20713 0.0655067 8.30294  - - -  - - -  76.3214 65.7199 71.8912 61.3419 - - - - - - 69.6185 - - - - - 138 0 134 70 0 0 0 0
1704717262.251724000  1001 0 50.0171  -  nan  -0.0555705 0.0235879 0.13058  -0.0555705 0.0235879 0.13058  -0.307659 0.000339461 9.84443  -0.307659 0.000339461 9.84443  - - -  - - -  76.5758 67.1517 71.2284 61.9403 - - - - 77.0535 - - 61.6827 - - - - 138 0 134 70 0 0 0 0
1704717262.256778000  1000.99 0 50.0171  -  nan  0.0925876 -0.116075 -0.0884034  0.0925876 -0.116075 -0.0884034  -0.267671 -0.0130713 11.0997  -0.267671 -0.0130713 11.0997  - - -  - - -  75.0509 68.1163 70.2793 62.8786 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704717262.261771000  1001 0 50.0174  -  nan  0.0479032 -0.0264384 -0.011108  0.0479032 -0.0264384 -0.011108  0.384318 -0.0828305 8.43166  0.384318 -0.0828305 8.43166  - - -  - - -  75.0419 66.0692 71.9287 62.3034 - - - - - 66.6933 - - - - - - 138 0 134 70 0 0 0 0
1704717262.266768000  1001.01 0 50.0177  -  nan  -0.0119082 0.0801188 0.131569  -0.0119082 0.0801188 0.131569  -0.44192 0.100591 9.66283  -0.44192 0.100591 9.66283  - - -  - - -  76.0321 67.0634 71.287 63.3026 - - - - - - 71.286 - - - - - 138 0 134 70 0 0 0 0
1704717262.271773000  1001.01 0 50.0151  -  nan  0.105937 -0.0980852 0.00899832  0.105937 -0.0980852 0.00899832  -0.547552 -0.0228323 12.011  -0.547552 -0.0228323 12.011  - - -  - - -  75.1975 68.5709 69.9503 63.9455 - - - - 74.173 - - - - - - - 138 0 134 70 0 0 0 0
1704717262.276767000  1001.01 0 50.0151  -  nan  0.0778582 0.057869 -0.0538041  0.0778582 0.057869 -0.0538041  0.525372 -0.122785 7.52376  0.525372 -0.122785 7.52376  - - -  - - -  74.552 66.0723 71.6823 63.1394 - - - - - - - 63.6618 - - - - 138 0 134 70 0 0 0 0
1704717262.281713000  1001.01 0 50.0146  -  nan  -0.0109683 0.165138 0.10143  -0.0109683 0.165138 0.10143  -0.247422 0.261928 8.51005  -0.247422 0.261928 8.51005  - - -  - - -  76.2135 66.1555 71.445 63.1641 - - - - - 65.7722 - - - - - - 138 0 134 70 0 0 0 0
1704717262.286747000  1001.02 0 50.0141  -  nan  0.0923864 -0.0718639 -0.0482183  0.0923864 -0.0718639 -0.0482183  -0.325875 -0.177669 12.6535  -0.325875 -0.177669 12.6535  - - -  - - -  75.6329 68.0569 69.7809 63.391 - - - - - - 71.5001 - - - - - 138 0 134 70 0 0 0 0
1704717262.291695000  1001.02 0 50.0142  -  nan  0.136951 -0.0317947 -0.129141  0.136951 -0.0317947 -0.129141  0.330695 -0.192012 9.35263  0.330695 -0.192012 9.35263  - - -  - - -  75.5328 65.6048 71.6958 62.5129 - - - - 75.5858 - - 63.6618 - - - - 138 0 134 70 0 0 0 0
1704717262.296778000  1001.04 0 50.0142  -  nan  -0.0253881 0.165204 0.10044  -0.0253881 0.165204 0.10044  -0.300583 0.200022 9.65491  -0.300583 0.200022 9.65491  - - -  - - -  77.6384 65.8046 71.2449 62.4714 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704717262.301708000  1001.04 0 50.0127  -  nan  0.0331932 0.00361786 0.0276134  0.0331932 0.00361786 0.0276134  -0.22877 -0.166699 11.6276  -0.22877 -0.166699 11.6276  - - -  - - -  76.8461 68.0732 69.6372 62.9076 - - - - - 65.9544 - - - - - - 138 0 134 70 0 0 0 0
