# logged on Mon Jan  8 14:29:13 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704720553.517405000  1001.98 0 50.0052  15.641  nan  -0.010108 -0.0730615 -0.0969569  -0.010108 -0.0730615 -0.0969569  0.0113117 -0.0968566 9.74145  0.0113117 -0.0968566 9.74145  nan nan nan  nan nan nan  76.8893 67.527 68.9953 62.3879 - - - - 77.0535 66.1376 70.028 62.6566 nan nan nan nan 139 146 134 70 0 0 0 0
1704720553.522412000  1001.98 0 50.0071  -  nan  -0.0399913 0.0196874 0.0356314  -0.0399913 0.0196874 0.0356314  0.117493 0.209772 8.74555  0.117493 0.209772 8.74555  - - -  - - -  77.6125 66.0295 70.4622 61.6728 - - - - - 67.2585 71.286 - - - - - 139 146 134 70 0 0 0 0
1704720553.527434000  1001.97 0 50.0071  -  nan  -0.0839256 -0.051496 0.0487399  -0.0839256 -0.051496 0.0487399  -0.444495 0.141161 10.5142  -0.444495 0.141161 10.5142  - - -  - - -  77.5831 67.6641 69.4571 62.353 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.532416000  1001.98 0 50.0085  -  nan  -0.0106492 -0.100302 -0.0678639  -0.0106492 -0.100302 -0.0678639  0.051853 -0.109047 10.8825  0.051853 -0.109047 10.8825  - - -  - - -  76.4717 68.1206 69.6073 62.0663 - - - - 77.3036 - - 62.3286 - - - - 139 146 134 70 0 0 0 0
1704720553.537420000  1001.97 0 50.0085  -  nan  -0.0393686 -0.0124397 -0.0321473  -0.0393686 -0.0124397 -0.0321473  0.0726222 0.166158 8.17882  0.0726222 0.166158 8.17882  - - -  - - -  76.4999 66.8662 70.5978 61.4936 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.542419000  1001.98 0 50.0079  -  nan  -0.069733 -0.036295 0.0763685  -0.069733 -0.036295 0.0763685  -0.30685 0.139941 10.6293  -0.30685 0.139941 10.6293  - - -  - - -  77.3958 67.3919 70.594 61.8663 - - - - - 67.6407 70.028 - - - - - 139 146 134 70 0 0 0 0
1704720553.547431000  1001.97 0 50.0079  -  nan  0.0188622 -0.054671 -0.0120972  0.0188622 -0.054671 -0.0120972  -0.081095 -0.0974614 9.79737  -0.081095 -0.0974614 9.79737  - - -  - - -  76.3967 68.244 70.0465 62.0194 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.552411000  1001.98 0 50.0073  -  nan  -0.0108056 -0.0261715 -0.0151371  -0.0108056 -0.0261715 -0.0151371  -0.0719334 0.152131 9.49029  -0.0719334 0.152131 9.49029  - - -  - - -  76.6249 67.0691 70.0488 62.4507 - - - - 77.0535 - - 61.0501 - - - - 139 146 134 70 0 0 0 0
1704720553.557430000  1001.98 0 50.0073  -  nan  -0.0262091 -0.0228521 0.0652753  -0.0262091 -0.0228521 0.0652753  0.061316 0.00339508 9.5612  0.061316 0.00339508 9.5612  - - -  - - -  77.0128 67.0368 70.191 62.5725 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704720553.562413000  1001.98 0 50.007  -  nan  0.0190454 0.0183359 0.0125265  0.0190454 0.0183359 0.0125265  -0.258761 0.0981509 9.89252  -0.258761 0.0981509 9.89252  - - -  - - -  76.6156 67.7813 69.7464 62.9305 - - - - - 67.6407 70.4424 - - - - - 139 146 134 70 0 0 0 0
1704720553.567427000  1001.98 0 50.007  -  nan  0.0185527 -0.0982296 -0.0105769  0.0185527 -0.0982296 -0.0105769  -0.0349663 -0.00576117 10.4173  -0.0349663 -0.00576117 10.4173  - - -  - - -  76.9716 67.0584 69.3759 63.3097 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
