# pom logged on Mon Jan  8 16:58:05 2024
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1704729485.607570000 0 1 1 1 1 1 -2.47583 -0.295356 0.999382 0.000950055 0.00303701 -0.0261154 -0.0182763 0.0121201 -0.00343634 -0.0300178 0.0147765 0.0495272 -0.13254 0.0629886 0.203068 2.55118e-06 2.5512e-06 2.20939e-06 7.11872e-06 7.11838e-06 8.58641e-06 0.000110494 0.000110495 8.37518e-05 0.000110494 0.000110495 8.37518e-05 0.0737722 0.0737722 0.0731059
1704729485.611563000 0 1 1 1 1 1 -2.4759 -0.295309 0.999389 0.00129983 0.00249729 -0.0267235 -0.0187707 0.0119434 -0.000441545 0.0105121 -0.0393811 -0.0235833 -0.118786 0.0288406 0.370246 2.66065e-06 2.66068e-06 2.29461e-06 7.1748e-06 7.17447e-06 8.64258e-06 0.000112925 0.000112927 8.51447e-05 0.000112925 0.000112927 8.51447e-05 0.0701938 0.0701939 0.0695077
1704729485.616562000 0 1 1 1 1 1 -2.47577 -0.295376 0.999361 0.00123769 0.00259965 -0.0269272 -0.0155734 0.0121339 -0.00538071 -0.00578177 -0.0103606 -0.0214821 0.101783 0.08324 -0.212225 2.61681e-06 2.61683e-06 2.26532e-06 7.14475e-06 7.14444e-06 8.63749e-06 0.00011081 0.000110811 8.36511e-05 0.00011081 0.000110811 8.36511e-05 0.0618797 0.0618797 0.0611891
1704729485.621561000 0 1 1 1 1 1 -2.47588 -0.295312 0.999359 0.00066267 0.00260144 -0.0260899 -0.0181606 0.0126698 -0.00285749 -0.050753 -0.00819606 0.0591611 -0.150464 0.0905203 0.126696 2.75628e-06 2.75631e-06 2.37366e-06 7.20333e-06 7.203e-06 8.69607e-06 0.000113512 0.000113513 8.51291e-05 0.000113512 0.000113513 8.51291e-05 0.0600256 0.0600256 0.059356
1704729485.626510000 0 1 1 1 1 1 -2.47581 -0.295391 0.999411 0.000734417 0.00198455 -0.0262561 -0.0193061 0.0117293 0.00265505 -0.0274162 -0.0587867 0.0199122 -0.229385 0.0339869 0.465129 2.7138e-06 2.71382e-06 2.34535e-06 7.24298e-06 7.24266e-06 8.76024e-06 0.000112827 0.000112828 8.50037e-05 0.000112827 0.000112828 8.50037e-05 0.0811586 0.0811587 0.0804718
1704729485.631656000 0 1 1 1 1 1 -2.47568 -0.295462 0.999377 0.00078426 0.00183457 -0.026605 -0.0162507 0.0117785 -0.00438689 -0.0244712 -0.0344297 0.0026369 0.00887001 0.0961368 -0.311708 2.66262e-06 2.66264e-06 2.31025e-06 7.17183e-06 7.17154e-06 8.71536e-06 0.000109789 0.00010979 8.26295e-05 0.000109789 0.00010979 8.26295e-05 0.0569325 0.0569326 0.0562477
1704729485.636570000 0 1 1 1 1 1 -2.47578 -0.295397 0.999375 0.000322836 0.00165409 -0.0259332 -0.0181085 0.0127416 -0.00309169 -0.0533719 -0.0350953 0.0606903 -0.141551 0.131429 -0.0791302 2.79964e-06 2.79967e-06 2.41667e-06 7.26754e-06 7.26725e-06 8.81109e-06 0.000113276 0.000113278 8.49037e-05 0.000113276 0.000113278 8.49037e-05 0.0666806 0.0666806 0.0660126
1704729485.641569000 0 1 1 1 1 1 -2.4757 -0.295486 0.999443 0.000483762 0.000883993 -0.026052 -0.0187725 0.0112731 0.00360439 -0.018956 -0.0880986 0.0225312 -0.188754 0.0186243 0.415985 2.74783e-06 2.74786e-06 2.38078e-06 7.24872e-06 7.24844e-06 8.81745e-06 0.00011138 0.000111381 8.36008e-05 0.00011138 0.000111381 8.36008e-05 0.0651067 0.0651068 0.0644155
1704729485.646573000 0 1 1 1 1 1 -2.47578 -0.295423 0.999397 0.000671458 0.000765083 -0.026678 -0.017858 0.011807 -0.00256594 0.00249124 -0.0554852 -0.0348231 -0.0492702 0.0594148 -0.228822 2.89026e-06 2.89028e-06 2.49098e-06 7.30389e-06 7.3036e-06 8.87268e-06 0.00011414 0.000114141 8.50429e-05 0.00011414 0.000114141 8.50429e-05 0.0607126 0.0607127 0.0600144
1704729485.651578000 0 1 1 1 1 1 -2.47568 -0.2955 0.999418 0.000206729 0.000519004 -0.0260285 -0.0177533 0.011863 -0.00226883 -0.0409961 -0.0580877 0.0374268 -0.0942492 0.0851864 -0.0986745 2.82415e-06 2.82417e-06 2.44423e-06 7.25189e-06 7.25161e-06 8.84702e-06 0.000111229 0.00011123 8.29404e-05 0.000111229 0.00011123 8.29404e-05 0.0491748 0.0491748 0.0485072
1704729485.656579000 0 1 1 1 1 1 -2.47577 -0.295446 0.999431 0.000251829 0.000233566 -0.0260199 -0.0187998 0.0116264 4.62156e-05 -0.0196728 -0.0569909 0.0198582 -0.135871 0.0371264 0.101565 2.96884e-06 2.96886e-06 2.55586e-06 7.3286e-06 7.32832e-06 8.92379e-06 0.000114334 0.000114336 8.47305e-05 0.000114334 0.000114336 8.47305e-05 0.064548 0.0645481 0.0638701
1704729485.661553000 0 1 1 1 1 1 -2.47568 -0.295536 0.999443 0.000602109 9.41755e-05 -0.0265075 -0.0185901 0.0110671 -0.000834405 0.0133951 -0.0482682 -0.0241587 -0.126516 0.0300124 -0.0171761 2.90284e-06 2.90286e-06 2.5089e-06 7.29042e-06 7.29014e-06 8.91123e-06 0.000111881 0.000111882 8.29663e-05 0.000111881 0.000111882 8.29663e-05 0.0555353 0.0555354 0.0548515
1704729485.666569000 0 1 1 1 1 1 -2.47557 -0.295632 0.999448 0.00065936 -1.43003e-05 -0.0262702 -0.0167215 0.0102648 -0.00216876 0.00834921 -0.0365723 0.0101367 0.00437946 0.0118909 -0.144042 2.82901e-06 2.82904e-06 2.45563e-06 7.27572e-06 7.27544e-06 8.92332e-06 0.000109847 0.000109848 8.17064e-05 0.000109847 0.000109848 8.17064e-05 0.0583488 0.0583488 0.0576702
1704729485.671596000 0 1 1 1 1 1 -2.47566 -0.295574 0.999427 0.000669039 0.000232224 -0.026294 -0.0180814 0.0110624 -0.00356764 0.00508875 0.00193294 0.00104622 -0.119152 0.073576 -0.154762 2.97263e-06 2.97265e-06 2.56646e-06 7.33787e-06 7.3376e-06 8.98546e-06 0.000112712 0.000112713 8.32931e-05 0.000112712 0.000112713 8.32931e-05 0.0566582 0.0566582 0.0559902
1704729485.676661000 0 1 1 1 1 1 -2.47557 -0.295677 0.999484 0.000915494 -0.000171382 -0.0265192 -0.018361 0.00943392 0.00230896 0.0226528 -0.0428636 -0.0198971 -0.12173 -0.044438 0.340233 2.89944e-06 2.89946e-06 2.51344e-06 7.29442e-06 7.29414e-06 8.96842e-06 0.000110146 0.000110147 8.14229e-05 0.000110146 0.000110147 8.14229e-05 0.0496784 0.0496786 0.0489895
1704729485.681664000 0 1 1 1 1 1 -2.47545 -0.295766 0.99944 0.00118335 -7.96843e-05 -0.0267256 -0.015016 0.00949369 -0.0062405 0.03286 -0.0076718 -0.0267445 0.134295 0.0398674 -0.574336 2.8256e-06 2.82562e-06 2.45936e-06 7.25315e-06 7.25287e-06 8.953e-06 0.000107629 0.00010763 7.96207e-05 0.000107629 0.00010763 7.96207e-05 0.0403233 0.0403233 0.0396401
1704729485.686655000 0 1 1 1 1 1 -2.47556 -0.295707 0.999432 0.00084978 0.000261172 -0.0264804 -0.0172214 0.0105974 -0.00529884 -0.00952892 0.0267498 0.0107361 -0.103465 0.106293 -0.216213 2.96614e-06 2.96616e-06 2.56782e-06 7.32464e-06 7.32438e-06 9.02455e-06 0.000110562 0.000110563 8.13316e-05 0.000110562 0.000110563 8.13316e-05 0.0518711 0.0518711 0.0512187
1704729485.691665000 0 1 1 1 1 1 -2.47546 -0.295819 0.999494 0.00103515 -0.000496713 -0.026378 -0.0174445 0.0086959 0.00288252 0.0121251 -0.0649632 0.0112631 -0.115338 -0.0528047 0.531092 2.88332e-06 2.88334e-06 2.50663e-06 7.28043e-06 7.28016e-06 9.00686e-06 0.000108026 0.000108028 7.94972e-05 0.000108026 0.000108028 7.94972e-05 0.0409298 0.0409298 0.0402352
1704729485.696572000 0 1 1 1 1 1 -2.47553 -0.295769 0.999447 0.00129006 -0.000495078 -0.0268446 -0.0153901 0.0090441 -0.00255488 0.030189 -0.0329026 -0.0331223 0.0927855 -0.00389838 -0.11566 3.02325e-06 3.02328e-06 2.61419e-06 7.3782e-06 7.37795e-06 9.10472e-06 0.000111645 0.000111646 8.17666e-05 0.000111645 0.000111646 8.17666e-05 0.0606337 0.0606337 0.0599207
1704729485.701561000 0 1 1 1 1 1 -2.47543 -0.295854 0.999419 0.000502986 6.22971e-05 -0.0264408 -0.0162342 0.0103017 -0.00598581 -0.0573183 0.0281497 0.0280574 -0.11108 0.138433 -0.244517 2.92845e-06 2.92847e-06 2.54373e-06 7.35266e-06 7.35242e-06 9.1061e-06 0.000109312 0.000109313 8.03628e-05 0.000109312 0.000109313 8.03628e-05 0.0593151 0.0593151 0.0586512
1704729485.708646000 0 1 1 1 1 1 -2.47536 -0.295951 0.999468 0.000726384 -0.00116193 -0.0265216 -0.0161176 0.00817954 0.00103817 0.00338268 -0.0924007 -0.0146962 -0.0276815 -0.0374434 0.246657 2.90384e-06 2.90386e-06 2.52655e-06 7.3447e-06 7.34443e-06 9.1238e-06 0.00010836 0.000108361 7.95046e-05 0.00010836 0.000108361 7.95046e-05 0.0540088 0.0540089 0.0533007
1704729485.713517000 0 1 1 1 1 1 -2.47543 -0.295891 0.999402 0.00077663 -0.000835652 -0.0271743 -0.0141041 0.00980697 -0.00654462 0.00379312 -0.0207571 -0.0584744 0.129744 0.102467 -0.435276 3.0421e-06 3.04212e-06 2.63252e-06 7.44973e-06 7.44946e-06 9.22882e-06 0.000112088 0.00011209 8.1925e-05 0.000112088 0.00011209 8.1925e-05 0.0744844 0.0744845 0.0737795
1704729485.718650000 0 1 1 1 1 1 -2.47535 -0.295979 0.999427 -0.000303106 -0.000719895 -0.0260029 -0.0174451 0.00962468 -0.00197551 -0.0824627 -0.0113139 0.073385 -0.250378 0.0686182 0.195808 2.95246e-06 2.95248e-06 2.56532e-06 7.38865e-06 7.38836e-06 9.19364e-06 0.000109188 0.00010919 7.98515e-05 0.000109188 0.00010919 7.98515e-05 0.0586392 0.0586391 0.05797
1704729485.723583000 0 1 1 1 1 1 -2.47524 -0.296089 0.999429 -1.34002e-05 -0.00146483 -0.0264458 -0.0163942 0.00847439 -0.00154421 -0.0222931 -0.0785545 -0.00179624 -0.121416 0.00118525 0.130909 2.86434e-06 2.86436e-06 2.49872e-06 7.4455e-06 7.44519e-06 9.27559e-06 0.000108955 0.000108957 8.03268e-05 0.000108955 0.000108957 8.03268e-05 0.0825946 0.0825946 0.0819114
