# logged on Mon Jan  8 17:14:43 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704730483.675553000  1001.17 0 49.9924  15.77  nan  -0.0123561 -0.0065277 0.121007  -0.0123561 -0.0065277 0.121007  -0.398897 0.0938752 10.2916  -0.398897 0.0938752 10.2916  nan nan nan  nan nan nan  76.9471 67.2827 68.2832 62.5359 - - - - 77.0535 65.9544 68.4182 60.584 nan nan nan nan 138 0 134 71 0 0 0 0
1704730483.680548000  1001.17 0 49.9924  -  nan  0.107474 -0.0741375 -0.102466  0.107474 -0.0741375 -0.102466  -0.0346874 -0.00514581 10.3597  -0.0346874 -0.00514581 10.3597  - - -  - - -  75.6262 68.1092 67.8194 63.1835 - - - - - - - - - - - - 138 0 134 71 0 0 0 0
1704730483.685565000  1001.17 0 49.9942  -  nan  0.00345013 -0.0256948 -0.00058047  0.00345013 -0.0256948 -0.00058047  0.0218581 0.155792 9.14845  0.0218581 0.155792 9.14845  - - -  - - -  76.4315 65.7128 69.5512 62.382 - - - - - - - 61.6827 - - - - 138 0 134 71 0 0 0 0
1704730483.692546000  1001.17 0 49.9942  -  nan  0.0327269 -0.0383854 0.0426654  0.0327269 -0.0383854 0.0426654  -0.167923 0.0490403 9.84107  -0.167923 0.0490403 9.84107  - - -  - - -  76.0345 67.335 68.6779 62.984 - - - - 74.8727 66.507 - - - - - - 138 0 134 71 0 0 0 0
1704730483.697536000  1001.16 0 49.9938  -  nan  0.0631285 -0.058199 -0.0924685  0.0631285 -0.058199 -0.0924685  -0.399814 0.138105 10.8004  -0.399814 0.138105 10.8004  - - -  - - -  75.5869 67.3769 68.6749 63.1845 - - - - - - 69.2137 - - - - - 138 0 134 71 0 0 0 0
1704730483.702544000  1001.16 0 49.9964  -  nan  0.00273743 -0.125981 0.00291973  0.00273743 -0.125981 0.00291973  0.290163 -0.0410406 9.16814  0.290163 -0.0410406 9.16814  - - -  - - -  75.9407 65.5995 69.8041 62.2459 - - - - - - - 63.6618 - - - - 138 0 134 71 0 0 0 0
1704730483.707552000  1001.16 0 49.9967  -  nan  -0.0258995 0.0207065 0.063755  -0.0258995 0.0207065 0.063755  -0.0246714 0.108517 8.92423  -0.0246714 0.108517 8.92423  - - -  - - -  75.8383 66.1642 70.076 62.504 - - - - - 66.1376 - - - - - - 138 0 134 71 0 0 0 0
1704730483.712544000  1001.16 0 49.9941  -  nan  0.0328084 -0.0977528 0.00397965  0.0328084 -0.0977528 0.00397965  -0.727969 0.123474 12.1671  -0.727969 0.123474 12.1671  - - -  - - -  76.0554 67.28 68.5488 62.7047 - - - - 76.8049 - - - - - - - 138 0 134 71 0 0 0 0
1704730483.717534000  1001.16 0 49.9927  -  nan  0.0337855 -0.0564023 -0.0527777  0.0337855 -0.0564023 -0.0527777  0.478299 -0.0324997 8.37028  0.478299 -0.0324997 8.37028  - - -  - - -  75.0728 65.8544 70.1474 61.9012 - - - - - - 70.2346 - - - - - 138 0 134 71 0 0 0 0
1704730483.722556000  1001.16 0 49.9964  -  nan  -0.0393235 0.0900544 0.0195895  -0.0393235 0.0900544 0.0195895  -0.0148928 0.361359 8.5028  -0.0148928 0.361359 8.5028  - - -  - - -  76.2891 65.6373 70.2419 62.0698 - - - - - - - 62.4922 - - - - 138 0 134 71 0 0 0 0
1704730483.727553000  1001.16 0 49.9958  -  nan  -0.026266 -0.125307 0.0145075  -0.026266 -0.125307 0.0145075  -0.691343 -0.126734 12.5321  -0.691343 -0.126734 12.5321  - - -  - - -  76.8826 67.2042 68.6706 62.0354 - - - - - 65.591 - - - - - - 138 0 134 71 0 0 0 0
1704730483.732528000  1001.16 0 49.9942  -  nan  0.0486264 -0.116959 -0.118577  0.0486264 -0.116959 -0.118577  0.429647 -0.13071 8.2647  0.429647 -0.13071 8.2647  - - -  - - -  74.8635 66.7279 69.441 61.2399 - - - - 75.5858 - - - - - - - 138 0 134 71 0 0 0 0
1704730483.737529000  1001.16 0 49.9938  -  nan  -0.0830369 0.120784 0.0698988  -0.0830369 0.120784 0.0698988  -0.0592329 0.45673 8.77856  -0.0592329 0.45673 8.77856  - - -  - - -  76.9718 65.2599 70.6518 61.5601 - - - - - - 70.2346 - - - - - 138 0 134 71 0 0 0 0
1704730483.742528000  1001.16 0 49.9964  -  nan  -0.0561264 -0.0782534 0.120548  -0.0561264 -0.0782534 0.120548  -0.786604 -0.0873842 13.497  -0.786604 -0.0873842 13.497  - - -  - - -  77.0936 67.7931 68.26 61.5899 - - - - - - - 61.6827 - - - - 138 0 134 71 0 0 0 0
1704730483.747545000  1001.16 0 49.9967  -  nan  0.0933442 -0.104063 -0.143166  0.0933442 -0.104063 -0.143166  0.481054 -0.165179 6.84285  0.481054 -0.165179 6.84285  - - -  - - -  74.6057 67.8984 68.0623 61.3328 - - - - - 65.2316 - - - - - - 138 0 134 71 0 0 0 0
1704730483.752533000  1001.16 0 49.9961  -  nan  -0.0679989 0.0896431 0.00404336  -0.0679989 0.0896431 0.00404336  -0.0173116 0.447584 9.63469  -0.0173116 0.447584 9.63469  - - -  - - -  77.2517 65.2438 70.592 61.6358 - - - - 76.8049 - - - - - - - 138 0 134 71 0 0 0 0
1704730483.757532000  1001.16 0 49.9945  -  nan  -0.114738 -0.0894227 0.185889  -0.114738 -0.0894227 0.185889  -0.599673 -0.174009 12.3089  -0.599673 -0.174009 12.3089  - - -  - - -  77.0976 67.424 68.7198 61.3287 - - - - - - 68.8137 - - - - - 139 0 134 70 0 0 0 0
1704730483.762532000  1001.16 0 49.996  -  nan  0.0634116 -0.0892027 -0.132144  0.0634116 -0.0892027 -0.132144  0.112755 -0.0300594 8.13926  0.112755 -0.0300594 8.13926  - - -  - - -  74.0386 68.4624 68.042 62.1404 - - - - - - - 62.4922 - - - - 139 0 134 70 0 0 0 0
1704730483.767548000  1001.16 0 49.9954  -  nan  -0.0538632 0.00238878 -0.0190958  -0.0538632 0.00238878 -0.0190958  -0.0246619 0.247297 9.8808  -0.0246619 0.247297 9.8808  - - -  - - -  75.7252 66.1902 70.313 61.7414 - - - - - 67.6407 - - - - - - 139 0 134 70 0 0 0 0
1704730483.772535000  1001.16 0 49.9959  -  nan  -0.0718063 -0.0885347 0.215992  -0.0718063 -0.0885347 0.215992  -0.269761 -0.0629923 11.2182  -0.269761 -0.0629923 11.2182  - - -  - - -  75.5905 67.6195 68.9089 61.6387 - - - - 76.8049 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.777532000  1001.16 0 49.9953  -  nan  0.0634116 -0.0892027 -0.132144  0.0634116 -0.0892027 -0.132144  -0.208738 0.0606262 8.7566  -0.208738 0.0606262 8.7566  - - -  - - -  73.6314 68.7088 67.8116 62.6724 - - - - - - 69.4155 - - - - - 139 0 134 70 0 0 0 0
1704730483.782532000  1001.16 0 49.9978  -  nan  0.00337941 -0.0845586 -0.0266683  0.00337941 -0.0845586 -0.0266683  0.109746 0.0539208 9.3864  0.109746 0.0539208 9.3864  - - -  - - -  75.0893 66.1557 70.2909 62.1279 - - - - - - - 62.004 - - - - 139 0 134 70 0 0 0 0
1704730483.787536000  1001.16 0 49.998  -  nan  -0.0269142 -0.0495501 0.107935  -0.0269142 -0.0495501 0.107935  -0.0775576 0.0472154 10.0125  -0.0775576 0.0472154 10.0125  - - -  - - -  75.3584 66.0961 70.3337 62.3973 - - - - - 66.3218 - - - - - - 139 0 134 70 0 0 0 0
1704730483.792537000  1001.16 0 49.9992  -  nan  0.062517 -0.0717282 -0.0502682  0.062517 -0.0717282 -0.0502682  -0.448501 -0.0508016 10.0761  -0.448501 -0.0508016 10.0761  - - -  - - -  74.4077 67.3514 69.0234 63.2276 - - - - 75.1089 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.797531000  1001.15 0 49.9993  -  nan  0.0922224 -0.0713216 -0.0346513  0.0922224 -0.0713216 -0.0346513  0.203817 0.0581965 8.98697  0.203817 0.0581965 8.98697  - - -  - - -  74.9535 65.6505 70.32 62.9485 - - - - - - 70.2346 - - - - - 139 0 134 70 0 0 0 0
1704730483.802533000  1001.14 0 50.0003  -  nan  -0.0117518 0.00598845 0.0788419  -0.0117518 0.00598845 0.0788419  -0.0717444 0.198802 9.77076  -0.0717444 0.198802 9.77076  - - -  - - -  75.5785 64.9009 70.7859 63.416 - - - - - - - 63.1552 - - - - 139 0 134 70 0 0 0 0
1704730483.807555000  1001.12 0 49.9993  -  nan  0.0319886 -0.0950412 0.0718146  0.0319886 -0.0950412 0.0718146  -0.410734 -0.207873 10.8315  -0.410734 -0.207873 10.8315  - - -  - - -  75.1462 66.7454 69.0416 63.7509 - - - - - 65.9544 - - - - - - 139 0 134 70 0 0 0 0
1704730483.812545000  1001.11 0 50.0024  -  nan  0.107418 -0.0584003 -0.0894291  0.107418 -0.0584003 -0.0894291  0.11208 0.0137609 8.59157  0.11208 0.0137609 8.59157  - - -  - - -  74.3702 66.0191 69.402 64.1227 - - - - 75.8265 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.817529000  1001.1 0 50.0011  -  nan  -0.054847 0.00564273 0.0623062  -0.054847 0.00564273 0.0623062  0.0197454 0.243637 10.2237  0.0197454 0.243637 10.2237  - - -  - - -  75.628 64.6842 70.6251 64.1734 - - - - - - 70.2346 - - - - - 139 0 134 70 0 0 0 0
1704730483.822528000  1001.09 0 50.003  -  nan  -0.0406288 -0.0227865 0.0642857  -0.0406288 -0.0227865 0.0642857  -0.220376 -0.0556715 10.5335  -0.220376 -0.0556715 10.5335  - - -  - - -  75.4541 66.1212 69.377 64.2334 - - - - - - - 65.2316 - - - - 139 0 134 70 0 0 0 0
1704730483.827544000  1001.09 0 50.0027  -  nan  0.0200709 -0.0296387 -0.0964273  0.0200709 -0.0296387 -0.0964273  -0.0711016 0.153967 9.31854  -0.0711016 0.153967 9.31854  - - -  - - -  75.2162 66.3734 68.9925 64.3327 - - - - - 64.8761 - - - - - - 139 0 134 70 0 0 0 0
1704730483.832529000  1001.08 0 50.0044  -  nan  -0.054128 -0.0112508 -0.00503383  -0.054128 -0.0112508 -0.00503383  0.0656226 0.196966 9.94352  0.0656226 0.196966 9.94352  - - -  - - -  76.4293 64.9342 70.3565 63.5329 - - - - 75.3466 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.837528000  1001.08 0 50.004  -  nan  -0.127767 0.0353518 0.0562622  -0.127767 0.0353518 0.0562622  -0.0303854 0.0496556 9.78449  -0.0303854 0.0496556 9.78449  - - -  - - -  76.6089 65.579 69.9088 63.3063 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
1704730483.842542000  1001.08 0 50.0046  -  nan  -0.053964 -0.0117931 -0.0186008  -0.053964 -0.0117931 -0.0186008  -0.442562 0.145426 10.1151  -0.442562 0.145426 10.1151  - - -  - - -  76.4723 67.1282 68.6623 63.3767 - - - - - - - 63.1552 - - - - 139 0 134 70 0 0 0 0
1704730483.847538000  1001.07 0 50.0031  -  nan  -0.0827662 -0.055331 -0.0471981  -0.0827662 -0.055331 -0.0471981  0.290383 0.0963154 10.0683  0.290383 0.0963154 10.0683  - - -  - - -  76.5727 66.5166 69.1921 63.1978 - - - - - 65.2316 - - - - - - 139 0 134 70 0 0 0 0
1704730483.852527000  1001.08 0 50.0038  -  nan  -0.17056 0.0775517 0.0382415  -0.17056 0.0775517 0.0382415  0.163006 0.208552 8.86006  0.163006 0.208552 8.86006  - - -  - - -  77.0787 66.3595 69.5442 62.6909 - - - - 77.3036 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.857529000  1001.09 0 50.0044  -  nan  -0.14237 -0.0375896 0.0306488  -0.14237 -0.0375896 0.0306488  -0.678774 0.0841247 11.202  -0.678774 0.0841247 11.202  - - -  - - -  77.3664 67.7868 68.475 62.826 - - - - - - 69.6185 - - - - - 139 0 134 70 0 0 0 0
1704730483.862527000  1001.09 0 50.004  -  nan  -0.0827854 -0.12888 -0.0853889  -0.0827854 -0.12888 -0.0853889  0.239943 -0.00697069 10.5325  0.239943 -0.00697069 10.5325  - - -  - - -  76.2078 67.4786 69.3909 62.367 - - - - - - - 63.8325 - - - - 139 0 134 70 0 0 0 0
1704730483.867542000  1001.09 0 50.0036  -  nan  -0.214155 0.10449 -0.00648894  -0.214155 0.10449 -0.00648894  0.444069 0.269249 7.83006  0.444069 0.269249 7.83006  - - -  - - -  76.5502 66.1658 70.5459 62.012 - - - - - 68.8137 - - - - - - 139 0 134 70 0 0 0 0
1704730483.872538000  1001.09 0 50.0052  -  nan  -0.186687 -0.0193761 0.123123  -0.186687 -0.0193761 0.123123  -0.959392 0.0264838 11.946  -0.959392 0.0264838 11.946  - - -  - - -  78.2284 68.2615 68.9443 61.8233 - - - - 77.3036 - - - - - - - 139 0 134 70 0 0 0 0
1704730483.877528000  1001.1 0 50.0047  -  nan  -0.0250133 -0.188549 -0.121085  -0.0250133 -0.188549 -0.121085  0.287124 -0.047746 9.79559  0.287124 -0.047746 9.79559  - - -  - - -  76.2681 68.7082 68.7297 62.1809 - - - - - - 69.8227 - - - - - 139 0 134 70 0 0 0 0
