# logged on Tue Jan  9 13:17:35 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704802655.897192000  1001.01 0 99.9986  15.609  nan  0.0173674 -0.123339 0.071815  0.0173674 -0.123339 0.071815  -0.416349 -0.174009 12.3103  -0.416349 -0.174009 12.3103  nan nan nan  nan nan nan  74.9499 68.5923 68.3907 63.5088 - - - - 75.8265 65.4108 70.4424 64.3501 nan nan nan nan 139 146 134 70 0 0 0 0
1704802655.902069000  1001.01 0 99.9959  -  nan  0.122695 -0.0322714 -0.143697  0.122695 -0.0322714 -0.143697  0.570058 -0.12583 7.80903  0.570058 -0.12583 7.80903  - - -  - - -  74.0603 67.5491 69.366 63.378 - - - - 75.5858 66.8807 - - - - - - 139 146 134 70 0 0 0 0
1704802655.909512000  1001.02 0 99.9984  -  nan  -0.0991575 0.0248692 0.154745  -0.0991575 0.0248692 0.154745  -0.584335 0.18172 11.3655  -0.584335 0.18172 11.3655  - - -  - - -  77.3392 65.9486 70.6291 62.7658 - - - - 74.8727 - 69.6185 64.0041 - - - - 139 146 134 70 0 0 0 0
1704802655.914093000  1001.04 0 99.9966  -  nan  0.0915805 -0.112744 -0.00506329  0.0915805 -0.112744 -0.00506329  0.097267 -0.202993 10.3785  0.097267 -0.202993 10.3785  - - -  - - -  74.0317 68.6643 68.8291 63.3006 - - - - - 66.6933 - - - - - - 139 146 134 70 0 0 0 0
1704802655.919088000  1001.04 0 99.9989  -  nan  0.0505554 0.0819477 -0.167247  0.0505554 0.0819477 -0.167247  0.3909 0.0685623 8.01834  0.3909 0.0685623 8.01834  - - -  - - -  74.1104 66.5711 70.0907 63.3396 - - - - 77.5555 69.2137 70.4424 63.1552 - - - - 139 146 134 70 0 0 0 0
1704802655.924090000  1001.05 0 99.9989  -  nan  -0.0849842 -0.0334791 0.144183  -0.0849842 -0.0334791 0.144183  -0.40083 0.08961 10.6907  -0.40083 0.08961 10.6907  - - -  - - -  76.4619 66.65 69.7664 62.4263 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802655.929073000  1001.05 0 99.9987  -  nan  0.0461436 -0.108746 0.0868662  0.0461436 -0.108746 0.0868662  -0.0365033 -0.054462 10.4217  -0.0365033 -0.054462 10.4217  - - -  - - -  73.7497 68.8399 68.4274 63.301 - - - - 76.8049 67.2585 68.8137 62.9882 - - - - 139 146 134 70 0 0 0 0
1704802655.934066000  1001.04 0 99.9987  -  nan  -0.00902261 0.0560589 -0.115049  -0.00902261 0.0560589 -0.115049  -0.0712906 0.107297 9.03807  -0.0712906 0.107297 9.03807  - - -  - - -  74.529 67.0277 69.6277 63.2404 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802655.939081000  1001.04 0 100  -  nan  -0.027123 -0.0789268 0.108961  -0.027123 -0.0789268 0.108961  -0.0303854 0.0496556 9.78449  -0.0303854 0.0496556 9.78449  - - -  - - -  76.0927 66.1976 70.4499 62.2187 - - - - 74.8727 68.8137 69.6185 62.9882 - - - - 139 146 134 70 0 0 0 0
1704802655.944071000  1001.04 0 100  -  nan  0.0484892 0.030721 -0.0276593  0.0484892 0.030721 -0.0276593  -0.0789425 0.0441598 10.2984  -0.0789425 0.0441598 10.2984  - - -  - - -  74.7122 67.5044 70.0219 63.0108 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704802655.949129000  1001.04 0 100.001  -  nan  0.0348261 0.0427991 -0.0834119  0.0348261 0.0427991 -0.0834119  -0.306 0.00399984 9.50192  -0.306 0.00399984 9.50192  - - -  - - -  75.0104 66.6644 69.5967 63.0577 - - - - 73.4862 - 70.2346 63.4921 - - - - 139 146 134 70 0 0 0 0
