# pom logged on Tue Jan  9 13:33:48 2024
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1704803628.585017000 0 1 1 1 1 1 -2.47673 -0.296984 1.00051 0.000121361 -0.00236403 -0.0293637 -0.0160747 0.0124301 -0.00814491 0.00838665 -0.0741038 0.0161909 -0.230145 0.0318882 0.218009 8.79207e-07 8.79207e-07 8.0766e-07 4.72728e-06 4.72724e-06 5.51911e-06 6.39186e-05 6.39188e-05 5.32184e-05 6.39186e-05 6.39188e-05 5.32184e-05 0.0717749 0.0717749 0.0713418
1704803628.589000000 0 1 1 1 1 1 -2.47676 -0.296931 1.00045 0.000525355 -0.00292805 -0.0301015 -0.0127439 0.0128996 -0.0106174 0.0373065 -0.0922655 -0.0495986 0.0927921 0.0588188 -0.039858 9.24183e-07 9.24183e-07 8.45588e-07 4.75392e-06 4.75389e-06 5.54579e-06 6.51648e-05 6.51649e-05 5.39393e-05 6.51648e-05 6.51649e-05 5.39393e-05 0.0664753 0.0664753 0.0660327
1704803628.594004000 0 1 1 1 1 1 -2.47671 -0.296955 1.00045 3.59166e-05 -0.00191984 -0.0298033 -0.0114776 0.0134548 -0.0149808 -0.018948 0.0239696 0.00217987 0.0861656 0.114263 -0.351037 8.89049e-07 8.89049e-07 8.16064e-07 4.75225e-06 4.75224e-06 5.54258e-06 6.44434e-05 6.44433e-05 5.36376e-05 6.44434e-05 6.44433e-05 5.36376e-05 0.0781422 0.0781422 0.0777154
1704803628.599012000 0 1 1 1 1 1 -2.47682 -0.296887 1.00047 -0.000216546 -0.00260154 -0.0288416 -0.0163294 0.0136975 -0.00553754 -0.0262127 -0.0474526 0.0752425 -0.286291 0.0863778 0.475863 9.46525e-07 9.46525e-07 8.64466e-07 4.77763e-06 4.7776e-06 5.56807e-06 6.59286e-05 6.59286e-05 5.44652e-05 6.59286e-05 6.59286e-05 5.44652e-05 0.0677348 0.0677348 0.0672955
1704803628.604004000 0 1 1 1 1 1 -2.47669 -0.296938 1.00052 0.000215754 -0.00301444 -0.02985 -0.0122872 0.0131278 -0.0077845 0.0177445 -0.0519501 -0.0376641 0.0677487 0.0596561 0.0444292 9.03596e-07 9.03596e-07 8.28409e-07 4.75411e-06 4.75407e-06 5.54314e-06 6.47759e-05 6.47759e-05 5.37674e-05 6.47759e-05 6.47759e-05 5.37674e-05 0.0725324 0.0725325 0.0720823
1704803628.609386000 0 1 1 1 1 1 -2.47667 -0.296938 1.0005 -0.00042697 -0.00178324 -0.029195 -0.012135 0.013624 -0.0124921 -0.0451504 0.0683302 0.046302 -0.00849659 0.105632 -0.296007 8.92857e-07 8.92856e-07 8.19444e-07 4.77515e-06 4.77515e-06 5.56332e-06 6.49908e-05 6.49907e-05 5.41311e-05 6.49908e-05 6.49907e-05 5.41311e-05 0.0830079 0.0830079 0.0825773
1704803628.614011000 0 1 1 1 1 1 -2.47676 -0.296872 1.00052 -0.000677901 -0.00210785 -0.0284019 -0.0156186 0.0140678 -0.00413707 -0.0443071 0.0169168 0.0859118 -0.239975 0.100857 0.381634 9.46048e-07 9.46047e-07 8.64241e-07 4.83018e-06 4.83017e-06 5.61842e-06 6.69374e-05 6.69373e-05 5.54731e-05 6.69374e-05 6.69373e-05 5.54731e-05 0.0808584 0.0808584 0.0804207
1704803628.619012000 0 1 1 1 1 1 -2.47677 -0.29683 1.0005 -0.000285124 -0.00214291 -0.029701 -0.0131607 0.0140558 -0.00657729 0.00401619 0.0159281 -0.0560064 0.0214823 0.0734885 -0.000586986 9.81886e-07 9.81886e-07 8.94393e-07 4.86703e-06 4.86702e-06 5.65578e-06 6.83101e-05 6.83101e-05 5.64256e-05 6.83101e-05 6.83101e-05 5.64256e-05 0.078585 0.078585 0.0781275
1704803628.624016000 0 1 1 1 1 1 -2.47684 -0.296755 1.0004 -0.000730087 -0.00117501 -0.0294593 -0.0129005 0.014612 -0.0133366 -0.0317543 0.0848402 -0.00602888 0.0201385 0.0851975 -0.453074 1.04485e-06 1.04485e-06 9.4699e-07 4.8892e-06 4.88922e-06 5.67797e-06 6.96667e-05 6.96665e-05 5.71341e-05 6.96667e-05 6.96665e-05 5.71341e-05 0.0676891 0.067689 0.067251
1704803628.629106000 0 1 1 1 1 1 -2.4768 -0.296792 1.00053 -0.000764465 -0.00150371 -0.0289256 -0.0149128 0.0148915 -0.00444642 -0.0183391 0.0216994 0.0340958 -0.171718 0.120401 0.299723 1.01523e-06 1.01523e-06 9.229e-07 4.82166e-06 4.82166e-06 5.61372e-06 6.75013e-05 6.75011e-05 5.53516e-05 6.75013e-05 6.75011e-05 5.53516e-05 0.0483083 0.0483083 0.047866
