# logged on Tue Jan  9 13:33:49 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704803629.228987000  999.603 0 49.9962  15.867  nan  -0.0842159 -0.0215053 0.0884509  -0.0842159 -0.0215053 0.0884509  -0.344437 0.204902 9.19788  -0.344437 0.204902 9.19788  nan nan nan  nan nan nan  77.6766 65.7406 71.2419 62.5365 - - - - 77.0535 67.2585 68.8137 64.0041 nan nan nan nan 138 146 134 70 0 0 0 0
1704803629.233992000  999.602 0 49.9945  -  nan  -0.0123381 -0.123746 0.0561981  -0.0123381 -0.123746 0.0561981  -0.17031 0.13628 10.9729  -0.17031 0.13628 10.9729  - - -  - - -  76.7925 67.8469 70.2917 63.0374 - - - - - 67.6407 - - - - - - 138 146 134 70 0 0 0 0
1704803629.239018000  999.602 0 49.9961  -  nan  -0.0234799 0.0272183 -0.128616  -0.0234799 0.0272183 -0.128616  -0.123456 -0.0913607 9.22618  -0.123456 -0.0913607 9.22618  - - -  - - -  75.3294 67.7657 70.414 63.1764 - - - - - - 68.8137 - - - - - 138 146 134 70 0 0 0 0
1704803629.244010000  999.601 0 49.9955  -  nan  -0.0261459 -0.0375762 0.0522033  -0.0261459 -0.0375762 0.0522033  -0.0726707 0.104252 9.323  -0.0726707 0.104252 9.323  - - -  - - -  76.8784 66.817 70.9376 62.2583 - - - - - - - 64.0041 - - - - 138 146 134 70 0 0 0 0
1704803629.249001000  999.603 0 49.9939  -  nan  -0.0546198 -0.00962378 0.0356672  -0.0546198 -0.00962378 0.0356672  0.0180865 0.239976 10.5662  0.0180865 0.239976 10.5662  - - -  - - -  75.8717 68.0347 70.4916 63.3407 - - - - 76.558 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.254010000  999.602 0 49.9935  -  nan  -0.0539192 0.018126 -0.00605914  -0.0539192 0.018126 -0.00605914  -0.404467 -0.147792 9.85707  -0.404467 -0.147792 9.85707  - - -  - - -  75.9247 68.3779 69.8888 62.8717 - - - - - 69.4155 - - - - - - 138 146 134 70 0 0 0 0
1704803629.258996000  999.604 0 49.9962  -  nan  0.0619499 -0.127913 -0.0347213  0.0619499 -0.127913 -0.0347213  0.156919 0.056361 9.15839  0.156919 0.056361 9.15839  - - -  - - -  76.0818 68.168 70.0985 62.7191 - - - - - - 70.6514 - - - - - 138 146 134 70 0 0 0 0
1704803629.263982000  999.604 0 49.9946  -  nan  -0.0534153 0.0890353 -0.00853404  -0.0534153 0.0890353 -0.00853404  0.0231577 0.343672 10.1581  0.0231577 0.343672 10.1581  - - -  - - -  76.1955 67.2237 71.3102 63.1466 - - - - - - - 61.6827 - - - - 138 146 134 70 0 0 0 0
1704803629.269005000  999.603 0 49.9941  -  nan  -0.0407928 -0.0222442 0.0778527  -0.0407928 -0.0222442 0.0778527  -0.496855 -0.104177 10.4228  -0.496855 -0.104177 10.4228  - - -  - - -  77.0662 67.8641 69.8384 62.6064 - - - - 75.8265 - - - - - - - 138 146 134 70 0 0 0 0
1704803629.274007000  999.602 0 49.9927  -  nan  0.107436 -0.103044 -0.115043  0.107436 -0.103044 -0.115043  0.387856 0.0618463 8.64678  0.387856 0.0618463 8.64678  - - -  - - -  75.727 68.5469 69.4444 63.1186 - - - - - 68.0272 - - - - - - 138 146 134 70 0 0 0 0
1704803629.279030000  999.602 0 49.9944  -  nan  -0.0674878 0.161565 0.00153312  -0.0674878 0.161565 0.00153312  -0.0204178 0.349168 9.64353  -0.0204178 0.349168 9.64353  - - -  - - -  77.212 66.1089 71.5856 63.0637 - - - - - - 70.6514 - - - - - 138 146 134 70 0 0 0 0
1704803629.284017000  999.601 0 49.994  -  nan  -0.0131503 -0.0474463 0.163193  -0.0131503 -0.0474463 0.163193  -0.455784 -0.159378 10.9409  -0.455784 -0.159378 10.9409  - - -  - - -  77.9816 67.6722 69.7808 62.5375 - - - - - - - 62.822 - - - - 138 146 134 70 0 0 0 0
