# pom logged on Wed Dec 13 17:14:49 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1702484089.985108000 0 1 1 1 1 1 -1.51063 -0.502458 0.997098 -0.0026217 0.00115113 -0.00282254 0.0128019 -0.00888666 0.00476731 -0.046553 0.0470785 0.0140272 0.255742 -0.52668 -0.00252015 5.57896e-09 5.57896e-09 5.57706e-09 2.01822e-07 2.01822e-07 2.01849e-07 8.96477e-06 8.96478e-06 8.95645e-06 8.96477e-06 8.96478e-06 8.95645e-06 0.0293247 0.0293247 0.0293148
1702484089.992074000 0 1 1 1 1 1 -1.51058 -0.502437 0.997078 -0.00275463 0.001214 -0.00332289 0.0162085 -0.00120772 -0.00109907 -0.0436289 0.0454563 -0.027561 0.416351 0.391986 -0.561495 6.50083e-09 6.50083e-09 6.49829e-09 2.69093e-07 2.69093e-07 2.69125e-07 1.0823e-05 1.0823e-05 1.08134e-05 1.0823e-05 1.0823e-05 1.08134e-05 0.0510241 0.0510241 0.0510135
1702484089.997084000 0 1 1 1 1 1 -1.51065 -0.502458 0.997125 -0.00285786 0.00118771 -0.00298281 0.00658626 -0.00396432 0.00612644 -0.0512691 0.049059 0.0296898 -0.294047 -0.0397029 0.1379 6.33873e-09 6.33873e-09 6.33636e-09 2.47654e-07 2.47654e-07 2.47685e-07 1.03857e-05 1.03857e-05 1.03763e-05 1.03857e-05 1.03857e-05 1.03763e-05 0.0422519 0.0422519 0.0422406
1702484090.002062000 0 1 1 1 1 1 -1.51062 -0.502515 0.997159 -0.00289854 0.00115214 -0.00327365 0.0138441 -0.0106887 0.0108831 -0.0492567 0.0510581 -0.00114674 0.512383 -0.5058 0.593937 6.21179e-09 6.21179e-09 6.20954e-09 2.36262e-07 2.36262e-07 2.36291e-07 1.01333e-05 1.01333e-05 1.01241e-05 1.01333e-05 1.01333e-05 1.01241e-05 0.0393221 0.0393221 0.0393111
1702484090.007072000 0 1 1 1 1 1 -1.51061 -0.502461 0.99711 -0.00294046 0.0011331 -0.00380299 0.0147678 -0.000644963 0.00274431 -0.0481324 0.0524684 -0.0316123 0.474645 0.362733 -0.114131 6.1306e-09 6.1306e-09 6.12843e-09 2.30155e-07 2.30154e-07 2.30183e-07 9.98992e-06 9.98993e-06 9.98081e-06 9.98992e-06 9.98993e-06 9.98081e-06 0.0385308 0.0385308 0.03852
1702484090.012063000 0 1 1 1 1 1 -1.51067 -0.502494 0.997121 -0.00305026 0.00120839 -0.00348042 0.00691378 -0.00502191 0.00349655 -0.052829 0.0589219 0.0243217 -0.124686 -0.160207 -0.0894475 6.06818e-09 6.06818e-09 6.06605e-09 2.26104e-07 2.26104e-07 2.26133e-07 9.87874e-06 9.87875e-06 9.86965e-06 9.87874e-06 9.87875e-06 9.86965e-06 0.0380218 0.0380218 0.0380111
1702484090.017123000 0 1 1 1 1 1 -1.51062 -0.502514 0.997155 -0.00305231 0.00119904 -0.00395275 0.0164559 -0.00651135 0.00831168 -0.0497118 0.0600563 -0.0245614 0.799156 -0.151366 0.366983 5.7017e-09 5.7017e-09 5.69983e-09 2.04794e-07 2.04794e-07 2.04822e-07 9.23976e-06 9.23976e-06 9.23122e-06 9.23976e-06 9.23976e-06 9.23122e-06 0.0292808 0.0292808 0.0292704
1702484090.022118000 0 1 1 1 1 1 -1.51065 -0.502477 0.997148 -0.00307984 0.00130036 -0.00416931 0.0118562 0.000382193 0.00639352 -0.0462344 0.0667937 -0.0162699 0.216202 0.378577 0.263225 5.67456e-09 5.67456e-09 5.67271e-09 2.03567e-07 2.03566e-07 2.03593e-07 9.18161e-06 9.18162e-06 9.17316e-06 9.18161e-06 9.18162e-06 9.17316e-06 0.0293146 0.0293146 0.0293046
1702484090.027075000 0 1 1 1 1 1 -1.51066 -0.502523 0.997132 -0.00322708 0.00139795 -0.00388431 0.00852459 -0.00596438 0.00261058 -0.0512668 0.0639785 0.0265016 0.00421325 -0.290156 -0.151887 5.98185e-09 5.98185e-09 5.97976e-09 2.22282e-07 2.22281e-07 2.2231e-07 9.70071e-06 9.70072e-06 9.69171e-06 9.70071e-06 9.70072e-06 9.69171e-06 0.0383976 0.0383976 0.0383874
1702484090.032063000 0 1 1 1 1 1 -1.5106 -0.50254 0.997188 -0.00325082 0.00145433 -0.00426924 0.0177244 -0.0066911 0.0100494 -0.0471094 0.0642474 -0.0144395 0.81311 -0.207434 0.517387 5.96212e-09 5.96212e-09 5.96003e-09 2.21591e-07 2.21591e-07 2.21619e-07 9.65339e-06 9.6534e-06 9.64444e-06 9.65339e-06 9.6534e-06 9.64444e-06 0.0382438 0.0382438 0.0382337
