# logged on Wed Dec 13 17:14:49 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.03099  1           0.00671748  2           0.00392137
#  3          -0.00506866  4              1.01317  5            0.0334224
#  6            0.0540395  7           -0.0299119  8             0.969332
# }
# gbias {
#  0           -0.0513409  1            0.0755376  2            0.0383217
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940117  1            0.0306385  2            0.0112014
#  3         -3.77057e-05  4              1.01508  5           -0.0160543
#  6          -0.00828666  7           -0.0860739  8             0.992674
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702484089.996143000  1000.15 0 50.0959  16  nan  -0.075687 0.0712408 0.0956829  -0.075687 0.0712408 0.0956829  -0.282367 -1.97516 6.91547  -0.282367 -1.97516 6.91547  5.97e-06 2.299e-05 -4.196e-05  5.97e-06 2.299e-05 -4.196e-05  69.2236 69.5455 70.3402 68.7099 - - - - 70.4424 69.6185 70.8617 69.0131 nan nan nan nan 0 0 0 0 0 0 0 0
1702484090.001146000  1000.14 0 50.1015  -  nan  -0.0797534 0.07079 -0.106037  -0.0797534 0.07079 -0.106037  1.76611 1.4057 8.61092  1.76611 1.4057 8.61092  - - -  - - -  69.3965 68.7639 70.1975 69.7766 - - - - 68.8137 69.2137 70.6514 69.8227 - - - - 0 0 0 0 0 0 0 0
1702484090.006145000  1000.14 0 50.1015  -  nan  -0.0608807 0.102561 0.0355817  -0.0608807 0.102561 0.0355817  -1.09685 1.04092 11.9841  -1.09685 1.04092 11.9841  - - -  - - -  70.7876 68.6945 70.516 68.5429 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.011145000  1000.13 0 50.1015  -  nan  -0.0559688 0.0961677 0.0391298  -0.0559688 0.0961677 0.0391298  1.24689 -1.92255 8.89921  1.24689 -1.92255 8.89921  - - -  - - -  69.3976 69.3704 70.368 68.4764 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.016145000  1000.14 0 50.1015  -  nan  -0.0780711 0.0787164 -0.110836  -0.0780711 0.0787164 -0.110836  1.90568 1.28123 9.70059  1.90568 1.28123 9.70059  - - -  - - -  69.6821 68.8436 70.086 69.7213 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.021145000  1000.14 0 50.1017  -  nan  -0.0705631 0.0977126 0.0967102  -0.0705631 0.0977126 0.0967102  -1.46427 -0.397051 13.0824  -1.46427 -0.397051 13.0824  - - -  - - -  71.2476 68.9302 70.6377 68.2586 - - - - 72.3694 68.2221 69.8227 69.2137 - - - - 0 0 0 0 0 0 0 0
1702484090.026152000  1000.15 0 50.1017  -  nan  -0.0591992 0.088078 0.0702058  -0.0591992 0.088078 0.0702058  0.992278 -2.06894 7.74559  0.992278 -2.06894 7.74559  - - -  - - -  69.5135 69.4718 70.3649 68.6805 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.031165000  1000.17 0 50.1017  -  nan  -0.0626243 0.08281 -0.0987834  -0.0626243 0.08281 -0.0987834  0.624193 2.08114 6.03984  0.624193 2.08114 6.03984  - - -  - - -  69.8893 68.7778 69.8532 69.5412 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.036143000  1000.18 0 50.1017  -  nan  -0.0639893 0.102128 0.0850373  -0.0639893 0.102128 0.0850373  -1.52356 -0.212439 13.6776  -1.52356 -0.212439 13.6776  - - -  - - -  71.1777 69.1902 70.6468 68.0238 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.041155000  1000.19 0 50.1017  -  nan  -0.0467845 0.0989081 -0.00490996  -0.0467845 0.0989081 -0.00490996  2.26405 -0.963029 12.6083  2.26405 -0.963029 12.6083  - - -  - - -  69.4361 69.7039 70.4335 69.2401 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702484090.046148000  1000.2 0 50.1017  -  nan  -0.0649076 0.0724073 -0.103242  -0.0649076 0.0724073 -0.103242  0.835195 2.12634 6.24549  0.835195 2.12634 6.24549  - - -  - - -  70.1761 68.9418 69.9407 69.0539 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
