# logged on Thu Dec 21 15:23:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703168622.027524000  1000.86 0 49.9867  15.996  nan  0.0929423 0.0299774 -0.0381868  0.0929423 0.0299774 -0.0381868  0.0208419 0.107297 9.03874  0.0208419 0.107297 9.03874  nan nan nan  nan nan nan  80.1316 67.8049 71.855 64.4011 - - - - 80.7103 67.6407 71.7154 65.2316 nan nan nan nan 138 145 0 71 0 0 0 0
1703168622.032518000  1000.86 0 49.9862  -  nan  -0.0830489 0.0482477 0.0316727  -0.0830489 0.0482477 0.0316727  -0.487405 0.284811 11.0147  -0.487405 0.284811 11.0147  - - -  - - -  80.5134 67.26 72.3667 64.7661 - - - - 80.7103 67.4491 - - - - - - 138 145 0 71 0 0 0 0
1703168622.037471000  1000.87 0 49.9862  -  nan  0.00368897 -0.041 -0.0281886  0.00368897 -0.041 -0.0281886  0.0452304 -0.400235 10.3394  0.0452304 -0.400235 10.3394  - - -  - - -  79.7744 68.5995 71.8146 63.8274 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.042558000  1000.87 0 49.9846  -  nan  0.0629721 0.0159313 -0.0397417  0.0629721 0.0159313 -0.0397417  0.024344 0.161277 8.63517  0.024344 0.161277 8.63517  - - -  - - -  79.3905 67.6224 72.7013 64.0617 - - - - - - 70.8617 - - - - - 138 145 0 71 0 0 0 0
1703168622.047592000  1000.88 0 49.9851  -  nan  -0.113055 -0.0213742 0.0864717  -0.113055 -0.0213742 0.0864717  -0.54196 0.0810691 11.4889  -0.54196 0.0810691 11.4889  - - -  - - -  80.0956 67.8138 72.8599 64.3188 - - - - - - - 64.3501 - - - - 138 145 0 71 0 0 0 0
1703168622.052538000  1000.88 0 49.9868  -  nan  0.0920392 -0.144329 -0.059275  0.0920392 -0.144329 -0.059275  0.282318 -0.289618 9.19046  0.282318 -0.289618 9.19046  - - -  - - -  78.7424 69.2806 72.0638 63.8147 - - - - 80.1667 67.4491 - - - - - - 138 145 0 71 0 0 0 0
1703168622.057529000  1000.89 0 49.9868  -  nan  -0.0540079 0.0764804 0.0326619  -0.0540079 0.0764804 0.0326619  -0.106912 0.359534 8.6729  -0.106912 0.359534 8.6729  - - -  - - -  78.7635 67.355 73.9822 64.3374 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.062545000  1000.89 0 49.9862  -  nan  -0.113332 -0.034975 0.101503  -0.113332 -0.034975 0.101503  -0.547709 -0.0684881 11.7305  -0.547709 -0.0684881 11.7305  - - -  - - -  79.7331 68.9178 73.5962 64.4091 - - - - - - 72.59 - - - - - 138 145 0 71 0 0 0 0
1703168622.067534000  1000.91 0 49.9855  -  nan  0.121151 -0.129807 -0.0713932  0.121151 -0.129807 -0.0713932  0.290806 -0.0858755 8.71591  0.290806 -0.0858755 8.71591  - - -  - - -  78.1012 69.5596 73.4455 64.4571 - - - - - - - 65.0533 - - - - 138 145 0 71 0 0 0 0
1703168622.072477000  1000.91 0 49.9873  -  nan  -0.0685916 0.0770882 0.0452393  -0.0685916 0.0770882 0.0452393  0.0714264 0.209772 8.74522  0.0714264 0.209772 8.74522  - - -  - - -  78.6436 68.0493 74.7543 65.0344 - - - - 80.1667 68.6153 - - - - - - 138 145 0 71 0 0 0 0
1703168622.077608000  1000.92 0 49.9873  -  nan  0.0178337 -0.0813361 0.0567631  0.0178337 -0.0813361 0.0567631  -0.499341 -0.109663 10.9361  -0.499341 -0.109663 10.9361  - - -  - - -  79.1858 70.2831 72.7121 64.8798 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.082532000  1000.91 0 49.9876  -  nan  0.0927591 -0.0430296 -0.0628106  0.0927591 -0.0430296 -0.0628106  0.0617119 -0.0410406 9.16647  0.0617119 -0.0410406 9.16647  - - -  - - -  78.0811 69.8147 73.016 65.0846 - - - - - - 73.2601 - - - - - 138 145 0 71 0 0 0 0
1703168622.087605000  1000.91 0 49.9878  -  nan  -0.0393866 0.104779 0.0326616  -0.0393866 0.104779 0.0326616  0.153327 0.0484355 9.90001  0.153327 0.0484355 9.90001  - - -  - - -  78.7295 68.4142 74.2381 65.3231 - - - - - - - 65.591 - - - - 138 145 0 71 0 0 0 0
1703168622.092538000  1000.91 0 49.989  -  nan  0.061995 -0.0254193 0.0170156  0.061995 -0.0254193 0.0170156  -0.400466 0.0441598 10.2961  -0.400466 0.0441598 10.2961  - - -  - - -  79.581 69.2658 72.8936 65.19 - - - - 77.8089 69.4155 - - - - - - 138 145 0 71 0 0 0 0
1703168622.097533000  1000.91 0 49.989  -  nan  0.0775558 0.0153234 -0.0523191  0.0775558 0.0153234 -0.0523191  0.192164 -0.196892 9.80832  0.192164 -0.196892 9.80832  - - -  - - -  79.0284 68.6587 73.5033 65.4459 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.102540000  1000.91 0 49.9881  -  nan  0.034883 0.145254 -0.0326441  0.034883 0.145254 -0.0326441  0.379899 -0.0925809 9.34404  0.379899 -0.0925809 9.34404  - - -  - - -  79.4101 67.5686 74.0389 65.4327 - - - - - - 73.4862 - - - - - 138 145 0 71 0 0 0 0
1703168622.107599000  1000.91 0 49.9893  -  nan  0.0338051 0.089722 0.0246082  0.0338051 0.089722 0.0246082  -0.576962 0.244241 10.1627  -0.576962 0.244241 10.1627  - - -  - - -  80.5371 67.6128 73.1855 65.362 - - - - - - - 66.507 - - - - 138 145 0 71 0 0 0 0
1703168622.112546000  1000.91 0 49.9903  -  nan  0.062909 0.0306555 -0.0266697  0.062909 0.0306555 -0.0266697  0.32111 -0.259414 11.0121  0.32111 -0.259414 11.0121  - - -  - - -  80.2881 67.9987 72.806 65.5015 - - - - 78.8395 68.2221 - - - - - - 138 145 0 71 0 0 0 0
1703168622.117533000  1000.92 0 49.9903  -  nan  0.0937934 0.173351 -0.029605  0.0937934 0.173351 -0.029605  0.429742 -0.0379956 8.88421  0.429742 -0.0379956 8.88421  - - -  - - -  79.9524 67.2638 73.0096 65.3868 - - - - - - - - - - - - 138 145 0 71 0 0 0 0
1703168622.122602000  1000.93 0 49.9903  -  nan  -0.0107295 0.149833 0.0738214  -0.0107295 0.149833 0.0738214  -0.805535 0.340627 10.437  -0.805535 0.340627 10.437  - - -  - - -  81.3338 66.7872 72.591 65.7314 - - - - - - 75.1089 - - - - - 138 145 0 71 0 0 0 0
