# logged on Thu Dec 21 15:43:52 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703169832.764994000  1001.07 0 50.0077  16.06  nan  -0.0395702 -0.0408034 -0.0311573  -0.0395702 -0.0408034 -0.0311573  0.0679243 0.155792 9.14879  0.0679243 0.155792 9.14879  nan nan nan  nan nan nan  77.6203 70.626 71.4903 60.2749 - - - - 77.8089 70.8617 70.6514 60.8939 nan nan nan nan 139 0 134 71 0 0 0 0
1703169832.770020000  1001.08 0 50.0069  -  nan  -0.142168 -0.00922589 0.0296589  -0.142168 -0.00922589 0.0296589  -0.301689 0.197582 9.88325  -0.301689 0.197582 9.88325  - - -  - - -  77.9421 71.1 71.585 60.5101 - - - - 78.8395 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.774990000  1001.08 0 50.0069  -  nan  -0.0400554 -0.0837809 -0.015101  -0.0400554 -0.0837809 -0.015101  -0.0885672 -0.252708 10.3816  -0.0885672 -0.252708 10.3816  - - -  - - -  77.3464 71.849 71.139 59.9903 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.780015000  1001.09 0 50.0072  -  nan  0.00418083 -0.042627 -0.0688895  0.00418083 -0.042627 -0.0688895  0.0716155 0.256443 9.02568  0.0716155 0.256443 9.02568  - - -  - - -  77.5608 70.3239 72.277 60.0647 - - - - - - - 61.8429 - - - - 139 0 134 71 0 0 0 0
1703169832.784977000  1001.1 0 50.0068  -  nan  -0.127868 0.0211699 0.0567572  -0.127868 0.0211699 0.0567572  -0.347391 0.152131 9.48828  -0.347391 0.152131 9.48828  - - -  - - -  78.1137 70.5414 71.9735 60.406 - - - - - 71.5001 70.4424 - - - - - 139 0 134 71 0 0 0 0
1703169832.790013000  1001.1 0 50.0052  -  nan  0.00360653 -0.0998251 -0.0533073  0.00360653 -0.0998251 -0.0533073  0.0472355 -0.304248 10.5579  0.0472355 -0.304248 10.5579  - - -  - - -  77.4683 71.5906 71.2109 60.6102 - - - - 77.8089 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.795006000  1001.11 0 50.0052  -  nan  0.019605 0.000933037 -0.0421802  0.019605 0.000933037 -0.0421802  0.0265654 0.304938 9.13505  0.0265654 0.304938 9.13505  - - -  - - -  78.0453 69.8152 72.4179 60.9195 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
1703169832.799999000  1001.12 0 50.0046  -  nan  -0.0836416 0.0356928 0.0728687  -0.0836416 0.0356928 0.0728687  -0.216232 -0.0465258 9.67773  -0.216232 -0.0465258 9.67773  - - -  - - -  78.3421 70.8999 71.5464 61.0687 - - - - - - - 59.8229 - - - - 139 0 134 71 0 0 0 0
1703169832.805024000  1001.12 0 50.0067  -  nan  0.0771455 -0.042417 -0.0503039  0.0771455 -0.042417 -0.0503039  0.141022 -0.300599 10.217  0.141022 -0.300599 10.217  - - -  - - -  77.908 71.2308 71.2356 61.4988 - - - - - 70.028 71.9321 - - - - - 139 0 134 71 0 0 0 0
1703169832.810130000  1001.12 0 50.004  -  nan  -0.0103953 0.0315689 -0.0171523  -0.0103953 0.0315689 -0.0171523  -0.24815 0.352829 9.29933  -0.24815 0.352829 9.29933  - - -  - - -  78.5602 69.6856 71.8927 61.6716 - - - - 75.5858 - - - - - - - 139 0 134 71 0 0 0 0
1703169832.815010000  1001.13 0 50.004  -  nan  0.00332379 0.00375362 0.0255636  0.00332379 0.00375362 0.0255636  0.0927488 -0.305469 10.6724  0.0927488 -0.305469 10.6724  - - -  - - -  78.1977 71.0231 70.8799 61.4426 - - - - - - - - - - - - 139 0 134 71 0 0 0 0
