# logged on Thu Dec 21 15:46:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170018.080929000  1000.81 0 49.9977  15.899  nan  -0.0688124 -0.0248248 0.00803855  -0.0688124 -0.0248248 0.00803855  -0.165158 0.0551409 9.27021  -0.165158 0.0551409 9.27021  nan nan nan  nan nan nan  78.8693 67.817 69.4958 62.8906 - - - - 80.4376 65.7722 69.0131 63.6618 nan nan nan nan 138 0 0 71 0 0 0 0
1703170018.085918000  1000.81 0 49.996  -  nan  -0.0831058 -0.0542076 -0.0190951  -0.0831058 -0.0542076 -0.0190951  0.0169711 0.0987557 9.83795  0.0169711 0.0987557 9.83795  - - -  - - -  79.1483 68.0845 69.7901 62.7489 - - - - 79.3651 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.090914000  1000.81 0 49.996  -  nan  -0.127584 -0.00983375 0.0170815  -0.127584 -0.00983375 0.0170815  -0.120377 0.144811 10.175  -0.120377 0.144811 10.175  - - -  - - -  79.2813 68.0075 69.7144 62.4597 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.096926000  1000.81 0 49.9944  -  nan  -0.0400554 -0.0837809 -0.015101  -0.0400554 -0.0837809 -0.015101  -0.0786988 -0.0459211 9.62214  -0.0786988 -0.0459211 9.62214  - - -  - - -  79.2415 68.3385 69.3387 62.0968 - - - - - - 69.0131 - - - - - 138 0 0 71 0 0 0 0
1703170018.102016000  1000.81 0 49.996  -  nan  -0.0245386 0.0452352 -0.033173  -0.0245386 0.0452352 -0.033173  0.251802 0.157012 9.03595  0.251802 0.157012 9.03595  - - -  - - -  79.4367 67.3541 70.3226 62.2907 - - - - - 67.2585 - 62.004 - - - - 138 0 0 71 0 0 0 0
1703170018.106917000  1000.8 0 49.9934  -  nan  -0.156531 0.093295 0.0794371  -0.156531 0.093295 0.0794371  -0.446254 0.0447751 10.2382  -0.446254 0.0447751 10.2382  - - -  - - -  80.3779 67.9969 69.25 62.1497 - - - - 79.6305 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.111927000  1000.79 0 49.9934  -  nan  0.033312 -0.0994185 -0.0376904  0.033312 -0.0994185 -0.0376904  0.00624045 -0.200553 10.1495  0.00624045 -0.200553 10.1495  - - -  - - -  79.6533 68.8503 68.3115 62.3984 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.116947000  1000.78 0 49.9911  -  nan  -0.0388316 0.0884274 -0.0211114  -0.0388316 0.0884274 -0.0211114  0.34696 0.258268 8.85693  0.34696 0.258268 8.85693  - - -  - - -  79.8041 66.9961 69.7698 62.8368 - - - - - - 68.6153 - - - - - 138 0 0 71 0 0 0 0
1703170018.121929000  1000.77 0 49.994  -  nan  -0.128195 0.0948296 0.123086  -0.128195 0.0948296 0.123086  -0.40283 -0.00636593 10.4712  -0.40283 -0.00636593 10.4712  - - -  - - -  79.0999 70.1177 66.4575 64.4852 - - - - - 68.4182 - 63.4921 - - - - 138 0 0 71 0 0 0 0
1703170018.126928000  1000.76 0 49.9906  -  nan  0.150266 -0.116337 -0.084445  0.150266 -0.116337 -0.084445  -0.0349389 -0.143516 9.45966  -0.0349389 -0.143516 9.45966  - - -  - - -  77.9282 69.7443 66.6606 65.1963 - - - - 79.8977 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.131928000  1000.75 0 49.9906  -  nan  -0.0534784 0.103759 0.00453798  -0.0534784 0.103759 0.00453798  0.214058 0.358314 8.78942  0.214058 0.358314 8.78942  - - -  - - -  78.7331 68.0648 68.1538 65.2672 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.136930000  1000.75 0 49.9895  -  nan  -0.0979229 0.0788463 0.0839611  -0.0979229 0.0788463 0.0839611  -0.360423 -0.106002 10.5946  -0.360423 -0.106002 10.5946  - - -  - - -  79.0896 70.0059 66.4208 64.939 - - - - - - 67.2585 - - - - - 138 0 0 71 0 0 0 0
1703170018.141927000  1000.73 0 49.9921  -  nan  0.150859 -0.103782 -0.125641  0.150859 -0.103782 -0.125641  -0.124841 -0.0944164 9.51211  -0.124841 -0.0944164 9.51211  - - -  - - -  78.4816 68.9878 67.5112 65.0685 - - - - - 69.0131 - 65.7722 - - - - 138 0 0 71 0 0 0 0
1703170018.146921000  1000.71 0 49.9899  -  nan  -0.0527853 0.0579212 -0.0763481  -0.0527853 0.0579212 -0.0763481  0.253745 0.300058 9.59342  0.253745 0.300058 9.59342  - - -  - - -  79.3067 67.2537 69.3606 64.5723 - - - - 78.5793 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.151922000  1000.69 0 49.9899  -  nan  -0.0537808 0.0612139 0.00602292  -0.0537808 0.0612139 0.00602292  -0.173393 -0.0999016 10.025  -0.173393 -0.0999016 10.025  - - -  - - -  79.7114 68.6246 68.0781 63.7818 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.156927000  1000.67 0 49.9879  -  nan  0.12212 -0.0894696 -0.128115  0.12212 -0.0894696 -0.128115  -0.399391 -0.0440856 9.44804  -0.399391 -0.0440856 9.44804  - - -  - - -  79.356 68.5256 68.1693 64.3631 - - - - - - 68.6153 - - - - - 138 0 0 71 0 0 0 0
1703170018.161931000  1000.65 0 49.9889  -  nan  -0.024457 -0.0141322 -0.0718587  -0.024457 -0.0141322 -0.0718587  0.428492 0.14237 10.4074  0.428492 0.14237 10.4074  - - -  - - -  79.3601 66.8378 69.9044 64.4874 - - - - - 68.0272 - 64.0041 - - - - 138 0 0 71 0 0 0 0
1703170018.166927000  1000.64 0 49.986  -  nan  -0.0395506 0.105321 0.0462286  -0.0395506 0.105321 0.0462286  -0.0775928 -0.0434808 9.3938  -0.0775928 -0.0434808 9.3938  - - -  - - -  79.5435 68.4913 67.798 64.3041 - - - - 79.3651 - - - - - - - 138 0 0 71 0 0 0 0
1703170018.171932000  1000.63 0 49.986  -  nan  0.0923488 -0.10077 -0.0607953  0.0923488 -0.10077 -0.0607953  -0.541172 -0.146572 9.74189  -0.541172 -0.146572 9.74189  - - -  - - -  79.1181 68.6088 68.0079 65.0042 - - - - - - - - - - - - 138 0 0 71 0 0 0 0
1703170018.176929000  1000.63 0 49.9854  -  nan  0.0487347 -0.0291887 -0.079912  0.0487347 -0.0291887 -0.079912  0.565121 0.092655 10.4128  0.565121 0.092655 10.4128  - - -  - - -  78.6863 66.6059 69.8301 65.0169 - - - - - - 68.6153 - - - - - 138 0 0 71 0 0 0 0
1703170018.181927000  1000.62 0 49.985  -  nan  -0.0682068 0.178459 0.0688731  -0.0682068 0.178459 0.0688731  -0.20698 0.157012 9.0326  -0.20698 0.157012 9.0326  - - -  - - -  79.5495 67.903 68.0376 64.7846 - - - - - 66.3218 - 63.4921 - - - - 138 0 0 71 0 0 0 0
