# logged on Thu Dec 21 15:51:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170311.092283000  1000.69 0 50.0014  15.673  nan  -0.0401186 -0.0690567 -0.00202897  -0.0401186 -0.0690567 -0.00202897  0.195303 -0.0974614 9.79939  0.195303 -0.0974614 9.79939  nan nan nan  nan nan nan  75.7545 67.2326 71.4378 63.1676 - - - - 77.5555 66.6933 70.2346 64.3501 nan nan nan nan 139 146 134 70 0 0 0 0
1703170311.097278000  1000.69 0 50.0014  -  nan  -0.0690772 -0.0384643 0.0221005  -0.0690772 -0.0384643 0.0221005  -0.297553 0.0679469 8.07089  -0.297553 0.0679469 8.07089  - - -  - - -  76.477 67.3795 71.1821 63.7171 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.102286000  1000.69 0 50.0013  -  nan  -0.0408313 -0.169343 0.00147124  -0.0408313 -0.169343 0.00147124  -0.173538 0.0829046 11.3198  -0.173538 0.0829046 11.3198  - - -  - - -  76.327 67.7731 71.5751 64.5424 - - - - 78.3208 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.107280000  1000.69 0 50.001  -  nan  0.00324856 -0.0540585 0.000409486  0.00324856 -0.0540585 0.000409486  0.0576568 -0.0962412 9.68421  0.0576568 -0.0962412 9.68421  - - -  - - -  75.5647 66.8659 71.7605 64.0442 - - - - - 68.0272 70.6514 62.4922 - - - - 139 146 134 70 0 0 0 0
1703170311.112283000  1000.69 0 50.001  -  nan  0.0185343 -0.0535864 0.0150368  0.0185343 -0.0535864 0.0150368  -0.161718 0.0174212 8.24704  -0.161718 0.0174212 8.24704  - - -  - - -  76.2001 66.9699 71.4854 64.5314 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.117274000  1000.69 0 50.001  -  nan  -0.0113168 -0.0980938 -0.0126268  -0.0113168 -0.0980938 -0.0126268  -0.122774 0.0932704 10.3502  -0.122774 0.0932704 10.3502  - - -  - - -  76.3704 66.9838 71.8548 65.0332 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.122288000  1000.69 0 50.0019  -  nan  0.0186351 -0.0394045 0.0145418  0.0186351 -0.0394045 0.0145418  -0.172103 -0.0508016 10.0782  -0.172103 -0.0508016 10.0782  - - -  - - -  76.142 66.7021 71.5701 64.646 - - - - 76.3126 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.127284000  1000.69 0 50.0016  -  nan  0.062461 -0.055991 -0.0372315  0.062461 -0.055991 -0.0372315  0.108974 -0.0846553 8.60041  0.108974 -0.0846553 8.60041  - - -  - - -  76.0548 66.6309 71.5572 64.6984 - - - - - 67.4491 71.0732 - - - - - 139 146 134 70 0 0 0 0
1703170311.132278000  1000.69 0 50.0004  -  nan  -0.01066 0.0179294 -0.00309036  -0.01066 0.0179294 -0.00309036  -0.161094 0.249122 9.70904  -0.161094 0.249122 9.70904  - - -  - - -  77.3931 65.8981 72.0707 65.2809 - - - - - - - 62.6566 - - - - 139 146 134 70 0 0 0 0
1703170311.137275000  1000.68 0 50.0004  -  nan  0.032954 -0.0536519 0.0160264  0.032954 -0.0536519 0.0160264  -0.176158 -0.106002 10.5959  -0.176158 -0.106002 10.5959  - - -  - - -  77.044 66.6503 71.1619 64.7305 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.142278000  1000.68 0 50.0004  -  nan  0.106914 -0.0567346 -0.047759  0.106914 -0.0567346 -0.047759  0.294587 -0.0312796 8.25476  0.294587 -0.0312796 8.25476  - - -  - - -  75.0152 67.4237 69.9637 66.9771 - - - - 77.5555 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.147268000  1000.68 0 50.0022  -  nan  -0.0396514 0.091139 0.0467235  -0.0396514 0.091139 0.0467235  -0.296617 0.301278 9.47522  -0.296617 0.301278 9.47522  - - -  - - -  76.2928 67.4567 69.9796 67.5346 - - - - - 66.507 71.9321 - - - - - 139 146 134 70 0 0 0 0
1703170311.152272000  1000.68 0 50.002  -  nan  0.0473289 -0.0836365 0.00447427  0.0473289 -0.0836365 0.00447427  -0.3666 -0.212138 11.2309  -0.3666 -0.212138 11.2309  - - -  - - -  75.6168 68.8109 68.9157 67.0648 - - - - - - - 64.3501 - - - - 139 146 134 70 0 0 0 0
1703170311.157294000  1000.68 0 50.002  -  nan  0.12214 -0.0159203 -0.0899244  0.12214 -0.0159203 -0.0899244  0.482479 0.0673422 8.13319  0.482479 0.0673422 8.13319  - - -  - - -  75.1098 67.1227 70.0521 67.2646 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.162299000  1000.68 0 50.0028  -  nan  -0.0684084 0.150095 0.0698631  -0.0684084 0.150095 0.0698631  -0.437212 0.249737 9.64943  -0.437212 0.249737 9.64943  - - -  - - -  76.8169 67.3471 69.8745 67.4242 - - - - 77.0535 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.167296000  1000.68 0 50.0022  -  nan  0.0929531 -0.0882538 -0.10296  0.0929531 -0.0882538 -0.10296  -0.182061 -0.211534 11.1757  -0.182061 -0.211534 11.1757  - - -  - - -  76.135 68.6064 68.9153 67.0226 - - - - - 68.6153 70.6514 - - - - - 139 146 134 70 0 0 0 0
1703170311.172302000  1000.68 0 50.001  -  nan  0.109025 0.0244111 -0.174805  0.109025 0.0244111 -0.174805  0.529193 0.161277 8.63886  0.529193 0.161277 8.63886  - - -  - - -  76.5616 65.5595 70.8897 66.7619 - - - - - - - 67.4491 - - - - 139 146 134 70 0 0 0 0
1703170311.177276000  1000.68 0 50.001  -  nan  -0.0680245 0.133273 0.0296924  -0.0680245 0.133273 0.0296924  -0.43906 0.199407 9.71148  -0.43906 0.199407 9.71148  - - -  - - -  78.1202 66.1458 70.4115 66.3647 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.182303000  1000.68 0 50.0036  -  nan  0.122083 -0.118376 -0.140692  0.122083 -0.118376 -0.140692  -0.363462 -0.112708 11.222  -0.363462 -0.112708 11.222  - - -  - - -  77.1759 67.356 69.8728 66.037 - - - - 74.173 - 70.2346 - - - - - 139 146 134 70 0 0 0 0
1703170311.187280000  1000.68 0 50.0043  -  nan  0.0350018 0.042218 -0.0979479  0.0350018 0.042218 -0.0979479  0.342995 0.157012 9.03662  0.342995 0.157012 9.03662  - - -  - - -  77.0318 64.8076 71.6899 66.0265 - - - - - 67.4491 - - - - - - 139 146 134 70 0 0 0 0
1703170311.192299000  1000.68 0 50.0018  -  nan  -0.0534408 0.132665 0.017115  -0.0534408 0.132665 0.017115  -0.304364 0.145426 10.1161  -0.304364 0.145426 10.1161  - - -  - - -  77.8664 66.4208 70.4366 65.8661 - - - - - - - 66.507 - - - - 139 146 134 70 0 0 0 0
1703170311.197300000  1000.68 0 50.0018  -  nan  0.0926135 -0.0871304 -0.0748573  0.0926135 -0.0871304 -0.0748573  -0.358423 -0.0100263 10.8141  -0.358423 -0.0100263 10.8141  - - -  - - -  76.8295 67.2007 70.034 66.0152 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.202297000  1000.68 0 50.0047  -  nan  -0.0241475 0.0294264 -0.073379  -0.0241475 0.0294264 -0.073379  0.247005 0.0539208 9.3874  0.247005 0.0539208 9.3874  - - -  - - -  76.5497 65.5862 71.2002 66.0504 - - - - 77.3036 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.207301000  1000.68 0 50.0038  -  nan  -0.0395626 0.0327846 0.00800247  -0.0395626 0.0327846 0.00800247  -0.166165 0.145426 10.1171  -0.166165 0.145426 10.1171  - - -  - - -  77.0029 66.5534 70.5015 65.7549 - - - - - 66.8807 70.8617 - - - - - 139 146 134 70 0 0 0 0
1703170311.212279000  1000.68 0 50.0024  -  nan  0.0196305 -0.0426972 -0.0678293  0.0196305 -0.0426972 -0.0678293  -0.397049 0.144206 10.2296  -0.397049 0.144206 10.2296  - - -  - - -  76.5259 67.0669 70.1009 65.7907 - - - - - - - 67.2585 - - - - 139 146 134 70 0 0 0 0
1703170311.217269000  1000.68 0 50.0024  -  nan  -0.0532965 -0.0140011 -0.0738379  -0.0532965 -0.0140011 -0.0738379  0.241445 -0.0489661 9.90943  0.241445 -0.0489661 9.90943  - - -  - - -  76.1819 66.4689 70.9714 65.4358 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.222294000  1000.69 0 50.0042  -  nan  -0.0534788 0.0311844 -0.0346572  -0.0534788 0.0311844 -0.0346572  -0.0266942 0.150307 9.66139  -0.0266942 0.150307 9.66139  - - -  - - -  76.792 66.48 70.9991 64.933 - - - - 77.0535 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.227271000  1000.69 0 50.0035  -  nan  -0.0537883 -0.0123741 -0.0331369  -0.0537883 -0.0123741 -0.0331369  -0.621459 0.293957 10.1579  -0.621459 0.293957 10.1579  - - -  - - -  76.8 66.9713 70.7875 64.8875 - - - - - 67.6407 70.4424 - - - - - 139 146 134 70 0 0 0 0
1703170311.232290000  1000.69 0 50.0031  -  nan  -0.0389475 -0.0729305 -0.0989361  -0.0389475 -0.0729305 -0.0989361  0.327561 -0.152673 10.3191  0.327561 -0.152673 10.3191  - - -  - - -  75.9006 66.9684 71.4921 64.6724 - - - - - - - 65.7722 - - - - 139 146 134 70 0 0 0 0
1703170311.237296000  1000.69 0 50.0031  -  nan  -0.0676338 0.0448895 -0.0497087  -0.0676338 0.0448895 -0.0497087  0.0249963 0.255223 9.13952  0.0249963 0.255223 9.13952  - - -  - - -  76.5536 66.0676 71.94 64.5874 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.242287000  1000.69 0 50.0058  -  nan  -0.0834969 -0.0383988 0.0211109  -0.0834969 -0.0383988 0.0211109  -0.667525 0.293957 10.1576  -0.667525 0.293957 10.1576  - - -  - - -  76.7083 67.3646 71.2604 64.5954 - - - - 77.3036 - - - - - - - 139 146 134 70 0 0 0 0
1703170311.247272000  1000.69 0 50.0047  -  nan  0.00431168 -0.0731271 -0.0959673  0.00431168 -0.0731271 -0.0959673  0.281675 -0.244783 9.64269  0.281675 -0.244783 9.64269  - - -  - - -  75.4312 67.4356 71.6858 64.705 - - - - - 66.507 71.5001 - - - - - 139 146 134 70 0 0 0 0
1703170311.252292000  1000.69 0 50.0032  -  nan  -0.0967376 0.103956 0.00156919  -0.0967376 0.103956 0.00156919  -0.11014 0.306158 9.01988  -0.11014 0.306158 9.01988  - - -  - - -  76.3905 66.428 72.1995 64.8909 - - - - - - - 64.0041 - - - - 139 146 134 70 0 0 0 0
1703170311.257294000  1000.68 0 50.0032  -  nan  -0.0833585 0.00468915 0.033193  -0.0833585 0.00468915 0.033193  -0.580185 0.190876 10.5087  -0.580185 0.190876 10.5087  - - -  - - -  76.542 68.0271 71.0927 64.8675 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1703170311.262289000  1000.67 0 50.0049  -  nan  0.0345914 -0.0155224 -0.0959327  0.0345914 -0.0155224 -0.0959327  0.326082 -0.248443 9.98554  0.326082 -0.248443 9.98554  - - -  - - -  75.277 67.5881 71.8435 65.037 - - - - 77.5555 - - - - - - - 139 146 134 70 0 0 0 0
