# pom logged on Thu Dec 21 15:55:53 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1703170553.490283000 0 1 1 1 1 1 -2.50625 -0.283942 0.988063 0.00869515 0.0226142 -0.0183187 0.0182711 -0.0175822 -0.00751525 0.0300572 0.0694397 0.014914 0.0105389 -0.0780277 -0.00722673 1.22245e-06 1.22246e-06 1.09852e-06 5.00732e-06 5.00461e-06 5.98653e-06 7.05205e-05 7.05219e-05 5.62147e-05 7.05205e-05 7.05219e-05 5.62147e-05 0.0477024 0.0477025 0.0472369
1703170553.494259000 0 1 1 1 1 1 -2.50633 -0.28386 0.988101 0.00916857 0.0222452 -0.0186513 0.0176302 -0.0176426 -0.00318156 0.062205 0.00458261 -0.023176 0.0280792 -0.118863 0.346179 1.16065e-06 1.16066e-06 1.04809e-06 4.96278e-06 4.96018e-06 5.94514e-06 6.85763e-05 6.85775e-05 5.49084e-05 6.85763e-05 6.85775e-05 5.49084e-05 0.0472793 0.0472793 0.0468134
1703170553.499262000 0 1 1 1 1 1 -2.50621 -0.283944 0.988055 0.00921774 0.022566 -0.0189598 0.0216472 -0.0176132 -0.0058007 0.036219 0.0389119 -0.0367254 0.331197 -0.0635943 -0.0469463 1.22955e-06 1.22956e-06 1.10439e-06 5.01302e-06 5.01032e-06 5.99546e-06 7.06154e-05 7.06167e-05 5.61631e-05 7.06154e-05 7.06167e-05 5.61631e-05 0.0474652 0.0474653 0.0469831
1703170553.504259000 0 1 1 1 1 1 -2.50628 -0.283865 0.988044 0.00878429 0.0234863 -0.018558 0.0192337 -0.0160542 -0.00821593 -0.0145983 0.0948678 0.0163659 0.0485651 0.0165963 -0.197762 1.18387e-06 1.18388e-06 1.06714e-06 4.98145e-06 4.97855e-06 5.96671e-06 6.91477e-05 6.91491e-05 5.5185e-05 6.91477e-05 6.91491e-05 5.5185e-05 0.0473849 0.0473851 0.0469245
1703170553.509259000 0 1 1 1 1 1 -2.50632 -0.283816 0.988117 0.00914986 0.0227864 -0.018952 0.0178922 -0.0169827 -0.000452864 0.0271783 -0.0144846 -0.0285105 -0.00480399 -0.120976 0.480146 1.1421e-06 1.1421e-06 1.03295e-06 4.95103e-06 4.94831e-06 5.93936e-06 6.77831e-05 6.77843e-05 5.42451e-05 6.77831e-05 6.77843e-05 5.42451e-05 0.0472811 0.0472811 0.0468168
1703170553.515295000 0 1 1 1 1 1 -2.50618 -0.283913 0.98806 0.00918743 0.0231574 -0.0193152 0.021752 -0.0168744 -0.0048399 0.0119317 0.0313581 -0.0382923 0.268235 -0.0488326 -0.079567 1.2244e-06 1.22441e-06 1.10023e-06 5.04467e-06 5.04182e-06 6.03308e-06 7.09037e-05 7.09051e-05 5.64225e-05 7.09037e-05 7.09051e-05 5.64225e-05 0.0612282 0.0612283 0.0607471
1703170553.520287000 0 1 1 1 1 1 -2.50626 -0.283827 0.988097 0.0085057 0.0237778 -0.0185016 0.0178603 -0.0155865 -0.0034915 -0.0492792 0.0615209 0.0516829 -0.0987297 -0.00354515 0.0828011 1.18026e-06 1.18027e-06 1.06421e-06 4.99857e-06 4.9956e-06 5.99006e-06 6.92328e-05 6.92341e-05 5.52268e-05 6.92328e-05 6.92341e-05 5.52268e-05 0.0508378 0.0508378 0.0503749
1703170553.525269000 0 1 1 1 1 1 -2.50627 -0.283771 0.988166 0.00906236 0.0228577 -0.0190172 0.0186734 -0.0170737 0.00232332 0.0250245 -0.0469474 -0.0185188 0.0674941 -0.174078 0.465816 1.14274e-06 1.14275e-06 1.03346e-06 4.96658e-06 4.96386e-06 5.96115e-06 6.793e-05 6.7931e-05 5.42841e-05 6.793e-05 6.7931e-05 5.42841e-05 0.0482212 0.0482212 0.0477451
1703170553.530276000 0 1 1 1 1 1 -2.50615 -0.283839 0.988118 0.00877142 0.0233737 -0.0190615 0.0215107 -0.015766 -0.00296813 -0.0163706 0.0265562 -0.00658321 0.243058 0.00299345 -0.135326 1.21058e-06 1.2106e-06 1.0889e-06 5.01571e-06 5.01284e-06 6.01032e-06 6.99318e-05 6.9933e-05 5.55101e-05 6.99318e-05 6.9933e-05 5.55101e-05 0.0478569 0.047857 0.0473738
1703170553.535294000 0 1 1 1 1 1 -2.50623 -0.283754 0.988173 0.00816016 0.0236515 -0.0185023 0.0188117 -0.0149947 -0.0016127 -0.0561279 0.0300812 0.0463467 -0.00538599 -0.012879 0.0287482 1.16065e-06 1.16066e-06 1.04809e-06 4.97989e-06 4.97697e-06 5.97801e-06 6.83047e-05 6.83059e-05 5.44234e-05 6.83047e-05 6.83059e-05 5.44234e-05 0.0479663 0.0479663 0.0475013
