# logged on Thu Dec 21 15:55:53 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703170553.555859000  1000.83 0 50.0031  15.544  nan  0.00381566 0.00212664 -0.0151374  0.00381566 0.00212664 -0.0151374  -0.0307541 0.0950953 10.1801  -0.0307541 0.0950953 10.1801  nan nan nan  nan nan nan  75.3311 67.6402 69.7634 63.196 - - - - 76.0688 67.2585 69.6185 63.6618 nan nan nan nan 139 145 134 70 0 0 0 0
1703170553.560860000  1000.82 0 50.0018  -  nan  -0.0404649 -0.0233288 0.0507187  -0.0404649 -0.0233288 0.0507187  -0.0758987 0.0508758 9.66998  -0.0758987 0.0508758 9.66998  - - -  - - -  75.6216 67.6565 69.303 62.9324 - - - - 74.4048 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.565872000  1000.81 0 50.0016  -  nan  0.0188367 -0.0110408 0.0135518  0.0188367 -0.0110408 0.0135518  -0.305514 -0.0864908 8.76914  -0.305514 -0.0864908 8.76914  - - -  - - -  75.2176 68.7254 68.4856 63.3587 - - - - - - - 62.822 - - - - 139 146 134 71 0 0 0 0
1703170553.570868000  1000.8 0 50.0025  -  nan  0.062461 -0.055991 -0.0372315  0.062461 -0.055991 -0.0372315  -0.0374522 -0.0112464 10.9306  -0.0374522 -0.0112464 10.9306  - - -  - - -  75.2476 68.1447 69.1705 63.6841 - - - - - 68.2221 - - - - - - 139 146 134 71 0 0 0 0
1703170553.575874000  1000.8 0 50.0022  -  nan  0.0192094 0.0177936 -0.00104048  0.0192094 0.0177936 -0.00104048  0.159958 0.0630664 8.53094  0.159958 0.0630664 8.53094  - - -  - - -  75.3493 67.2994 69.3278 63.0724 - - - - - - 68.8137 - - - - - 139 146 134 71 0 0 0 0
1703170553.580860000  1000.8 0 50.002  -  nan  0.0188815 0.0188782 0.0260935  0.0188815 0.0188782 0.0260935  -0.489325 0.00399984 9.50058  -0.489325 0.00399984 9.50058  - - -  - - -  76.0252 67.9197 68.7736 63.7672 - - - - 76.558 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.585866000  1000.79 0 50.0027  -  nan  0.0922856 -0.0860458 -0.0477233  0.0922856 -0.0860458 -0.0477233  -0.0429546 -0.161203 11.1147  -0.0429546 -0.161203 11.1147  - - -  - - -  75.5278 67.6425 69.2258 63.9167 - - - - - 66.8807 - 63.3232 - - - - 139 146 134 71 0 0 0 0
1703170553.590858000  1000.79 0 50.0027  -  nan  0.0482128 0.0171202 -0.0126283  0.0482128 0.0171202 -0.0126283  0.114907 0.111562 8.64031  0.114907 0.111562 8.64031  - - -  - - -  75.4014 66.4742 69.7392 63.6335 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1703170553.595867000  1000.78 0 50.0035  -  nan  0.00315983 0.00429594 0.0391306  0.00315983 0.00429594 0.0391306  -0.445858 0.000339461 9.84342  -0.445858 0.000339461 9.84342  - - -  - - -  75.9712 67.576 68.9191 64.0488 - - - - - - 69.0131 - - - - - 139 146 134 71 0 0 0 0
1703170553.600862000  1000.77 0 50.0021  -  nan  0.121024 -0.100359 -0.0452491  0.121024 -0.100359 -0.0452491  0.0010794 -0.258193 10.8956  0.0010794 -0.258193 10.8956  - - -  - - -  75.2081 67.494 69.0483 64.1553 - - - - 75.5858 - - - - - - - 139 146 134 71 0 0 0 0
1703170553.605865000  1000.75 0 50.0047  -  nan  0.0482805 0.00134429 -0.026634  0.0482805 0.00134429 -0.026634  -0.017842 0.308598 8.7922  -0.017842 0.308598 8.7922  - - -  - - -  75.3565 66.0715 69.6445 64.0153 - - - - - 68.0272 - 63.4921 - - - - 139 146 134 71 0 0 0 0
