# logged on Thu Dec 21 16:55:50 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174150.121127000  1000.02 0 50.0026  15.189  nan  0.047285 0.00463698 0.055737  0.047285 0.00463698 0.055737  -0.405195 -0.0568916 10.6463  -0.405195 -0.0568916 10.6463  nan nan nan  nan nan nan  77.0242 67.8148 68.1371 65.1734 - - - - 75.3466 65.591 69.2137 64.8761 nan nan nan nan 139 146 0 70 0 0 0 0
1703174150.126132000  1000.02 0 50.0026  -  nan  0.0926583 -0.0572114 -0.0623156  0.0926583 -0.0572114 -0.0623156  0.0559433 0.0368496 10.9835  0.0559433 0.0368496 10.9835  - - -  - - -  76.2669 67.2188 68.3373 65.403 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.131126000  1000.01 0 50.0031  -  nan  -0.0395882 0.0764148 0.0336515  -0.0395882 0.0764148 0.0336515  0.118136 0.164937 8.29333  0.118136 0.164937 8.29333  - - -  - - -  76.6338 66.0444 68.9274 64.6753 - - - - - 67.6407 - 65.4108 - - - - 139 146 0 70 0 0 0 0
1703174150.136168000  1000.01 0 50.0038  -  nan  0.0622414 0.0328635 0.0285673  0.0622414 0.0328635 0.0285673  -0.220755 -0.149012 9.97259  -0.220755 -0.149012 9.97259  - - -  - - -  77.104 67.8459 67.8846 64.6498 - - - - 75.8265 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.141142000  1000.01 0 50.0024  -  nan  0.0628265 -0.0281696 -0.0517884  0.0628265 -0.0281696 -0.0517884  -0.258661 0.190876 10.511  -0.258661 0.190876 10.511  - - -  - - -  76.9277 66.5867 68.4712 64.9465 - - - - - - 68.4182 - - - - - 139 146 0 70 0 0 0 0
1703174150.146139000  1000.03 0 50.0024  -  nan  -0.0541087 0.0622985 0.0331569  -0.0541087 0.0622985 0.0331569  0.247005 0.0539208 9.3874  0.247005 0.0539208 9.3874  - - -  - - -  77.035 66.0685 68.8732 64.4866 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.151154000  1000.04 0 50.0029  -  nan  0.0338051 0.089722 0.0246082  0.0338051 0.089722 0.0246082  -0.120507 -0.0386003 8.93678  -0.120507 -0.0386003 8.93678  - - -  - - -  77.2049 67.0321 68.0928 64.6975 - - - - - 67.0691 - 65.7722 - - - - 139 146 0 70 0 0 0 0
1703174150.156177000  1000.05 0 50.0029  -  nan  0.0188998 -0.025765 0.000479811  0.0188998 -0.025765 0.000479811  -0.445691 0.184776 11.0806  -0.445691 0.184776 11.0806  - - -  - - -  77.2597 66.7799 68.2465 65.182 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.161143000  1000.05 0 50.0023  -  nan  -0.0251429 0.0327191 0.00899206  -0.0251429 0.0327191 0.00899206  0.382453 0.00461521 9.44937  0.382453 0.00461521 9.44937  - - -  - - -  76.6563 66.369 68.5059 64.7136 - - - - 76.558 - 67.8334 - - - - - 139 146 0 70 0 0 0 0
1703174150.166148000  1000.05 0 50.0023  -  nan  -0.0103456 0.133011 0.0336508  -0.0103456 0.133011 0.0336508  -0.205231 0.114617 8.35203  -0.205231 0.114617 8.35203  - - -  - - -  76.9083 66.6202 68.3162 64.6897 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.171141000  1000.06 0 50.0009  -  nan  -0.0257997 -0.0833041 -0.000544392  -0.0257997 -0.0833041 -0.000544392  -0.450578 0.12774 11.77  -0.450578 0.12774 11.77  - - -  - - -  77.1046 66.9509 67.7849 64.4186 - - - - - 66.3218 - 65.2316 - - - - 139 146 0 70 0 0 0 0
1703174150.176186000  1000.07 0 50.0018  -  nan  -0.0251877 0.00280004 -0.00354962  -0.0251877 0.00280004 -0.00354962  0.57031 0.0125407 8.7091  0.57031 0.0125407 8.7091  - - -  - - -  75.6006 65.8828 68.523 63.7106 - - - - 77.0535 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.181139000  1000.07 0 50.0006  -  nan  -0.0541526 0.150572 0.0844197  -0.0541526 0.150572 0.0844197  -0.432978 0.212828 8.45559  -0.432978 0.212828 8.45559  - - -  - - -  77.6757 67.1968 67.4321 63.8545 - - - - - - 68.8137 - - - - - 139 146 0 70 0 0 0 0
1703174150.186147000  1000.07 0 50.0006  -  nan  -0.0115815 -0.111733 0.00143516  -0.0115815 -0.111733 0.00143516  -0.409187 -0.0203921 11.7837  -0.409187 -0.0203921 11.7837  - - -  - - -  77.049 68.5798 66.7951 64.3095 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.191139000  1000.07 0 49.9976  -  nan  0.00436405 0.03038 -0.0442658  0.00436405 0.03038 -0.0442658  0.525228 0.0600214 8.81856  0.525228 0.0600214 8.81856  - - -  - - -  73.9199 68.1933 65.0063 64.6639 - - - - - 65.591 - 65.2316 - - - - 139 146 0 70 0 0 0 0
1703174150.196134000  1000.07 0 49.9998  -  nan  -0.0832757 0.136089 0.0975069  -0.0832757 0.136089 0.0975069  -0.24816 0.214048 8.34277  -0.24816 0.214048 8.34277  - - -  - - -  75.4462 68.8276 64.4532 64.4141 - - - - 77.8089 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.201135000  1000.07 0 49.9999  -  nan  0.0186907 -0.127717 -0.03769  0.0186907 -0.127717 -0.03769  -0.36134 -0.0617721 11.1034  -0.36134 -0.0617721 11.1034  - - -  - - -  75.0081 69.7122 63.8247 64.9598 - - - - - - 67.4491 - - - - - 139 146 0 70 0 0 0 0
1703174150.206135000  1000.07 0 49.9999  -  nan  0.00459117 0.0151135 -0.0709048  0.00459117 0.0151135 -0.0709048  0.252355 0.158232 8.92178  0.252355 0.158232 8.92178  - - -  - - -  74.357 67.642 65.7615 64.2605 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.211134000  1000.07 0 49.9969  -  nan  -0.0680997 0.0754613 0.00453834  -0.0680997 0.0754613 0.00453834  -0.21193 0.00827559 9.10249  -0.21193 0.00827559 9.10249  - - -  - - -  75.6088 68.4632 65.2412 63.6977 - - - - - 68.2221 - 65.591 - - - - 139 146 0 70 0 0 0 0
1703174150.216135000  1000.07 0 49.9969  -  nan  0.0778313 -0.0892683 -0.131155  0.0778313 -0.0892683 -0.131155  -0.263526 -0.00392568 10.2439  -0.263526 -0.00392568 10.2439  - - -  - - -  75.5294 67.9161 65.5624 64.0569 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.221136000  1000.07 0 49.9994  -  nan  0.0203805 0.0139198 -0.0979476  0.0203805 0.0139198 -0.0979476  0.0213051 0.154572 9.26262  0.0213051 0.154572 9.26262  - - -  - - -  75.7875 66.1364 67.0399 63.6675 - - - - 76.0688 - 65.9544 - - - - - 139 146 0 70 0 0 0 0
1703174150.226137000  1000.07 0 49.9994  -  nan  0.0335211 0.00253321 0.000479449  0.0335211 0.00253321 0.000479449  -0.0318006 -0.0440856 9.45073  -0.0318006 -0.0440856 9.45073  - - -  - - -  76.0669 66.6495 66.6752 63.7176 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.231134000  1000.08 0 49.9984  -  nan  0.0773726 -0.0576835 -0.0769429  0.0773726 -0.0576835 -0.0769429  -0.346748 0.107297 9.03605  -0.346748 0.107297 9.03605  - - -  - - -  75.8742 66.733 66.3615 64.708 - - - - - 68.4182 - 64.3501 - - - - 139 146 0 70 0 0 0 0
1703174150.236172000  1000.09 0 49.9984  -  nan  0.062353 -0.0711859 -0.0367012  0.062353 -0.0711859 -0.0367012  -0.0338603 -0.00332092 10.189  -0.0338603 -0.00332092 10.189  - - -  - - -  75.7298 66.3477 67.042 64.9213 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.241159000  1000.09 0 49.9987  -  nan  0.107052 -0.0136467 -0.035677  0.107052 -0.0136467 -0.035677  0.152918 -0.135591 8.71938  0.152918 -0.135591 8.71938  - - -  - - -  75.373 66.1127 66.9848 65.0971 - - - - 77.3036 - 67.4491 - - - - - 139 146 0 70 0 0 0 0
1703174150.246144000  1000.09 0 49.9987  -  nan  0.062159 -0.0259616 0.0034486  0.062159 -0.0259616 0.0034486  -0.573554 0.205507 9.13962  -0.573554 0.205507 9.13962  - - -  - - -  75.9243 66.0554 66.6094 66.036 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.251154000  1000.09 0 49.9979  -  nan  0.0921848 -0.100228 -0.0472283  0.0921848 -0.100228 -0.0472283  -0.0401897 -0.155102 10.5438  -0.0401897 -0.155102 10.5438  - - -  - - -  75.5138 66.4102 66.9027 66.3875 - - - - - 66.507 - 64.5245 - - - - 139 146 0 70 0 0 0 0
1703174150.256178000  1000.09 0 49.9992  -  nan  0.136429 0.0145143 -0.0618571  0.136429 0.0145143 -0.0618571  0.249461 -0.0312796 8.25443  0.249461 -0.0312796 8.25443  - - -  - - -  75.3837 64.9947 67.5116 66.0595 - - - - 74.4048 - - - - - - - 139 146 0 70 0 0 0 0
1703174150.261143000  1000.09 0 50.0002  -  nan  0.00338696 -0.0109706 0.0124915  0.00338696 -0.0109706 0.0124915  -0.617309 0.303113 9.30111  -0.617309 0.303113 9.30111  - - -  - - -  76.4953 65.1439 67.3291 66.4902 - - - - - - 67.2585 - - - - - 139 146 0 70 0 0 0 0
1703174150.266144000  1000.09 0 50.0002  -  nan  0.106832 -0.11556 -0.0728777  0.106832 -0.11556 -0.0728777  -0.0425907 -0.206653 10.72  -0.0425907 -0.206653 10.72  - - -  - - -  75.4702 65.9225 67.5168 66.7228 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1703174150.271143000  1000.09 0 49.9991  -  nan  0.093673 0.0130452 -0.106496  0.093673 0.0130452 -0.106496  0.343637 0.112177 8.5844  0.343637 0.112177 8.5844  - - -  - - -  75.687 64.3351 68.2745 66.5251 - - - - - 66.6933 - 67.6407 - - - - 139 146 0 70 0 0 0 0
